x,Wp2,Wp4,Wp6,Up2,Up4,Up6,Yp2,Yp4,Yp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,Yp2_rms,Yp4_rms,Yp6_rms
-2.734E-01, 8.288E-01, 8.507E-01, 9.286E-01, 5.046E-01, 2.064E-01, 1.461E-01, 1.330E-01, 8.085E-02, 6.950E-02, 5.595E-01, 4.593E-01, 5.601E-01, 3.764E-01, 4.181E-01, 4.695E-01, 1.375E-01, 9.127E-02, 9.133E-02
-2.578E-01, 9.230E-01, 9.613E-01, 1.050E+00, 5.327E-01, 2.017E-01, 1.438E-01, 1.503E-01, 9.158E-02, 7.734E-02, 5.753E-01, 5.281E-01, 6.345E-01, 3.767E-01, 4.431E-01, 4.737E-01, 1.464E-01, 1.059E-01, 9.851E-02
-2.422E-01, 1.011E+00, 1.089E+00, 1.199E+00, 5.501E-01, 1.950E-01, 1.305E-01, 1.744E-01, 9.810E-02, 8.516E-02, 6.067E-01, 5.822E-01, 6.800E-01, 3.849E-01, 4.539E-01, 4.729E-01, 1.588E-01, 1.186E-01, 1.056E-01
-2.266E-01, 1.111E+00, 1.233E+00, 1.319E+00, 5.595E-01, 2.017E-01, 1.105E-01, 2.076E-01, 1.056E-01, 9.067E-02, 6.541E-01, 6.602E-01, 7.147E-01, 3.809E-01, 4.595E-01, 4.821E-01, 1.831E-01, 1.269E-01, 1.101E-01
-2.109E-01, 1.196E+00, 1.422E+00, 1.506E+00, 5.593E-01, 2.044E-01, 9.549E-02, 2.368E-01, 1.160E-01, 9.651E-02, 6.623E-01, 6.886E-01, 7.482E-01, 3.743E-01, 4.625E-01, 5.066E-01, 1.942E-01, 1.317E-01, 1.127E-01
-1.953E-01, 1.210E+00, 1.563E+00, 1.721E+00, 5.548E-01, 2.084E-01, 9.256E-02, 2.539E-01, 1.265E-01, 1.052E-01, 6.673E-01, 7.609E-01, 8.091E-01, 3.762E-01, 4.553E-01, 5.222E-01, 1.966E-01, 1.397E-01, 1.199E-01
-1.797E-01, 1.218E+00, 1.698E+00, 1.922E+00, 5.664E-01, 2.196E-01, 9.127E-02, 2.621E-01, 1.391E-01, 1.163E-01, 6.986E-01, 8.139E-01, 8.672E-01, 3.687E-01, 4.426E-01, 5.154E-01, 1.971E-01, 1.489E-01, 1.322E-01
-1.641E-01, 1.226E+00, 1.829E+00, 2.085E+00, 5.746E-01, 2.196E-01, 9.323E-02, 2.782E-01, 1.535E-01, 1.297E-01, 7.549E-01, 8.931E-01, 9.054E-01, 3.523E-01, 4.310E-01, 5.043E-01, 2.024E-01, 1.561E-01, 1.414E-01
-1.484E-01, 1.241E+00, 1.928E+00, 2.245E+00, 5.587E-01, 2.130E-01, 1.076E-01, 3.018E-01, 1.705E-01, 1.405E-01, 7.773E-01, 9.610E-01, 9.328E-01, 3.277E-01, 4.312E-01, 5.077E-01, 2.044E-01, 1.654E-01, 1.493E-01
-1.328E-01, 1.273E+00, 2.041E+00, 2.393E+00, 5.376E-01, 2.088E-01, 1.179E-01, 3.403E-01, 1.917E-01, 1.526E-01, 7.947E-01, 1.007E+00, 9.957E-01, 3.216E-01, 4.350E-01, 5.033E-01, 2.153E-01, 1.731E-01, 1.544E-01
-1.172E-01, 1.345E+00, 2.183E+00, 2.521E+00, 5.195E-01, 2.069E-01, 1.140E-01, 3.841E-01, 2.184E-01, 1.626E-01, 7.923E-01, 1.087E+00, 1.088E+00, 3.278E-01, 4.239E-01, 4.896E-01, 2.217E-01, 1.843E-01, 1.601E-01
-1.016E-01, 1.407E+00, 2.311E+00, 2.698E+00, 5.011E-01, 2.091E-01, 1.064E-01, 4.286E-01, 2.488E-01, 1.793E-01, 7.818E-01, 1.176E+00, 1.190E+00, 3.302E-01, 3.968E-01, 4.772E-01, 2.256E-01, 1.958E-01, 1.676E-01
-8.594E-02, 1.437E+00, 2.467E+00, 2.916E+00, 4.732E-01, 2.161E-01, 1.035E-01, 4.668E-01, 2.858E-01, 2.088E-01, 7.584E-01, 1.249E+00, 1.290E+00, 3.397E-01, 3.810E-01, 4.655E-01, 2.168E-01, 2.059E-01, 1.741E-01
-7.031E-02, 1.438E+00, 2.629E+00, 3.127E+00, 4.083E-01, 2.080E-01, 9.665E-02, 4.938E-01, 3.318E-01, 2.411E-01, 7.134E-01, 1.284E+00, 1.355E+00, 3.578E-01, 3.916E-01, 4.592E-01, 2.000E-01, 2.091E-01, 1.756E-01
-5.469E-02, 1.433E+00, 2.730E+00, 3.284E+00, 2.908E-01, 1.653E-01, 7.345E-02, 5.185E-01, 3.645E-01, 2.719E-01, 6.873E-01, 1.267E+00, 1.412E+00, 3.794E-01, 4.047E-01, 4.616E-01, 1.880E-01, 1.919E-01, 1.706E-01
-3.906E-02, 1.402E+00, 2.847E+00, 3.491E+00, 1.579E-01, 8.810E-02, 4.519E-02, 5.287E-01, 3.959E-01, 3.044E-01, 6.672E-01, 1.231E+00, 1.439E+00, 3.781E-01, 4.181E-01, 4.669E-01, 1.793E-01, 1.774E-01, 1.653E-01
-2.344E-02, 1.367E+00, 2.887E+00, 3.632E+00, 4.745E-02, 7.693E-03, 1.437E-02, 5.219E-01, 4.135E-01, 3.325E-01, 6.304E-01, 1.239E+00, 1.472E+00, 3.613E-01, 4.311E-01, 4.636E-01, 1.639E-01, 1.656E-01, 1.625E-01
-7.812E-03, 1.354E+00, 2.888E+00, 3.670E+00,-3.252E-02,-3.913E-02,-1.003E-02, 5.212E-01, 4.194E-01, 3.418E-01, 6.130E-01, 1.227E+00, 1.504E+00, 3.677E-01, 4.109E-01, 4.519E-01, 1.706E-01, 1.619E-01, 1.649E-01
 7.812E-03, 1.356E+00, 2.886E+00, 3.646E+00,-1.677E-01,-8.542E-02,-3.880E-02, 5.231E-01, 4.227E-01, 3.371E-01, 6.220E-01, 1.257E+00, 1.498E+00, 4.118E-01, 4.053E-01, 4.594E-01, 1.707E-01, 1.628E-01, 1.631E-01
 2.344E-02, 1.411E+00, 2.907E+00, 3.628E+00,-2.135E-01,-9.684E-02,-4.948E-02, 5.351E-01, 4.241E-01, 3.305E-01, 6.325E-01, 1.273E+00, 1.476E+00, 4.073E-01, 3.851E-01, 4.418E-01, 1.809E-01, 1.717E-01, 1.611E-01
 3.906E-02, 1.444E+00, 2.895E+00, 3.577E+00,-2.958E-01,-1.355E-01,-7.316E-02, 5.382E-01, 4.138E-01, 3.138E-01, 6.551E-01, 1.270E+00, 1.395E+00, 4.143E-01, 3.954E-01, 4.468E-01, 1.939E-01, 1.823E-01, 1.617E-01
 5.469E-02, 1.477E+00, 2.854E+00, 3.428E+00,-3.747E-01,-1.853E-01,-8.076E-02, 5.295E-01, 3.892E-01, 2.886E-01, 7.059E-01, 1.237E+00, 1.352E+00, 4.022E-01, 3.961E-01, 4.508E-01, 2.117E-01, 1.884E-01, 1.704E-01
