s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 4.2000107E+001, 2.9862863E+001, 0.0000000E+000,-8.7689054E+000,-1.9393529E+001,-1.5483026E+000, 2.2233044E-002, 0.0000000E+000, 0.0000000E+000, 1.0507267E-001, 1.7435962E-001,-9.2768941E-001, 6.4699996E-004,-1.0622501E-002
 4.4001083E+001, 2.9536443E+001, 0.0000000E+000,-8.7415524E+000,-2.0388345E+001,-1.4541655E+000, 2.2205414E-002, 0.0000000E+000, 0.0000000E+000,-1.0946777E+000,-1.0254143E+000,-9.2378835E-001, 6.4699996E-004,-1.1273232E-002
 4.6000507E+001, 3.0018865E+001, 0.0000000E+000,-8.9158595E+000,-1.7960092E+001,-1.4275918E+000, 2.2633190E-002, 0.0000000E+000, 0.0000000E+000, 1.6625413E+000, 1.7379551E+000,-9.3310336E-001, 6.4699996E-004,-9.9432670E-003
 4.8001076E+001, 2.9853586E+001, 0.0000000E+000,-8.7727080E+000,-2.0315558E+001,-1.5621954E+000, 2.3004872E-002, 0.0000000E+000, 0.0000000E+000,-8.4347973E-001,-7.7387118E-001,-9.2400756E-001, 6.4699995E-004,-1.1281646E-002
 5.0000889E+001, 2.9422752E+001, 0.0000000E+000,-8.6380349E+000,-1.9499216E+001,-1.5783830E+000, 2.3010443E-002, 0.0000000E+000, 0.0000000E+000,-3.4085850E-001,-2.6987193E-001,-9.2721158E-001, 6.4699996E-004,-1.0752388E-002
 5.2000557E+001, 3.0044954E+001, 0.0000000E+000,-8.9004130E+000,-1.7702494E+001,-1.4728009E+000, 2.3115115E-002, 0.0000000E+000, 0.0000000E+000, 1.9207301E+000, 1.9923605E+000,-9.3405096E-001, 6.4699996E-004,-9.8300658E-003
 5.4001259E+001, 2.9495832E+001, 0.0000000E+000,-8.7009771E+000,-1.9886538E+001,-1.5512056E+000, 2.2435971E-002, 0.0000000E+000, 0.0000000E+000,-6.8658348E-001,-6.2045354E-001,-9.2571266E-001, 6.4699995E-004,-1.0981903E-002
 5.6001411E+001, 2.9517128E+001, 0.0000000E+000,-8.6415740E+000,-2.0971617E+001,-1.5956509E+000, 2.2470561E-002, 0.0000000E+000, 0.0000000E+000,-1.7367225E+000,-1.6692435E+000,-9.2147897E-001, 6.4699995E-004,-1.1632118E-002
 5.8001434E+001, 3.0035254E+001, 0.0000000E+000,-9.0261065E+000,-1.9251094E+001,-1.3567451E+000, 2.2907988E-002, 0.0000000E+000, 0.0000000E+000, 3.4230072E-001, 4.2421702E-001,-9.2812220E-001, 6.4699995E-004,-1.0634992E-002
 6.0000671E+001, 2.9484063E+001, 0.0000000E+000,-8.7352541E+000,-2.0111811E+001,-1.5242762E+000, 2.2272711E-002, 0.0000000E+000, 0.0000000E+000,-9.2836463E-001,-8.6500573E-001,-9.2479783E-001, 6.4699995E-004,-1.1169034E-002
