s,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW,kW,kW,kW,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m,m,m,deg
Time,HRR,HF 10-1,HF 10-2,HF 10-3,HF 10-4,HF 30-1,HF 30-2,HF 30-3,HF 30-4,HF 50-1,HF 50-2,HF 50-3,HF 50-4,HF 70-1,HF 70-2,HF 70-3,HF 70-4,HF 90-1,HF 90-2,HF 90-3,HF 90-4,HF 110-1,HF 110-2,HF 110-3,HF 110-4,HF 130-1,HF 130-2,HF 130-3,HF 130-4,HFG 10,HFG 35,HFG 60,HFG 85,HFG 110,HFG 135,GHF tot  y0,GHF rad  y0,GHF con  y0,GHF tot  x0,GHF rad  x0,GHF conv x0,PANEL_GAUGE_HF_X,PANEL_GAUGE_HF_Y,PANEL_GAUGE_HF_LINE,PANEL_CONV_HF_X,PANEL_CONV_HF_Y,PANEL_RAD_HF_X,PANEL_RAD_HF_Y,Vmag burn ctr,U burn ctr,V burn ctr,W burn ctr,W vert burner-1,W vert burner-2,W vert burner-3,W vert burner-4,W vert burner-5,W vert burner-6,W vert burner-7,W vert burner-8,W vert burner-9,W vert burner-10,W vert burner-11,W vert burner-12,W vert burner-13,x_max,y_max,L_F,tilt
 0.0000000E+000, 0.0000000E+000,-7.0125183E-004,-7.0143153E-004,-7.4046847E-004,-7.8654538E-004,-1.7520201E-003,-1.9310066E-003,-2.0759337E-003,-2.4185153E-003,-1.2699318E-003,-1.3827298E-003,-1.4285552E-003,-1.5900647E-003,-1.0330580E-003,-1.2006294E-003,-1.2172738E-003,-1.3175347E-003,-4.6911586E-004,-6.5256504E-004,-6.8316003E-004,-6.7767449E-004,-3.4457891E-004,-4.6101867E-004,-4.9941048E-004,-5.2947875E-004,-9.9961290E-004,-1.3126083E-003,-1.4162370E-003,-1.4336055E-003,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-8.9559565E-004,-8.9559565E-004, 0.0000000E+000,-8.9018480E-004,-8.9018480E-004, 0.0000000E+000,-1.2029524E-003,-1.2102644E-003,-2.9648648E-004, 0.0000000E+000, 0.0000000E+000,-1.1548343E-003,-1.1618538E-003, 8.8044826E-003, 2.6938844E-003, 5.4270536E-003, 2.1881092E-003, 2.7866262E-003,-1.1479341E-002,-6.1585104E-003, 5.6790382E-003, 4.3379599E-003, 1.1215293E-002, 0.0000000E+000, 2.4302387E-003, 1.6125196E-003,-1.1364895E-003,-3.0221581E-004, 4.4076437E-003,-1.1374873E-003,-1.9000000E-001,-1.9000000E-001, 0.0000000E+000, 0.0000000E+000
 2.0002238E+000, 0.0000000E+000, 1.8115803E+000, 2.9044718E+000, 2.2256241E+000, 9.4642871E-001, 5.5831310E-001, 6.8332574E-001, 5.7131260E-001, 2.4943272E-001, 9.1671823E-002, 1.0809131E-001, 8.9326903E-002, 6.1076723E-002, 2.4168728E-002, 2.3085222E-002, 2.4730417E-002, 2.2513100E-002, 1.0188833E-002, 8.5883929E-003, 1.0512229E-002, 1.0560310E-002, 5.8045968E-003, 4.0610928E-003, 5.8254039E-003, 6.9301493E-003, 3.0141398E-003, 1.7601637E-003, 2.9540874E-003, 4.6396047E-003, 7.6467180E-002, 4.3702076E-002, 2.9238544E-002, 1.6441564E-002, 1.0124323E-002, 6.1319051E-003, 1.7132232E-001, 1.6472973E-001, 6.5925941E-003, 1.7372225E-001, 1.6568194E-001, 8.0403139E-003, 2.3475980E-001, 2.3151665E-001, 1.4036581E-002, 1.0865289E-002, 8.9089110E-003, 2.1439923E-001, 2.1316889E-001, 2.3685165E-001,-1.2733329E-001,-1.3201956E-001, 7.6596280E-002, 2.0222366E-002, 1.1990182E-001, 1.6015535E-001, 2.0274879E-001, 2.3065581E-001, 2.5561356E-001, 2.7968407E-001, 3.0554660E-001, 3.1861737E-001, 3.1473483E-001, 2.8719718E-001, 2.6223215E-001, 2.4634944E-001, 2.6204172E-001, 2.5916922E-001, 0.0000000E+000, 0.0000000E+000
 4.0012732E+000, 9.3286533E+000, 1.3217004E+001, 1.8913635E+001, 1.1764999E+001, 3.3770121E+000, 7.9860792E+000, 5.7219711E+000, 2.9854774E+000, 1.0745884E+000, 4.2748967E+000, 2.2238273E+000, 1.1366713E+000, 3.9850615E-001, 2.4533895E+000, 1.3780505E+000, 8.0327004E-001, 2.4863027E-001, 1.5995204E+000, 9.6792747E-001, 6.0352357E-001, 2.4481167E-001, 1.2369029E+000, 8.1459777E-001, 5.8814325E-001, 2.4591756E-001, 9.6983088E-001, 6.6541523E-001, 4.7994399E-001, 2.6411680E-001, 3.7980544E-001, 2.8428643E-001, 2.0522190E-001, 1.3987309E-001, 9.2733852E-002, 6.4197568E-002, 1.2189949E+000, 9.0620212E-001, 3.1279275E-001, 1.1814006E+000, 8.9428815E-001, 2.8711243E-001, 1.5964873E+000, 1.6472904E+000, 2.0172006E+000, 3.8798977E-001, 4.2269290E-001, 1.1511588E+000, 1.1665674E+000, 5.3239335E-001,-3.3453230E-001,-2.4862869E-001, 1.0630855E-001, 6.6137120E-002, 4.3120457E-002, 8.3027008E-003, 1.5782280E-002, 3.2374330E-003, 2.2397448E-002, 3.4720485E-002, 6.9759143E-002, 9.2095565E-002, 1.4716671E-001, 1.8749547E-001, 2.4130912E-001, 2.7706075E-001, 2.1535707E-001, 2.2932928E-001, 0.0000000E+000, 0.0000000E+000
 6.0011141E+000, 1.7611818E+001, 2.0553067E+001, 2.9071848E+001, 1.7440920E+001, 5.3686274E+000, 1.6493815E+001, 1.2879444E+001, 7.0828920E+000, 2.7512745E+000, 7.0915630E+000, 4.5046691E+000, 2.8615992E+000, 1.3172707E+000, 4.1102249E+000, 2.6454795E+000, 1.6648360E+000, 7.8852114E-001, 2.8335217E+000, 2.0354256E+000, 1.3166435E+000, 6.8805517E-001, 2.0965513E+000, 1.5719490E+000, 1.1143076E+000, 5.6507994E-001, 1.6747288E+000, 1.2449214E+000, 9.8059121E-001, 4.6590681E-001, 5.6213469E-001, 4.8698072E-001, 3.7027226E-001, 2.6201352E-001, 1.7889747E-001, 1.2051250E-001, 2.0847827E+000, 1.5670109E+000, 5.1777183E-001, 2.1261910E+000, 1.5809590E+000, 5.4523206E-001, 2.8732311E+000, 2.8172739E+000, 3.5001097E+000, 7.3680008E-001, 6.9969166E-001, 2.0218219E+000, 2.0035385E+000, 6.9176643E-001,-5.2468647E-001,-2.8596499E-001, 2.6053002E-001, 2.3825256E-001, 1.6282325E-001, 2.1974424E-002, 1.3073503E-002, 1.8802878E-002, 3.6556473E-002, 3.0321581E-002, 5.7305288E-002, 8.3675406E-002, 1.1560365E-001, 1.8069548E-001, 2.4320739E-001, 2.5286983E-001, 1.2207814E-001, 1.1224391E-001, 0.0000000E+000, 0.0000000E+000
 8.0013938E+000, 1.9382912E+001, 2.2439558E+001, 3.0286863E+001, 1.9199989E+001, 5.3851358E+000, 2.6338773E+001, 1.6784597E+001, 7.7399436E+000, 2.8180216E+000, 1.4295403E+001, 7.8248032E+000, 4.2381948E+000, 1.6082915E+000, 8.4986448E+000, 4.7675074E+000, 2.9562704E+000, 9.8817841E-001, 5.8220667E+000, 3.2637671E+000, 2.1043578E+000, 7.5877463E-001, 3.9941110E+000, 2.2001425E+000, 1.5515700E+000, 7.7510142E-001, 2.8854688E+000, 1.8030983E+000, 1.2874876E+000, 7.3502827E-001, 6.5799635E-001, 6.1362694E-001, 4.8747597E-001, 3.5886834E-001, 2.5173601E-001, 1.7033006E-001, 2.7336886E+000, 2.0338662E+000, 6.9982247E-001, 2.6539293E+000, 2.0203466E+000, 6.3358271E-001, 3.5863910E+000, 3.6941738E+000, 6.6596602E+000, 8.5619285E-001, 9.4570604E-001, 2.5670265E+000, 2.5836688E+000, 7.2884472E-001,-5.7665652E-001,-2.9846297E-001, 2.7116073E-001, 2.2917252E-001, 2.2193189E-001,-1.0746808E-002,-2.3661681E-002, 4.7158783E-002, 9.6040232E-002, 1.1875550E-001, 1.2583331E-001, 5.2253930E-002, 1.0687068E-001, 2.0145454E-001, 3.0739393E-001, 3.7234538E-001, 1.3635947E-001, 1.4369049E-001, 0.0000000E+000, 0.0000000E+000
 1.0000755E+001, 1.5223973E+001, 2.5170806E+001, 3.1634902E+001, 2.2314204E+001, 6.0839927E+000, 2.9349913E+001, 2.1663318E+001, 1.1722115E+001, 3.9674969E+000, 1.4027934E+001, 9.7472309E+000, 5.7752389E+000, 2.3991538E+000, 7.4926894E+000, 4.4464386E+000, 3.1967079E+000, 1.3774176E+000, 4.7425067E+000, 3.0740885E+000, 2.0850145E+000, 1.0640032E+000, 2.8560855E+000, 2.1203816E+000, 1.5589268E+000, 9.2950446E-001, 1.9384825E+000, 1.6080086E+000, 1.2973238E+000, 7.9583029E-001, 7.5293623E-001, 7.1907386E-001, 5.7375050E-001, 4.2041487E-001, 2.9366934E-001, 1.9657872E-001, 3.0189305E+000, 2.3212655E+000, 6.9766493E-001, 3.0125419E+000, 2.2897984E+000, 7.2274348E-001, 4.0710026E+000, 4.0796358E+000, 5.5496131E+000, 9.7668038E-001, 9.4279045E-001, 2.8894051E+000, 2.9304291E+000, 8.2456571E-001,-6.5625479E-001,-3.1425507E-001, 3.0412558E-001, 2.9149433E-001, 2.0703107E-001, 3.0417703E-002, 5.0512964E-002, 8.4897511E-002, 1.1885538E-001, 1.5056633E-001, 1.6866231E-001, 2.1417042E-001, 3.3092609E-001, 4.7029897E-001, 5.4785561E-001, 6.2199599E-001, 1.4689265E-001, 1.3807695E-001, 0.0000000E+000, 1.1684517E+000
 1.2001276E+001, 2.1480245E+001, 2.8201908E+001, 3.3420810E+001, 2.3008353E+001, 6.0055601E+000, 3.5845853E+001, 2.1620878E+001, 1.0569030E+001, 3.3383118E+000, 1.9307753E+001, 1.1806992E+001, 6.2009145E+000, 2.2108581E+000, 9.0980050E+000, 6.4091484E+000, 3.9665223E+000, 1.5054316E+000, 5.4430642E+000, 3.8493137E+000, 2.6360907E+000, 1.2420843E+000, 3.6231473E+000, 2.5476203E+000, 1.8944902E+000, 1.0414744E+000, 2.6404054E+000, 1.9429478E+000, 1.5179055E+000, 7.7258018E-001, 7.9924396E-001, 7.7437463E-001, 6.2998566E-001, 4.6929716E-001, 3.3152974E-001, 2.2384705E-001, 3.3565644E+000, 2.5516672E+000, 8.0489714E-001, 3.2677677E+000, 2.5252187E+000, 7.4254903E-001, 4.4159023E+000, 4.5358978E+000, 6.9405728E+000, 1.0034446E+000, 1.0876988E+000, 3.1678745E+000, 3.2001109E+000, 8.0936522E-001,-7.0441420E-001,-2.6857774E-001, 2.6879102E-001, 2.7037312E-001, 1.3012188E-001, 3.3138842E-002, 6.9866313E-002, 9.4259086E-002, 1.3172858E-001, 1.4260886E-001, 2.4036668E-001, 2.7191048E-001, 2.4482106E-001, 2.7952030E-001, 3.7129164E-001, 4.6003731E-001, 1.3121057E-001, 8.1829203E-002, 4.9472043E-001, 4.3128345E+000
 1.4000695E+001, 2.4604337E+001, 2.8596776E+001, 3.0811211E+001, 2.2157482E+001, 6.3945264E+000, 3.3659794E+001, 2.0361587E+001, 1.0193354E+001, 3.5994530E+000, 1.9922991E+001, 1.0749721E+001, 6.0680751E+000, 2.3958788E+000, 1.0901709E+001, 6.6302463E+000, 4.4330602E+000, 2.0014495E+000, 7.1555637E+000, 4.7452917E+000, 3.5004112E+000, 1.6719986E+000, 4.7371499E+000, 3.2462569E+000, 2.5913225E+000, 1.3254518E+000, 3.3030783E+000, 2.3615317E+000, 1.8558752E+000, 1.1351242E+000, 8.3243127E-001, 8.1937510E-001, 6.7975910E-001, 5.1615929E-001, 3.7043112E-001, 2.5157853E-001, 3.5006887E+000, 2.6495674E+000, 8.5112130E-001, 3.5882351E+000, 2.7598175E+000, 8.2841761E-001, 4.8489663E+000, 4.7306604E+000, 8.4560860E+000, 1.1194833E+000, 1.1501639E+000, 3.4436615E+000, 3.2984834E+000, 7.8235572E-001,-7.2997335E-001,-2.2413516E-001, 3.1553096E-001, 2.3882001E-001, 1.2623702E-001,-3.1272683E-002, 5.6399235E-002, 5.6297744E-002, 1.3805198E-001, 2.3327835E-001, 2.3381392E-001, 2.9845541E-001, 3.7120541E-001, 2.7952171E-001, 2.3897683E-001, 3.0760841E-001, 1.0746143E-001, 1.2432776E-001, 5.2254024E-001, 4.3136050E+000
 1.6001082E+001, 3.5569878E+001, 2.9868143E+001, 3.2374781E+001, 2.5249206E+001, 5.9841198E+000, 3.8808486E+001, 2.3629554E+001, 1.2699432E+001, 4.0966596E+000, 2.4182433E+001, 1.3805410E+001, 8.2351618E+000, 2.9357625E+000, 1.3288407E+001, 8.4782763E+000, 6.2303062E+000, 2.5305479E+000, 7.5700658E+000, 5.2200935E+000, 4.7194019E+000, 2.1087578E+000, 4.4479385E+000, 3.1567819E+000, 2.9362832E+000, 1.6976150E+000, 3.0312223E+000, 2.2809626E+000, 1.9369906E+000, 1.1667862E+000, 8.8336139E-001, 8.8327805E-001, 7.4601251E-001, 5.7301390E-001, 4.1654831E-001, 2.8410821E-001, 3.9690001E+000, 3.0326110E+000, 9.3638905E-001, 3.8484597E+000, 2.9135518E+000, 9.3490797E-001, 5.2006213E+000, 5.3635136E+000, 1.1342131E+001, 1.2633892E+000, 1.2653906E+000, 3.6135275E+000, 3.7660711E+000, 8.4566083E-001,-8.1055439E-001,-2.1026149E-001, 3.3942587E-001, 2.7124999E-001, 4.2209670E-002,-3.9216179E-002, 7.5699123E-002, 1.0470571E-001, 1.0677089E-001, 1.3637696E-001, 2.0773518E-001, 2.6809077E-001, 3.2514815E-001, 4.5324141E-001, 5.0724890E-001, 5.6890604E-001, 1.3257079E-001, 1.1631130E-001, 5.5001323E-001, 4.4301972E+000
