s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5678957E-004,-7.2647651E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5679029E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0062442E+000, 2.2677339E+000, 0.0000000E+000,-7.1367711E-001, 3.2072730E-002,-2.1024414E-002, 2.0664378E-004, 0.0000000E+000, 0.0000000E+000, 1.5186605E+000, 1.5653118E+000,-6.4699977E-001, 5.4620181E-005,-8.2996073E-051
 4.0044265E+000, 1.0498224E+001, 0.0000000E+000,-3.1231523E+000,-1.5463626E+000,-5.0305235E-001, 3.5263181E-003, 0.0000000E+000, 0.0000000E+000, 5.3178193E+000, 5.3291830E+000,-9.8825311E-001, 2.3509529E-004,-9.7164973E-004
 6.0026641E+000, 1.7086953E+001, 0.0000000E+000,-4.9070905E+000,-9.5875178E+000,-1.0701908E+000, 9.2457550E-003, 0.0000000E+000, 0.0000000E+000, 1.5411575E+000, 1.5313991E+000,-9.6565549E-001, 3.7686668E-004,-5.5132773E-003
 8.0024853E+000, 2.0878643E+001, 0.0000000E+000,-5.9570391E+000,-1.1815836E+001,-1.1891716E+000, 1.3815935E-002, 0.0000000E+000, 0.0000000E+000, 1.9420191E+000, 1.9304126E+000,-9.5724501E-001, 4.5841232E-004,-6.5541727E-003
 1.0001503E+001, 2.3410809E+001, 0.0000000E+000,-6.6976679E+000,-1.4537587E+001,-1.4139732E+000, 1.7641847E-002, 0.0000000E+000, 0.0000000E+000, 7.9442658E-001, 7.7922319E-001,-9.4666356E-001, 5.1364608E-004,-8.0436861E-003
 1.2000566E+001, 2.5481875E+001, 0.0000000E+000,-7.2779414E+000,-1.6521134E+001,-1.3642500E+000, 2.0866594E-002, 0.0000000E+000, 0.0000000E+000, 3.5441152E-001, 3.3941681E-001,-9.3903548E-001, 5.5791312E-004,-9.0197932E-003
 1.4000002E+001, 2.6667913E+001, 0.0000000E+000,-7.6275337E+000,-1.7211228E+001,-1.5063586E+000, 2.2393726E-002, 0.0000000E+000, 0.0000000E+000, 3.6312299E-001, 3.4518701E-001,-9.3626803E-001, 5.8119358E-004,-9.4516467E-003
 1.6002531E+001, 2.9061103E+001, 0.0000000E+000,-8.3192029E+000,-1.8164947E+001,-1.6409809E+000, 2.6075142E-002, 0.0000000E+000, 0.0000000E+000, 9.7819282E-001, 9.6204734E-001,-9.3246876E-001, 6.3524991E-004,-9.9972139E-003
