s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9802097E-003,-6.8921568E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9802098E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0006013E+000, 2.1198171E+000, 0.0000000E+000,-6.2998045E-001, 3.2610984E-002,-2.5443228E-001, 6.8983276E-005, 0.0000000E+000, 0.0000000E+000, 1.2449026E+000, 1.2680844E+000,-6.6351028E-001, 5.3778336E-005, 0.0000000E+000
 4.0001884E+000, 9.7662630E+000, 0.0000000E+000,-3.0237924E+000,-1.3031679E+000,-1.2690204E+000, 9.6812646E-004, 0.0000000E+000, 0.0000000E+000, 4.1435575E+000, 4.1712504E+000,-9.8914403E-001, 2.3443518E-004,-9.7560951E-004
 6.0003476E+000, 1.6366754E+001, 0.0000000E+000,-5.3059475E+000,-6.9166413E+000,-1.8600319E+000, 2.1279219E-003, 0.0000000E+000, 0.0000000E+000, 2.2461648E+000, 2.2862611E+000,-9.7537995E-001, 3.7657857E-004,-4.6858876E-003
 8.0002260E+000, 2.0254224E+001, 0.0000000E+000,-6.6830638E+000,-1.0278652E+001,-2.4171082E+000, 2.9485943E-003, 0.0000000E+000, 0.0000000E+000, 8.3149172E-001, 8.7834881E-001,-9.6210051E-001, 4.5825617E-004,-6.8643313E-003
 1.0000239E+001, 2.3163292E+001, 0.0000000E+000,-7.6465667E+000,-1.2186972E+001,-2.6534510E+000, 3.6956486E-003, 0.0000000E+000, 0.0000000E+000, 6.3198451E-001, 6.7999739E-001,-9.5446833E-001, 5.1356670E-004,-8.0720220E-003
 1.2000160E+001, 2.5319402E+001, 0.0000000E+000,-8.3881682E+000,-1.3828076E+001,-2.5906704E+000, 4.2851978E-003, 0.0000000E+000, 0.0000000E+000, 4.7340446E-001, 5.1677244E-001,-9.4801072E-001, 5.5788100E-004,-8.9947363E-003
 1.4000216E+001, 2.6429339E+001, 0.0000000E+000,-8.7602279E+000,-1.4430666E+001,-2.6692038E+000, 4.4124983E-003, 0.0000000E+000, 0.0000000E+000, 5.2933850E-001, 5.7365320E-001,-9.4573301E-001, 5.8117258E-004,-9.2359885E-003
 1.6000284E+001, 2.8581812E+001, 0.0000000E+000,-9.6407066E+000,-1.5645968E+001,-2.8434466E+000, 5.3793125E-003, 0.0000000E+000, 0.0000000E+000, 4.0983194E-001, 4.5706999E-001,-9.4080039E-001, 6.3520209E-004,-1.0055873E-002
 1.8000343E+001, 2.9683400E+001, 0.0000000E+000,-1.0007639E+001,-1.5833388E+001,-2.8678957E+000, 5.3011673E-003, 0.0000000E+000, 0.0000000E+000, 9.3468848E-001, 9.7977872E-001,-9.4000570E-001, 6.4699998E-004,-1.0178439E-002
 2.0000059E+001, 2.9332935E+001, 0.0000000E+000,-9.7904637E+000,-1.6314857E+001,-2.7396796E+000, 5.2487923E-003, 0.0000000E+000, 0.0000000E+000, 4.4811607E-001, 4.9318399E-001,-9.3808533E-001, 6.4699998E-004,-1.0506317E-002
 2.2000051E+001, 2.9818175E+001, 0.0000000E+000,-9.9738409E+000,-1.7410107E+001,-2.7409852E+000, 5.2163106E-003, 0.0000000E+000, 0.0000000E+000,-3.5411820E-001,-3.0154194E-001,-9.3396623E-001, 6.4699998E-004,-1.0994689E-002
 2.4000029E+001, 2.9498916E+001, 0.0000000E+000,-9.9035440E+000,-1.6968420E+001,-2.9837076E+000, 5.2585112E-003, 0.0000000E+000, 0.0000000E+000,-4.0196520E-001,-3.5149635E-001,-9.3570374E-001, 6.4699998E-004,-1.0733011E-002
 2.6000149E+001, 3.0025120E+001, 0.0000000E+000,-1.0106547E+001,-1.6659291E+001,-2.7505718E+000, 5.2320387E-003, 0.0000000E+000, 0.0000000E+000, 4.6215930E-001, 5.1394341E-001,-9.3677809E-001, 6.4699998E-004,-1.0645540E-002
