s,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW,kW,kW,kW,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m,m,m,deg
Time,HRR,HF 10-1,HF 10-2,HF 10-3,HF 10-4,HF 30-1,HF 30-2,HF 30-3,HF 30-4,HF 50-1,HF 50-2,HF 50-3,HF 50-4,HF 70-1,HF 70-2,HF 70-3,HF 70-4,HF 90-1,HF 90-2,HF 90-3,HF 90-4,HF 110-1,HF 110-2,HF 110-3,HF 110-4,HF 130-1,HF 130-2,HF 130-3,HF 130-4,HFG 10,HFG 35,HFG 60,HFG 85,HFG 110,HFG 135,GHF tot  y0,GHF rad  y0,GHF con  y0,GHF tot  x0,GHF rad  x0,GHF conv x0,PANEL_GAUGE_HF_X,PANEL_GAUGE_HF_Y,PANEL_GAUGE_HF_LINE,PANEL_CONV_HF_X,PANEL_CONV_HF_Y,PANEL_RAD_HF_X,PANEL_RAD_HF_Y,Vmag burn ctr,U burn ctr,V burn ctr,W burn ctr,W vert burner-1,W vert burner-2,W vert burner-3,W vert burner-4,W vert burner-5,W vert burner-6,W vert burner-7,W vert burner-8,W vert burner-9,W vert burner-10,W vert burner-11,W vert burner-12,W vert burner-13,x_max,y_max,L_F,tilt
 0.0000000E+000, 0.0000000E+000,-3.8393489E-004,-3.8874094E-004,-3.9733010E-004,-4.1021492E-004,-3.6446083E-004,-3.8855858E-004,-4.0937361E-004,-4.3430728E-004,-4.8112610E-004,-5.1868131E-004,-5.4757584E-004,-5.8301846E-004,-6.9591409E-004,-7.5212401E-004,-7.9194013E-004,-8.4039143E-004,-8.9620278E-005,-9.6640296E-005,-9.1504850E-005,-8.0235460E-005,-7.9457869E-005,-8.9502352E-005,-8.8733368E-005,-7.7982719E-005,-8.7558885E-005,-9.8054209E-005,-9.9918331E-005,-9.0275644E-005,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-4.1876604E-011,-2.4912556E-004,-2.4912556E-004, 0.0000000E+000,-2.4497528E-004,-2.4497528E-004, 0.0000000E+000,-3.1831508E-004,-3.2370785E-004,-8.3185455E-005, 0.0000000E+000, 0.0000000E+000,-3.0558243E-004,-3.1075949E-004, 6.9288098E-003, 5.2823275E-003,-4.8883587E-003,-5.1740766E-003,-5.1740766E-003,-3.6969531E-003,-3.6969531E-003,-1.0600809E-002, 8.8281810E-003, 4.7540653E-003,-3.0293584E-003, 4.5644820E-004, 4.1113436E-004,-7.3705971E-004,-4.7827715E-003,-6.0348475E-003, 6.5296817E-003,-1.8000000E-001,-1.8000000E-001, 0.0000000E+000, 0.0000000E+000
 2.0062441E+000, 0.0000000E+000, 1.8664911E+000, 2.6958388E+000, 2.5071561E+000, 1.1153194E+000, 7.9137457E-001, 1.0528523E+000, 8.7437104E-001, 3.5582367E-001, 2.4863601E-001, 3.1116712E-001, 2.9312771E-001, 1.3029186E-001, 5.6521747E-002, 6.4046259E-002, 5.8597979E-002, 4.1158184E-002, 1.4198195E-002, 1.4570154E-002, 1.4312151E-002, 1.2446537E-002, 8.8966765E-003, 8.5851564E-003, 8.5230866E-003, 8.3823355E-003, 6.7241277E-003, 5.7592066E-003, 5.8066164E-003, 6.1113531E-003, 7.1751343E-002, 5.6970750E-002, 3.9665987E-002, 1.8173308E-002, 1.2130950E-002, 8.2044529E-003, 1.7433788E-001, 1.6581088E-001, 8.5270048E-003, 1.7427116E-001, 1.6568096E-001, 8.5902027E-003, 2.2644381E-001, 2.2653051E-001, 1.8438941E-002, 1.1161906E-002, 1.1079788E-002, 2.0620307E-001, 2.0636399E-001, 2.0644536E-001,-1.3044687E-001,-1.3312568E-001, 1.7327642E-001, 1.7327642E-001, 2.6630806E-001, 2.6630806E-001, 2.6246740E-001, 2.5956037E-001, 2.7860776E-001, 2.9910746E-001, 3.1982073E-001, 3.3070528E-001, 3.3876316E-001, 3.3940493E-001, 3.3851819E-001, 3.4198110E-001, 2.4410157E-001, 5.5607586E-001, 0.0000000E+000, 0.0000000E+000
 4.0044264E+000, 1.3778026E+001, 1.3485454E+001, 1.7181883E+001, 1.2954757E+001, 3.9321039E+000, 7.2179230E+000, 6.7506937E+000, 3.7534288E+000, 1.4618899E+000, 4.1920888E+000, 3.3469615E+000, 1.8708629E+000, 7.1190311E-001, 2.5600447E+000, 1.8892063E+000, 1.1378314E+000, 4.3568502E-001, 1.5621987E+000, 1.0850192E+000, 7.2447585E-001, 2.7413717E-001, 1.0194462E+000, 7.8060403E-001, 5.5710290E-001, 2.1483534E-001, 7.2620265E-001, 6.0782074E-001, 4.5268541E-001, 1.9712629E-001, 3.3823568E-001, 2.7979617E-001, 2.0859170E-001, 1.4520807E-001, 1.0061463E-001, 6.9578597E-002, 1.1670961E+000, 9.1957036E-001, 2.4752578E-001, 1.1560081E+000, 9.0781738E-001, 2.4819069E-001, 1.5020895E+000, 1.5164971E+000, 1.9108609E+000, 3.2249310E-001, 3.2162913E-001, 1.1238665E+000, 1.1384770E+000, 5.1331843E-001,-2.6926567E-001,-2.7185791E-001, 4.0704872E-002, 4.0704872E-002, 2.4632160E-001, 2.4632160E-001, 3.7418358E-001, 3.9766804E-001, 4.6883925E-001, 5.2613871E-001, 5.8728725E-001, 6.0684558E-001, 6.2769999E-001, 6.7044285E-001, 7.1531567E-001, 7.5478196E-001, 2.7788410E-001, 2.7826742E-001, 0.0000000E+000, 0.0000000E+000
 6.0026639E+000, 1.6628066E+001, 2.3060869E+001, 2.7554619E+001, 1.8426294E+001, 5.5043565E+000, 1.4787679E+001, 1.2070432E+001, 5.9858070E+000, 2.3961803E+000, 8.7054303E+000, 5.3825644E+000, 2.6559280E+000, 1.1686169E+000, 5.8007146E+000, 3.0409398E+000, 1.5467689E+000, 6.5751024E-001, 4.2641782E+000, 2.2129156E+000, 1.2031106E+000, 4.8176997E-001, 3.3877967E+000, 1.9116886E+000, 1.1315765E+000, 4.2956612E-001, 2.7798280E+000, 1.7041594E+000, 1.1120948E+000, 4.1442215E-001, 5.0509521E-001, 4.4344002E-001, 3.4123214E-001, 2.5036964E-001, 1.7968253E-001, 1.2744338E-001, 2.0507218E+000, 1.5278251E+000, 5.2289669E-001, 2.0933943E+000, 1.5404487E+000, 5.5294557E-001, 2.7201069E+000, 2.6646593E+000, 5.4126989E+000, 7.1848437E-001, 6.7943957E-001, 1.8942611E+000, 1.8787974E+000, 6.2200187E-001,-2.3463046E-001,-3.7078010E-001,-5.8378735E-003,-5.8378735E-003, 1.6517845E-001, 1.6517845E-001, 3.0212379E-001, 2.9429856E-001, 2.8490076E-001, 3.0552271E-001, 3.4736309E-001, 4.2559716E-001, 5.1454110E-001, 5.7742909E-001, 6.4370596E-001, 6.8736080E-001, 6.9784810E-002, 6.0288469E-002, 0.0000000E+000, 0.0000000E+000
 8.0024851E+000, 2.3106819E+001, 2.7007067E+001, 3.2614065E+001, 2.3362257E+001, 6.4752778E+000, 1.8842581E+001, 1.7382908E+001, 8.9504345E+000, 3.0860782E+000, 1.0880659E+001, 8.2768177E+000, 4.3612366E+000, 1.7611234E+000, 6.6736167E+000, 4.7737621E+000, 2.8895603E+000, 1.1598802E+000, 4.3649172E+000, 3.0060553E+000, 2.0620022E+000, 9.5870308E-001, 3.1009974E+000, 2.0934086E+000, 1.5187004E+000, 7.9722791E-001, 2.3156868E+000, 1.6169830E+000, 1.2236409E+000, 6.8196853E-001, 6.1503938E-001, 5.5961313E-001, 4.3314136E-001, 3.2284354E-001, 2.3083387E-001, 1.6259238E-001, 2.5530586E+000, 1.9208386E+000, 6.3221999E-001, 2.4501860E+000, 1.8688060E+000, 5.8138001E-001, 3.1837137E+000, 3.3173839E+000, 5.8517940E+000, 7.5543140E-001, 8.2149167E-001, 2.2817807E+000, 2.3462767E+000, 6.5708811E-001,-2.1154563E-001,-4.0752199E-001,-3.7019789E-002,-3.7019789E-002, 1.0606800E-001, 1.0606800E-001, 2.7948630E-001, 4.2195795E-001, 5.5647259E-001, 6.3056156E-001, 7.1869923E-001, 8.2881819E-001, 8.9605626E-001, 9.2991810E-001, 9.7446089E-001, 1.0651488E+000, 5.2529565E-002, 5.6342031E-002, 0.0000000E+000, 0.0000000E+000
 1.0001503E+001, 2.8002878E+001, 2.6968888E+001, 3.2483685E+001, 2.4715078E+001, 7.0574281E+000, 2.2176456E+001, 2.0632321E+001, 1.1137891E+001, 3.7366016E+000, 1.2556448E+001, 9.9890285E+000, 5.9001584E+000, 2.3102705E+000, 7.8760258E+000, 6.0861474E+000, 4.0008691E+000, 1.7904153E+000, 5.6468664E+000, 4.3581927E+000, 2.9768507E+000, 1.5107117E+000, 4.1996595E+000, 3.1777834E+000, 2.3522843E+000, 1.2263017E+000, 3.1222517E+000, 2.3507968E+000, 1.9194911E+000, 9.2292725E-001, 6.8009991E-001, 6.3755320E-001, 5.0157302E-001, 3.7624241E-001, 2.7297359E-001, 1.9404225E-001, 2.9490169E+000, 2.1897224E+000, 7.5929450E-001, 2.8361235E+000, 2.1450650E+000, 6.9105847E-001, 3.6851916E+000, 3.8318827E+000, 6.7786895E+000, 8.9794500E-001, 9.8660928E-001, 2.6028574E+000, 2.6569774E+000, 7.2003665E-001,-2.8019079E-001,-4.0126533E-001,-6.7414372E-002,-6.7414372E-002,-5.5673365E-002,-5.5673365E-002, 1.4291966E-001, 3.4346063E-001, 5.0576114E-001, 5.5608544E-001, 5.7721692E-001, 6.4508081E-001, 6.7581546E-001, 7.1796680E-001, 7.3758264E-001, 7.9420699E-001, 7.2974050E-002, 3.4513913E-002, 0.0000000E+000, 1.4491778E+000
 1.2000566E+001, 3.4953201E+001, 2.7911919E+001, 3.1920851E+001, 2.4522888E+001, 7.3701644E+000, 2.3837867E+001, 2.2696255E+001, 1.2525012E+001, 4.0568835E+000, 1.4149398E+001, 1.2023088E+001, 7.2205022E+000, 2.7548170E+000, 8.5948477E+000, 7.2767452E+000, 4.9976888E+000, 2.1591064E+000, 5.6842526E+000, 4.7584919E+000, 3.4733978E+000, 1.7443289E+000, 4.0671692E+000, 3.3145395E+000, 2.5251515E+000, 1.1244950E+000, 3.0754175E+000, 2.4156019E+000, 1.8993250E+000, 8.3711933E-001, 7.3570483E-001, 7.1038634E-001, 5.7042441E-001, 4.3694311E-001, 3.1781165E-001, 2.2575019E-001, 3.1315899E+000, 2.3849556E+000, 7.4663432E-001, 3.0501565E+000, 2.3703078E+000, 6.7984869E-001, 3.9633011E+000, 4.0691138E+000, 6.5408287E+000, 8.8337927E-001, 9.7015894E-001, 2.8601644E+000, 2.8756665E+000, 7.2817593E-001,-3.6391091E-001,-3.3154731E-001,-6.1036096E-002,-6.1036096E-002, 3.3038788E-002, 3.3038788E-002, 2.6895536E-001, 3.6766157E-001, 4.3972391E-001, 5.2524905E-001, 5.7432807E-001, 6.2454281E-001, 7.2138302E-001, 8.3364621E-001, 9.4832026E-001, 1.0343104E+000, 7.9812652E-002, 5.8925781E-002, 6.0269696E-001, 2.7549178E+000
 1.4000002E+001, 3.5108405E+001, 3.0171931E+001, 3.2382915E+001, 2.4125059E+001, 7.7377558E+000, 2.6061143E+001, 2.1836647E+001, 1.4209447E+001, 4.7389422E+000, 1.4948501E+001, 1.1466246E+001, 7.7196765E+000, 3.4434253E+000, 8.6832163E+000, 6.0999854E+000, 4.3841087E+000, 2.0558597E+000, 5.7491313E+000, 3.9658849E+000, 2.8052617E+000, 1.2359378E+000, 4.4131797E+000, 3.1167711E+000, 2.0885872E+000, 9.5504042E-001, 3.5927450E+000, 2.6445955E+000, 1.8697783E+000, 9.0760984E-001, 7.7885875E-001, 7.5442573E-001, 5.9960255E-001, 4.5318714E-001, 3.2780315E-001, 2.3305150E-001, 3.3171439E+000, 2.5195010E+000, 7.9764291E-001, 3.3108644E+000, 2.5233051E+000, 7.8755923E-001, 4.3020587E+000, 4.3102181E+000, 7.6832147E+000, 1.0233358E+000, 1.0364383E+000, 3.0271494E+000, 3.0189487E+000, 7.5437334E-001,-3.1267955E-001,-3.4816666E-001,-1.7441102E-001,-1.7441102E-001,-1.3852738E-002,-1.3852738E-002, 3.0151789E-001, 4.7387203E-001, 5.7901961E-001, 6.8906320E-001, 8.0305700E-001, 9.0498791E-001, 9.8923363E-001, 1.0687921E+000, 1.1257430E+000, 1.1769693E+000, 5.8914886E-002, 5.1004660E-002, 6.0369319E-001, 2.4148868E+000
 1.6002531E+001, 3.7206586E+001, 2.9979555E+001, 3.4148612E+001, 2.7668349E+001, 8.4948303E+000, 2.8676454E+001, 2.5109352E+001, 1.6223942E+001, 4.9800794E+000, 1.7594822E+001, 1.3679944E+001, 8.5998958E+000, 2.9236724E+000, 1.1289519E+001, 8.3623341E+000, 5.5309118E+000, 1.9179362E+000, 7.8175429E+000, 5.8214461E+000, 4.0196481E+000, 1.5344597E+000, 5.5583588E+000, 4.3297852E+000, 3.1003169E+000, 1.3052420E+000, 4.1754180E+000, 3.3508992E+000, 2.4849656E+000, 1.1340885E+000, 8.3335801E-001, 8.1945122E-001, 6.6074914E-001, 5.0949098E-001, 3.7471075E-001, 2.6871083E-001, 3.7019220E+000, 2.8050034E+000, 8.9691867E-001, 3.5778068E+000, 2.7312728E+000, 8.4653392E-001, 4.6489173E+000, 4.8101897E+000, 9.7041934E+000, 1.0999661E+000, 1.1654349E+000, 3.2599762E+000, 3.3494744E+000, 8.1152557E-001,-4.4284983E-001,-3.9448977E-001, 6.9983749E-002, 6.9983749E-002, 2.6168494E-001, 2.6168494E-001, 5.2018019E-001, 6.9158520E-001, 8.0795426E-001, 9.0395006E-001, 9.7690778E-001, 1.0225725E+000, 1.0709166E+000, 1.1404892E+000, 1.1805678E+000, 1.1945626E+000, 3.8154715E-002,-9.7800833E-003, 6.2493233E-001, 2.4857356E+000
