s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9843773E-003, 2.8373289E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9843770E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0013933E+000, 2.2872919E+000, 0.0000000E+000,-6.8031645E-001, 4.6578041E-002,-1.0764600E-001, 1.4828421E-004, 0.0000000E+000, 0.0000000E+000, 1.5161220E+000, 1.5460558E+000,-6.6173089E-001, 5.3872173E-005,-2.9759214E-177
 4.0009975E+000, 1.0360720E+001, 0.0000000E+000,-3.1114477E+000,-1.8187452E+000,-9.4957774E-001, 2.4569288E-003, 0.0000000E+000, 0.0000000E+000, 4.4858768E+000, 4.4834060E+000,-9.8718783E-001, 2.3453116E-004,-1.1849948E-003
 6.0000057E+000, 1.6750163E+001, 0.0000000E+000,-5.1355143E+000,-8.4336214E+000,-1.3927818E+000, 5.3981204E-003, 0.0000000E+000, 0.0000000E+000, 1.8069143E+000, 1.7936435E+000,-9.6984559E-001, 3.7660464E-004,-5.1592874E-003
 8.0001907E+000, 2.0528232E+001, 0.0000000E+000,-6.3724533E+000,-9.6933958E+000,-1.6099718E+000, 7.6462315E-003, 0.0000000E+000, 0.0000000E+000, 2.8699312E+000, 2.8600573E+000,-9.6499079E-001, 4.5825706E-004,-5.8466328E-003
 1.0000103E+001, 2.3447921E+001, 0.0000000E+000,-7.2380022E+000,-1.4582768E+001,-1.8871012E+000, 9.6111129E-003, 0.0000000E+000, 0.0000000E+000,-2.2901983E-001,-2.5033973E-001,-9.4586809E-001, 5.1356910E-004,-8.6845614E-003
 1.2000685E+001, 2.5572909E+001, 0.0000000E+000,-7.9478341E+000,-1.4556788E+001,-1.9997880E+000, 1.1037413E-002, 0.0000000E+000, 0.0000000E+000, 1.0953270E+000, 1.0795363E+000,-9.4592453E-001, 5.5788771E-004,-8.6098973E-003
 1.4000584E+001, 2.6420038E+001, 0.0000000E+000,-8.4011701E+000,-1.5723289E+001,-1.9773791E+000, 1.2002665E-002, 0.0000000E+000, 0.0000000E+000, 3.3808870E-001, 3.3020248E-001,-9.4130052E-001, 5.8117994E-004,-9.3346190E-003
 1.6000132E+001, 2.8792695E+001, 0.0000000E+000,-9.2138553E+000,-1.6926686E+001,-2.1023979E+000, 1.3748761E-002, 0.0000000E+000, 0.0000000E+000, 5.7699230E-001, 5.6350521E-001,-9.3644251E-001, 6.3521175E-004,-1.0110120E-002
 1.8000097E+001, 2.9440963E+001, 0.0000000E+000,-9.5811905E+000,-1.8139497E+001,-2.1177593E+000, 1.4229776E-002, 0.0000000E+000, 0.0000000E+000,-3.6650565E-001,-3.8325397E-001,-9.3170805E-001, 6.4699997E-004,-1.0826532E-002
 2.0000017E+001, 2.9671873E+001, 0.0000000E+000,-9.5415031E+000,-1.7554624E+001,-2.1511290E+000, 1.4232958E-002, 0.0000000E+000, 0.0000000E+000, 4.5461806E-001, 4.3885036E-001,-9.3392070E-001, 6.4699997E-004,-1.0526445E-002
 2.2000380E+001, 2.9979916E+001, 0.0000000E+000,-9.5674277E+000,-1.7736207E+001,-2.1632319E+000, 1.4626592E-002, 0.0000000E+000, 0.0000000E+000, 5.3694804E-001, 5.2767643E-001,-9.3331762E-001, 6.4699997E-004,-1.0506269E-002
 2.4000481E+001, 2.9469921E+001, 0.0000000E+000,-9.5039167E+000,-1.8799997E+001,-2.1291753E+000, 1.4297047E-002, 0.0000000E+000, 0.0000000E+000,-9.3757199E-001,-9.4887155E-001,-9.2915836E-001, 6.4699997E-004,-1.1188994E-002
 2.6000309E+001, 2.9881279E+001, 0.0000000E+000,-9.5638061E+000,-1.8358132E+001,-2.2620338E+000, 1.4341166E-002, 0.0000000E+000, 0.0000000E+000,-2.6524699E-001,-2.8835148E-001,-9.3085759E-001, 6.4699997E-004,-1.0938031E-002
 2.8000721E+001, 2.9692613E+001, 0.0000000E+000,-9.5094620E+000,-1.7323830E+001,-2.0470129E+000, 1.4412122E-002, 0.0000000E+000, 0.0000000E+000, 8.4204562E-001, 8.2672073E-001,-9.3487388E-001, 6.4699997E-004,-1.0320128E-002
 3.0000364E+001, 2.9776434E+001, 0.0000000E+000,-9.4432574E+000,-1.8492754E+001,-2.1431852E+000, 1.4385079E-002, 0.0000000E+000, 0.0000000E+000,-2.5582136E-001,-2.8837734E-001,-9.3039204E-001, 6.4699997E-004,-1.0954903E-002
 3.2000488E+001, 2.9581212E+001, 0.0000000E+000,-9.5952862E+000,-1.8172452E+001,-2.0375641E+000, 1.4397859E-002, 0.0000000E+000, 0.0000000E+000,-1.8486374E-001,-2.0969274E-001,-9.3168384E-001, 6.4699997E-004,-1.0742828E-002
