s,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW,kW,kW,kW,kW,kW,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m,m,m,deg,m,m
Time,HRR,HF 10-1,HF 10-2,HF 10-3,HF 10-4,HF 30-1,HF 30-2,HF 30-3,HF 30-4,HF 50-1,HF 50-2,HF 50-3,HF 50-4,HF 70-1,HF 70-2,HF 70-3,HF 70-4,HF 90-1,HF 90-2,HF 90-3,HF 90-4,HF 110-1,HF 110-2,HF 110-3,HF 110-4,HF 130-1,HF 130-2,HF 130-3,HF 130-4,HFG 10,HFG 35,HFG 60,HFG 85,HFG 110,HFG 135,GHF tot  y0,GHF rad  y0,GHF con  y0,GHF tot  x0,GHF rad  x0,GHF conv x0,Vmag burn ctr,U burn ctr,V burn ctr,W burn ctr,W vert burner-1,W vert burner-2,W vert burner-3,W vert burner-4,W vert burner-5,W vert burner-6,W vert burner-7,W vert burner-8,W vert burner-9,W vert burner-10,W vert burner-11,W vert burner-12,W vert burner-13,x_max,y_max,L_F,tilt,DELTA97_X,DELTA97_Y
 3.8000162E+001, 2.7461761E+001, 2.7386104E+001, 4.8574685E+001, 3.9995747E+001, 2.4045284E+001, 4.7666864E+001, 3.5269416E+001, 1.5586449E+001, 7.4557186E+000, 3.3688532E+001, 2.1054857E+001, 1.0341865E+001, 4.5855650E+000, 1.9986223E+001, 1.2935237E+001, 6.6153150E+000, 3.1778885E+000, 1.1489858E+001, 8.0380502E+000, 4.4912769E+000, 2.3762521E+000, 6.8427592E+000, 4.9972125E+000, 3.4018158E+000, 2.0621703E+000, 4.4215062E+000, 3.4989464E+000, 2.3365110E+000, 1.5602439E+000, 1.2627651E+000, 1.2116173E+000, 9.8587423E-001, 8.1300185E-001, 4.8913606E-001, 3.3303625E-001, 5.4279580E+000, 3.5558732E+000, 1.8720848E+000, 5.5184140E+000, 3.5908793E+000, 1.9275346E+000, 3.5029372E-001,-2.3610559E-001,-1.5146477E-001, 1.5577005E-001, 4.1515840E-001, 2.6126550E-001, 1.8511290E-001, 6.0876615E-002, 4.2151361E-002, 5.7670341E-002, 8.1690522E-002, 1.0970471E-001, 1.3314845E-001, 1.5308487E-001, 1.8778637E-001, 2.0427585E-001, 2.2653320E-001, 7.6426030E-002, 9.4244884E-002, 6.5166738E-001, 3.6653201E+000, 9.6911604E-002, 9.7773223E-002
 4.0000317E+001, 2.6816264E+001, 2.6750799E+001, 4.6783314E+001, 3.7243967E+001, 2.5566390E+001, 4.7148637E+001, 3.6216331E+001, 1.7062016E+001, 7.1455865E+000, 3.4894316E+001, 2.4962970E+001, 1.4020668E+001, 6.6667298E+000, 1.8914104E+001, 1.2541612E+001, 7.2429586E+000, 4.0497594E+000, 9.9244962E+000, 5.9488831E+000, 3.7264648E+000, 2.1163707E+000, 5.6092702E+000, 3.7574907E+000, 2.4125486E+000, 1.2743165E+000, 3.6783585E+000, 2.6119777E+000, 1.8075671E+000, 9.4654292E-001, 1.2778830E+000, 1.2385815E+000, 1.0266111E+000, 8.3687133E-001, 5.0087197E-001, 3.3577071E-001, 5.4584170E+000, 3.5860140E+000, 1.8724031E+000, 5.6650783E+000, 3.6320995E+000, 2.0329789E+000, 4.0657198E-001,-2.1300401E-001,-2.3561925E-001, 1.9343897E-001, 4.8541831E-001, 2.2739175E-001, 1.7535405E-001, 6.6038904E-002, 5.3023077E-002, 6.3213970E-002, 7.7491116E-002, 1.0383101E-001, 1.2973447E-001, 1.5653901E-001, 1.7922265E-001, 2.2610495E-001, 2.9261955E-001, 1.0432933E-001, 6.5466143E-002, 6.5185817E-001, 3.6563507E+000, 9.7343878E-002, 9.7499785E-002
 4.2000278E+001, 3.6105152E+001, 2.6215691E+001, 4.7092944E+001, 4.0047201E+001, 2.6035255E+001, 5.0520771E+001, 3.8406102E+001, 1.7249860E+001, 6.5743307E+000, 3.8676707E+001, 2.3949960E+001, 1.1231595E+001, 4.8097883E+000, 2.3661357E+001, 1.4512946E+001, 7.1484786E+000, 3.0728271E+000, 1.2178361E+001, 8.2686531E+000, 4.1274668E+000, 1.9438425E+000, 7.3332828E+000, 5.0076368E+000, 2.9998847E+000, 1.4241552E+000, 4.9882296E+000, 3.8401832E+000, 2.4475085E+000, 1.4465876E+000, 1.2631034E+000, 1.2248087E+000, 1.0086291E+000, 8.3639106E-001, 5.0968261E-001, 3.3719721E-001, 5.6647829E+000, 3.6696397E+000, 1.9951433E+000, 5.5538757E+000, 3.6351085E+000, 1.9187672E+000, 3.5297650E-001,-1.7269934E-001,-2.6723481E-001, 6.4296159E-002, 3.1109372E-001, 2.0525865E-001, 2.4830400E-001, 1.3961601E-001, 6.1574996E-002, 6.0150941E-002, 7.7314037E-002, 1.0119022E-001, 1.2752269E-001, 1.5216066E-001, 1.7189449E-001, 2.0186174E-001, 2.2616921E-001, 7.4028901E-002, 5.7300517E-002, 2.0173450E+209, 2.0173450E+209, 2.0173450E+209, 2.0173450E+209
 4.4000105E+001, 3.2698770E+001, 2.6411464E+001, 4.4232725E+001, 3.5194872E+001, 2.5215983E+001, 5.0375778E+001, 3.8447269E+001, 1.6948325E+001, 6.9598905E+000, 3.6332610E+001, 2.4291621E+001, 1.2502065E+001, 5.4253480E+000, 1.9429069E+001, 1.2917257E+001, 7.7237467E+000, 3.9422568E+000, 1.0581565E+001, 7.6851011E+000, 4.9723137E+000, 2.6537324E+000, 6.4961381E+000, 4.6972419E+000, 3.1680964E+000, 1.9797532E+000, 4.0021188E+000, 3.0957348E+000, 2.4249927E+000, 1.4899323E+000, 1.3037572E+000, 1.2675157E+000, 1.0562091E+000, 8.7336327E-001, 5.2437774E-001, 3.5072674E-001, 5.5530530E+000, 3.6435259E+000, 1.9095271E+000, 5.6441055E+000, 3.6800816E+000, 1.9640239E+000, 3.5401712E-001,-1.9485731E-001,-2.2698137E-001, 1.2712342E-001, 3.5669254E-001, 2.3292328E-001, 3.4119156E-001, 3.4366876E-001, 1.7400449E-001, 8.4728356E-002, 9.1421105E-002, 1.4096766E-001, 1.9067618E-001, 3.1067854E-001, 3.7059170E-001, 3.8670461E-001, 4.4248162E-001, 6.1570947E-002, 8.3360460E-002, 1.8986883E+209, 1.8986883E+209, 1.8986883E+209, 1.8986883E+209
 4.6000164E+001, 3.8759228E+001, 2.6835689E+001, 4.5085305E+001, 3.6762920E+001, 2.2143825E+001, 5.0597120E+001, 3.4830999E+001, 1.3685469E+001, 6.2041772E+000, 4.0043217E+001, 2.5789868E+001, 9.9476668E+000, 3.9963799E+000, 2.7959517E+001, 1.7016250E+001, 7.7303066E+000, 3.0486552E+000, 1.5739155E+001, 1.0427380E+001, 5.0067406E+000, 2.1482611E+000, 8.2630461E+000, 5.6778203E+000, 3.0680197E+000, 1.4665969E+000, 4.8854875E+000, 3.6455977E+000, 2.3282458E+000, 1.1970280E+000, 1.2984195E+000, 1.2517126E+000, 1.0409339E+000, 8.7000955E-001, 5.3767386E-001, 3.5667246E-001, 5.6690827E+000, 3.7152966E+000, 1.9537861E+000, 5.6086054E+000, 3.6750809E+000, 1.9335246E+000, 3.3383793E-001,-1.8289794E-001,-1.9859779E-001, 1.4233313E-001, 3.9130102E-001, 2.1056938E-001, 2.8034999E-001, 3.0928348E-001, 1.9348135E-001, 7.8417996E-002, 9.1204621E-002, 1.1233401E-001, 1.3752894E-001, 1.6790985E-001, 1.9368999E-001, 2.2546820E-001, 2.7054485E-001, 1.0459075E-001, 1.1289057E-001, 1.7932030E+209, 1.7932030E+209, 1.7932030E+209, 1.7932030E+209
 4.8000309E+001, 3.2602763E+001, 2.5603705E+001, 4.2134883E+001, 3.5384032E+001, 2.3115581E+001, 4.6700810E+001, 3.4807474E+001, 1.7106440E+001, 6.8376839E+000, 3.5436153E+001, 2.5422087E+001, 1.3906905E+001, 5.1791537E+000, 2.1677033E+001, 1.5543569E+001, 8.8251165E+000, 4.1852999E+000, 1.1060383E+001, 8.6269844E+000, 5.1339411E+000, 2.7338345E+000, 5.7147679E+000, 4.9926942E+000, 3.6401044E+000, 2.0706281E+000, 3.8574354E+000, 3.3020141E+000, 2.4923609E+000, 1.6030752E+000, 1.3159919E+000, 1.2749429E+000, 1.0676188E+000, 8.8040159E-001, 5.3445192E-001, 3.5311812E-001, 5.5063850E+000, 3.6104808E+000, 1.8959042E+000, 5.4322564E+000, 3.6250516E+000, 1.8072048E+000, 3.6857158E-001,-2.1151662E-001,-2.4311964E-001, 1.0093774E-001, 3.7518870E-001, 1.0206003E-001, 1.2056513E-001, 5.6340054E-002, 4.9193435E-002, 6.1182827E-002, 8.3729721E-002, 1.0760005E-001, 1.3535746E-001, 1.6094516E-001, 2.2311684E-001, 3.2544334E-001, 3.5279187E-001, 9.8806591E-002, 7.7368076E-002, 1.6988178E+209, 1.6988178E+209, 1.6988178E+209, 1.6988178E+209
 5.0000124E+001, 3.5339539E+001, 2.6080797E+001, 4.2606046E+001, 3.5486516E+001, 2.4166370E+001, 4.4909187E+001, 3.6947261E+001, 1.8300797E+001, 8.1726104E+000, 3.5328515E+001, 2.7699671E+001, 1.4645014E+001, 5.4246125E+000, 2.1954964E+001, 1.6064893E+001, 9.5879715E+000, 3.8055097E+000, 1.2048298E+001, 8.6283130E+000, 5.4502463E+000, 2.3759732E+000, 6.9214018E+000, 5.3277903E+000, 3.4158668E+000, 1.6014413E+000, 4.6588439E+000, 3.9105835E+000, 2.6393185E+000, 1.4343935E+000, 1.3386171E+000, 1.2978882E+000, 1.0932413E+000, 8.8893961E-001, 5.3865402E-001, 3.7043887E-001, 5.6713398E+000, 3.7431602E+000, 1.9281796E+000, 5.4369293E+000, 3.5661523E+000, 1.8707769E+000, 4.0873002E-001,-2.7310204E-001,-1.8990459E-001, 1.4591360E-001, 3.5481546E-001, 1.3435228E-001, 5.9225067E-002, 2.7732255E-002, 3.7566593E-002, 5.9911845E-002, 7.6780780E-002, 1.0101049E-001, 1.2959636E-001, 1.5296450E-001, 2.0533361E-001, 2.9554033E-001, 3.4052322E-001, 1.0451188E-001, 7.5453603E-002, 1.6138850E+209, 1.6138850E+209, 1.6138850E+209, 1.6138850E+209
 5.2000177E+001, 3.2407330E+001, 2.7097133E+001, 4.2122451E+001, 3.5720642E+001, 2.3848543E+001, 4.8116238E+001, 3.5793927E+001, 1.6921359E+001, 7.5456525E+000, 3.4748641E+001, 2.5015082E+001, 1.2397603E+001, 4.8729107E+000, 2.1345954E+001, 1.4063463E+001, 6.9512933E+000, 3.2208104E+000, 1.0757220E+001, 6.4630433E+000, 3.9871200E+000, 2.2216767E+000, 6.0717979E+000, 3.8125468E+000, 2.3499698E+000, 1.5611519E+000, 4.1220631E+000, 2.7448830E+000, 1.7937825E+000, 1.0588510E+000, 1.3406284E+000, 1.2945098E+000, 1.0745760E+000, 8.7537875E-001, 5.2342178E-001, 3.5308263E-001, 5.4704859E+000, 3.6044964E+000, 1.8659894E+000, 5.5336258E+000, 3.6594065E+000, 1.8742193E+000, 3.7381470E-001,-2.6178658E-001,-2.1950992E-001, 6.7782900E-002, 2.6824997E-001, 1.6437658E-001, 1.5781983E-001, 6.5074690E-002, 4.1927415E-002, 5.4118644E-002, 8.0916484E-002, 1.1626443E-001, 1.7284695E-001, 2.0666857E-001, 2.2453950E-001, 2.7882913E-001, 2.9885198E-001, 6.9753743E-002, 9.5670544E-002, 1.5370317E+209, 1.5370317E+209, 1.5370317E+209, 1.5370317E+209
 5.4000194E+001, 3.9341450E+001, 2.7050698E+001, 4.4205192E+001, 3.7707156E+001, 2.3225862E+001, 5.0303864E+001, 3.9582858E+001, 1.6358475E+001, 6.5924158E+000, 3.9976442E+001, 2.6348723E+001, 1.2685211E+001, 4.4605234E+000, 2.3611731E+001, 1.6672591E+001, 8.0762339E+000, 3.1520844E+000, 1.3360484E+001, 9.2632591E+000, 5.0179809E+000, 2.1128107E+000, 7.8944559E+000, 5.7204456E+000, 3.4812456E+000, 1.5892834E+000, 5.2043513E+000, 3.9256046E+000, 2.5045761E+000, 1.3295181E+000, 1.3500263E+000, 1.3011081E+000, 1.0837581E+000, 8.8516532E-001, 5.4500188E-001, 3.6108180E-001, 5.7625504E+000, 3.7341481E+000, 2.0284023E+000, 5.4204166E+000, 3.6040811E+000, 1.8163354E+000, 4.0177808E-001,-2.1786643E-001,-2.6880790E-001, 1.2746159E-001, 3.9508053E-001, 2.2088539E-001, 2.5982178E-001, 1.4747330E-001, 8.1875779E-002, 7.0021230E-002, 8.5602862E-002, 1.0939432E-001, 1.3676674E-001, 1.6101976E-001, 1.7948980E-001, 2.1660904E-001, 2.3232248E-001, 1.0302526E-001, 6.9155179E-002, 1.4671663E+209, 1.4671663E+209, 1.4671663E+209, 1.4671663E+209
 5.6000144E+001, 3.4711310E+001, 2.7309248E+001, 4.5552170E+001, 3.7071374E+001, 2.0223582E+001, 4.6528894E+001, 3.8098367E+001, 1.6987405E+001, 6.3899902E+000, 3.7122678E+001, 2.6476887E+001, 1.3435699E+001, 4.8041645E+000, 2.0969148E+001, 1.5914157E+001, 9.2243223E+000, 3.3296414E+000, 1.0544669E+001, 7.8819124E+000, 4.9985544E+000, 2.3745653E+000, 5.7573606E+000, 4.4840513E+000, 3.2196125E+000, 1.8054838E+000, 3.8389653E+000, 3.2779704E+000, 2.5058969E+000, 1.5598977E+000, 1.3614600E+000, 1.3270101E+000, 1.1056926E+000, 8.9381808E-001, 5.3463510E-001, 3.5770778E-001, 5.5910989E+000, 3.6709828E+000, 1.9201161E+000, 5.5749545E+000, 3.6436818E+000, 1.9312727E+000, 3.5979258E-001,-2.3753423E-001,-1.9897304E-001, 1.0787701E-001, 3.8108136E-001, 2.0740456E-001, 2.4479649E-001, 1.6224666E-001, 1.0160351E-001, 8.3128321E-002, 1.0100130E-001, 1.2386362E-001, 1.4721417E-001, 1.6573582E-001, 2.3799709E-001, 2.4780352E-001, 2.6024667E-001, 1.0824721E-001, 6.6330638E-002, 1.4033782E+209, 1.4033782E+209, 1.4033782E+209, 1.4033782E+209
 5.8000307E+001, 3.8884137E+001, 2.6997402E+001, 4.3512083E+001, 3.4212662E+001, 2.3231563E+001, 4.7889480E+001, 3.2882682E+001, 1.4377363E+001, 6.3534388E+000, 3.7670571E+001, 2.2775674E+001, 1.1410987E+001, 4.3042216E+000, 2.3269335E+001, 1.4103992E+001, 8.0852911E+000, 3.2176670E+000, 1.3326916E+001, 8.8122606E+000, 4.8703210E+000, 2.4443184E+000, 7.9735159E+000, 5.7408635E+000, 3.3355657E+000, 1.6850502E+000, 5.1983996E+000, 3.8348447E+000, 2.4865032E+000, 1.2816271E+000, 1.3548039E+000, 1.3215001E+000, 1.1123435E+000, 9.1354618E-001, 5.6768136E-001, 3.8487698E-001, 5.5969649E+000, 3.6530909E+000, 1.9438741E+000, 5.9799079E+000, 3.8307081E+000, 2.1491998E+000, 3.9474881E-001,-2.8335991E-001,-1.8411147E-001, 1.1989071E-001, 3.7619953E-001, 1.4693225E-001, 2.3782897E-001, 1.8456147E-001, 8.7678063E-002, 7.6669419E-002, 9.2067872E-002, 1.1467080E-001, 1.3796471E-001, 1.5441550E-001, 1.6972425E-001, 2.0405665E-001, 2.2363150E-001, 8.7419739E-002, 7.0642310E-002, 1.3448997E+209, 1.3448997E+209, 1.3448997E+209, 1.3448997E+209
 6.0000032E+001, 3.6598124E+001, 2.7191487E+001, 4.3587140E+001, 3.4189912E+001, 2.3505098E+001, 5.1233111E+001, 3.7461642E+001, 1.6675085E+001, 7.4582931E+000, 3.7147717E+001, 2.2800736E+001, 1.1796817E+001, 5.4990728E+000, 2.1473420E+001, 1.4340590E+001, 7.4480507E+000, 3.2714979E+000, 1.1881396E+001, 7.7167731E+000, 4.9563757E+000, 2.4178080E+000, 5.8591020E+000, 4.2832415E+000, 2.9956067E+000, 1.7994333E+000, 3.8289701E+000, 3.0161102E+000, 2.0511738E+000, 1.3650614E+000, 1.3928433E+000, 1.3501331E+000, 1.1232992E+000, 9.2061381E-001, 5.5818580E-001, 3.6737007E-001, 5.6140128E+000, 3.7326608E+000, 1.8813520E+000, 5.6909363E+000, 3.7469533E+000, 1.9439829E+000, 3.8206075E-001,-2.6492044E-001,-1.6740260E-001, 1.4320742E-001, 4.4260791E-001, 1.7547505E-001, 2.0137352E-001, 1.4724102E-001, 8.2508704E-002, 5.8240497E-002, 7.2208471E-002, 9.0087684E-002, 1.1359690E-001, 1.5218680E-001, 1.9905797E-001, 2.1610532E-001, 2.4579218E-001, 6.6461057E-002, 7.4848808E-002, 1.2911112E+209, 1.2911112E+209, 1.2911112E+209, 1.2911112E+209
 6.2000029E+001, 3.0020148E+001, 2.6586096E+001, 4.3649488E+001, 3.9146672E+001, 2.3544463E+001, 4.8759813E+001, 3.4164074E+001, 1.5948874E+001, 6.5875224E+000, 3.9134333E+001, 2.5002849E+001, 1.0632728E+001, 4.4821665E+000, 2.3339942E+001, 1.4401999E+001, 7.4996475E+000, 3.2331987E+000, 1.2779667E+001, 8.6748763E+000, 5.2627603E+000, 3.2009910E+000, 7.3637445E+000, 5.4984483E+000, 3.6073220E+000, 2.1560591E+000, 4.5252030E+000, 3.5349462E+000, 2.8743835E+000, 1.6553479E+000, 1.3671451E+000, 1.3334490E+000, 1.1188635E+000, 9.2187386E-001, 5.7402187E-001, 3.7937659E-001, 5.6484151E+000, 3.6787671E+000, 1.9696480E+000, 5.5714328E+000, 3.6390753E+000, 1.9323574E+000, 3.8107207E-001,-2.4216461E-001,-2.0620586E-001, 1.7353715E-001, 4.5221081E-001, 2.4988984E-001, 2.0594031E-001, 1.2540484E-001, 8.9246127E-002, 7.5651104E-002, 9.1807629E-002, 1.1815143E-001, 1.4652672E-001, 1.7045402E-001, 1.9046694E-001, 2.0629290E-001, 2.2319812E-001, 9.2431305E-002, 1.0854055E-001, 1.2414532E+209, 1.2414532E+209, 1.2414532E+209, 1.2414532E+209
 6.4000075E+001, 2.7721005E+001, 2.7644125E+001, 4.2230348E+001, 3.1709846E+001, 2.1953343E+001, 5.1343502E+001, 3.7695628E+001, 1.6738988E+001, 6.8422853E+000, 3.9262481E+001, 2.6666796E+001, 1.3835566E+001, 5.1048632E+000, 2.3944697E+001, 1.7160036E+001, 1.0389147E+001, 3.6930966E+000, 1.2754428E+001, 9.7207811E+000, 6.2685659E+000, 2.7774015E+000, 7.0981056E+000, 5.5824621E+000, 3.6841295E+000, 2.0893036E+000, 4.7509449E+000, 3.7060338E+000, 2.7054789E+000, 1.7438864E+000, 1.4001873E+000, 1.3585708E+000, 1.1385974E+000, 9.2942052E-001, 5.6711668E-001, 3.7313206E-001, 5.8476461E+000, 3.7816680E+000, 2.0659781E+000, 5.6510123E+000, 3.6759912E+000, 1.9750211E+000, 3.4773222E-001,-1.9041484E-001,-2.4224208E-001, 8.9601578E-002, 3.8378672E-001, 2.1640281E-001, 2.5183461E-001, 1.9000741E-001, 1.4160019E-001, 8.0282116E-002, 9.8153236E-002, 1.1575829E-001, 1.5706254E-001, 1.7146591E-001, 1.9135585E-001, 1.9902381E-001, 2.1319808E-001, 1.0773852E-001, 6.9420064E-002, 1.1954725E+209, 1.1954725E+209, 1.1954725E+209, 1.1954725E+209
 6.6000057E+001, 2.5396217E+001, 2.7364930E+001, 3.9553396E+001, 3.0399344E+001, 2.5260447E+001, 4.8701887E+001, 3.4696935E+001, 1.6337270E+001, 7.3851156E+000, 3.7354931E+001, 2.6648102E+001, 1.4675959E+001, 6.2478842E+000, 2.3448617E+001, 1.4375084E+001, 8.2620161E+000, 4.7029256E+000, 1.2498383E+001, 8.9350639E+000, 5.3615150E+000, 2.9248618E+000, 7.0127987E+000, 4.8285361E+000, 3.0759809E+000, 1.6750376E+000, 4.0490486E+000, 3.0656071E+000, 2.2322712E+000, 1.2536668E+000, 1.4000590E+000, 1.3695699E+000, 1.1612292E+000, 9.4270242E-001, 5.8158777E-001, 3.9302279E-001, 5.6869031E+000, 3.7462562E+000, 1.9406468E+000, 5.7179121E+000, 3.7253053E+000, 1.9926068E+000, 4.2872347E-001,-2.2233531E-001,-2.2417782E-001, 2.3898357E-001, 4.6368162E-001, 1.8566185E-001, 2.0446084E-001, 1.7185745E-001, 1.3108252E-001, 9.3116551E-002, 9.7836735E-002, 1.0571932E-001, 1.9084219E-001, 2.1677745E-001, 2.1238505E-001, 2.3254292E-001, 2.6161293E-001, 7.8088756E-002, 7.6767709E-002, 1.1527774E+209, 1.1527774E+209, 1.1527774E+209, 1.1527774E+209
 6.8000190E+001, 3.5511717E+001, 2.8272777E+001, 4.1596086E+001, 3.3491174E+001, 2.3615068E+001, 5.0983029E+001, 3.6184921E+001, 1.6454264E+001, 6.7498940E+000, 4.0573473E+001, 2.4909145E+001, 1.2536638E+001, 6.0169426E+000, 2.3795760E+001, 1.5468628E+001, 9.2510179E+000, 3.9618721E+000, 1.1712069E+001, 9.0229941E+000, 6.0931723E+000, 2.6097750E+000, 6.4110142E+000, 5.4144833E+000, 3.6769342E+000, 2.0321660E+000, 4.2674480E+000, 3.4833566E+000, 2.6057862E+000, 1.3912941E+000, 1.4031167E+000, 1.3794342E+000, 1.1716084E+000, 9.5365768E-001, 5.9323858E-001, 3.9010927E-001, 5.8033283E+000, 3.7910409E+000, 2.0122874E+000, 5.7239001E+000, 3.7316673E+000, 1.9922328E+000, 3.9764123E-001,-1.3213891E-001,-2.9260939E-001, 1.5378158E-001, 3.9938670E-001, 1.8227445E-001, 1.8379942E-001, 1.1901820E-001, 8.1250068E-002, 7.6320524E-002, 9.4076294E-002, 1.1709629E-001, 1.4628030E-001, 1.6459359E-001, 1.9915532E-001, 2.3433094E-001, 2.8436696E-001, 8.1370659E-002, 7.4596259E-002, 1.1130240E+209, 1.1130240E+209, 1.1130240E+209, 1.1130240E+209
 7.0000237E+001, 3.6833613E+001, 2.7133489E+001, 3.9043441E+001, 3.4096241E+001, 2.6945785E+001, 4.9022323E+001, 3.5746264E+001, 1.6792563E+001, 6.8795362E+000, 3.9261138E+001, 2.6754520E+001, 1.2356459E+001, 5.0188263E+000, 2.2417028E+001, 1.5504353E+001, 8.4247797E+000, 3.6749523E+000, 1.1493416E+001, 8.1585359E+000, 5.2385406E+000, 2.8823849E+000, 6.4977455E+000, 5.0079944E+000, 3.4707160E+000, 1.8774994E+000, 4.2330055E+000, 3.3738878E+000, 2.7738686E+000, 1.6488547E+000, 1.3988052E+000, 1.3730983E+000, 1.1589090E+000, 9.5070609E-001, 5.9620294E-001, 3.8896851E-001, 5.6459793E+000, 3.7335485E+000, 1.9124309E+000, 5.6974849E+000, 3.7186622E+000, 1.9788228E+000, 3.7504376E-001,-1.8113117E-001,-2.7442433E-001, 1.2752603E-001, 3.8552183E-001, 2.0615776E-001, 1.8861439E-001, 1.3414787E-001, 8.3735577E-002, 8.6063124E-002, 9.3868603E-002, 9.8457430E-002, 1.0686256E-001, 1.5194342E-001, 1.8492037E-001, 2.1612099E-001, 2.8503202E-001, 5.2257654E-002, 1.1935484E-001, 1.0759224E+209, 1.0759224E+209, 1.0759224E+209, 1.0759224E+209
 7.2000104E+001, 3.7487673E+001, 2.7841738E+001, 4.5793992E+001, 3.6221524E+001, 2.1878411E+001, 5.5694336E+001, 4.3125094E+001, 1.8198544E+001, 7.2876164E+000, 4.2794172E+001, 2.8920659E+001, 1.3542676E+001, 4.5384281E+000, 2.6821717E+001, 1.6895087E+001, 8.6304203E+000, 3.2069226E+000, 1.3179626E+001, 1.0020990E+001, 5.8451942E+000, 2.6887413E+000, 7.3293665E+000, 5.8990500E+000, 3.9752119E+000, 1.8651366E+000, 4.4613765E+000, 3.8745955E+000, 2.6488195E+000, 1.5188981E+000, 1.4420190E+000, 1.4099672E+000, 1.1741681E+000, 9.5760039E-001, 6.0007245E-001, 3.8544984E-001, 6.0196152E+000, 3.8893081E+000, 2.1303071E+000, 5.6102149E+000, 3.7156754E+000, 1.8945395E+000, 3.5219701E-001,-1.6377503E-001,-2.7592610E-001, 7.1427936E-002, 2.7136870E-001, 1.3768665E-001, 1.8005563E-001, 1.6751732E-001, 8.5038360E-002, 6.8077545E-002, 8.6086558E-002, 1.0464810E-001, 1.2071139E-001, 1.3925044E-001, 1.6449779E-001, 1.8923344E-001, 2.2854660E-001, 7.6462687E-002, 7.9045263E-002, 1.0412176E+209, 1.0412176E+209, 1.0412176E+209, 1.0412176E+209
 7.4000113E+001, 3.2990349E+001, 3.1273760E+001, 4.8715632E+001, 4.8402309E+001, 2.1307052E+001, 5.0010484E+001, 4.6050994E+001, 2.4529328E+001, 8.9321546E+000, 3.6614555E+001, 2.8751781E+001, 1.6807350E+001, 7.2441578E+000, 2.3408467E+001, 1.7075968E+001, 1.0380383E+001, 4.3267922E+000, 1.1976450E+001, 8.5330974E+000, 5.1885890E+000, 2.6284185E+000, 7.5115634E+000, 5.1877534E+000, 3.6637140E+000, 1.7629722E+000, 4.6955878E+000, 3.7714395E+000, 2.5981483E+000, 1.5783560E+000, 1.4842738E+000, 1.4734224E+000, 1.2043123E+000, 9.6542607E-001, 5.9754889E-001, 3.8785517E-001, 6.3091223E+000, 3.9441158E+000, 2.3650065E+000, 5.5783759E+000, 3.6356483E+000, 1.9427276E+000, 3.3167051E-001,-2.2100222E-001,-2.2568882E-001, 3.4977692E-002, 2.3086191E-001, 4.7597573E-002, 4.3076106E-002, 4.6520327E-002, 5.2845454E-002, 6.7268277E-002, 8.1005788E-002, 1.0156935E-001, 1.4038024E-001, 1.9929961E-001, 2.4696147E-001, 2.3592072E-001, 2.8760360E-001, 6.1930878E-002, 7.8850105E-002, 1.0086795E+209, 1.0086795E+209, 1.0086795E+209, 1.0086795E+209
 7.6000359E+001, 2.9382452E+001, 3.0058958E+001, 4.5611114E+001, 4.8168245E+001, 2.4419843E+001, 5.7168040E+001, 4.4153914E+001, 2.2747075E+001, 1.0035342E+001, 3.8082978E+001, 2.6169823E+001, 1.4437887E+001, 6.3712771E+000, 1.9466380E+001, 1.2393445E+001, 7.9884066E+000, 4.1063757E+000, 9.5815324E+000, 6.6101933E+000, 4.4948152E+000, 2.7291919E+000, 6.0496024E+000, 4.2001381E+000, 2.9485791E+000, 1.7632258E+000, 3.9923275E+000, 2.9912627E+000, 2.1439845E+000, 1.4181388E+000, 1.4853288E+000, 1.4620261E+000, 1.1751690E+000, 9.4874552E-001, 5.8023157E-001, 3.5715200E-001, 6.0792962E+000, 3.8113428E+000, 2.2679534E+000, 5.7320315E+000, 3.6766808E+000, 2.0553507E+000, 3.2823718E-001,-2.1586976E-001,-2.2649051E-001, 3.6364117E-002, 1.9244794E-001, 1.2312874E-002, 1.9966711E-002, 2.9690677E-002, 4.4442374E-002, 5.6850941E-002, 7.3085491E-002, 1.0687001E-001, 1.2422101E-001, 1.3511328E-001, 1.5832077E-001, 2.0027958E-001, 2.3778109E-001, 8.6938129E-002, 6.5543029E-002, 9.7810985E+208, 9.7810985E+208, 9.7810985E+208, 9.7810985E+208
