s,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW,kW,kW,kW,kW,kW,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m,m,m,deg,m,m
Time,HRR,HF 10-1,HF 10-2,HF 10-3,HF 10-4,HF 30-1,HF 30-2,HF 30-3,HF 30-4,HF 50-1,HF 50-2,HF 50-3,HF 50-4,HF 70-1,HF 70-2,HF 70-3,HF 70-4,HF 90-1,HF 90-2,HF 90-3,HF 90-4,HF 110-1,HF 110-2,HF 110-3,HF 110-4,HF 130-1,HF 130-2,HF 130-3,HF 130-4,HFG 10,HFG 35,HFG 60,HFG 85,HFG 110,HFG 135,GHF tot  y0,GHF rad  y0,GHF con  y0,GHF tot  x0,GHF rad  x0,GHF conv x0,Vmag burn ctr,U burn ctr,V burn ctr,W burn ctr,W vert burner-1,W vert burner-2,W vert burner-3,W vert burner-4,W vert burner-5,W vert burner-6,W vert burner-7,W vert burner-8,W vert burner-9,W vert burner-10,W vert burner-11,W vert burner-12,W vert burner-13,x_max,y_max,L_F,tilt,DELTA97_X,DELTA97_Y
 1.8000343E+001, 2.5412225E+001, 2.5169068E+001, 3.7935316E+001, 5.1777615E+001, 1.9336880E+001, 4.4467675E+001, 3.9075585E+001, 1.8693000E+001, 6.3725006E+000, 3.2857760E+001, 2.4244565E+001, 1.1974183E+001, 4.8838355E+000, 1.9528554E+001, 1.1868544E+001, 6.6028152E+000, 3.3523077E+000, 1.0382852E+001, 6.4023798E+000, 3.7487799E+000, 2.1764910E+000, 6.3117897E+000, 4.4807353E+000, 2.8360661E+000, 1.6965067E+000, 4.1504364E+000, 3.2711360E+000, 2.4792275E+000, 1.6604769E+000, 1.1347822E+000, 1.0860257E+000, 8.7127835E-001, 7.3493391E-001, 4.4094205E-001, 2.9465916E-001, 5.2312007E+000, 3.5260647E+000, 1.7051361E+000, 5.0620800E+000, 3.4845661E+000, 1.5775140E+000, 4.1011318E-001,-1.9464801E-001,-1.4652041E-001, 3.0413270E-001, 4.5129696E-001, 2.9961561E-001, 2.5773624E-001, 2.4886992E-001, 2.2190566E-001, 1.1401303E-001, 1.2525453E-001, 1.4174573E-001, 1.6080375E-001, 1.8304196E-001, 2.7425237E-001, 2.9450303E-001, 2.6511397E-001, 1.0377806E-001, 7.4870868E-002, 6.3774341E-001, 3.6932833E+000, 9.6576584E-002, 9.1727789E-002
 2.0000059E+001, 2.4204386E+001, 2.5560961E+001, 3.8477964E+001, 5.1144249E+001, 2.0483727E+001, 4.6773898E+001, 3.5579180E+001, 1.9934304E+001, 7.5882509E+000, 3.1401736E+001, 2.1871672E+001, 1.1428408E+001, 4.9821329E+000, 1.7517965E+001, 1.2078500E+001, 7.1509738E+000, 3.5208580E+000, 9.5013490E+000, 6.1855173E+000, 3.8536854E+000, 1.9613528E+000, 5.7465357E+000, 4.1038389E+000, 2.5589110E+000, 1.5402583E+000, 3.8943796E+000, 2.9935182E+000, 2.0946818E+000, 1.3960172E+000, 1.1302546E+000, 1.0936528E+000, 8.7827945E-001, 7.4232715E-001, 4.3638056E-001, 2.8776966E-001, 5.1105150E+000, 3.4501686E+000, 1.6603464E+000, 4.9686199E+000, 3.4098418E+000, 1.5587781E+000, 3.6368744E-001,-1.5725334E-001,-1.8165769E-001, 1.9617735E-001, 3.9942257E-001, 2.8082952E-001, 3.2610054E-001, 3.1874716E-001, 2.5040565E-001, 1.3477550E-001, 1.2707130E-001, 1.4663887E-001, 1.6445342E-001, 1.7588159E-001, 1.9019979E-001, 2.4275662E-001, 3.2362532E-001, 6.5684381E-002, 9.0459286E-002, 6.4054845E-001, 3.6745871E+000, 9.7759842E-002, 9.2263005E-002
 2.2000052E+001, 3.6926239E+001, 2.4775756E+001, 3.8314926E+001, 4.6504170E+001, 2.1178183E+001, 4.6045756E+001, 3.5708868E+001, 1.7526434E+001, 6.4417149E+000, 3.3881618E+001, 2.3200039E+001, 1.2448314E+001, 4.4043653E+000, 2.0107926E+001, 1.2579134E+001, 7.9802776E+000, 4.2846411E+000, 1.0560325E+001, 7.1323714E+000, 4.2555206E+000, 2.8391666E+000, 5.2534445E+000, 3.7773074E+000, 2.4725873E+000, 1.6821425E+000, 3.5865731E+000, 2.8286353E+000, 2.0481704E+000, 1.2418226E+000, 1.1490930E+000, 1.1019619E+000, 9.0227363E-001, 7.6379261E-001, 4.5636957E-001, 3.0641179E-001, 5.1673679E+000, 3.5246362E+000, 1.6427317E+000, 5.1314863E+000, 3.5012831E+000, 1.6302031E+000, 3.5486630E-001,-1.6276287E-001,-1.8937618E-001, 2.0151491E-001, 4.1776905E-001, 2.7461115E-001, 3.1924525E-001, 3.1340468E-001, 2.7245840E-001, 1.8753358E-001, 1.3019158E-001, 1.4944208E-001, 2.0815902E-001, 2.8046603E-001, 3.1705021E-001, 3.5769623E-001, 4.0395203E-001, 4.3634524E-002, 1.3213263E-001, 6.4380887E-001, 3.7679419E+000, 9.7254523E-002, 9.3192016E-002
 2.4000029E+001, 3.0777756E+001, 2.5152789E+001, 3.6920171E+001, 4.6536787E+001, 2.2684238E+001, 4.7550310E+001, 3.5941218E+001, 1.6615073E+001, 6.8941919E+000, 3.4211922E+001, 2.3519685E+001, 1.1554979E+001, 4.4408365E+000, 2.0745106E+001, 1.3750066E+001, 7.6382966E+000, 3.0511841E+000, 1.1395745E+001, 8.0226036E+000, 4.8197912E+000, 2.2234655E+000, 6.8023231E+000, 4.9850647E+000, 3.2569346E+000, 1.6221510E+000, 4.5139608E+000, 3.5058312E+000, 2.5079815E+000, 1.4176779E+000, 1.1769167E+000, 1.1230652E+000, 9.1121340E-001, 7.6993790E-001, 4.6055866E-001, 3.0679188E-001, 5.2718680E+000, 3.4954682E+000, 1.7763999E+000, 5.3524990E+000, 3.5299711E+000, 1.8225279E+000, 3.2087049E-001,-1.9380650E-001,-1.7020139E-001, 1.0624593E-001, 3.2382376E-001, 2.2838363E-001, 3.1329674E-001, 3.7282508E-001, 3.9241373E-001, 1.9348340E-001, 1.1050634E-001, 1.3208640E-001, 1.6494602E-001, 2.1279819E-001, 2.2453276E-001, 2.4034941E-001, 2.6927763E-001, 7.9805115E-002, 6.1429230E-002, 6.4587777E-001, 3.6430304E+000, 9.7742859E-002, 9.4519008E-002
 2.6000149E+001, 3.8741321E+001, 2.5698425E+001, 4.0155007E+001, 4.3524311E+001, 2.1107882E+001, 4.9781537E+001, 3.6940254E+001, 1.7797265E+001, 7.1848072E+000, 3.2096392E+001, 2.0893724E+001, 1.0661681E+001, 4.9695211E+000, 1.8213666E+001, 1.1830546E+001, 7.4198238E+000, 3.4807484E+000, 9.9380547E+000, 7.1748075E+000, 4.4535615E+000, 2.5124271E+000, 5.9601831E+000, 4.3176099E+000, 2.8650615E+000, 1.7513104E+000, 3.9945063E+000, 3.0942861E+000, 2.1510687E+000, 1.3485670E+000, 1.1970485E+000, 1.1648018E+000, 9.5186373E-001, 8.0368500E-001, 4.7140459E-001, 3.1435037E-001, 5.2189583E+000, 3.5129278E+000, 1.7060305E+000, 5.3960462E+000, 3.6505114E+000, 1.7455349E+000, 3.7104781E-001,-2.0235512E-001,-1.9597405E-001, 2.0832161E-001, 3.8293386E-001, 2.4076139E-001, 3.2074431E-001, 3.7484733E-001, 2.9544299E-001, 1.6320840E-001, 1.0068785E-001, 1.2247098E-001, 1.4664238E-001, 1.6834824E-001, 2.0215723E-001, 3.1347985E-001, 3.3649405E-001, 5.2295533E-002, 1.1766118E-001, 6.4607254E-001, 3.6619378E+000, 9.6849615E-002, 9.5517527E-002
 2.8000255E+001, 3.9748245E+001, 2.5282807E+001, 4.1352635E+001, 4.2576815E+001, 2.4585021E+001, 5.0434723E+001, 3.8727952E+001, 1.9391321E+001, 7.9341989E+000, 3.2316515E+001, 2.2482931E+001, 1.2469120E+001, 4.9811823E+000, 1.8169806E+001, 1.3684712E+001, 8.3575770E+000, 3.5116966E+000, 1.0846467E+001, 8.5621975E+000, 5.7383231E+000, 2.5742064E+000, 6.4608508E+000, 5.2671459E+000, 3.4299170E+000, 1.7860120E+000, 4.1829029E+000, 3.4932133E+000, 2.4506934E+000, 1.2398717E+000, 1.2077441E+000, 1.1653260E+000, 9.5926867E-001, 8.0882532E-001, 4.9172604E-001, 3.1982227E-001, 5.4471682E+000, 3.6214278E+000, 1.8257404E+000, 5.2712860E+000, 3.5562137E+000, 1.7150723E+000, 3.9996742E-001,-1.9059819E-001,-1.8521134E-001, 2.6103517E-001, 3.9776662E-001, 2.8735808E-001, 3.7903990E-001, 3.9959499E-001, 1.6444461E-001, 7.4658934E-002, 9.2157306E-002, 1.2246327E-001, 1.5399917E-001, 2.4230509E-001, 3.5516938E-001, 4.3678145E-001, 4.4250292E-001, 8.5972047E-002, 6.1424421E-002, 6.4606321E-001, 3.6149371E+000, 9.7436605E-002, 9.5848759E-002
 3.0000277E+001, 3.0777561E+001, 2.5277395E+001, 3.6736800E+001, 4.5248314E+001, 2.1085990E+001, 5.0457435E+001, 3.8857885E+001, 1.8681178E+001, 6.9586152E+000, 3.4671565E+001, 2.2947760E+001, 1.1889709E+001, 5.1219254E+000, 1.9405829E+001, 1.2111538E+001, 6.6096703E+000, 3.0174823E+000, 1.0766023E+001, 7.0234093E+000, 3.8686114E+000, 1.8954785E+000, 6.4187005E+000, 4.4121696E+000, 3.0686603E+000, 1.5017246E+000, 4.3585665E+000, 3.0455218E+000, 2.0828651E+000, 1.2145731E+000, 1.2170093E+000, 1.1628707E+000, 9.4683156E-001, 7.9330809E-001, 4.7197931E-001, 3.0768097E-001, 5.3480561E+000, 3.5329912E+000, 1.8150649E+000, 5.4850362E+000, 3.5789898E+000, 1.9060464E+000, 3.1768711E-001,-1.8623179E-001,-1.6769536E-001, 1.7196863E-001, 3.9316904E-001, 2.7065728E-001, 3.8783503E-001, 2.6003147E-001, 7.2124329E-002, 6.7657742E-002, 7.9491018E-002, 1.0135340E-001, 1.3292208E-001, 1.5437991E-001, 2.2134879E-001, 2.9383847E-001, 3.6970293E-001, 8.1647167E-002, 9.8689046E-002, 6.4665297E-001, 3.6255574E+000, 9.7138868E-002, 9.6303549E-002
 3.2000150E+001, 3.0329707E+001, 2.5344755E+001, 4.3097460E+001, 4.2807617E+001, 2.2200137E+001, 4.8246486E+001, 3.6931475E+001, 1.6515056E+001, 7.1568452E+000, 3.3487373E+001, 2.2976979E+001, 1.0905346E+001, 4.2574433E+000, 1.9836494E+001, 1.4071571E+001, 7.5743152E+000, 3.0639999E+000, 1.1294959E+001, 7.8902119E+000, 4.7484396E+000, 2.2616142E+000, 6.2745127E+000, 4.3366763E+000, 2.6753308E+000, 1.4852196E+000, 4.1485172E+000, 3.3080748E+000, 2.3179017E+000, 1.2369568E+000, 1.2409844E+000, 1.1914411E+000, 9.7511956E-001, 8.1937101E-001, 4.9281639E-001, 3.2375122E-001, 5.3855772E+000, 3.5680714E+000, 1.8175058E+000, 5.6246963E+000, 3.6268620E+000, 1.9978342E+000, 3.1221306E-001,-1.6141542E-001,-1.6170078E-001, 2.0761406E-001, 3.9824234E-001, 2.9591982E-001, 4.1673166E-001, 2.3401794E-001, 7.5153993E-002, 7.4130084E-002, 8.9465621E-002, 1.1580342E-001, 1.5248768E-001, 1.7148680E-001, 1.8674309E-001, 2.2342397E-001, 2.7392753E-001, 4.6393948E-002, 1.0963513E-001, 6.4950574E-001, 3.6135154E+000, 9.7137636E-002, 9.5981672E-002
 3.4000040E+001, 3.6536549E+001, 2.5920009E+001, 4.3763681E+001, 4.2552016E+001, 2.2410702E+001, 4.7826081E+001, 3.9814305E+001, 1.8934878E+001, 6.7487824E+000, 3.2617720E+001, 2.3859988E+001, 1.3733293E+001, 5.7212703E+000, 1.8028621E+001, 1.3578566E+001, 9.1243732E+000, 4.2089471E+000, 9.8866139E+000, 7.4997471E+000, 4.4628846E+000, 2.6724543E+000, 5.5098798E+000, 4.1959311E+000, 2.6307493E+000, 1.5325038E+000, 3.5048308E+000, 2.6315533E+000, 1.9043273E+000, 1.3582476E+000, 1.2811821E+000, 1.2474935E+000, 1.0213348E+000, 8.5230516E-001, 5.1562763E-001, 3.3682408E-001, 5.4549079E+000, 3.6548266E+000, 1.8000813E+000, 5.6019213E+000, 3.6854806E+000, 1.9164407E+000, 3.5212783E-001,-2.1188086E-001,-1.2943038E-001, 2.2403482E-001, 4.0176411E-001, 2.5758435E-001, 3.7544439E-001, 2.3030458E-001, 7.0443214E-002, 6.0818914E-002, 7.8608914E-002, 1.0108167E-001, 1.2263883E-001, 1.5393064E-001, 1.7332997E-001, 2.0453263E-001, 2.3955338E-001, 6.1712711E-002, 1.0550421E-001, 6.4973587E-001, 3.6525969E+000, 9.7820660E-002, 9.7412458E-002
 3.6000133E+001, 3.6550036E+001, 2.7149602E+001, 4.5299985E+001, 4.3935145E+001, 2.0700144E+001, 4.8783927E+001, 3.7683775E+001, 2.2146798E+001, 7.7461042E+000, 3.2884852E+001, 2.4453337E+001, 1.4047381E+001, 5.4997040E+000, 1.8130674E+001, 1.4122368E+001, 9.2499879E+000, 4.2766282E+000, 9.8323424E+000, 7.7683428E+000, 5.5771566E+000, 2.9194431E+000, 5.5927399E+000, 4.3327674E+000, 3.7902536E+000, 2.5025978E+000, 3.4705718E+000, 2.9462428E+000, 2.5211463E+000, 1.8049947E+000, 1.2805399E+000, 1.2385084E+000, 1.0082461E+000, 8.3122603E-001, 5.0592811E-001, 3.2647600E-001, 5.6479382E+000, 3.6948931E+000, 1.9530452E+000, 5.3501423E+000, 3.5399828E+000, 1.8101595E+000, 3.3673286E-001,-1.7012229E-001,-1.7522516E-001, 2.1454932E-001, 3.9435208E-001, 3.0830447E-001, 3.3664720E-001, 1.5091939E-001, 5.0617646E-002, 5.0319186E-002, 1.1412922E-001, 1.5103764E-001, 2.4723093E-001, 3.1403504E-001, 3.2011882E-001, 4.0067383E-001, 4.2203875E-001, 1.3075528E-001, 4.5850576E-002, 6.5002368E-001, 3.6896334E+000, 9.7523433E-002, 9.7175593E-002
