flow-time,hrr-total,hrr-kW,time-exp,HHR-theoretical-kW
0,0,0,0,15
0.0025,7150.679116,7.150679116,60,15
0.005,10385.94618,10.38594618,,
0.0075,11698.15113,11.69815113,,
0.01,12612.90991,12.61290991,,
0.0125,12994.55523,12.99455523,,
0.015,13126.41847,13.12641847,,
0.0175,13184.44751,13.18444751,,
0.02,10645.6408,10.6456408,,
0.0225,4681.875239,4.681875239,,
0.025,3782.365986,3.782365986,,
0.0275,3804.830784,3.804830784,,
0.03,4144.07449,4.14407449,,
0.0325,4935.749499,4.935749499,,
0.035,5204.956651,5.204956651,,
0.0375,5047.47848,5.04747848,,
0.04,5282.454173,5.282454173,,
0.0425,5536.639926,5.536639926,,
0.045,5441.671717,5.441671717,,
0.0475,5685.637897,5.685637897,,
0.05,5652.39275,5.65239275,,
0.0525,5210.983963,5.210983963,,
0.055,5294.061779,5.294061779,,
0.0575,5647.229069,5.647229069,,
0.06,6034.893729,6.034893729,,
0.0625,6024.969725,6.024969725,,
0.065,6229.609944,6.229609944,,
0.0675,6448.282553,6.448282553,,
0.07,6568.425861,6.568425861,,
0.0725,6828.265952,6.828265952,,
0.075,6718.701677,6.718701677,,
0.0775,6641.320642,6.641320642,,
0.08,6319.293432,6.319293432,,
0.0825,6097.147356,6.097147356,,
0.085,5952.119787,5.952119787,,
0.0875,6131.206256,6.131206256,,
0.09,6594.372141,6.594372141,,
0.0925,7027.503738,7.027503738,,
0.095,7273.760475,7.273760475,,
0.0975,7535.222265,7.535222265,,
0.1,7837.075332,7.837075332,,
0.1025,7709.392335,7.709392335,,
0.105,7598.28119,7.59828119,,
0.1075,7572.364311,7.572364311,,
0.11,7338.162175,7.338162175,,
0.1125,7441.962354,7.441962354,,
0.115,7648.560412,7.648560412,,
0.1175,7954.073734,7.954073734,,
0.12,8011.903742,8.011903742,,
0.1225,8549.025614,8.549025614,,
0.125,8837.234148,8.837234148,,
0.1275,8589.023916,8.589023916,,
0.13,8474.034769,8.474034769,,
0.1325,8677.10751,8.67710751,,
0.135,8339.822474,8.339822474,,
0.1375,8589.164006,8.589164006,,
0.14,8840.579002,8.840579002,,
0.1425,9006.116027,9.006116027,,
0.145,9269.403265,9.269403265,,
0.1475,9149.926465,9.149926465,,
0.15,9992.655953,9.992655953,,
0.1525,9875.597881,9.875597881,,
0.155,10047.08584,10.04708584,,
0.1575,9637.759797,9.637759797,,
0.16,9974.815632,9.974815632,,
0.1625,9874.41539,9.87441539,,
0.165,10334.72207,10.33472207,,
0.1675,9971.504953,9.971504953,,
0.17,9793.392155,9.793392155,,
0.1725,10743.67889,10.74367889,,
0.175,10972.57234,10.97257234,,
0.1775,10858.08849,10.85808849,,
0.18,11092.11347,11.09211347,,
0.1825,11082.06411,11.08206411,,
0.185,10813.86087,10.81386087,,
0.1875,10318.13183,10.31813183,,
0.19,10909.98268,10.90998268,,
0.1925,11894.43504,11.89443504,,
0.195,11986.15804,11.98615804,,
0.1975,12045.07435,12.04507435,,
0.2,12165.53912,12.16553912,,
