flow-time,hrr-total,hrr-kW,time-exp,HHR-theoretical-kW
0,0,0,0,15
0.0025,7501.170505,7.501170505,60,15
0.005,7661.550257,7.661550257,,
0.0075,5975.081294,5.975081294,,
0.01,3715.389853,3.715389853,,
0.0125,2405.294623,2.405294623,,
0.015,1761.521409,1.761521409,,
0.0175,1549.212179,1.549212179,,
0.02,1485.688595,1.485688595,,
0.0225,1498.116546,1.498116546,,
0.025,1660.455211,1.660455211,,
0.0275,1855.741375,1.855741375,,
0.03,1906.583684,1.906583684,,
0.0325,1760.683782,1.760683782,,
0.035,1764.462997,1.764462997,,
0.0375,1853.649888,1.853649888,,
0.04,1963.682132,1.963682132,,
0.0425,2075.776765,2.075776765,,
0.045,1959.198473,1.959198473,,
0.0475,1863.864849,1.863864849,,
0.05,1843.414494,1.843414494,,
0.0525,1865.875484,1.865875484,,
0.055,1878.380878,1.878380878,,
0.0575,1812.773557,1.812773557,,
0.06,1721.217058,1.721217058,,
0.0625,1701.777038,1.701777038,,
0.065,1709.616789,1.709616789,,
0.0675,1729.336366,1.729336366,,
0.07,1682.422141,1.682422141,,
0.0725,1648.338421,1.648338421,,
0.075,1658.700846,1.658700846,,
0.0775,1699.621722,1.699621722,,
0.08,1685.096893,1.685096893,,
0.0825,1641.998316,1.641998316,,
0.085,1667.975786,1.667975786,,
0.0875,1727.817709,1.727817709,,
0.09,1707.21339,1.70721339,,
0.0925,1686.238894,1.686238894,,
0.095,1700.589991,1.700589991,,
0.0975,1702.542195,1.702542195,,
0.1,1652.498053,1.652498053,,
0.1025,1662.707533,1.662707533,,
0.105,1712.973494,1.712973494,,
0.1075,1720.170954,1.720170954,,
0.11,1704.866275,1.704866275,,
0.1125,1786.955165,1.786955165,,
0.115,1842.753113,1.842753113,,
0.1175,1794.226644,1.794226644,,
0.12,1790.092546,1.790092546,,
0.1225,1851.998196,1.851998196,,
0.125,1836.568551,1.836568551,,
0.1275,1876.854931,1.876854931,,
0.13,1966.928242,1.966928242,,
0.1325,1950.784647,1.950784647,,
0.135,1949.271687,1.949271687,,
0.1375,2030.254402,2.030254402,,
0.14,2037.94869,2.03794869,,
0.1425,2016.334054,2.016334054,,
0.145,2099.416978,2.099416978,,
0.1475,2136.645239,2.136645239,,
0.15,2142.451975,2.142451975,,
0.1525,2233.688942,2.233688942,,
0.155,2257.797109,2.257797109,,
0.1575,2233.254447,2.233254447,,
0.16,2285.452474,2.285452474,,
0.1625,2335.173612,2.335173612,,
0.165,2339.929933,2.339929933,,
0.1675,2423.067229,2.423067229,,
0.17,2458.968577,2.458968577,,
0.1725,2451.139099,2.451139099,,
0.175,2537.174292,2.537174292,,
0.1775,2590.690272,2.590690272,,
0.18,2605.827509,2.605827509,,
0.1825,2657.081006,2.657081006,,
0.185,2691.941986,2.691941986,,
0.1875,2705.85319,2.70585319,,
0.19,2754.002969,2.754002969,,
0.1925,2739.077643,2.739077643,,
0.195,2735.79373,2.73579373,,
0.1975,2820.065372,2.820065372,,
0.2,2856.253956,2.856253956,,
0.2025,2917.256772,2.917256772,,
0.205,3030.26903,3.03026903,,
0.2075,3081.450645,3.081450645,,
0.21,3158.742532,3.158742532,,
0.2125,3288.600214,3.288600214,,
0.215,3375.313621,3.375313621,,
0.2175,3429.853692,3.429853692,,
0.22,3681.388568,3.681388568,,
0.2225,3695.420013,3.695420013,,
0.225,3853.117538,3.853117538,,
0.2275,4133.164199,4.133164199,,
0.23,4041.546479,4.041546479,,
0.2325,4525.604451,4.525604451,,
0.235,4315.24433,4.31524433,,
0.2375,4795.464125,4.795464125,,
0.24,4643.127136,4.643127136,,
0.2425,4974.80781,4.97480781,,
0.245,5043.120427,5.043120427,,
0.2475,5142.297116,5.142297116,,
0.25,5358.93982,5.35893982,,
0.2525,5306.518082,5.306518082,,
0.255,5642.390527,5.642390527,,
0.2575,5480.714027,5.480714027,,
0.26,5815.353796,5.815353796,,
0.2625,5653.033851,5.653033851,,
0.265,5891.692624,5.891692624,,
0.2675,5822.180009,5.822180009,,
0.27,5919.979798,5.919979798,,
0.2725,5959.130495,5.959130495,,
0.275,5933.016136,5.933016136,,
0.2775,6046.36539,6.04636539,,
0.28,5945.00347,5.94500347,,
0.2825,6081.998115,6.081998115,,
0.285,5963.423518,5.963423518,,
0.2875,6048.987202,6.048987202,,
0.29,6005.936991,6.005936991,,
0.2925,5988.003718,5.988003718,,
0.295,6008.320939,6.008320939,,
0.2975,5934.934094,5.934934094,,
0.3,5987.519221,5.987519221,,
0.3025,5889.583488,5.889583488,,
0.305,5990.643684,5.990643684,,
0.3075,5797.484475,5.797484475,,
0.31,5979.997664,5.979997664,,
0.3125,5773.398419,5.773398419,,
0.315,6050.674622,6.050674622,,
0.3175,5940.905817,5.940905817,,
0.32,6159.06993,6.15906993,,
0.3225,6182.648929,6.182648929,,
0.325,6387.263005,6.387263005,,
0.3275,6396.964781,6.396964781,,
0.33,6585.936253,6.585936253,,
0.3325,6664.030287,6.664030287,,
0.335,6727.246061,6.727246061,,
0.3375,7004.485508,7.004485508,,
0.34,6852.628479,6.852628479,,
0.3425,7219.854149,7.219854149,,
0.345,6989.246021,6.989246021,,
0.3475,7224.848947,7.224848947,,
0.35,7235.444506,7.235444506,,
0.3525,7165.420075,7.165420075,,
0.355,7408.68667,7.40868667,,
0.3575,7143.721421,7.143721421,,
0.36,7379.616815,7.379616815,,
0.3625,7151.926283,7.151926283,,
0.365,7274.300476,7.274300476,,
0.3675,7100.619658,7.100619658,,
0.37,7053.993116,7.053993116,,
0.3725,7040.578076,7.040578076,,
0.375,6842.249953,6.842249953,,
0.3775,6947.680724,6.947680724,,
0.38,6762.571708,6.762571708,,
0.3825,6868.29382,6.86829382,,
0.385,6886.986787,6.886986787,,
0.3875,6825.890551,6.825890551,,
0.39,6862.733617,6.862733617,,
0.3925,6866.991563,6.866991563,,
0.395,6682.186664,6.682186664,,
0.3975,6677.998548,6.677998548,,
0.4,6706.891454,6.706891454,,
0.4025,6512.654654,6.512654654,,
0.405,6366.196915,6.366196915,,
0.4075,6305.10554,6.30510554,,
0.41,6270.226254,6.270226254,,
0.4125,6094.299675,6.094299675,,
0.415,5868.601733,5.868601733,,
0.4175,5581.637436,5.581637436,,
0.42,5254.966599,5.254966599,,
0.4225,5015.345339,5.015345339,,
0.425,4859.30612,4.85930612,,
0.4275,4800.973562,4.800973562,,
0.43,4802.483134,4.802483134,,
0.4325,4837.107752,4.837107752,,
0.435,4852.003826,4.852003826,,
0.4375,4933.586845,4.933586845,,
0.44,5038.837561,5.038837561,,
0.4425,5129.575514,5.129575514,,
0.445,5233.356017,5.233356017,,
0.4475,5376.172785,5.376172785,,
0.45,5562.395328,5.562395328,,
0.4525,5867.272882,5.867272882,,
0.455,6082.824788,6.082824788,,
0.4575,6229.705135,6.229705135,,
0.46,6431.358377,6.431358377,,
0.4625,6584.732794,6.584732794,,
0.465,6703.383064,6.703383064,,
0.4675,6781.824402,6.781824402,,
0.47,6772.964046,6.772964046,,
0.4725,6729.336332,6.729336332,,
0.475,6555.61924,6.55561924,,
0.4775,6413.807886,6.413807886,,
0.48,6132.983974,6.132983974,,
