Z/Q^0.4,dT (C)
0.009,582.083
0.018,636.74
0.02,696.73
0.03,775.168
0.033,787.654
0.039,798.255
0.043,807.031
0.07,782.184
0.08,768.454
0.089,734.306
0.093,715.593
0.123,618.154
0.157,489.969
0.187,402.152
0.214,317.615
0.245,239.71
