Z/Q^0.4,dT (C)
0.01,628.044
0.019,674.252
0.021,702.917
0.022,746.376
0.03,744.57
0.032,796.977
0.037,803.836
0.047,782.926
0.051,812.511
0.058,810.936
0.074,736.366
0.077,768.076
0.098,691.352
0.103,707.044
0.105,630.833
0.133,562.217
0.135,542.676
0.17,446.874
0.175,421.475
0.199,365.911
0.209,343.708
0.234,299.519
0.236,277.938
0.271,205.513
