Z/Q^0.4,dT (C)
0.013,735.548
0.027,808.765
0.029,808.221
0.037,811.104
0.04,778.953
0.043,846.387
0.049,847.186
0.058,770.783
0.063,764.802
0.064,810.109
0.076,704.452
0.083,729.177
0.095,568.299
0.099,606.984
0.103,652.89
0.117,496.086
0.117,586.594
0.12,506.88
0.121,535.786
0.124,497.075
0.137,508.168
0.14,438.512
0.156,380.832
0.156,406.45
0.18,343.03
0.182,368.537
0.231,237.052
0.234,238.833
0.266,181.827
0.281,186.774
0.312,155.968
0.316,145.604
0.364,121.996
0.388,110.466
0.398,104.228
