Z/Q^0.4,dT (C)
0.015,749.362
0.017,755.141
0.02,788.882
0.024,809.4
0.026,805.532
0.027,825.849
0.031,822.4
0.031,817.324
0.044,799.203
0.047,827.246
0.051,769.259
0.051,841.958
0.064,723.802
0.068,728.121
0.068,765.927
0.07,722.076
0.082,667.09
0.084,688.126
0.087,666.9
0.089,619.007
0.092,666.142
0.097,605.88
0.101,564.346
0.102,598.193
0.108,544.898
0.109,516.107
0.11,567.386
0.113,534.805
0.118,517.73
0.128,482.342
0.129,464.283
0.133,481.302
0.134,459.841
0.149,416.158
0.159,361.177
0.16,368.298
0.162,393.526
0.169,345.654
0.18,318.868
0.191,278.832
0.2,249.809
0.21,254.54
0.212,230.82
0.217,247.284
0.233,217.422
0.243,207.378
0.253,202.317
0.264,187.716
0.276,165.435
0.277,171.185
0.285,156.525
0.287,162.027
0.298,152.873
0.308,149.759
0.319,139.936
0.328,132.036
0.33,136.252
0.34,132.106
0.374,115.639
0.379,113.581
0.414,88.656
0.428,92.986
0.43,83.749
0.484,72.996
0.501,71.457
0.512,66.559
0.526,61.801
0.542,62.077
