nodenumber,x-coordinate,y-coordinate,z-coordinate,heat-release-rate,velocity-magnitude,x-velocity,y-velocity,z-velocity,cell-reynolds-number,cell-convective-courant-number,temperature,absorption-coefficient,volumetric-absorbed-radiation,volumetric-emitted-radiation,rmse-flamelet-surrounding-temperature-ratio,rmse-flamelet-temperature-excess,rmse-flamelet-volume-fraction,rmse-heat-release-rate,rmse-reactivity,rmse-soot-volume-fraction-2,rmse-subgrid-combustion-factor,mean-flamelet-surrounding-temperature-ratio,mean-flamelet-temperature-excess,mean-flamelet-volume-fraction,mean-heat-release-rate,mean-reactivity,mean-soot-volume-fraction-2,mean-subgrid-combustion-factor,mean-pressure,mean-velocity-magnitude,mean-x-velocity,mean-y-velocity,mean-z-velocity,mean-temperature,mean-o2-mass-fraction,mean-co2-mass-fraction,mean-h2o-mass-fraction,rmse-pressure,rmse-velocity-magnitude,rmse-x-velocity,rmse-y-velocity,rmse-z-velocity,rmse-temperature,rmse-o2-mass-fraction,rmse-co2-mass-fraction,rmse-h2o-mass-fraction,sgs-viscosity-ratio,c2h4,o2,co2,h2o,soot-volume-fraction,soot-rate,soot-oxidation-rate,udm-0,udm-1,udm-2,udm-3,udm-4,udm-5,udm-6,udm-7,udm-8,udm-9,udm-10,udm-11,udm-12,udm-13,udm-14,udm-15,viscosity-lam,heat-flux,surf-incident-radiation,strain-rate-mag
19,7.225000108,6.681900353e-18,0.2249999996,0.0,0.4382621573,0.2761035486,0.002304074199,0.3379087949,96.60144147,0.6033108663,298.1593125,3.075928082e-05,1.30489551,0.05516095604,0.03323203489,15.86894898,0.2766885231,3069854.85,0.1657590197,0.40147841630000003,0.4137111197,1.003266728,1.536152576,0.2252211332,521727.5081,0.2264787371,0.11948452340000001,0.3555317943,-0.9093346051,0.4130964538,-0.06495833235,-0.01447954683,0.4076534336,555.87242,0.1954672566,0.03182761338,0.01226247,1.042863967,0.5686709576,0.3331360955,0.2382919596,0.394475353,430.8936678,0.06812888655,0.05796055943,0.02127386631,0.04085156618,0.0,0.2329167705,5.268509847e-07,4.193420031e-07,1.27450013e-11,-9.329458939e-25,9.329458939e-25,0.0,1.000000015,298.1593125,298.1593125,1.000000015,0.0,0.0,0.5000000075,1.000000015,0.0,0.0,0.0,0.0,0.2343662778,0.0,0.0,1.959710855e-05,0.0,0.0,26.8126668
20,7.4125,7.100437594e-18,0.2249999962,0.0,0.4131025063,0.2606667571,0.003367730286,0.3181126711,88.25867098,0.5678923904,298.1515335,3.43229246e-06,0.1378958199,0.006152197163,0.0321551803,15.5612636,0.2707412817,3048883.971,0.1648842093,0.39524363170000004,0.410765734,1.003197891,1.530456912,0.2074280875,521051.1186,0.2293828911,0.11373340729999999,0.3346377634,-0.9087790516,0.3741033845,-0.07004449609,-0.01566429048,0.3671014046,536.8705378,0.1980220516,0.02966388457,0.01143805454,1.040370493,0.5452545821,0.3231466038,0.2275799245,0.3756008165,419.5204343,0.06653683908,0.05664437977,0.02081130306,0.08380039425,0.0,0.2329174358,4.673152052e-08,6.733766057e-08,1.753853765e-12,-4.6117218340000004e-26,4.6117218340000004e-26,0.0,1.0,298.1515335,298.1515335,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.2367071159,0.0,0.0,1.959681996e-05,0.0,0.0,26.61277187
21,7.600000112999999,7.518975037e-18,0.2249999996,0.0,0.3868928904,0.2406835989,0.004535379044,0.3006477717,92.25482032,0.453940436,298.1505931,1.108654665e-06,0.04177820647,0.001987067569,0.02830739059,14.58628479,0.2519477873,2953190.426,0.1929449264,0.388853801,0.3979222166,1.002804773,1.439549779,0.1811151144,495906.8633,0.269508342,0.1079812598,0.3098396717,-0.9081246699,0.3404650992,-0.07957142421,-0.01601551589,0.3304219535,518.1937832,0.2006041888,0.02749263343,0.01060707977,1.037764367,0.5225313426,0.3117801743,0.2167821366,0.3589263381,406.9485269,0.06473378572,0.05516431135,0.02028782698,0.08441859416,5.924788401e-13,0.2329174897,1.276443627e-08,2.784155159e-08,6.481024319e-13,-9.851986400999999e-27,9.851986400999999e-27,0.0,1.000000015,298.1505931,298.1505931,1.000000015,0.0,0.0,0.5000000075,0.9752892198,0.0,8.181238258e-13,0.0,0.0,0.2674287475,0.0,0.0,1.95967848e-05,0.0,0.0,24.07185238
22,7.904682087,9.46543844e-18,0.2249999962,0.0,0.3535705707,0.2183789882,0.006225821464,0.2761266434,87.00640306,0.3738253047,298.1502693,5.829173235e-07,0.02032394178,0.001044769453,0.0251239231,13.10640926,0.2380597933,2742228.638,0.1960739433,0.3754659027,0.3911262709,1.002330364,1.22125519,0.1546397264,431649.5968,0.2716083005,0.09813207845000001,0.2948009373,-0.9071597353,0.2920178692,-0.08533973818,-0.01519486795,0.2787142905,488.4509251,0.2047209458,0.02402959249,0.009253885811,1.033222324,0.4884102609,0.2963924811,0.199661545,0.3328834252,384.685787,0.06161949153,0.05262543489,0.01931391461,0.09758344031,6.105334973e-12,0.2329174941,8.908847049e-09,1.442276373e-08,3.033845508e-13,-3.5295805099999996e-27,3.5295805099999996e-27,0.0,1.0,298.1502693,298.1502693,1.0,0.0,0.0,0.5,0.6170364053,0.0,8.511930729e-12,0.0,0.0,0.2523395105,0.0,0.0,1.959677252e-05,0.0,0.0,20.84736724
23,8.209364175000001,1.141190195e-17,0.2249999962,0.0,0.3216177306,0.1955152462,0.006834104049,0.2537799804,76.50991464,0.3420827494,298.1501542,3.642152388e-07,0.0119433989,0.0006527857291,0.02187554903,11.1756482,0.2304544201,2439219.66,0.1815460662,0.356095453,0.3894809622,1.001880516,0.9623164939,0.1353551774,358889.2303,0.2475913897,0.0871323128,0.2773609311,-0.9052678618,0.2522421601,-0.09222543004,-0.01329909671,0.2340477502,460.406926,0.2086265592,0.02073977024,0.007948140799,1.02863338,0.4535727252,0.2805664321,0.1825988847,0.3060232912,360.7360662,0.05824153795,0.04986217669,0.01821925156,0.1122601531,8.245202033e-12,0.2329174989,6.405230479e-09,8.920666693e-09,1.75751132e-13,-1.5702467259999999e-27,1.5702467259999999e-27,0.0,1.0,298.1501542,298.1501542,1.0,0.0,0.0,0.5,0.4629361796,0.0,1.157983477e-11,0.0,0.0,0.2194896793,0.0,0.0,1.959676821e-05,0.0,0.0,18.88572445
24,8.514046261999999,1.3358365469999999e-17,0.2249999962,0.0,0.2935757301,0.1778397879,0.008200020691,0.232267914,68.15037124,0.3132767678,298.1500823,2.103215527e-07,0.006498727545,0.0003769603039,0.01768078463,8.675899511,0.2200155578,2080783.055,0.167273986,0.3298020497,0.3990370307,1.001359283,0.6681876682,0.116229278,286810.4,0.224019531,0.07516803474,0.2783442898,-0.9025909331,0.2175975969,-0.09597741104,-0.01111749857,0.1947245027,434.3649485,0.2123193673,0.01761438894,0.006719839139,1.024054039,0.4175508987,0.2646598817,0.1645293035,0.2778552901,334.7273872,0.05439203507,0.04665963995,0.01699358092,0.1148976031,5.570103805e-12,0.2329175037,4.035167872e-09,5.166427185e-09,9.313701882000001e-14,-6.226315024e-28,6.226315024e-28,0.0,1.0,298.1500823,298.1500823,1.0,0.0,0.0,0.5,0.3115355169,0.0,7.891173629e-12,0.0,0.0,0.1863525999,0.0,0.0,1.959676559e-05,0.0,0.0,16.72523858
25,8.818728481,1.5304829209999998e-17,0.2249999996,0.0,0.269075359,0.1607534518,0.008851231462,0.2146625461,62.7237846,0.2762993137,298.1500482,1.129742887e-07,0.003287441456,0.0002024841567,0.01460928814,6.840057322,0.205180835,1817484.617,0.1585900816,0.2993784624,0.4127245353,1.000987634,0.4651794105,0.09690300026,231094.8247,0.2129946382,0.06308903708000001,0.2894196913,-0.899468755,0.1908036397,-0.1014776494,-0.009026838816,0.1606710939,410.0490062,0.215873664,0.01458371985,0.005563589865,1.01949832,0.3819826037,0.2482124686,0.1448064848,0.2515948574,305.5777767,0.04987302329,0.04283002097,0.01559960993,0.1203416518,2.334387674e-12,0.2329175107,2.332206989e-09,2.782615659e-09,4.5932974690000005e-14,-2.258442745e-28,2.258442745e-28,0.0,1.000000015,298.1500482,298.1500482,1.000000015,0.0,0.0,0.5000000075,0.2323894549,0.0,3.316793719e-12,0.0,0.0,0.1657724342,0.0,0.0,1.959676486e-05,0.0,0.0,14.63709769
26,9.184346943000001,1.555690114e-17,0.2249999962,0.0,0.2431836255,0.1414623458,0.008859575014,0.1968851226,57.2822693,0.2402575447,298.1500191,5.387165786e-08,0.001452530831,9.655427359e-05,0.01207354347,5.494464327,0.1851862407,1572782.703,0.1454093542,0.2659086018,0.4326348044,1.000727214,0.3328005845,0.07548905483,177806.8754,0.2003365819,0.04976796069,0.3133865219,-0.8953776092,0.1671089162,-0.1064380192,-0.006510778397,0.1283084063,383.4218968,0.2198452304,0.01118720637,0.004282211855,1.013993729,0.3428496922,0.2287049165,0.1219438031,0.2243658184,268.0633758,0.04399916193,0.03783411804,0.01378211096,0.1295706245,4.233870538e-13,0.2329175097,1.088141467e-09,1.207447743e-09,1.924923353e-14,-6.245970305e-29,6.245970305e-29,0.0,1.0,298.1500191,298.1500191,1.0,0.0,0.0,0.5,0.4070384895,0.0,5.926463916e-13,0.0,0.0,0.1566036758,0.0,0.0,1.959676361e-05,0.0,0.0,13.32033273
27,9.549965679,1.580897355e-17,0.2249999996,0.0,0.2178228157,0.1235430432,0.008659452636,0.1785137578,51.51650014,0.2178634641,298.1500116,2.334660462e-08,0.0005923348405,4.184415189e-05,0.009589497149,4.358390933,0.1646319699,1316893.996,0.1298674386,0.2345280082,0.4510017992,1.000522207,0.238095294,0.05755738768,130632.5677,0.1804820986,0.0386678578,0.3399152659,-0.8910487124,0.151927297,-0.1100494281,-0.004158980767,0.1041440338,360.9034601,0.2232213027,0.008305283542,0.003181461898,1.008520934,0.3065009143,0.2094897218,0.1034605219,0.1983388086,231.1308514,0.03827935503,0.0329911136,0.01197068153,0.1244932324,1.4442690530000003e-14,0.2329175144,4.188787963e-10,4.423922767e-10,7.422654865e-15,-1.4874865990000002e-29,1.4874865990000002e-29,0.0,1.000000015,298.1500116,298.1500116,1.000000015,0.0,0.0,0.5000000075,0.7874812367,0.0,2.0216667410000003e-14,0.0,0.0,0.1422821982,0.0,0.0,1.95967631e-05,0.0,0.0,12.10224396
28,9.915584130000001,1.6061045469999998e-17,0.2249999962,0.0,0.1964362501,0.1072987207,0.008663669608,0.163658725,46.75742145,0.1983364645,298.1500019,5.700663071e-09,0.0001355145601,1.021730482e-05,0.006810454383,3.20092702,0.1446004252,1095635.189,0.1172035743,0.1986024984,0.4618854615,1.000330959,0.1548159979,0.04342198267,96480.91204,0.1624368986,0.02912190473,0.3568703248,-0.8864281687,0.1405798968,-0.1111410755,-0.002480196555,0.08586007245,342.9689158,0.225951643,0.005975420263,0.002288542703,1.003156596,0.2726609659,0.1912861239,0.08849967482,0.1729280077,195.990652,0.03266396088,0.02822259349,0.01020876703,0.1176290781,0.0,0.2329175114,1.044653274e-10,1.134881859e-10,1.922039452e-15,-2.1516156630000003e-30,2.1516156630000003e-30,0.0,1.0,298.1500019,298.1500019,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.1278485976,0.0,0.0,1.959676262e-05,0.0,0.0,10.87410491
