avg_mix_frac,avg_temp,avg_x_vel,avg_y_vel,avg_z_vel,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0.0060039,477.87,-0.32732,0.0085426,1.1736,1,1.48,0.48,0,0.9
0.0052174,461.69,-0.32631,-0.00020339,1.0726,1,1.5,0.5,0,0.9
0.0044618,441.54,-0.32007,0.00019868,0.96299,1,1.52,0.52,0,0.9
0.0037077,421.22,-0.31358,0.0010318,0.85304,1,1.54,0.54,0,0.9
0.0029889,401.71,-0.30791,0.0015783,0.7497,1,1.56,0.56,0,0.9
0.0025295,388.2,-0.30823,1.4832e-05,0.69513,1,1.58,0.58,0,0.9
0.0020701,374.7,-0.30855,-0.0015487,0.64056,1,1.6,0.6,0,0.9
0.0016428,362.01,-0.30898,-0.0037924,0.58732,1,1.62,0.62,0,0.9
0.0014143,354.4,-0.31001,-0.010236,0.54229,1,1.64,0.64,0,0.9
0.0011857,346.78,-0.31105,-0.016679,0.49727,1,1.66,0.66,0,0.9
0.00095742,339.16,-0.31207,-0.023096,0.45227,1,1.68,0.68,0,0.9
0.00081938,333.69,-0.3074,-0.020439,0.41219,1,1.7,0.7,0,0.9
0.00068134,328.21,-0.30273,-0.017782,0.37212,1,1.72,0.72,0,0.9
0.0005433,322.73,-0.29805,-0.015124,0.33205,1,1.74,0.74,0,0.9
0.00045411,318.99,-0.29853,-0.013524,0.29751,1,1.76,0.76,0,0.9
0.00038613,316,-0.30124,-0.012382,0.26538,1,1.78,0.78,0,0.9
0.00031814,313,-0.30395,-0.01124,0.23325,1,1.8,0.8,0,0.9
0.00025904,310.39,-0.30395,-0.009422,0.20506,1,1.82,0.82,0,0.9
0.00023344,309.18,-0.29375,-0.0050548,0.1917,1,1.84,0.84,0,0.9
0.00020784,307.98,-0.28354,-0.00068764,0.17835,1,1.86,0.86,0,0.9
0.00018224,306.78,-0.27333,0.0036795,0.165,1,1.88,0.88,0,0.9
0.00016409,305.92,-0.26746,0.0033715,0.15155,1,1.9,0.9,0,0.9
0.0001527,305.37,-0.26552,-0.00117,0.13802,1,1.92,0.92,0,0.9
0.0001413,304.82,-0.26358,-0.0057114,0.12449,1,1.94,0.94,0,0.9
0.0001299,304.26,-0.26164,-0.010253,0.11096,1,1.96,0.96,0,0.9
0.0001223,303.89,-0.25571,-0.0111,0.10087,1,1.98,0.98,0,0.9
0.00011694,303.63,-0.24741,-0.0097515,0.092821,1,2,1,0,0.9
