avg_mix_frac,avg_temp,avg_x_vel,avg_y_vel,avg_z_vel,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
4.3391e-05,300.1,0.27425,-0.064276,0.065966,1,0,-1,0,0.9
4.2499e-05,300.06,0.27577,-0.061249,0.071787,1,0.02,-0.98,0,0.9
4.2963e-05,300.08,0.27737,-0.061823,0.074731,1,0.04,-0.96,0,0.9
4.571e-05,300.21,0.27911,-0.068457,0.072831,1,0.06,-0.94,0,0.9
4.8456e-05,300.35,0.28085,-0.075091,0.070932,1,0.08,-0.92,0,0.9
5.1203e-05,300.48,0.28259,-0.081725,0.069033,1,0.1,-0.9,0,0.9
6.5167e-05,301.12,0.28034,-0.084062,0.079678,1,0.12,-0.88,0,0.9
9.1522e-05,302.32,0.27367,-0.081654,0.10418,1,0.14,-0.86,0,0.9
0.00011788,303.52,0.26701,-0.079246,0.12867,1,0.16,-0.84,0,0.9
0.00014423,304.72,0.26034,-0.076838,0.15317,1,0.18,-0.82,0,0.9
0.0001858,306.58,0.265,-0.073328,0.18051,1,0.2,-0.8,0,0.9
0.00023142,308.62,0.27266,-0.069526,0.20861,1,0.22,-0.78,0,0.9
0.00027703,310.65,0.28032,-0.065724,0.2367,1,0.24,-0.76,0,0.9
0.00033537,313.24,0.28542,-0.064418,0.26366,1,0.26,-0.74,0,0.9
0.00042306,317.13,0.28462,-0.068865,0.28802,1,0.28,-0.72,0,0.9
0.00051076,321.01,0.28383,-0.073312,0.31238,1,0.3,-0.7,0,0.9
0.00059845,324.89,0.28303,-0.077759,0.33674,1,0.32,-0.68,0,0.9
0.00072115,329.67,0.2906,-0.073639,0.34004,1,0.34,-0.66,0,0.9
0.00084395,334.46,0.2982,-0.069495,0.34327,1,0.36,-0.64,0,0.9
0.00096675,339.24,0.3058,-0.06535,0.3465,1,0.38,-0.62,0,0.9
0.0012293,348.34,0.30881,-0.056993,0.38915,1,0.4,-0.6,0,0.9
0.0015145,358.14,0.31108,-0.047952,0.43818,1,0.42,-0.58,0,0.9
0.0017997,367.94,0.31335,-0.038912,0.48721,1,0.44,-0.56,0,0.9
0.0021437,378.71,0.31955,-0.047256,0.56281,1,0.46,-0.54,0,0.9
