avg_mix_frac,avg_temp,avg_x_vel,avg_y_vel,avg_z_vel,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
8.4755e-05,302.09,0.3396,0.0029517,-0.03618,1,0,-1,0,0.3
7.9162e-05,301.83,0.34187,-0.0038391,-0.049825,1,0.02,-0.98,0,0.3
7.422e-05,301.59,0.34447,-0.0094555,-0.064452,1,0.04,-0.96,0,0.3
7.2445e-05,301.51,0.34866,-0.0093495,-0.083871,1,0.06,-0.94,0,0.3
7.067e-05,301.42,0.35286,-0.0092434,-0.10329,1,0.08,-0.92,0,0.3
6.8894e-05,301.34,0.35705,-0.0091374,-0.12271,1,0.1,-0.9,0,0.3
7.2766e-05,301.52,0.36138,-0.0089518,-0.13872,1,0.12,-0.88,0,0.3
0.00011252,303.4,0.36659,-0.0082612,-0.13313,1,0.14,-0.86,0,0.3
0.00015228,305.29,0.3718,-0.0075706,-0.12754,1,0.16,-0.84,0,0.3
0.00019204,307.17,0.37701,-0.00688,-0.12194,1,0.18,-0.82,0,0.3
0.00021974,308.49,0.38134,-0.010767,-0.11551,1,0.2,-0.8,0,0.3
0.00022739,308.85,0.38418,-0.022278,-0.10767,1,0.22,-0.78,0,0.3
0.00023503,309.22,0.38702,-0.033789,-0.099825,1,0.24,-0.76,0,0.3
0.00024267,309.59,0.38986,-0.0453,-0.091985,1,0.26,-0.74,0,0.3
0.0002735,310.96,0.39067,-0.05341,-0.096339,1,0.28,-0.72,0,0.3
0.00030788,312.48,0.39117,-0.061001,-0.10255,1,0.3,-0.7,0,0.3
0.00034226,314,0.39166,-0.068593,-0.10877,1,0.32,-0.68,0,0.3
0.00040683,316.53,0.39746,-0.077197,-0.098748,1,0.34,-0.66,0,0.3
0.00049199,319.74,0.40687,-0.086492,-0.07766,1,0.36,-0.64,0,0.3
0.00057716,322.95,0.41627,-0.095787,-0.056571,1,0.38,-0.62,0,0.3
0.00063961,324.88,0.41837,-0.10386,-0.052712,1,0.4,-0.6,0,0.3
0.00068261,325.71,0.41422,-0.11088,-0.063613,1,0.42,-0.58,0,0.3
0.0007256,326.54,0.41006,-0.11791,-0.074513,1,0.44,-0.56,0,0.3
0.0010276,336.26,0.4077,-0.12275,-0.0562,1,0.46,-0.54,0,0.3
0.0014495,350.1,0.40617,-0.12659,-0.024373,1,0.48,-0.52,0,0.3
0.0018786,364.01,0.40477,-0.13051,0.0077524,1,0.5,-0.5,0,0.3
0.00279,382.71,0.41218,-0.14053,0.059503,1,0.52,-0.48,0,0.3
0.0037441,401.3,0.41713,-0.14797,0.10804,1,0.54,-0.46,0,0.3
0.0049641,419.17,0.40678,-0.13944,0.13667,1,0.56,-0.44,0,0.3
0.0065845,443.24,0.39852,-0.13416,0.17679,1,0.58,-0.42,0,0.3
0.0093294,484.74,0.39615,-0.13798,0.2492,1,0.6,-0.4,0,0.3
0.013003,528.19,0.4029,-0.14852,0.33843,1,0.62,-0.38,0,0.3
0.018153,574.73,0.42415,-0.16973,0.45437,1,0.64,-0.36,0,0.3
0.024227,623.53,0.43671,-0.1953,0.58162,1,0.66,-0.34,0,0.3
0.031188,674.49,0.4409,-0.22507,0.71971,1,0.68,-0.32,0,0.3
0.03842,730.95,0.43965,-0.22467,0.885,1,0.7,-0.3,0,0.3
0.045807,790.58,0.43525,-0.20686,1.066,1,0.72,-0.28,0,0.3
0.055209,839.47,0.42077,-0.18375,1.2176,1,0.74,-0.26,0,0.3
0.06556,883.31,0.40153,-0.15813,1.3555,1,0.76,-0.24,0,0.3
0.078231,955.2,0.38358,-0.13501,1.5261,1,0.78,-0.22,0,0.3
0.091778,1037.7,0.36611,-0.11283,1.7091,1,0.8,-0.2,0,0.3
0.099706,1059,0.34523,-0.11645,1.8233,1,0.82,-0.18,0,0.3
0.10597,1062.1,0.32333,-0.12773,1.9171,1,0.84,-0.16,0,0.3
0.1178,1069.9,0.30465,-0.11654,2.0116,1,0.86,-0.14,0,0.3
0.13088,1078.7,0.28668,-0.10033,2.1062,1,0.88,-0.12,0,0.3
0.14979,1098.6,0.26572,-0.071866,2.2992,1,0.9,-0.1,0,0.3
0.16963,1120.3,0.2443,-0.041455,2.5078,1,0.92,-0.08,0,0.3
0.18014,1119.6,0.2302,-0.028697,2.6114,1,0.94,-0.06,0,0.3
0.18971,1116.7,0.21685,-0.017717,2.7044,1,0.96,-0.04,0,0.3
0.21022,1164.6,0.16291,-0.044524,2.865,1,0.98,-0.02,0,0.3
0.23125,1214.9,0.10702,-0.073143,3.0288,1,1,0,0,0.3
0.21943,1158,0.036224,-0.093118,2.9071,1,1.02,0.02,0,0.3
0.20745,1102.9,-0.032553,-0.11335,2.784,1,1.04,0.04,0,0.3
0.19245,1087.1,-0.059139,-0.13898,2.6317,1,1.06,0.06,0,0.3
0.17705,1071.8,-0.088881,-0.16728,2.478,1,1.08,0.08,0,0.3
0.15776,1060.8,-0.14995,-0.22215,2.3114,1,1.1,0.1,0,0.3
0.13888,1049,-0.20764,-0.27107,2.1442,1,1.12,0.12,0,0.3
0.1226,1031.4,-0.24409,-0.2826,1.9732,1,1.14,0.14,0,0.3
0.10724,1006.1,-0.28585,-0.28288,1.8042,1,1.16,0.16,0,0.3
0.09597,946.43,-0.35133,-0.23292,1.6441,1,1.18,0.18,0,0.3
0.085297,890.73,-0.40173,-0.18895,1.4926,1,1.2,0.2,0,0.3
0.076641,848.23,-0.4013,-0.16514,1.3706,1,1.22,0.22,0,0.3
0.06809,801.93,-0.40883,-0.15372,1.2496,1,1.24,0.24,0,0.3
0.05982,745.56,-0.43734,-0.17506,1.1316,1,1.26,0.26,0,0.3
0.053224,701.87,-0.4543,-0.19667,1.0221,1,1.28,0.28,0,0.3
0.050185,685.09,-0.44674,-0.21882,0.93057,1,1.3,0.3,0,0.3
0.046271,669.53,-0.44657,-0.21424,0.85465,1,1.32,0.32,0,0.3
0.040844,656.08,-0.45919,-0.16334,0.80581,1,1.34,0.34,0,0.3
0.035164,638.3,-0.45788,-0.13417,0.72952,1,1.36,0.36,0,0.3
0.029221,616.02,-0.44206,-0.12763,0.62466,1,1.38,0.38,0,0.3
0.024242,595.87,-0.42977,-0.12562,0.55689,1,1.4,0.4,0,0.3
0.019871,577.06,-0.4197,-0.12647,0.5125,1,1.42,0.42,0,0.3
0.016013,542.19,-0.4019,-0.13567,0.42711,1,1.44,0.44,0,0.3
0.012339,501.59,-0.38135,-0.14786,0.32713,1,1.46,0.46,0,0.3
0.0091067,460.45,-0.35511,-0.13469,0.27902,1,1.48,0.48,0,0.3
0.0059451,419.23,-0.32796,-0.11744,0.23926,1,1.5,0.5,0,0.3
0.0047104,399.99,-0.33752,-0.098794,0.19151,1,1.52,0.52,0,0.3
0.0035049,381.09,-0.34764,-0.080123,0.14365,1,1.54,0.54,0,0.3
0.0025762,366.37,-0.354,-0.064625,0.11472,1,1.56,0.56,0,0.3
0.0022458,360.65,-0.35223,-0.055986,0.12674,1,1.58,0.58,0,0.3
0.0019153,354.94,-0.35045,-0.047347,0.13877,1,1.6,0.6,0,0.3
0.0016113,348.45,-0.34865,-0.037271,0.13246,1,1.62,0.62,0,0.3
0.0013384,341.06,-0.34682,-0.025517,0.10476,1,1.64,0.64,0,0.3
0.0010654,333.67,-0.34498,-0.013764,0.077051,1,1.66,0.66,0,0.3
0.00086424,328.4,-0.34384,-0.0047459,0.06021,1,1.68,0.68,0,0.3
0.00076836,326.25,-0.34371,0.00026136,0.0593,1,1.7,0.7,0,0.3
0.00067248,324.1,-0.34358,0.0052686,0.05839,1,1.72,0.72,0,0.3
0.00057857,321.86,-0.34382,0.0079965,0.054946,1,1.74,0.74,0,0.3
0.00049754,319.03,-0.34654,-0.0042137,0.034891,1,1.76,0.76,0,0.3
0.00041652,316.19,-0.34925,-0.016424,0.014835,1,1.78,0.78,0,0.3
0.00033549,313.36,-0.35197,-0.028634,-0.0052198,1,1.8,0.8,0,0.3
0.0002932,311.8,-0.35156,-0.023475,-0.0048378,1,1.82,0.82,0,0.3
0.00027418,311,-0.34927,-0.0078875,0.0078154,1,1.84,0.84,0,0.3
0.00025516,310.21,-0.34699,0.0077002,0.020469,1,1.86,0.86,0,0.3
0.00023614,309.41,-0.3447,0.023288,0.033122,1,1.88,0.88,0,0.3
0.00023195,309.23,-0.34546,0.022862,0.03877,1,1.9,0.9,0,0.3
0.00023011,309.13,-0.34669,0.019917,0.043316,1,1.92,0.92,0,0.3
0.00022826,309.04,-0.34792,0.016972,0.047862,1,1.94,0.94,0,0.3
0.00022641,308.95,-0.34915,0.014026,0.052408,1,1.96,0.96,0,0.3
0.00022255,308.76,-0.34199,0.018855,0.066043,1,1.98,0.98,0,0.3
0.00021826,308.55,-0.33311,0.025279,0.081543,1,2,1,0,0.3
