avg_mix_frac,avg_temp,avg_x_vel,avg_y_vel,avg_z_vel,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
6.5375e-05,301.16,0.3048,0.0089915,-0.0029632,1,0,-1,0,0.5
6.6157e-05,301.2,0.2987,0.005653,-0.0069451,1,0.02,-0.98,0,0.5
6.6445e-05,301.21,0.29483,0.003687,-0.013037,1,0.04,-0.96,0,0.5
6.5152e-05,301.15,0.29813,0.0061209,-0.025893,1,0.06,-0.94,0,0.5
6.3859e-05,301.09,0.30144,0.0085548,-0.038749,1,0.08,-0.92,0,0.5
6.2566e-05,301.03,0.30474,0.010989,-0.051606,1,0.1,-0.9,0,0.5
6.3627e-05,301.08,0.30664,0.01284,-0.062568,1,0.12,-0.88,0,0.5
7.1788e-05,301.47,0.30428,0.012935,-0.06782,1,0.14,-0.86,0,0.5
7.9948e-05,301.86,0.30193,0.013031,-0.073072,1,0.16,-0.84,0,0.5
8.8108e-05,302.25,0.29958,0.013126,-0.078323,1,0.18,-0.82,0,0.5
0.00010751,303.19,0.30268,0.014058,-0.065167,1,0.2,-0.8,0,0.5
0.00013755,304.64,0.31094,0.015782,-0.034576,1,0.22,-0.78,0,0.5
0.00016759,306.08,0.31921,0.017506,-0.0039851,1,0.24,-0.76,0,0.5
0.00019771,307.53,0.32731,0.019149,0.026245,1,0.26,-0.74,0,0.5
0.00023377,309.16,0.32232,0.014397,0.028202,1,0.28,-0.72,0,0.5
0.00026983,310.78,0.31734,0.0096452,0.03016,1,0.3,-0.7,0,0.5
0.00030589,312.4,0.31236,0.0048934,0.032117,1,0.32,-0.68,0,0.5
0.00040978,316.79,0.3124,0.0070187,0.046715,1,0.34,-0.66,0,0.5
0.00053891,322.19,0.31431,0.011703,0.066018,1,0.36,-0.64,0,0.5
0.00066804,327.6,0.31623,0.016388,0.085321,1,0.38,-0.62,0,0.5
0.00082431,332.99,0.31336,0.013754,0.10627,1,0.4,-0.6,0,0.5
0.00099545,338.37,0.30788,0.0071087,0.12812,1,0.42,-0.58,0,0.5
0.0011666,343.76,0.3024,0.00046316,0.14996,1,0.44,-0.56,0,0.5
0.0015292,353.3,0.30015,-0.014187,0.19041,1,0.46,-0.54,0,0.5
0.0019559,364.24,0.29897,-0.031515,0.23707,1,0.48,-0.52,0,0.5
0.0023943,375.37,0.29786,-0.048895,0.284,1,0.5,-0.5,0,0.5
0.0032886,394.33,0.29924,-0.068274,0.3417,1,0.52,-0.48,0,0.5
0.0041989,413.48,0.30174,-0.08609,0.40252,1,0.54,-0.46,0,0.5
0.0052013,433.8,0.31066,-0.094915,0.48126,1,0.56,-0.44,0,0.5
0.0063276,456.22,0.31557,-0.1028,0.56309,1,0.58,-0.42,0,0.5
0.0077871,484.26,0.30965,-0.10817,0.6532,1,0.6,-0.4,0,0.5
0.010014,520.67,0.31029,-0.11145,0.76416,1,0.62,-0.38,0,0.5
0.01342,569.95,0.32099,-0.11149,0.90717,1,0.64,-0.36,0,0.5
0.01711,617.32,0.30579,-0.12887,1.04,1,0.66,-0.34,0,0.5
0.021064,662.92,0.26639,-0.16245,1.1634,1,0.68,-0.32,0,0.5
0.028424,761.77,0.28669,-0.18229,1.4494,1,0.7,-0.3,0,0.5
0.0377,890.58,0.34057,-0.19441,1.8268,1,0.72,-0.28,0,0.5
0.045897,950.84,0.34443,-0.18387,2.0382,1,0.74,-0.26,0,0.5
0.053598,979.58,0.32529,-0.16291,2.1733,1,0.76,-0.24,0,0.5
0.062411,1031.8,0.33353,-0.15017,2.3631,1,0.78,-0.22,0,0.5
0.071634,1092.7,0.3519,-0.14048,2.5731,1,0.8,-0.2,0,0.5
0.080605,1133.4,0.32966,-0.13345,2.7339,1,0.82,-0.18,0,0.5
0.089502,1168.2,0.29564,-0.1272,2.8805,1,0.84,-0.16,0,0.5
0.096074,1138.5,0.27868,-0.12367,2.924,1,0.86,-0.14,0,0.5
0.10214,1094.6,0.26545,-0.12073,2.9448,1,0.88,-0.12,0,0.5
0.12435,1171.7,0.21454,-0.10412,3.3068,1,0.9,-0.1,0,0.5
0.14909,1267.8,0.15774,-0.085382,3.722,1,0.92,-0.08,0,0.5
0.15347,1254.3,0.12137,-0.082745,3.7914,1,0.94,-0.06,0,0.5
0.15584,1229.9,0.087025,-0.0817,3.8266,1,0.96,-0.04,0,0.5
