avg_mix_frac,avg_temp,avg_x_vel,avg_y_vel,avg_z_vel,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0.00025425,310.19,0.33006,-0.013596,0.096802,1,0,-1,0,0.3
0.00025962,310.46,0.32802,-0.0098081,0.084723,1,0.02,-0.98,0,0.3
0.00026599,310.78,0.32756,-0.0075851,0.074785,1,0.04,-0.96,0,0.3
0.00027725,311.31,0.33477,-0.012989,0.075279,1,0.06,-0.94,0,0.3
0.0002885,311.84,0.34198,-0.018393,0.075773,1,0.08,-0.92,0,0.3
0.00029976,312.37,0.3492,-0.023797,0.076267,1,0.1,-0.9,0,0.3
0.0003122,312.95,0.35493,-0.028299,0.075825,1,0.12,-0.88,0,0.3
0.00033221,313.86,0.35124,-0.027076,0.069439,1,0.14,-0.86,0,0.3
0.00035222,314.77,0.34756,-0.025852,0.063052,1,0.16,-0.84,0,0.3
0.00037223,315.68,0.34387,-0.024628,0.056665,1,0.18,-0.82,0,0.3
0.00039963,316.8,0.34234,-0.026264,0.054119,1,0.2,-0.8,0,0.3
0.00043935,318.28,0.34441,-0.032662,0.057969,1,0.22,-0.78,0,0.3
0.00047906,319.76,0.34648,-0.03906,0.061819,1,0.24,-0.76,0,0.3
0.00051878,321.23,0.34854,-0.045458,0.065669,1,0.26,-0.74,0,0.3
0.00062852,324.64,0.34229,-0.042891,0.062601,1,0.28,-0.72,0,0.3
0.00074893,328.35,0.33476,-0.038956,0.058478,1,0.3,-0.7,0,0.3
0.00086935,332.05,0.32723,-0.035021,0.054355,1,0.32,-0.68,0,0.3
0.0010687,336.44,0.32808,-0.0374,0.060718,1,0.34,-0.66,0,0.3
0.001322,341.28,0.33464,-0.044085,0.074232,1,0.36,-0.64,0,0.3
0.0015752,346.12,0.3412,-0.050769,0.087745,1,0.38,-0.62,0,0.3
0.0020569,352.89,0.34242,-0.050904,0.096158,1,0.4,-0.6,0,0.3
0.0027342,361.29,0.33907,-0.04543,0.1002,1,0.42,-0.58,0,0.3
0.0034115,369.7,0.33572,-0.039955,0.10424,1,0.44,-0.56,0,0.3
0.0047401,384.7,0.34112,-0.039216,0.13555,1,0.46,-0.54,0,0.3
0.00637,402.75,0.35058,-0.040667,0.17946,1,0.48,-0.52,0,0.3
0.0080038,420.92,0.36009,-0.042015,0.22369,1,0.5,-0.5,0,0.3
0.0099012,447.06,0.37307,-0.036624,0.28829,1,0.52,-0.48,0,0.3
0.012065,475.86,0.38434,-0.032901,0.35952,1,0.54,-0.46,0,0.3
0.015879,521.17,0.38497,-0.039529,0.47187,1,0.56,-0.44,0,0.3
0.019532,559.82,0.38696,-0.046927,0.57274,1,0.58,-0.42,0,0.3
0.022733,579.77,0.39278,-0.056488,0.64134,1,0.6,-0.4,0,0.3
0.026308,601.51,0.40173,-0.065403,0.71102,1,0.62,-0.38,0,0.3
0.030478,626.09,0.41566,-0.073293,0.78242,1,0.64,-0.36,0,0.3
0.03544,660.94,0.42604,-0.07624,0.86264,1,0.66,-0.34,0,0.3
0.041161,705.64,0.433,-0.07444,0.95131,1,0.68,-0.32,0,0.3
0.047668,743.34,0.43459,-0.066427,1.0424,1,0.7,-0.3,0,0.3
0.054629,777,0.43308,-0.054827,1.1349,1,0.72,-0.28,0,0.3
0.065751,832.34,0.4373,-0.060341,1.2772,1,0.74,-0.26,0,0.3
0.078833,897.89,0.44423,-0.073918,1.4429,1,0.76,-0.24,0,0.3
0.090284,937.77,0.43752,-0.067785,1.5752,1,0.78,-0.22,0,0.3
0.10112,967.93,0.42564,-0.054193,1.6947,1,0.8,-0.2,0,0.3
0.1132,979.33,0.39505,-0.051655,1.7989,1,0.82,-0.18,0,0.3
0.12565,985.17,0.35892,-0.052394,1.8987,1,0.84,-0.16,0,0.3
0.14269,990.05,0.32799,-0.062828,2.0161,1,0.86,-0.14,0,0.3
0.16075,994.71,0.29822,-0.075434,2.1374,1,0.88,-0.12,0,0.3
0.18963,1016.8,0.25049,-0.054412,2.296,1,0.9,-0.1,0,0.3
0.22023,1041.7,0.1999,-0.028041,2.4604,1,0.92,-0.08,0,0.3
0.23748,1025.4,0.15115,0.010822,2.5239,1,0.94,-0.06,0,0.3
0.25339,1004.9,0.10259,0.050943,2.5772,1,0.96,-0.04,0,0.3
0.26477,997.27,0.060379,0.040599,2.6467,1,0.98,-0.02,0,0.3
0.27592,990.29,0.018474,0.027836,2.7169,1,1,0,0,0.3
0.27254,1012.8,-0.028418,0.0157,2.7267,1,1.02,0.02,0,0.3
0.26887,1034.3,-0.074652,0.0039689,2.7339,1,1.04,0.04,0,0.3
0.25922,1036.1,-0.10716,0.00067203,2.6857,1,1.06,0.06,0,0.3
0.24866,1037.7,-0.13952,-0.0046586,2.6322,1,1.08,0.08,0,0.3
0.22909,1036.8,-0.17038,-0.030183,2.5243,1,1.1,0.1,0,0.3
0.2091,1036,-0.19905,-0.052449,2.4141,1,1.12,0.12,0,0.3
0.18651,1035.9,-0.21394,-0.054235,2.2892,1,1.14,0.14,0,0.3
0.16376,1031,-0.23221,-0.054318,2.1555,1,1.16,0.16,0,0.3
0.14028,1005.1,-0.26554,-0.04679,1.9828,1,1.18,0.18,0,0.3
0.11858,979.6,-0.2964,-0.04204,1.8177,1,1.2,0.2,0,0.3
0.1029,955.67,-0.31888,-0.046651,1.6782,1,1.22,0.22,0,0.3
0.088179,924.96,-0.34261,-0.056316,1.5341,1,1.24,0.24,0,0.3
0.075995,876.28,-0.36964,-0.079336,1.3779,1,1.26,0.26,0,0.3
0.064956,832.17,-0.38671,-0.093588,1.236,1,1.28,0.28,0,0.3
0.056349,797.73,-0.38263,-0.089229,1.1249,1,1.3,0.3,0,0.3
0.048509,764,-0.38219,-0.083968,1.022,1,1.32,0.32,0,0.3
0.042001,731.51,-0.38805,-0.077143,0.93337,1,1.34,0.34,0,0.3
0.036373,696.59,-0.39598,-0.06685,0.83973,1,1.36,0.36,0,0.3
0.031664,659.15,-0.40609,-0.052944,0.74083,1,1.38,0.38,0,0.3
0.026187,609.04,-0.39796,-0.05156,0.62662,1,1.4,0.4,0,0.3
0.020227,550.95,-0.37833,-0.058061,0.50276,1,1.42,0.42,0,0.3
0.016673,521.12,-0.37972,-0.053799,0.42185,1,1.44,0.44,0,0.3
0.013977,501.35,-0.38858,-0.045702,0.35623,1,1.46,0.46,0,0.3
0.011152,472.11,-0.3856,-0.044067,0.2806,1,1.48,0.48,0,0.3
0.0083052,441.35,-0.38071,-0.043473,0.20335,1,1.5,0.5,0,0.3
0.0062254,411.03,-0.37221,-0.034162,0.14338,1,1.52,0.52,0,0.3
0.0041573,380.72,-0.36366,-0.024719,0.083665,1,1.54,0.54,0,0.3
0.0025663,357.7,-0.36006,-0.019887,0.043115,1,1.56,0.56,0,0.3
0.0020067,350.45,-0.36714,-0.025025,0.043995,1,1.58,0.58,0,0.3
0.0014471,343.19,-0.37423,-0.030163,0.044875,1,1.6,0.6,0,0.3
0.0010753,337.37,-0.37471,-0.030845,0.038707,1,1.62,0.62,0,0.3
0.00092273,333.22,-0.36749,-0.026326,0.024309,1,1.64,0.64,0,0.3
0.00077015,329.07,-0.36027,-0.021806,0.0099115,1,1.66,0.66,0,0.3
0.00065298,325.69,-0.35597,-0.020649,0.006335,1,1.68,0.68,0,0.3
0.00058775,323.42,-0.35596,-0.024423,0.018627,1,1.7,0.7,0,0.3
0.00052253,321.16,-0.35595,-0.028197,0.03092,1,1.72,0.72,0,0.3
0.00046271,319.07,-0.356,-0.030412,0.041803,1,1.74,0.74,0,0.3
0.00043839,318.15,-0.35643,-0.022407,0.043455,1,1.76,0.76,0,0.3
0.00041406,317.23,-0.35686,-0.014401,0.045106,1,1.78,0.78,0,0.3
0.00038974,316.31,-0.35728,-0.006396,0.046758,1,1.8,0.8,0,0.3
0.00037311,315.62,-0.35452,-0.0047516,0.053051,1,1.82,0.82,0,0.3
0.00036111,315.08,-0.34984,-0.0069265,0.062132,1,1.84,0.84,0,0.3
0.00034911,314.54,-0.34516,-0.0091015,0.071213,1,1.86,0.86,0,0.3
0.00033711,313.99,-0.34048,-0.011276,0.080294,1,1.88,0.88,0,0.3
0.00033024,313.69,-0.33749,-0.0125,0.081981,1,1.9,0.9,0,0.3
0.00032418,313.42,-0.33477,-0.013574,0.082504,1,1.92,0.92,0,0.3
0.00031812,313.15,-0.33205,-0.014648,0.083027,1,1.94,0.94,0,0.3
0.00031205,312.88,-0.32932,-0.015722,0.08355,1,1.96,0.96,0,0.3
0.00030338,312.47,-0.32556,-0.015629,0.091023,1,1.98,0.98,0,0.3
0.00029417,312.02,-0.32159,-0.015297,0.099922,1,2,1,0,0.3
