s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,HFG_x5_y10,HFG_x10_y10,HFG_x15_y10,HFG_x22_y10,HFG_x5_y30,HFG_x10_y30,HFG_x15_y30,HFG_x22_y30,HFG_x5_y50,HFG_x10_y50,HFG_x15_y50,HFG_x22_y50,HFG_x5_y70,HFG_x10_y70,HFG_x15_y70,HFG_x22_y70,HFG_x5_y90,HFG_x10_y90,HFG_x15_y90,HFG_x22_y90,HFG_x5_y110,HFG_x10_y110,HFG_x15_y110,HFG_x22_y110,HFG_x5_y130,HFG_x10_y130,HFG_x15_y130,HFG_x22_y130
21,23.36,42.86,16.13,4.06,38.03,22.94,8.09,2.9,34.21,22.39,13.88,7.67,27.89,22.56,14.91,8.45,15.12,14.38,9.97,4.94,4.97,4.03,2.63,0.87,2.57,2.62,2.22,1.01
21.2,20.11,42.86,14.07,4.07,45.5,30.74,13.6,4.6,23.93,24.25,20.9,15.04,6.48,4.54,3.32,1.67,4.45,3.86,2.96,1.93,7.44,7.96,5.08,3.47,4.44,4.11,3.48,1.94
21.4,28.33,40.32,18.41,5.65,38.76,23,8.36,3.17,18.77,9.34,8.76,6.21,19.49,13.83,14.31,13.05,15.81,11.44,11.22,7.72,10.86,4,2.52,1.19,4.09,1.53,1.07,0.81
21.6,23.9,39.08,13.08,4.28,37.64,22.28,8.56,3.28,35.21,21.48,12.59,4.01,23.6,12.84,7.69,2.7,11.19,3.74,2.99,2.37,8.35,3.56,2.82,3.42,5.68,2.85,2.25,1.54
21.8,27.47,42.81,17.53,4.85,39.89,39.12,10.12,3.52,22.4,18.01,7.07,2.4,6.72,6.61,8.86,1.46,10.26,3.96,2.97,1.05,5.46,2.78,1.34,0.99,5.07,3.08,1.69,1.38
22,22.42,42.26,16.27,4.52,39.62,24.57,12.67,3.26,34.79,20.12,6.81,2.94,22.64,18.06,13.69,5.89,14.78,12.22,11.65,5.22,5.07,4.26,4.55,1.27,2.25,1.45,0.8,0.53
22.2,25.38,41.34,21.24,5.5,42.1,32.99,14.85,3.94,28.03,22.58,12.09,7.11,15.29,6.57,4.07,1.24,6.25,3.71,2.44,2.57,4.42,5.07,4.11,3.99,4.52,4.75,4.38,1.85
22.4,34.99,42.96,23.1,5.1,36.41,18.08,5.57,2.33,28.24,14.31,5.56,2.79,22.82,16.4,10.96,5.21,17.54,9.08,5.78,2.37,7.59,3.68,2.2,0.98,3.5,2.67,1.82,1.42
22.6,25.15,39.84,10.7,4.13,48.55,26.88,8.94,3.64,35.37,15.52,7.02,3.27,16.44,13.5,4.64,1.89,6.03,5.41,3.25,2.04,4.68,3.23,2.28,1.27,2.92,1.53,1.15,0.68
22.8,44.03,42.06,33.68,5.39,32.81,10.67,5.31,2.75,21.09,9.61,3.93,2.2,22.82,18.04,8.05,3.38,15.92,14.6,13.86,3.98,8.1,11.36,9.57,2.84,4.44,3.71,4.46,1.88
23,25.67,36.27,14.11,4.53,43.15,26.74,19.1,8.22,30.16,16.02,9.6,4.65,13.22,7.09,3.77,2.29,2.3,2.62,2.04,1.17,2.65,2.65,2.63,2.57,3.54,3.48,3,2.51
23.2,21.6,45.59,22.76,4.77,34.34,23.28,17.49,4.6,18.13,10.58,8.31,4.21,15.2,9.84,6.13,3.49,10.71,12.3,9.81,4.71,4.08,4.58,4.34,2.86,1.49,1.81,1.81,1.2
23.4,31.06,41.05,15.99,4.61,42.69,32.17,18.78,8.46,32.32,32.66,33.16,14.58,9.88,15.24,14.64,9.45,4.1,5.14,4.12,2.54,3.69,3.91,3.23,1.26,2.39,3.25,3.97,3.45
23.6,21.56,48.08,21.54,4.42,44.36,22.28,9.96,2.67,28.08,13.65,8.03,4.62,16.25,9.15,9.34,7.35,4.85,5.04,3.8,3.21,1.5,1.78,1.66,1.57,1.68,1.38,1.43,1.53
23.8,30.65,46.11,27,5.71,30.63,19.31,5.81,2.36,26.05,13.57,5.39,1.62,18.74,6.23,4.2,2.15,12.78,5.15,3.84,3.78,9.21,9.23,6.67,2.25,3.72,5.89,7.07,6.2
24,25.91,44.82,12.78,4.84,42.84,27.94,13.81,4.1,30.08,20.05,14.4,5.6,11.91,7.24,4.5,1.85,7.65,3.91,2.76,1.75,2.73,2.08,1.5,1.69,2.04,1.71,1.63,1.29
24.2,28.95,42.43,25.67,4.78,31.21,12.35,5.58,3.14,14.26,7.52,4.25,2.68,17.51,17.74,15.78,4.5,15.57,16.07,14.05,9.21,12.23,7.72,4.52,2.43,3.77,2.49,1.73,1.08
24.4,32.27,40.42,23.13,4.27,39.09,21.05,7.65,4.44,34.58,24.59,11.81,4.12,22.43,10.12,5.35,2.62,7.63,4.65,2.67,1.47,3.52,3.34,2.75,1.61,4.72,3.39,2.59,1.79
24.6,25.01,41.38,21.62,4.25,35.88,26.58,10.16,2.99,24.95,17.45,5.77,2,22.51,9.9,5.83,2.24,18.03,12.09,7.27,3.29,11.69,10.22,6.45,3.67,6.08,4.29,3.51,1.59
24.8,32.64,40.54,20.34,4.83,39.24,21.26,7.86,3.27,36.47,21.82,11.18,4.03,21.54,17.51,12.05,4.05,3.8,2.87,2.39,1.72,2.6,2.31,1.96,1.88,3.4,3.19,3.15,3.17
25,25.82,43.53,21.73,4.54,36.84,27.91,12.75,2.69,26.08,17.75,6.29,1.81,15.12,9.41,7.56,3.25,17.19,13.28,8.94,5.03,4.9,5.5,4.94,3.41,2,1.44,1.43,1.51
25.2,28.02,35.26,29.13,5.18,37.7,27.48,10.34,3.42,29.95,19.81,10.05,3.52,21.1,16.97,7.26,1.63,20.62,12.54,8.55,2.71,14.22,10.85,7.16,3.96,8.31,9.36,5.41,2.97
25.4,30.11,43.97,28.22,5.54,38.88,28.82,17.97,3.62,23.82,15.7,10.21,2.67,18.95,13.34,6.6,3.44,9.08,4.75,2.64,1.41,6.57,3.22,2.05,0.84,7.78,4.25,2.98,1.17
25.6,31.25,34.88,22.18,4.14,36.99,21.14,9.57,3.58,32.76,27.98,16.34,5.28,19.14,19.14,12.46,4.15,6.68,7.32,4.12,1.9,3.75,3.02,2.05,1.02,2.82,1.87,0.89,0.64
25.8,24.44,42.92,26.88,4.72,35,34.27,21.31,6.43,13.71,12.93,13.89,5.58,11.79,9.56,9.46,5.94,9.87,8.92,15.28,9.29,4.95,4.29,4.78,3.13,2.86,2.32,1.93,1.56
26,32.32,38.36,26.18,4.22,37.88,17.38,6.52,3.25,24.9,17.48,12.37,8.02,22.9,20.64,17.28,16.54,13.64,15.63,13.5,4.62,6.47,6.83,3.5,1.63,2.47,2.44,2.37,1.95
26.2,26.3,36.98,31.23,4.15,45.14,24.85,9.39,2.81,30.42,19.01,8.44,2.34,11.65,8.25,3.92,1.81,4.92,3.52,3.99,4.25,5.86,6.44,3.66,1.78,5.75,2.99,1.39,0.58
26.4,33.31,28.79,17.9,5.85,38.64,20.94,7.22,2.6,25.75,13.35,8.62,2.46,15.61,15.47,10.25,3.97,15.94,13.19,10.54,5.02,6.52,3.74,2.39,1.33,2.82,2.29,2.16,1.9
26.6,28.17,38.45,16,4.58,42.7,25.72,14.77,4.38,22.83,15.6,10.2,4.93,22.91,16.44,8.7,4.53,20.22,9.95,4.73,2.08,8.72,3.18,1.77,1.34,4.32,2.48,1.05,0.5
26.8,29.91,42.85,18.25,4.28,37.99,20.8,13.87,3.62,21.11,13.41,11.88,3.46,11.36,5.67,4.39,1.64,5.4,5.19,3.67,1.46,8.72,4.41,2.47,1.08,6.83,3.85,1.86,0.75
27,35.85,39.66,15.86,4.41,38.22,15.85,8.24,3.18,29.51,18.45,9.74,3.38,22.99,9.33,4.76,2.6,17.64,7.76,4.34,1.92,11.77,5.66,3.81,1.86,6.49,3.94,2.84,1.53
27.2,37.72,41.27,15.67,5.53,46.36,23.59,9.05,3.75,25.01,18.12,11.76,3.26,7.02,3.21,2.13,1.5,4.34,3.1,1.87,1.09,7.55,4.46,2.02,0.74,8.55,3.85,2.15,1.13
27.4,26.63,29.14,10.28,4.83,40.67,26.57,10.14,3.24,31.99,14.04,6.76,3.2,27.82,21.96,12.24,8.53,20.38,18.64,13.85,6.37,10.46,9.4,5.88,1.77,4.6,2.84,1.17,0.46
27.6,37.49,36.94,18.94,4.69,44.74,26.24,10.34,4.23,29.15,19.66,15.74,3.53,24.39,17.76,8.65,2.28,10.28,7.05,4.27,1.56,5.89,4.88,5.42,3.67,8.61,5.9,4.5,3.32
27.8,41.7,39.14,14.67,4.06,34.03,16.63,11.21,3.39,31.97,25.93,10.88,4.36,17.55,13,16.35,4.15,8.15,6.67,4.41,1.76,5.45,4.92,3.62,1.62,2.89,2.47,1.95,1.68
28,28.73,48.79,22.97,4.99,44.41,26.39,9.2,3.37,28.57,19.61,9.26,3.19,16.63,10.44,6.7,2.47,8.43,6.19,4.05,3.92,3.82,2.83,2.28,2,2.18,2.7,1.76,1.06
28.2,34.06,41.19,15.11,5.49,44.29,21.72,8.16,2.94,36.01,19.77,7.09,2.13,26.65,14.65,4.62,1.59,19.56,8.22,3.88,1.53,9.16,4.48,2.8,1.64,8.07,4.6,2.8,1.76
28.4,24.79,41.99,21,5.22,46.71,30.28,14.03,3.19,30.03,16.15,5.66,2.19,25.32,13.56,7.67,2.31,17.11,12.02,5.16,1.03,9.4,7.57,2.92,0.81,4.06,2.96,1.88,1.23
28.6,28.51,42.83,23.53,5.57,38.24,18.15,6,2.56,27.98,18.24,13.23,5.2,21.63,19.99,13.9,3.98,19.28,10.14,4.29,1.38,14.05,6.9,2.51,0.68,7.35,5.85,2.97,0.68
28.8,23.84,38.65,21.09,4.93,50.46,32.48,13.17,3.72,33.71,27.18,17.28,3.61,14.38,8.41,5.18,2.79,9.36,5.51,3.33,1.86,6.22,4.38,3.16,1.03,4.57,3.64,1.81,0.65
29,22.98,44.01,17.88,4.6,36.46,28.47,7.58,2.51,31.91,20.61,8.54,2.93,27.94,14.91,7.07,3.24,15.2,13.47,9.02,3.1,8.99,5.37,3.64,1.95,8.23,4.94,2.95,1.45
29.2,30.04,45.03,28.93,6.79,49.83,29,9.49,3.58,43.1,23.74,9.6,3.27,18.39,12.02,9.3,2.32,7.22,4.51,3.27,1.17,3.37,3.03,1.61,0.89,2.49,2.14,2.32,1.99
29.4,36.79,41.08,23.71,4.88,28.14,19.42,5.87,2.35,18.95,9.22,3.1,1.47,16.59,9.04,4.43,2.54,17.16,9.69,5.03,2.8,18.73,13.14,8.58,2.93,9.04,9.99,6.45,2.28
29.6,30.08,35.12,21.31,4.68,51.34,27.59,13.22,4.76,41.46,31.12,16.68,6.77,15.59,13.53,8.89,2.89,2.73,2.68,1.73,1.12,1.79,1.77,1.16,0.56,2.71,2.41,1.42,1.11
29.8,38.89,43.2,25.07,6.63,26.9,12.97,5.56,2.85,17.57,7.97,4.23,2.38,19.29,12.33,9.16,3.19,20.95,16.9,9.91,5.22,8.38,6.22,4.22,2.32,2.23,1.5,1.02,0.71
30,33.52,37.31,17.62,5.08,48.99,25.32,11.63,5.08,30.61,17.27,9.26,3.05,17.84,7.9,4.05,2.12,9.55,7.44,3.69,2.04,4.47,3.43,2.64,1.95,2.86,2.98,2.46,1.24
30.2,32.81,42.06,20.67,4.82,36.87,19.68,11.93,4.95,20.82,8.1,5.5,2.28,20.76,10.84,5.18,2.96,11.66,5.88,2.37,1.23,7.2,5.27,3.72,1.1,5.46,3.88,2.29,0.88
30.4,38.29,38.56,22.3,4.73,40.02,26.13,14.09,3.97,29.9,20.96,14.14,5.86,18.41,10.47,6.15,5.74,9.27,4.61,2.09,1.62,3.97,2.79,1.12,0.57,2.31,1.18,0.6,0.25
30.6,33.83,42.04,15.13,4.65,35.91,16.95,8.06,3.37,30.71,14.93,6.11,2.94,21.44,9.5,5.07,2.55,15.01,8.38,4.33,2.79,6.69,5.22,2.89,1.62,4.06,3.51,1.77,0.98
30.8,33.42,41.08,18.54,4.54,39.32,24.79,9.23,3.12,28.3,24.03,10.77,3.55,24.64,13.53,5.48,1.86,19.71,7.29,3.22,1.81,16.29,5.47,2.41,1.47,9.79,5.09,2.49,1.81
31,33.06,46.51,20.51,4.78,44.83,23.71,9.63,3.33,28.5,16.65,11.23,3.19,16.28,11.58,5.88,3.17,17.12,12.57,5.78,2.04,7.92,8.68,3.6,1.34,5.1,3.51,1.63,0.73
31.2,36.67,44.25,16.27,4.16,45.36,29.59,10.03,3.54,36.58,24.28,7.79,3.11,23.7,13.57,8.86,5.01,16.67,12.91,5.08,3.43,10.97,10.69,3.35,1.8,5.89,4.84,2.6,1.25
31.4,35.82,39.64,23.22,4.2,36.57,27.15,7.92,2.71,21.24,7.47,4.14,2.08,21.99,13.97,6.28,1.96,18.88,9.8,4.26,1.89,11.74,6.23,3.61,1.83,8.95,6.84,3.08,1.59
31.6,41.17,38.18,21.32,4.35,38.87,18.75,8.37,3.19,33.2,20.92,12.06,5.21,25.93,12.28,6.12,3.36,10.94,9.82,5.7,2.58,3.56,3.62,3.67,1.17,2.39,1.72,1.2,0.56
31.8,31.19,41.41,16.73,4.17,47.48,28.25,16.31,3.19,30.09,14.46,8.67,2.12,16.57,8.17,3.77,1.94,12.4,5.58,3.64,1.9,8.87,6.6,6.55,2.11,4.36,5.02,4.92,4.45
32,45.45,38.76,25.96,4.94,30.58,15.25,6.83,2.63,23.88,16.32,10.72,3.59,26.14,18.71,12.16,4.51,21.2,17.64,7.31,2.14,14.06,10.4,4.45,1.52,8.65,7.18,3.25,1.65
32.2,31.11,37.8,14.2,4.32,45.21,30.64,17.28,4.03,32.15,23.3,17.12,6.6,8.63,6.75,5.34,2.93,2.48,2.13,2.48,2.59,4.9,3.45,2.16,1.68,5.96,3.66,2.11,0.87
32.4,39.16,33.48,27.67,12.16,18.03,6.65,4,2.39,15.58,5.92,4.19,3.27,20.13,12.77,10.94,6.59,11.47,11.8,11.77,10.86,3.88,3.77,3.73,2.8,1.47,1.48,1.5,1.45
32.6,23.43,45.97,19.25,5.73,46.94,35.1,27.64,9.45,24.73,12.24,8.4,4.21,5.65,3.86,2.73,1.91,2.05,1.71,1.69,1.62,2.83,2.68,3.5,1.74,2.49,2.54,2.92,2.18
32.8,25.67,39.71,20.28,4.27,31.78,22.89,8.8,2.86,28.35,18.86,12.85,3.31,12.54,6.72,4.19,2.28,6.6,5.03,3.51,2.21,4.42,3.81,3.01,1.99,2.42,2.52,2.03,1.29
33,28.23,41.94,19.45,4.87,45.2,20.8,7.84,3.17,26.31,9.74,4.54,2.17,18.46,15.11,7.37,2.45,13.74,9.72,5.85,1.47,3.37,3.36,1.51,0.5,1.92,1.54,0.98,0.37
33.2,28.02,41.65,19.26,5.04,40.05,19.57,7.9,3.17,27.68,16.52,8.17,2.89,16.82,11.55,4.93,1.54,8.41,7.85,3.38,1.98,11.24,7.81,3.97,1.51,6.3,5.72,3.15,0.75
33.4,35.22,38.59,17.37,5.89,38.76,23.38,8.05,3.47,34.38,21.3,10.26,3.41,20.66,13.52,6.08,2.55,15.52,11.05,6.1,2.63,7.56,4.86,3.74,2.47,3.28,2.77,2.23,2.07
33.6,27.99,48.61,22.96,6.22,41.55,29.51,21.63,8.26,14.73,6.61,4.42,2.16,11.18,6.11,3.04,1.7,12.38,4.85,2.52,1.4,12.79,6.7,3.57,1.32,8.31,5,2.68,1.28
33.8,34.31,44.94,17.86,4.12,37.37,17.81,9.35,5.43,32.03,27.94,31.91,21.7,22.09,17.46,18.68,13.95,6.11,2.92,1.95,1.43,1.81,1.53,1.1,0.9,1.86,1.46,1.15,0.8
34,39.92,41.95,18.6,5.2,42.8,29.34,8.6,3.36,24.56,20.23,5.15,2.17,14.98,9.98,6.65,8.97,12.24,7.53,7.07,3.94,7.6,2.85,2.1,1.77,3.38,1.49,0.91,0.57
34.2,50.35,37.3,12.62,7.03,44.16,21.36,7.45,4.19,39,15.09,6.17,3.08,24.83,17.32,9.04,2.92,12.01,9.04,4.41,1.99,5.02,4.12,2.54,1.52,4.04,3.31,2.16,1.57
34.4,39.39,45.14,27.01,7.95,35.82,19.28,14.49,4.91,23.38,7.06,2.99,2.19,13.77,4.86,2.25,1.26,8.52,5.51,2.87,1.51,7.67,6.34,3.62,1.31,4.68,2.6,1.61,1.12
34.6,24.22,48.16,14.37,4.79,44.27,27.27,15.98,6.16,33.35,20.77,13.99,5.5,20.36,11.88,5.68,2.57,12.51,6.43,2.97,1.34,4.27,5.51,2.76,1.02,2.25,1.97,1.02,0.4
34.8,31.62,44.36,16.91,4.86,45.64,32.5,14.26,3.88,29.74,18.38,7.69,3.16,15.16,10.18,6.55,3.28,9.58,5.57,4.07,1.69,5.66,3.1,1.95,1.13,3.43,2.03,1.72,1.15
35,23.3,42.44,23.86,5.3,39.89,22.89,6.39,2.59,33.97,18.36,5.87,2.33,26.71,15.83,8.92,2.62,19.2,13.31,7.1,3.05,14.51,10.05,5.3,2.71,9.46,6.94,2.99,1.19
35.2,25.63,45.67,19.4,4.82,45.54,29.68,10.97,5.17,28.47,14.33,5.28,2.35,20.01,9.21,4.21,1.62,13.49,5.22,2.5,1.2,5.03,2.87,1.82,1.15,4.07,2.9,1.66,1.09
35.4,29.95,41.69,12.61,4.02,38.48,16.8,6.69,2.62,31.23,19.16,6.52,2.94,27.96,16.15,8.22,2.62,10.26,8.68,4.18,1.96,5.43,3.85,2.28,1.18,3.22,2.24,1.35,0.62
35.6,38.04,41.84,19.14,4.45,46.29,23.74,8.38,3.28,30.31,18.6,9.19,2.72,14.96,6.89,3.76,1.68,7.18,3.86,2.5,0.86,4.17,2.92,1.82,0.7,3.06,2.3,1.43,0.74
35.8,29.82,41.54,20.6,4.42,40.78,21.21,10.31,2.93,30.89,19.35,9.16,2.57,28.84,18.4,11.47,3.77,22.75,13.52,8.15,5.63,17.61,9.9,4.63,1.71,7.62,3.98,2.1,0.98
36,33.53,35.21,18.45,4.21,47.57,27.51,10.12,3.99,35.53,19.02,14.04,10.47,17.55,7.98,4.26,2.14,6.16,3.79,1.84,1.14,5.24,3.92,3.3,1.79,7.43,4.63,3.51,2.05
36.2,38.82,39.45,26.23,4.83,37.81,13.36,7.19,2.53,23.77,7.39,3.07,1.87,20.96,11.18,4.83,2.87,15.06,10.9,5.22,2.61,13.99,9.67,4.13,1.96,6.25,3.93,2.71,1.44
36.4,38.06,32.13,11.81,4.65,43.96,24.26,10.48,4.72,41.28,26.72,11.19,4.75,27.04,17.53,7.46,2.93,14.72,10.88,4.16,1.9,2.82,3.82,2.37,0.99,2.61,1.56,0.76,0.46
36.6,30.48,45.38,26.41,6.01,22.45,12.32,9.94,4.74,10.12,4.87,3.06,2.02,15.07,8.08,4.88,1.86,9.45,8.72,5.71,2.08,4.15,6.83,4.88,2.05,2.36,3.55,3.35,1.93
36.8,30.86,43.84,13.78,4.9,44.96,30.79,20.87,9.66,26.82,22.36,18.48,8.04,8.46,6.39,3.98,2.44,3,2.03,1.21,0.8,3.01,2.05,1.55,1.37,2.37,2.18,1.79,1.39
37,23.1,42.69,21.5,4.06,41.2,22.88,6.73,3.04,31.48,16.21,8.33,4.97,31.13,19.75,12.29,8.06,18.24,16.15,9.06,3.8,5.9,4.06,2.83,1.97,1.89,1.55,1.28,1.56
37.2,26.85,44.72,21.59,5.04,48.47,33.61,11.85,4.39,39.08,24.06,12.8,3.95,24.41,15.98,5.02,2.15,12.51,7.46,3.51,2.16,7.45,5.6,3.96,2.05,4.37,3.92,3.04,1.68
37.4,39.82,42.42,22.89,4.62,45.05,29.48,8.38,3.01,36.17,15.42,5.55,2.88,29.12,16.69,8.11,3.67,17.41,15.46,7.82,3.38,5.13,6.65,3.63,1.59,3.33,3.66,1.98,0.98
37.6,29.97,42.05,30.47,5.11,44.46,27.61,11.91,3.3,38.7,24.08,14.7,3.7,22.54,14.48,10.64,2.85,10.51,5.31,3.36,1.7,5.32,4.31,2.46,1.41,3.69,2.83,1.99,0.59
37.8,25.63,42.83,25.42,6.09,40.13,27.92,9.95,3.04,23.91,8.55,4.14,2.14,19.83,10.06,7.17,4.42,15.4,15.48,15.42,6.47,7.96,12.1,13.06,5.04,5.19,7.72,7.11,4.15
38,29.3,40.7,28.54,5.03,37.97,25.08,8.88,3.16,35.88,24.77,12.19,3.34,32.4,23.28,10.83,4.06,19.86,15.04,6.08,2.38,8.13,3.22,2.06,1.26,3.27,2.12,1.47,1.95
38.2,23.44,39.2,16.19,4.75,47.2,33.67,18.75,4.76,34.13,29.68,21,8.18,13.22,12.55,9.5,2.3,9.11,7.14,5.79,3.55,10.75,4.85,3.2,2.14,6.31,3.57,2.12,0.83
38.4,25.94,40.63,31.03,5.53,43.69,27.74,13,4.21,19.36,8.76,6.02,3.69,22.43,18.7,14.09,7.05,16.07,12.29,8.16,3.32,8.15,5.57,7.24,2.25,4.47,2.77,2.91,3.48
38.6,32.11,36.07,20.62,4.69,39.05,24.59,8.82,3.77,35.35,30.11,20.42,6.11,16.38,16.62,13.75,4.77,5.13,3.9,3.61,2.68,2.32,1.87,1.84,0.91,2.18,1.84,1.55,1.09
38.8,27.3,41.77,32.51,5.66,44.15,27.86,14.47,4.84,20.45,9.31,6.13,2.71,9.38,6.12,6.02,2.67,12.4,8.6,9.05,10.88,4.28,4.96,6.18,4.99,1.78,2.01,2.78,1.78
39,36.78,36.23,21.44,5.5,43.86,18.98,8.27,3.31,34.66,25.4,17.04,5.44,27,22.47,13.52,5.97,12.84,10.81,7.21,3.14,3.3,2.48,1.64,1.26,2.06,2.04,2.66,1.73
39.2,24.94,45.86,29.22,5.67,44.66,31.92,24.83,8.44,25.8,10.36,6.43,3.62,10.13,4.45,3.04,2.01,9.3,10.08,10.65,4.97,8.21,8.35,7.21,3.47,4.72,4.71,3.62,2.24
39.4,38.13,39.18,23.09,4.66,44.69,24.49,12.45,6.8,33.19,29.84,27.22,24.7,8.91,13.22,16.85,21.7,3,1.8,2.22,3.41,1.83,1.22,1.01,1.14,2.13,1.81,1.32,1.4
39.6,25.44,44.69,21.21,4.93,48.63,31.88,10.44,3.44,25.89,15.85,6.57,2.57,9.89,7.09,4.53,3.82,4.95,4.42,5.09,6.12,1.91,1.49,2.16,3.87,0.85,0.99,1.25,1.37
39.8,26.52,43.07,20,5.14,42.8,26.4,5.97,2.61,29.18,15.6,6.08,2.2,25.93,10.52,6.64,2.78,12.31,6.54,3.65,1.91,4.24,3.51,2.59,1.64,2.88,2.85,2.23,1.81
40,24.87,49.62,21.07,5.15,51.92,28.44,11.4,4.86,33.5,19.54,7.63,2.33,22.47,8.69,3.44,1.35,11.67,4.8,2.49,1.2,6.25,3.1,1.78,1,2.56,2.01,1.17,0.49
40.2,34.05,46.38,21.56,4.96,40.87,23.14,7.18,2.99,38.67,24.06,9.63,3.21,31.29,15.86,6.76,2.43,23.68,10.02,5.09,2.05,17.09,9.96,4.54,1.7,14.81,8.98,5.7,1.91
40.4,25.87,46.21,16.37,5.1,49.12,25.08,13.08,5.53,28.99,15.42,7.9,3.26,14.06,8.48,2.77,1.44,12.59,6.25,2.88,1.08,10.35,4.75,2.54,0.93,5.73,3.02,1.82,0.93
40.6,23.08,42.82,13.36,4.33,44.32,23.46,6.7,3.41,42.73,24.23,15.24,7.25,32.57,27.97,12.6,4.9,10.91,13.56,10.02,3.09,4.75,4.34,2.55,1.06,2.48,1.93,1.81,0.74
40.8,31.53,40.69,24.84,5.83,35.6,24.06,8.22,2.99,34.11,16.62,12.01,2.57,19.36,8.55,4.81,2.01,19.5,13.26,9.34,6.75,10.67,12.48,16.58,8.26,5.4,7.83,9.07,8.89
41,31.6,51.95,14.48,5.32,50.57,35.48,25.01,8.59,29.35,18.69,11.97,4.22,13.23,7.27,6.09,2.94,4.5,4.64,3.43,1.92,2.34,2.01,1.9,1.27,2.23,1.95,1.91,1.7
41.2,40.54,35.23,18.94,4.98,40.73,28.54,9.54,2.95,26.11,15.1,7.09,3.32,22.8,10.3,5.2,2.82,9.02,5.54,3.81,2.24,5.64,6.03,5.8,3,2.06,2.65,3.19,2.51
41.4,29.1,46.57,17.9,4.73,46.19,30.56,12.08,4.11,35.71,21.04,8.31,3.78,22.49,15.21,9.16,2.96,10.78,7.14,5.05,1.55,3.68,2.9,2.36,0.78,2.49,2.11,3.1,3.14
41.6,33.87,40.37,14.75,4.39,45.17,26.38,10.55,3.44,26.14,19.37,7.31,2.53,22.37,16.2,6.72,2.78,19.31,17.2,11.17,4.12,11.42,8.56,4.41,2.31,5.66,2.86,1.62,1.6
41.8,38.1,34.18,26.58,5.7,43.5,15.7,9.02,3.41,34.28,25.53,17.05,3.38,27.25,18.25,7.92,2.74,16.23,8.27,4.7,2.35,4.98,4.67,3.46,2.05,4.08,3.39,2.21,1.24
42,36.53,41.66,18.29,4.75,52.02,23.75,13.67,5.9,31.64,19.82,10.92,4.82,13.47,6.44,4.48,2.02,12.04,6.78,3.47,1.32,6.37,3.79,2.08,0.88,3.09,2.39,1.74,1.01
42.2,27.14,45.97,15.87,5,39.29,20.91,7.21,3,29.34,12.17,6.77,4.3,22.8,14.82,10.65,3.42,16,12.69,8.59,3.61,6.34,3.31,2.36,1.38,3.42,1.73,1,0.66
42.4,26.69,45.02,16.14,4.59,45.54,24.14,7.48,3.2,35.37,18.1,7.69,2.82,33.46,25.64,12.21,3,17.08,14.42,7.86,3.37,6.89,8.79,5.6,2.46,2.56,2.29,2.2,0.87
42.6,33.78,41.18,18.83,5.31,48.19,20.75,8.66,3.55,31.29,18.19,7.66,2.13,22.18,8.71,3.39,1.56,17.95,14.64,7.75,3.68,10.8,7.18,5.47,4.32,5.92,4.54,2.73,1.45
42.8,28.79,38.05,23.13,4.51,46.16,17.43,10.65,3.39,35.31,25.2,13.05,4.17,30.32,25.69,19.23,8.73,21.88,20.17,12.47,3.8,10.6,9.29,6.21,1.67,3.38,3.34,2.35,1.46
43,24.32,49.49,27.98,6.31,44.98,34.64,12.25,4.49,30.21,19.82,13.36,6.01,16.72,7.71,5.67,1.68,7.61,5.97,4.69,2.66,6,7.74,8.8,5.21,7.5,8.78,7.5,3.63
43.2,36.01,43.54,32.17,7.86,43.1,19.63,9.75,3.27,32.42,13.64,5.69,2.83,33.23,18.65,11.44,7.85,29.41,17.21,8.61,3.69,18.5,11.48,5.25,2.33,10.53,8.67,4.31,2.01
43.4,25.43,46.88,24.92,5,53.08,33.36,16.8,4.78,26.23,21.22,16.76,6.18,6.59,6.11,4.26,2.58,4.62,2.64,1.4,1.01,5.17,2.72,1.49,1.37,7.39,4.31,2.59,1.33
43.6,35.88,41.78,35.15,4.9,45.47,18.16,8.95,2.99,37.42,16.77,5.99,3.06,32.38,27.4,18.69,14.56,21.74,19.62,17.54,9.43,9.86,12.32,10.34,4.43,3.56,5.59,4.14,2.45
43.8,28.86,49.09,19.46,5.44,53.2,30.16,15.71,5.84,35.39,23.6,15.41,4.87,18.04,7.79,4.1,1.93,7.66,3.47,2.09,2.4,5.94,3.9,3.86,3.21,5.58,5.74,5.16,4.78
44,39.74,45.78,25.86,4.91,39.96,20.13,9.01,3.64,29.5,13.23,11.85,5.45,28.19,17.07,11.24,5.22,18.61,10.38,7.04,3.63,10.68,4.57,2.69,1.69,5.95,2.91,1.67,0.83
44.2,34.5,45,17.62,4.42,51,23.76,9.75,4.07,39.53,26.5,14.39,5.07,25.43,15.14,6.01,3.25,10.35,6.51,4.02,2.08,6.35,3.94,2.89,1.59,4.38,3.18,2.09,1.08
