s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,HFG_x5_y10,HFG_x10_y10,HFG_x15_y10,HFG_x22_y10,HFG_x5_y30,HFG_x10_y30,HFG_x15_y30,HFG_x22_y30,HFG_x5_y50,HFG_x10_y50,HFG_x15_y50,HFG_x22_y50,HFG_x5_y70,HFG_x10_y70,HFG_x15_y70,HFG_x22_y70,HFG_x5_y90,HFG_x10_y90,HFG_x15_y90,HFG_x22_y90,HFG_x5_y110,HFG_x10_y110,HFG_x15_y110,HFG_x22_y110,HFG_x5_y130,HFG_x10_y130,HFG_x15_y130,HFG_x22_y130
4.6,18.83,39.13,11.38,3.45,23.16,8.62,2.69,1.04,5.63,2.7,1.4,0.7,3.08,2.06,1.64,0.77,1.98,1.56,1.22,0.48,1.15,0.93,0.65,0.13,0.71,0.55,0.47,0.27
4.8,19.73,27.08,11.72,4.01,19.92,9.74,5.28,1.97,6.81,3.65,1.45,0.66,2.88,2.03,1.32,0.61,2.24,1.2,0.78,0.44,1.56,1.03,1.01,0.8,1.56,1.16,1,0.45
5,23.68,27.84,12.16,3.46,16.77,8.45,3.8,1.3,4.96,3.38,3.04,1.42,2.02,1.64,0.83,0.56,1.26,0.72,0.54,0.46,0.95,0.57,0.44,0.35,0.74,0.5,0.44,0.44
5.2,22.93,36.41,9.4,2.81,28.88,10.71,3.72,1.55,10.78,6.2,2.92,1.67,3.02,2.13,1.49,0.86,1.78,1.43,1.19,0.68,1.56,1.3,0.69,0.44,0.88,0.73,0.47,0.33
5.4,19.61,39.24,19.37,3.32,22.21,14.81,3.46,1.27,5.59,4.73,1.04,0.65,3.6,2.95,1.28,0.51,2.59,1.76,0.58,0.35,2.39,1.28,0.76,0.43,1.77,1.57,1.03,0.56
5.6,24.51,36.57,10.13,2.91,31.76,9.49,4.02,1.62,22.71,11.85,6.18,2.24,8.27,4.66,2.56,1.18,2.11,1.91,1.09,0.46,1.32,1.13,0.74,0.53,1.26,0.92,0.56,0.25
5.8,23.53,50.75,18.74,4.22,16.99,15.25,7.62,1.96,4.14,1.97,1.04,0.56,3.35,1.5,1.74,1.59,3.23,3.37,1.5,0.39,2.45,2.31,1.91,0.45,1.87,2.09,1.81,1.11
6,23.27,34.17,11.59,3.57,21.91,15.36,6.93,2.51,11.5,6.24,4.16,2.49,4.6,2.7,1.11,0.53,1.06,0.61,0.46,0.39,0.95,0.71,0.59,0.36,1.08,0.92,0.75,0.38
6.2,20.15,41.72,16.01,3.36,33.71,17.05,6.64,1.9,11.35,5.49,1.97,1.01,2.84,2.25,2.13,0.89,2.67,2.71,1.38,0.31,2.08,1.77,0.85,0.24,0.87,0.92,0.88,0.36
6.4,19.53,36.11,15.25,3.25,24.21,12.79,3.96,1.45,21.84,8.48,6.17,0.86,13.73,4.38,2.04,0.54,6.82,1.8,0.97,0.94,1.65,0.85,0.6,0.49,1.54,1.21,0.96,0.43
