m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,kg/m2/s,kg/m2/s,kg/m2/s
y,Radiative Heat Flux_105s,Radiative Heat Flux_145s,Radiative Heat Flux_185s,Convective Heat Flux_105s,Convective Heat Flux_145s,Convective Heat Flux_185s,Total Heat Flux_105s,Total Heat Flux_145s,Total Heat Flux_185s,Wall Temperature_105s,Wall Temperature_145s,Wall Temperature_185s,PMMAG Mass Flux_105s,PMMAG Mass Flux_145s,PMMAG Mass Flux_185s
0,10.36,9.56,7.11,-0.7,-0.75,-0.85,9.66,8.8,6.26,166.66,203.85,227.16,1.73E-05,0.00036073,0.000340261
0.01,15.27,12.98,8.26,-0.97,-1.01,-1.16,14.31,11.97,7.1,231.61,284,309.04,0.000614055,0.000454048,0.000487925
0.02,17.39,13.91,8.55,-0.95,-1.02,-1.22,16.44,12.89,7.33,256.35,315.36,339.13,0.000543586,0.000612494,0.001065891
0.03,19.29,14.67,8.98,-0.89,-0.88,-0.92,18.4,13.79,8.06,280.37,344.53,363.82,0.00054768,0.001247941,0.002668923
0.04,20.7,15.28,9.76,-0.76,-0.11,-0.11,19.94,15.17,9.64,303.67,370.18,382.74,0.000597809,0.003055591,0.005352542
0.05,21.92,16.28,10.98,-0.6,1.36,1.69,21.32,17.65,12.67,328.3,392.61,401,0.000807661,0.006641435,0.009280749
0.06,22.89,17.87,12.97,-0.39,4.35,5.32,22.5,22.22,18.29,354.74,414.5,420.21,0.001619857,0.012030926,0.014077561
0.07,23.91,20.12,16.02,-0.17,9.17,10.21,23.74,29.29,26.23,381.5,435.54,438.35,0.00434197,0.017794965,0.018681226
0.08,25.09,22.79,19.39,0.53,12.5,13.85,25.61,35.28,33.25,402.17,447.07,450.53,0.009372552,0.021016523,0.022058809
0.09,26.44,25.47,21.54,2.39,13.88,15.44,28.83,39.35,36.98,419.01,450.96,456.18,0.015294291,0.022062076,0.02411606
0.1,28.92,28.03,22.05,6.31,14.48,15.06,35.23,42.51,37.12,435.25,451.65,456.76,0.020411251,0.022040922,0.02515886
0.11,31.78,30.12,22.49,10.78,14.32,13.46,42.56,44.44,35.96,448.04,450.36,454.46,0.023179108,0.021670518,0.025471086
0.12,33.17,32.23,23,12.58,13.81,12.3,45.76,46.03,35.29,452.46,448.39,452.39,0.023975607,0.021284783,0.025462724
0.13,33.65,34.2,23.68,11.71,13.53,11.88,45.36,47.74,35.57,450.86,447.21,451.2,0.023980839,0.020987306,0.025249759
0.14,33.84,35.49,24.37,10.45,13.34,11.87,44.29,48.83,36.24,447.82,446.33,450.38,0.023679413,0.020763017,0.024974337
0.15,33.66,36.11,24.96,9.12,13.21,11.88,42.78,49.31,36.83,444.8,445.52,449.73,0.023296228,0.020601701,0.024668846
0.16,33.54,36.23,25.42,8.02,13.2,11.93,41.55,49.43,37.35,442.06,445.16,449.01,0.022898557,0.02047145,0.024346713
0.17,33.55,36.25,25.74,7.11,13.02,11.85,40.67,49.26,37.59,439.88,444.64,448.13,0.022536362,0.020374179,0.024016742
0.18,33.55,36.26,25.87,6.46,12.68,11.37,40.01,48.94,37.24,438.11,443.96,446.97,0.022220289,0.020310083,0.023717806
