s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,RAD_x70_y70_z10,RAD_x70_y70_z35,RAD_x70_y70_z60,RAD_x70_y70_z85,RAD_x70_y70_z110,RAD_x70_y70_z135
0,0,0,0,0,0,0
0.202,-0.00242,-0.0027,-0.00258,-0.00259,-0.00278,-0.00315
0.405,-0.00209,-0.00238,-0.00261,-0.00267,-0.00276,-0.00243
0.602,-0.000101,-0.00155,-0.00166,-0.00175,-0.00173,-0.00162
0.801,0.0537,0.0114,0.00557,0.000854,-0.000531,-0.00129
1,0.12,0.035,0.0258,0.0129,0.0104,0.00303
1.2,0.135,0.0485,0.0359,0.0195,0.0174,0.00709
1.4,0.161,0.0634,0.0474,0.0264,0.0225,0.00888
1.6,0.187,0.08,0.0599,0.034,0.0279,0.0109
1.8,0.217,0.102,0.0727,0.0414,0.0337,0.0134
2,0.238,0.129,0.0943,0.0559,0.0435,0.0178
2.2,0.247,0.136,0.0976,0.0589,0.0466,0.0195
2.4,0.269,0.158,0.115,0.0708,0.0534,0.0235
2.6,0.289,0.18,0.132,0.0835,0.0611,0.0286
2.8,0.297,0.193,0.142,0.0903,0.0661,0.0321
3,0.32,0.206,0.153,0.0982,0.0704,0.0356
3.2,0.327,0.225,0.166,0.107,0.0758,0.0394
3.4,0.342,0.236,0.178,0.117,0.0822,0.0444
3.6,0.346,0.253,0.189,0.124,0.0847,0.0457
3.8,0.373,0.263,0.204,0.136,0.097,0.0532
4,0.389,0.287,0.215,0.141,0.0948,0.0513
4.2,0.379,0.275,0.214,0.141,0.101,0.0562
4.4,0.432,0.326,0.251,0.169,0.115,0.0677
4.6,0.44,0.33,0.253,0.167,0.113,0.0664
4.8,0.476,0.36,0.282,0.188,0.129,0.0738
5,0.469,0.364,0.277,0.189,0.131,0.0783
5.2,0.514,0.405,0.325,0.224,0.156,0.0884
5.4,0.469,0.368,0.281,0.19,0.125,0.0738
5.6,0.54,0.467,0.38,0.254,0.175,0.111
5.8,0.544,0.436,0.351,0.239,0.159,0.0981
6,0.556,0.454,0.36,0.252,0.174,0.106
6.2,0.558,0.461,0.357,0.25,0.173,0.105
6.4,0.602,0.522,0.436,0.303,0.208,0.129
6.6,0.599,0.493,0.399,0.282,0.197,0.122
6.8,0.644,0.531,0.424,0.292,0.199,0.12
7,0.636,0.575,0.478,0.338,0.234,0.145
7.2,0.653,0.564,0.476,0.343,0.241,0.148
7.4,0.632,0.551,0.453,0.315,0.22,0.143
7.6,0.65,0.602,0.515,0.398,0.289,0.182
7.8,0.744,0.672,0.584,0.412,0.276,0.164
8,0.642,0.608,0.578,0.455,0.339,0.23
8.2,0.703,0.66,0.595,0.47,0.351,0.219
8.4,0.746,0.657,0.546,0.39,0.268,0.185
8.6,0.707,0.674,0.624,0.514,0.393,0.258
8.8,0.76,0.685,0.576,0.401,0.276,0.19
9,0.752,0.723,0.677,0.538,0.402,0.258
9.2,0.733,0.624,0.511,0.354,0.242,0.169
9.4,0.828,0.841,0.733,0.571,0.412,0.261
9.6,0.911,0.879,0.78,0.577,0.415,0.279
9.8,0.797,0.717,0.601,0.459,0.332,0.23
10,0.879,0.871,0.772,0.557,0.377,0.235
10.2,0.818,0.815,0.79,0.667,0.511,0.344
10.4,0.883,0.868,0.765,0.559,0.4,0.277
10.6,0.857,0.854,0.801,0.646,0.483,0.315
10.8,0.889,0.85,0.764,0.596,0.445,0.299
11,0.838,0.813,0.728,0.578,0.44,0.312
11.2,0.93,0.948,0.887,0.702,0.509,0.318
11.4,0.868,0.825,0.729,0.534,0.38,0.248
11.6,0.905,0.906,0.881,0.729,0.557,0.382
