m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,kg/m2/s,kg/m2/s,kg/m2/s
y,Radiative Heat Flux_105s,Radiative Heat Flux_145s,Radiative Heat Flux_185s,Convective Heat Flux_105s,Convective Heat Flux_145s,Convective Heat Flux_185s,Total Heat Flux_105s,Total Heat Flux_145s,Total Heat Flux_185s,Wall Temperature_105s,Wall Temperature_145s,Wall Temperature_185s,PMMAG Mass Flux_105s,PMMAG Mass Flux_145s,PMMAG Mass Flux_185s
0.000,11.478,6.838,5.936,-1.594,-1.630,-1.913,9.883,5.208,4.023,172.617,199.144,214.128,3.36E-05,0.000294774,0.000285412
0.005,13.128,7.586,6.112,-1.799,-2.045,-2.112,11.328,5.541,4.000,200.449,229.420,242.700,0.000328337,0.000369078,0.000284598
0.010,13.645,7.680,6.090,-1.824,-2.257,-2.209,11.821,5.423,3.881,206.555,236.167,249.150,0.000459225,0.000369685,0.000289605
0.015,13.089,7.400,5.698,-1.769,-2.316,-2.122,11.320,5.084,3.575,207.991,238.007,250.835,0.00049197,0.000371163,0.000290762
0.020,12.612,7.049,5.334,-1.644,-2.251,-2.041,10.968,4.798,3.293,206.648,236.926,249.811,0.000461474,0.000371564,0.000289678
0.025,12.157,6.901,5.250,-1.524,-2.143,-1.906,10.633,4.758,3.344,203.842,234.257,247.397,0.000395579,0.000371729,0.000287257
0.030,11.726,6.846,5.195,-1.472,-2.025,-1.813,10.254,4.821,3.382,200.433,230.704,244.185,0.000318181,0.000372022,0.000284246
0.035,11.283,6.839,5.157,-1.271,-1.899,-1.729,10.012,4.939,3.428,196.710,226.635,240.437,0.000242025,0.000373359,0.000281242
0.040,10.818,6.841,5.119,-0.888,-1.771,-1.669,9.930,5.069,3.450,192.886,222.381,236.454,0.000177122,0.000376912,0.000277977
0.045,10.364,6.836,5.095,-0.803,-1.535,-1.690,9.561,5.300,3.404,188.757,218.208,232.436,0.00012629,0.000382158,0.000274975
0.050,9.983,6.833,5.089,-0.527,-1.263,-1.743,9.456,5.570,3.347,184.806,214.096,228.593,8.91E-05,0.000384317,0.000272988
0.055,9.661,6.824,5.099,-0.150,-1.279,-1.755,9.511,5.546,3.344,181.139,210.089,225.092,6.32E-05,0.000376174,0.000272308
0.060,9.381,6.807,5.116,0.228,-1.421,-1.792,9.609,5.386,3.323,177.679,206.375,222.000,4.53E-05,0.000355707,0.000273346
0.065,9.110,6.777,5.135,0.605,-1.560,-1.813,9.715,5.217,3.322,174.541,203.308,219.474,3.32E-05,0.000329063,0.000276404
