m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,kg/m2/s,kg/m2/s,kg/m2/s
y,Radiative Heat Flux_105s,Radiative Heat Flux_145s,Radiative Heat Flux_185s,Convective Heat Flux_105s,Convective Heat Flux_145s,Convective Heat Flux_185s,Total Heat Flux_105s,Total Heat Flux_145s,Total Heat Flux_185s,Wall Temperature_105s,Wall Temperature_145s,Wall Temperature_185s,PMMAG Mass Flux_105s,PMMAG Mass Flux_145s,PMMAG Mass Flux_185s
0.00,7.74,7.89,8.38,0.09,-0.23,0.03,7.83,7.66,8.41,139.22,170.61,199.43,8.72E-07,2.57E-05,0.000265247
0.04,30.61,23.21,30.44,3.86,0.48,3.01,34.47,23.69,33.45,404.39,408.43,420.72,0.008012475,0.01267884,0.016583797
0.08,35.56,32.79,36.95,3.83,1.94,3.66,39.40,34.72,40.61,423.95,426.33,434.85,0.016737159,0.020777775,0.024252513
0.12,37.03,45.18,37.96,3.65,3.16,3.45,40.68,48.35,41.41,429.62,435.64,439.93,0.020554809,0.025541181,0.027643846
0.16,37.41,52.23,38.54,3.71,3.98,3.39,41.12,56.21,41.93,431.26,438.88,440.99,0.021601265,0.026847454,0.028249662
0.20,37.08,52.40,38.74,4.04,3.88,3.89,41.12,56.27,42.63,431.56,438.06,440.56,0.021354418,0.026363041,0.027369199
0.24,36.22,49.73,38.50,4.14,3.74,4.14,40.36,53.46,42.64,430.07,436.05,438.60,0.020194469,0.025009232,0.025680901
0.29,35.57,45.55,37.60,4.08,3.27,4.08,39.65,48.81,41.68,427.37,433.05,435.71,0.018457096,0.02345063,0.023789773
0.33,34.71,43.18,35.16,3.98,3.27,3.78,38.69,46.45,38.95,423.83,430.98,432.59,0.016432481,0.022016326,0.022062672
0.37,32.93,40.80,30.40,3.92,3.30,3.80,36.85,44.10,34.19,419.99,428.98,430.18,0.014342322,0.020625817,0.020626737
0.41,30.52,40.55,23.99,3.88,3.98,3.99,34.40,44.53,27.98,415.61,428.16,428.48,0.012188664,0.019301806,0.01947033
0.45,28.58,39.84,19.60,4.12,4.47,3.20,32.71,44.32,22.80,410.92,427.03,425.61,0.009987853,0.01803326,0.018544098
0.49,27.32,37.31,17.32,4.67,4.52,2.59,32.00,41.83,19.91,405.32,425.09,423.37,0.007708007,0.016785977,0.017808681
0.53,26.53,35.03,18.33,5.23,4.53,3.05,31.76,39.56,21.38,397.35,423.00,423.14,0.005417071,0.015528823,0.017245837
0.57,25.79,33.56,22.46,5.48,4.66,4.20,31.27,38.22,26.66,386.08,421.01,424.24,0.003458939,0.014303866,0.016772691
0.61,24.36,31.99,26.06,5.54,4.83,5.34,29.90,36.82,31.40,372.18,418.97,425.24,0.002118078,0.013118941,0.016245224
0.65,22.42,29.65,27.37,5.70,4.89,5.27,28.11,34.54,32.64,358.02,416.85,424.26,0.001376456,0.01204049,0.015740724
0.69,20.51,26.81,25.87,5.86,5.05,4.93,26.38,31.86,30.80,343.76,414.79,422.88,0.001015201,0.010987936,0.015291917
0.73,19.14,24.30,23.23,5.94,5.08,4.77,25.08,29.37,28.00,330.91,412.94,422.12,0.000846327,0.009975449,0.014666878
0.77,17.59,22.12,19.25,6.30,4.63,4.98,23.90,26.74,24.23,318.82,410.43,422.33,0.000785893,0.009289552,0.014544845
0.81,16.13,19.91,15.79,6.74,4.66,5.22,22.87,24.57,21.01,307.36,408.81,422.62,0.000771903,0.008658257,0.01448505
0.86,15.53,20.09,13.25,6.82,5.50,5.33,22.35,25.59,18.58,295.90,408.35,422.77,0.000786294,0.008031183,0.014438083
0.90,16.22,22.40,11.23,6.58,6.00,4.97,22.80,28.40,16.20,284.51,407.42,422.36,0.000794227,0.007487758,0.014468492
0.94,17.10,25.69,9.89,6.47,5.64,5.09,23.57,31.33,14.98,273.84,405.10,422.81,0.000842627,0.006968564,0.014564317
0.98,18.13,31.00,9.51,6.68,5.45,5.22,24.81,36.46,14.73,264.25,402.93,423.35,0.00086504,0.006475036,0.014705643
1.02,19.37,36.95,11.06,6.76,5.50,5.22,26.14,42.45,16.28,254.97,400.77,423.54,0.000952025,0.005930253,0.014772407
1.06,20.68,38.25,14.31,6.84,4.83,5.40,27.51,43.09,19.71,246.35,397.44,423.94,0.001072526,0.005410723,0.014778545
1.10,20.77,32.90,18.04,7.49,4.95,6.16,28.25,37.85,24.19,238.56,395.11,425.19,0.001167149,0.004903942,0.014723463
