s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 1.0500765E+001, 1.4931341E+001,-2.9662332E+000,-1.0795057E+001,-2.8205558E-002, 1.5717797E-002, 0.0000000E+000, 0.0000000E+000, 1.4786724E-001, 1.1575633E+000, 7.0379558E-002, 3.2631501E-004,-4.9681840E-029,-1.7367845E-025
 1.1001632E+001, 1.4952327E+001,-3.0788818E+000,-1.1574576E+001,-2.8832862E-002, 1.6373846E-002, 0.0000000E+000, 0.0000000E+000,-5.8258298E-001, 2.8641037E-001, 7.0379558E-002, 3.2631501E-004,-5.6249549E-029,-1.9229410E-025
 1.1500793E+001, 1.5048012E+001,-2.9937038E+000,-1.0436587E+001,-2.3130730E-002, 1.6611194E-002, 0.0000000E+000, 0.0000000E+000, 8.5595954E-001, 1.6112017E+000, 7.0379558E-002, 3.2631501E-004,-6.3239174E-029,-2.1098429E-025
 1.2002280E+001, 1.4903230E+001,-2.9336825E+000,-1.1541238E+001,-2.3941009E-002, 1.6962839E-002, 0.0000000E+000, 0.0000000E+000,-3.5078932E-001, 4.2133117E-001, 7.0379558E-002, 3.2631501E-004,-7.0498272E-029,-2.2985588E-025
 1.2501542E+001, 1.5001810E+001,-2.9347804E+000,-1.0839015E+001,-2.2609334E-002, 1.7772728E-002, 0.0000000E+000, 0.0000000E+000, 2.8932116E-001, 1.2231778E+000, 7.0379558E-002, 3.2631501E-004,-7.7079795E-029,-2.4649333E-025
 1.3000018E+001, 1.4801588E+001,-3.1694102E+000,-1.1661473E+001,-2.6164667E-002, 1.8218713E-002, 0.0000000E+000, 0.0000000E+000,-7.8371590E-001,-3.7240867E-002, 7.0379558E-002, 3.2631501E-004,-7.9563848E-029,-2.5169162E-025
 1.3500808E+001, 1.5004467E+001,-3.0721138E+000,-1.0666719E+001,-2.2402803E-002, 1.8659327E-002, 0.0000000E+000, 0.0000000E+000, 5.5867008E-001, 1.2618905E+000, 7.0379558E-002, 3.2631501E-004,-8.1121156E-029,-2.5869333E-025
 1.4000418E+001, 1.4913106E+001,-3.1419519E+000,-1.1378270E+001,-2.4333810E-002, 1.8920000E-002, 0.0000000E+000, 0.0000000E+000,-2.0083293E-001, 3.8747056E-001, 7.0379558E-002, 3.2631501E-004,-7.8687762E-029,-2.4751781E-025
 1.4501503E+001, 1.5215560E+001,-3.1398262E+000,-1.0449029E+001,-2.4111415E-002, 1.9472012E-002, 0.0000000E+000, 0.0000000E+000, 6.5850768E-001, 1.6220651E+000, 7.0379558E-002, 3.2631501E-004,-7.2508662E-029,-2.1959549E-025
 1.5000816E+001, 1.4956246E+001,-3.0247713E+000,-1.0888853E+001,-2.1650128E-002, 2.0209293E-002, 0.0000000E+000, 0.0000000E+000, 2.1407623E-001, 1.0411806E+000, 7.0379558E-002, 3.2631501E-004,-6.3509058E-029,-1.8857241E-025
 1.5500440E+001, 1.4916897E+001,-2.9159278E+000,-1.1219543E+001,-2.4728553E-002, 2.0557219E-002, 0.0000000E+000, 0.0000000E+000,-2.4475707E-001, 7.7725405E-001, 7.0379558E-002, 3.2631501E-004,-5.6092283E-029,-1.6480372E-025
 1.6000008E+001, 1.5026607E+001,-2.9257904E+000,-1.0504489E+001,-2.1792575E-002, 2.0943284E-002, 0.0000000E+000, 0.0000000E+000, 4.9056854E-001, 1.5954787E+000, 7.0379558E-002, 3.2631501E-004,-4.4521651E-029,-1.3214181E-025
 1.6501766E+001, 1.5044018E+001,-3.0213675E+000,-1.1977780E+001,-2.3824448E-002, 2.1412963E-002, 0.0000000E+000, 0.0000000E+000,-5.6021529E-001, 4.2459861E-002, 7.0379558E-002, 3.2631501E-004,-3.4864631E-029,-1.0546985E-025
 1.7000845E+001, 1.4849831E+001,-2.8964928E+000,-1.1306975E+001,-2.5688377E-002, 2.1835686E-002, 0.0000000E+000, 0.0000000E+000,-1.5612296E-001, 6.4251053E-001, 7.0379558E-002, 3.2631501E-004,-2.8317260E-029,-8.6656674E-026
 1.7502113E+001, 1.5037520E+001,-2.9638825E+000,-1.0533665E+001,-2.2326506E-002, 2.2022984E-002, 0.0000000E+000, 0.0000000E+000, 6.1124605E-001, 1.5396684E+000, 7.0379558E-002, 3.2631501E-004,-2.4293385E-029,-7.3385266E-026
 1.8001913E+001, 1.4994570E+001,-2.9871998E+000,-1.1891896E+001,-2.6159159E-002, 2.2566885E-002, 0.0000000E+000, 0.0000000E+000,-5.7771788E-001, 1.1188228E-001, 7.0379558E-002, 3.2631501E-004,-2.3351556E-029,-6.6750165E-026
 1.8500996E+001, 1.5066261E+001,-2.9886789E+000,-1.1515960E+001,-2.1944545E-002, 2.3259661E-002, 0.0000000E+000, 0.0000000E+000,-1.2281908E-001, 5.6293721E-001, 7.0379558E-002, 3.2631501E-004,-2.5694743E-029,-6.8017773E-026
 1.9001774E+001, 1.4768237E+001,-2.8619146E+000,-1.0153341E+001,-2.8034987E-002, 2.3035252E-002, 0.0000000E+000, 0.0000000E+000, 6.5050050E-001, 1.7479814E+000, 7.0379558E-002, 3.2631501E-004,-3.1743552E-029,-7.9472208E-026
 1.9501244E+001, 1.5154693E+001,-2.9517890E+000,-1.1941302E+001,-2.9740531E-002, 2.3478974E-002, 0.0000000E+000, 0.0000000E+000,-5.3297439E-001, 2.5534131E-001, 7.0379558E-002, 3.2631501E-004,-4.0745869E-029,-1.0013441E-025
 2.0000000E+001, 1.4775243E+001,-2.8146974E+000,-1.0832479E+001,-2.0397767E-002, 2.3330713E-002, 0.0000000E+000, 0.0000000E+000, 3.4741209E-001, 1.1309992E+000, 7.0379558E-002, 3.2631501E-004,-5.1642958E-029,-1.2774782E-025
