s,kW,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,m3/s,kg/s,kg/s,,,,,,,,
Time,DC HRR,NIST HRR,FDS HRR,CORNER RHF-1,CORNER RHF-2,CORNER RHF-3,CORNER RHF-4,CORNER RHF-5,CORNER RHF-6,CORNER RHF-7,CORNER RHF-8,CORNER RHF-9,CORNER RHF-10,CORNER RHF-11,CORNER RHF-12,CORNER RHF-13,CORNER RHF-14,CORNER RHF-15,CORNER RHF-16,CORNER RHF-17,CORNER RHF-18,CORNER RHF-19,CORNER RHF-20,CORNER RHF-21,CORNER RHF-22,CORNER RHF-23,CORNER RHF-24,CORNER RHF-25,CORNER RHF-26,CORNER RHF-27,CORNER RHF-28,CORNER RHF-29,GHF_x05-1,GHF_x05-2,GHF_x05-3,GHF_x05-4,GHF_x05-5,GHF_x05-6,GHF_x05-7,GHF_x05-8,GHF_x05-9,GHF_x05-10,GHF_x05-11,GHF_x05-12,GHF_x05-13,GHF_x05-14,GHF_x05-15,GHF_x05-16,GHF_x05-17,GHF_x05-18,GHF_x05-19,GHF_x05-20,GHF_x05-21,GHF_x05-22,GHF_x05-23,GHF_x05-24,GHF_x05-25,GHF_x05-26,GHF_x05-27,GHF_x05-28,GHF_x05-29,GHF_x05-30,GHF_x05-31,GHF_x05-32,GHF_x05-33,GHF_x05-34,GHF_x05-35,GHF_x05-36,GHF_x10-1,GHF_x10-2,GHF_x10-3,GHF_x10-4,GHF_x10-5,GHF_x10-6,GHF_x10-7,GHF_x10-8,GHF_x10-9,GHF_x10-10,GHF_x10-11,GHF_x10-12,GHF_x10-13,GHF_x10-14,GHF_x10-15,GHF_x10-16,GHF_x10-17,GHF_x10-18,GHF_x10-19,GHF_x10-20,GHF_x10-21,GHF_x10-22,GHF_x10-23,GHF_x10-24,GHF_x10-25,GHF_x10-26,GHF_x10-27,GHF_x10-28,GHF_x10-29,GHF_x10-30,GHF_x10-31,GHF_x10-32,GHF_x10-33,GHF_x10-34,GHF_x10-35,GHF_x10-36,GHF_x15-1,GHF_x15-2,GHF_x15-3,GHF_x15-4,GHF_x15-5,GHF_x15-6,GHF_x15-7,GHF_x15-8,GHF_x15-9,GHF_x15-10,GHF_x15-11,GHF_x15-12,GHF_x15-13,GHF_x15-14,GHF_x15-15,GHF_x15-16,GHF_x15-17,GHF_x15-18,GHF_x15-19,GHF_x15-20,GHF_x15-21,GHF_x15-22,GHF_x15-23,GHF_x15-24,GHF_x15-25,GHF_x15-26,GHF_x15-27,GHF_x15-28,GHF_x15-29,GHF_x15-30,GHF_x15-31,GHF_x15-32,GHF_x15-33,GHF_x15-34,GHF_x15-35,GHF_x15-36,GHF_x22-1,GHF_x22-2,GHF_x22-3,GHF_x22-4,GHF_x22-5,GHF_x22-6,GHF_x22-7,GHF_x22-8,GHF_x22-9,GHF_x22-10,GHF_x22-11,GHF_x22-12,GHF_x22-13,GHF_x22-14,GHF_x22-15,GHF_x22-16,GHF_x22-17,GHF_x22-18,GHF_x22-19,GHF_x22-20,GHF_x22-21,GHF_x22-22,GHF_x22-23,GHF_x22-24,GHF_x22-25,GHF_x22-26,GHF_x22-27,GHF_x22-28,GHF_x22-29,GHF_x22-30,GHF_x22-31,GHF_x22-32,GHF_x22-33,GHF_x22-34,GHF_x22-35,GHF_x22-36,O2amb,CO2amb,N2wamb,O2wamb,CO2wamb,H2Oamb,O2,CO,CO2,SOOT,H2O,T,VF,MF,CO_MF,O2adjx,O2Tparx,O2Tgamx,rH2OO2x,O2Tdex,O2Tx,O2sub1x,O2subx
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 6.7211276E-002, 4.7577684E-002, 4.7397692E-002, 4.7250579E-002, 4.7110054E-002, 4.6971081E-002, 4.6829763E-002, 4.6677823E-002, 4.6511172E-002, 4.6342499E-002, 4.6203620E-002, 4.6125913E-002, 4.6084539E-002, 4.6016232E-002, 4.5895486E-002, 4.5753168E-002, 4.5620875E-002, 4.5511441E-002, 4.5419644E-002, 4.5332278E-002, 4.5236693E-002, 4.5124533E-002, 4.4992149E-002, 4.4839904E-002, 4.4671300E-002, 4.4491521E-002, 4.4304228E-002, 4.4106347E-002, 4.3883574E-002, 4.3612887E-002, 4.3276258E-002, 4.2878273E-002, 4.2728903E-002, 4.2803617E-002, 4.2854183E-002, 4.2864234E-002, 4.2841058E-002, 4.7419047E-002, 4.7216846E-002, 4.7049438E-002, 4.6889411E-002, 4.6733285E-002, 4.6577354E-002, 4.6412027E-002, 4.6231189E-002, 4.6046350E-002, 4.5890752E-002, 4.5799487E-002, 4.5746669E-002, 4.5664443E-002, 4.5526138E-002, 4.5366296E-002, 4.5218014E-002, 4.5093185E-002, 4.4984923E-002, 4.4878958E-002, 4.4762413E-002, 4.4627155E-002, 4.4469733E-002, 4.4290405E-002, 4.4092219E-002, 4.3879690E-002, 4.3655887E-002, 4.3417611E-002, 4.3151319E-002, 4.2835998E-002, 4.2457192E-002, 4.2025098E-002, 4.2225277E-002, 4.2301020E-002, 4.2358420E-002, 4.2378951E-002, 4.2370187E-002, 4.7264421E-002, 4.7039105E-002, 4.6850397E-002, 4.6670354E-002, 4.6497316E-002, 4.6327756E-002, 4.6150613E-002, 4.5957464E-002, 4.5758287E-002, 4.5587524E-002, 4.5484118E-002, 4.5421191E-002, 4.5326361E-002, 4.5171895E-002, 4.4996268E-002, 4.4834070E-002, 4.4696207E-002, 4.4574207E-002, 4.4452940E-002, 4.4319566E-002, 4.4166436E-002, 4.3990548E-002, 4.3792295E-002, 4.3574541E-002, 4.3341526E-002, 4.3096363E-002, 4.2836695E-002, 4.2550880E-002, 4.2220591E-002, 4.1834197E-002, 4.1404679E-002, 4.1858742E-002, 4.1925511E-002, 4.1978558E-002, 4.1999222E-002, 4.1994547E-002, 4.6960949E-002, 4.6688357E-002, 4.6454684E-002, 4.6234020E-002, 4.6029005E-002, 4.5835769E-002, 4.5639381E-002, 4.5425966E-002, 4.5201698E-002, 4.5003089E-002, 4.4877418E-002, 4.4796170E-002, 4.4678302E-002, 4.4494240E-002, 4.4291010E-002, 4.4106113E-002, 4.3948361E-002, 4.3806356E-002, 4.3663782E-002, 4.3508481E-002, 4.3334338E-002, 4.3139731E-002, 4.2925725E-002, 4.2695139E-002, 4.2451942E-002, 4.2199676E-002, 4.1938142E-002, 4.1659816E-002, 4.1350741E-002, 4.1000674E-002, 4.0620120E-002, 4.1359114E-002, 4.1397521E-002, 4.1423852E-002, 4.1424713E-002, 4.1407615E-002, 2.0954574E-001, 3.9011087E-004, 7.7993971E-001, 2.0686048E-001, 3.8511172E-004, 1.2814698E-002, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 1.2814698E-002, 2.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0962752E-001, 0.0000000E+000, 0.0000000E+000, 1.2981046E-002, 1.0129810E+000, 2.0694121E-001, 0.0000000E+000, 0.0000000E+000
 1.0013523E+000, 0.0000000E+000,-1.8760705E-069, 8.8554591E+000, 4.5269923E-002, 4.5606897E-002, 4.8264091E-002, 4.5184105E-002, 4.1414760E-002, 3.8332941E-002, 3.5164536E-002, 3.4080737E-002, 3.2802080E-002, 3.1293857E-002, 2.8009984E-002, 2.6399243E-002, 2.4845186E-002, 2.3347033E-002, 2.1902772E-002, 1.9186157E-002, 1.7922508E-002, 1.6725646E-002, 1.5595678E-002, 1.3529739E-002, 1.2588560E-002, 1.1704178E-002, 1.0872601E-002, 9.3552752E-003, 8.6704412E-003, 4.8858490E-003, 4.5859881E-003, 4.0583182E-003, 3.8226009E-003, 4.1154443E+000, 3.8821487E+000, 3.3746036E+000, 2.7651241E+000, 2.1699475E+000, 1.6123645E+000, 1.1544763E+000, 8.1480082E-001, 5.8929438E-001, 4.4178372E-001, 3.4261352E-001, 2.7321035E-001, 2.2330951E-001, 1.8662852E-001, 1.5912044E-001, 1.3817782E-001, 1.2202790E-001, 1.0941919E-001, 9.9453481E-002, 9.1486022E-002, 8.5054141E-002, 7.9816180E-002, 7.5516163E-002, 7.1959654E-002, 6.8996475E-002, 6.6508799E-002, 6.4403405E-002, 6.2607552E-002, 6.1067111E-002, 5.9743805E-002, 5.8607342E-002, 5.5139268E-002, 5.4599893E-002, 5.4138657E-002, 5.3736984E-002, 5.3376822E-002, 6.3163205E+000, 5.9418258E+000, 4.9467869E+000, 3.9102470E+000, 2.9592610E+000, 2.1581242E+000, 1.5309836E+000, 1.0632413E+000, 7.3626220E-001, 5.2914563E-001, 3.9823329E-001, 3.1058432E-001, 2.4927884E-001, 2.0504645E-001, 1.7240683E-001, 1.4787182E-001, 1.2914981E-001, 1.1465820E-001, 1.0330587E-001, 9.4308513E-002, 8.7100512E-002, 8.1272247E-002, 7.6519468E-002, 7.2612888E-002, 6.9377058E-002, 6.6675466E-002, 6.4400791E-002, 6.2469654E-002, 6.0820207E-002, 5.9409137E-002, 5.8203556E-002, 5.4782321E-002, 5.4214984E-002, 5.3732961E-002, 5.3315973E-002, 5.2945727E-002, 6.0104872E+000, 5.7305679E+000, 4.8088973E+000, 3.7701207E+000, 2.8501053E+000, 2.1004171E+000, 1.5141904E+000, 1.0713212E+000, 7.5508108E-001, 5.3781278E-001, 3.9622386E-001, 3.0551516E-001, 2.4433751E-001, 2.0084863E-001, 1.6899068E-001, 1.4517492E-001, 1.2707688E-001, 1.1310548E-001, 1.0217277E-001, 9.3505340E-002, 8.6557729E-002, 8.0932763E-002, 7.6336976E-002, 7.2550212E-002, 6.9404512E-002, 6.6769390E-002, 6.4542380E-002, 6.2643817E-002, 6.1015008E-002, 5.9615888E-002, 5.8417055E-002, 5.4898585E-002, 5.4330321E-002, 5.3847041E-002, 5.3428180E-002, 5.3055873E-002, 3.3543182E+000, 3.0207663E+000, 2.5172906E+000, 2.0394197E+000, 1.6160706E+000, 1.2303223E+000, 9.1953100E-001, 6.7143448E-001, 4.8882314E-001, 3.6760212E-001, 2.8877272E-001, 2.3383487E-001, 1.9417307E-001, 1.6476655E-001, 1.4256784E-001, 1.2557619E-001, 1.1238083E-001, 1.0200328E-001, 9.3742369E-002, 8.7095916E-002, 8.1695865E-002, 7.7268700E-002, 7.3608880E-002, 7.0559809E-002, 6.8000201E-002, 6.5834148E-002, 6.3984772E-002, 6.2391574E-002, 6.1010645E-002, 5.9814393E-002, 5.8784714E-002, 5.5308465E-002, 5.4821727E-002, 5.4409044E-002, 5.4050260E-002, 5.3728801E-002, 2.0954574E-001, 3.9011087E-004, 7.7993971E-001, 2.0686048E-001, 3.8511172E-004, 1.2814698E-002, 2.0954574E-001, 3.7611433E-070, 3.9011087E-004, 1.7542691E-069, 1.2814698E-002, 2.4997711E+001, 4.2626867E-001, 5.0019680E-001, 1.8115583E-070, 2.0962752E-001, 0.0000000E+000, 0.0000000E+000, 1.2981046E-002, 1.0129810E+000, 2.0694121E-001, 0.0000000E+000, 0.0000000E+000
 2.0004883E+000, 0.0000000E+000,-5.2841940E-024, 1.6114234E+001, 2.4029805E-001, 2.4615174E-001, 2.6747876E-001, 2.5737357E-001, 2.4447843E-001, 2.3444357E-001, 2.2076867E-001, 2.1389801E-001, 2.0638873E-001, 1.9838517E-001, 1.8156502E-001, 1.7310460E-001, 1.6476428E-001, 1.5656432E-001, 1.4851563E-001, 1.3304326E-001, 1.2571695E-001, 1.1870595E-001, 1.1200201E-001, 9.9485817E-002, 9.3680048E-002, 8.8168028E-002, 8.2943764E-002, 7.3337090E-002, 6.8937992E-002, 6.0902149E-002, 5.7245236E-002, 5.0601884E-002, 4.7595970E-002, 1.8953394E+001, 2.0848784E+001, 2.0077670E+001, 1.7929520E+001, 1.5402429E+001, 1.2934563E+001, 1.0842387E+001, 9.1342701E+000, 7.7842578E+000, 6.6960308E+000, 5.8326244E+000, 5.1102019E+000, 4.4857902E+000, 3.9635174E+000, 3.5448994E+000, 3.1953810E+000, 2.8864954E+000, 2.6119003E+000, 2.3684437E+000, 2.1595020E+000, 1.9762405E+000, 1.8085052E+000, 1.6578974E+000, 1.5274544E+000, 1.4081866E+000, 1.2942579E+000, 1.1895544E+000, 1.0946890E+000, 1.0023351E+000, 9.0825118E-001, 8.1766543E-001, 7.2562732E-001, 6.4925813E-001, 5.7825330E-001, 5.1244858E-001, 4.4297748E-001, 2.3368506E+001, 2.5255950E+001, 2.3076622E+001, 1.9431390E+001, 1.5665632E+001, 1.2309830E+001, 9.7392938E+000, 7.9021152E+000, 6.5568183E+000, 5.5466825E+000, 4.7599528E+000, 4.1125623E+000, 3.5735219E+000, 3.1108031E+000, 2.7027088E+000, 2.3503603E+000, 2.0427155E+000, 1.7795031E+000, 1.5732651E+000, 1.4284225E+000, 1.3272142E+000, 1.2402233E+000, 1.1526323E+000, 1.0700130E+000, 9.9796753E-001, 9.3621185E-001, 8.8571632E-001, 8.3332476E-001, 7.7473753E-001, 7.1478729E-001, 6.6322935E-001, 6.1351696E-001, 5.5624563E-001, 5.0206974E-001, 4.4669028E-001, 3.9002493E-001, 2.0431613E+001, 1.9761131E+001, 1.5352140E+001, 1.1723849E+001, 9.0485118E+000, 7.0060035E+000, 5.5838610E+000, 4.6587074E+000, 3.9998481E+000, 3.4738450E+000, 3.0339925E+000, 2.6450604E+000, 2.3171799E+000, 2.0282605E+000, 1.7566451E+000, 1.5122753E+000, 1.3032552E+000, 1.1111295E+000, 9.4556881E-001, 8.2039914E-001, 7.2898757E-001, 6.6334318E-001, 6.1824249E-001, 5.8429618E-001, 5.5610763E-001, 5.3413270E-001, 5.1345451E-001, 4.9320268E-001, 4.6874005E-001, 4.4203334E-001, 4.1787046E-001, 3.9743021E-001, 3.7210845E-001, 3.4948755E-001, 3.2567970E-001, 3.0868545E-001, 7.1595858E+000, 5.7481199E+000, 4.5551881E+000, 3.6878030E+000, 3.0469922E+000, 2.5692862E+000, 2.1910177E+000, 1.8897194E+000, 1.6532068E+000, 1.4531807E+000, 1.2839227E+000, 1.1411370E+000, 1.0173256E+000, 9.0304823E-001, 8.0294721E-001, 7.1382543E-001, 6.2093541E-001, 5.2548441E-001, 4.4998911E-001, 3.9056862E-001, 3.5061467E-001, 3.1817379E-001, 2.9101128E-001, 2.6614018E-001, 2.4239906E-001, 2.2707004E-001, 2.2190031E-001, 2.1893825E-001, 2.1863433E-001, 2.1660816E-001, 2.1265909E-001, 2.0448256E-001, 1.9432505E-001, 1.8448934E-001, 1.7373436E-001, 1.7317377E-001, 2.0954574E-001, 3.9011087E-004, 7.7993971E-001, 2.0686048E-001, 3.8511172E-004, 1.2814698E-002, 2.0954574E-001, 3.5238786E-025, 3.9011087E-004, 1.6436043E-024, 1.2814698E-002, 2.4998108E+001, 5.3980094E-001, 6.3341823E-001, 2.1493296E-025, 2.0962752E-001, 0.0000000E+000, 0.0000000E+000, 1.2981046E-002, 1.0129810E+000, 2.0694121E-001, 0.0000000E+000, 0.0000000E+000
 3.0014919E+000, 2.4335685E+000, 2.2623767E+000, 2.0130743E+001, 3.3902012E-001, 3.4613360E-001, 3.7491371E-001, 3.6852242E-001, 3.5547931E-001, 3.4294242E-001, 3.2531587E-001, 3.1728707E-001, 3.0836299E-001, 2.9865151E-001, 2.7785349E-001, 2.6717481E-001, 2.5637286E-001, 2.4553759E-001, 2.3483488E-001, 2.1387825E-001, 2.0362509E-001, 1.9368934E-001, 1.8412904E-001, 1.6590999E-001, 1.5730389E-001, 1.4912273E-001, 1.4132780E-001, 1.2676870E-001, 1.2003319E-001, 1.0982962E-001, 1.0400633E-001, 9.3226891E-002, 8.8273407E-002, 2.3397075E+001, 2.8630751E+001, 3.0885866E+001, 2.9542260E+001, 2.6854083E+001, 2.3721816E+001, 2.0714566E+001, 1.8056814E+001, 1.5826177E+001, 1.4062206E+001, 1.2600021E+001, 1.1424949E+001, 1.0380589E+001, 9.5026985E+000, 8.7074430E+000, 8.0304934E+000, 7.4265823E+000, 6.9281582E+000, 6.4538850E+000, 6.0489842E+000, 5.6683984E+000, 5.3267186E+000, 4.9875211E+000, 4.6805878E+000, 4.3752048E+000, 4.1078484E+000, 3.8204712E+000, 3.5751374E+000, 3.3151101E+000, 3.0944327E+000, 2.8461969E+000, 2.6283208E+000, 2.4336315E+000, 2.2718213E+000, 2.0679265E+000, 1.9228230E+000, 2.7116022E+001, 3.1601002E+001, 3.0819669E+001, 2.6718962E+001, 2.2207326E+001, 1.8458875E+001, 1.5220397E+001, 1.2573033E+001, 1.0485380E+001, 9.0030727E+000, 7.8347687E+000, 6.9409245E+000, 6.1894340E+000, 5.5907969E+000, 5.0485432E+000, 4.6499477E+000, 4.3135475E+000, 4.0789290E+000, 3.8433030E+000, 3.6650397E+000, 3.4519418E+000, 3.2842236E+000, 3.0899465E+000, 2.9297557E+000, 2.7530770E+000, 2.6007674E+000, 2.4390611E+000, 2.3351357E+000, 2.2127244E+000, 2.1255239E+000, 1.9980598E+000, 1.9081039E+000, 1.8130649E+000, 1.7580182E+000, 1.6467528E+000, 1.5864055E+000, 2.2279117E+001, 2.2318289E+001, 1.7904272E+001, 1.3740734E+001, 1.0692090E+001, 8.6467593E+000, 7.0519696E+000, 5.7539768E+000, 4.7503217E+000, 4.0309405E+000, 3.5031238E+000, 3.1023013E+000, 2.8310410E+000, 2.6531540E+000, 2.4731756E+000, 2.3425669E+000, 2.2333802E+000, 2.1795349E+000, 2.1086007E+000, 2.0770720E+000, 2.0068645E+000, 1.9639100E+000, 1.8666951E+000, 1.8132149E+000, 1.7205879E+000, 1.6734676E+000, 1.6018069E+000, 1.5655293E+000, 1.5145589E+000, 1.4952340E+000, 1.4324162E+000, 1.4254284E+000, 1.3866705E+000, 1.3851116E+000, 1.3248716E+000, 1.3246374E+000, 7.5186416E+000, 6.3358220E+000, 5.0706100E+000, 4.1019910E+000, 3.4282051E+000, 2.9256892E+000, 2.5571036E+000, 2.2711736E+000, 2.0275170E+000, 1.8120477E+000, 1.6214245E+000, 1.4737484E+000, 1.3410805E+000, 1.2389243E+000, 1.1421564E+000, 1.0526452E+000, 9.7204115E-001, 9.1152971E-001, 8.6021435E-001, 8.2637884E-001, 7.9336002E-001, 7.7429262E-001, 7.4744518E-001, 7.4566288E-001, 7.5018205E-001, 7.6572738E-001, 7.6996067E-001, 7.6756715E-001, 7.6184808E-001, 7.4834334E-001, 7.3062940E-001, 7.2360319E-001, 7.0925141E-001, 6.9645954E-001, 6.5337680E-001, 6.7429121E-001, 2.0954574E-001, 3.9011087E-004, 7.7993971E-001, 2.0686048E-001, 3.8511172E-004, 1.2814698E-002, 2.0895308E-001, 1.0255721E-006, 7.7527531E-004, 4.7834643E-006, 1.3325556E-002, 3.0096713E+001, 5.5722861E-001, 6.4286614E-001, 6.3457313E-007, 2.0941069E-001, 2.6229703E-004, 3.9344555E-004, 1.2967619E-002, 1.0133611E+000, 2.0664963E-001, 2.9157866E-004, 2.9157866E-004
 4.0006315E+000, 7.5717723E+000, 7.0385493E+000, 2.2504787E+001, 4.0368256E-001, 4.1447105E-001, 4.4851388E-001, 4.4565388E-001, 4.3563635E-001, 4.2513057E-001, 4.0772374E-001, 3.9852565E-001, 3.8830532E-001, 3.7747075E-001, 3.5432185E-001, 3.4211036E-001, 3.2975126E-001, 3.1735903E-001, 3.0491941E-001, 2.8025534E-001, 2.6830341E-001, 2.5652387E-001, 2.4486090E-001, 2.2245207E-001, 2.1187068E-001, 2.0162835E-001, 1.9168130E-001, 1.7270934E-001, 1.6384709E-001, 1.5452355E-001, 1.4656305E-001, 1.3170577E-001, 1.2478037E-001, 2.3085425E+001, 2.8967147E+001, 3.2570669E+001, 3.3429820E+001, 3.2726634E+001, 3.1029343E+001, 2.8620349E+001, 2.5849029E+001, 2.3055732E+001, 2.0509044E+001, 1.8232407E+001, 1.6258164E+001, 1.4509727E+001, 1.3073433E+001, 1.1822012E+001, 1.0792444E+001, 9.7997643E+000, 8.9627931E+000, 8.1654930E+000, 7.4863550E+000, 6.8272674E+000, 6.2882261E+000, 5.7962646E+000, 5.4351180E+000, 5.0802404E+000, 4.8044581E+000, 4.5212824E+000, 4.2977307E+000, 4.0357871E+000, 3.8440532E+000, 3.6268298E+000, 3.4932467E+000, 3.2830715E+000, 3.1369341E+000, 2.9104809E+000, 2.7693173E+000, 2.4360755E+001, 2.9268765E+001, 3.0422816E+001, 2.8871848E+001, 2.5970062E+001, 2.2596988E+001, 1.9461193E+001, 1.6601568E+001, 1.4135640E+001, 1.2061792E+001, 1.0278328E+001, 8.8228507E+000, 7.6074783E+000, 6.6582628E+000, 5.8976152E+000, 5.3241408E+000, 4.8139371E+000, 4.3935562E+000, 4.0135468E+000, 3.7177478E+000, 3.4719751E+000, 3.2945747E+000, 3.1412091E+000, 3.0203502E+000, 2.8709038E+000, 2.7406246E+000, 2.6140782E+000, 2.5048068E+000, 2.3890154E+000, 2.3042836E+000, 2.2218829E+000, 2.1657072E+000, 2.0562801E+000, 1.9849161E+000, 1.8843635E+000, 1.8763200E+000, 2.0865019E+001, 2.2448418E+001, 1.9714981E+001, 1.6162663E+001, 1.3299847E+001, 1.1136996E+001, 9.4784057E+000, 8.1197217E+000, 6.9764480E+000, 5.9546681E+000, 5.0727406E+000, 4.3609244E+000, 3.7670723E+000, 3.3165416E+000, 2.9792013E+000, 2.7441416E+000, 2.5908443E+000, 2.4945781E+000, 2.4117213E+000, 2.3471021E+000, 2.2975213E+000, 2.2626118E+000, 2.2170945E+000, 2.1796284E+000, 2.1226579E+000, 2.0638610E+000, 1.9942280E+000, 1.9400453E+000, 1.8707177E+000, 1.8278059E+000, 1.7801493E+000, 1.7671577E+000, 1.7328388E+000, 1.7244054E+000, 1.6665615E+000, 1.6543986E+000, 7.2295220E+000, 6.3101375E+000, 5.5079573E+000, 4.7432549E+000, 4.1704181E+000, 3.7130590E+000, 3.3097088E+000, 2.9474984E+000, 2.6149289E+000, 2.3163487E+000, 2.0034916E+000, 1.6837413E+000, 1.4647641E+000, 1.3336490E+000, 1.2201858E+000, 1.1279591E+000, 1.0557197E+000, 1.0175655E+000, 1.0230192E+000, 1.0454828E+000, 1.0518192E+000, 1.0469672E+000, 1.0491599E+000, 1.0822320E+000, 1.1029278E+000, 1.1307435E+000, 1.1304912E+000, 1.1485971E+000, 1.1171010E+000, 1.1049372E+000, 1.0604304E+000, 1.0316980E+000, 9.9136256E-001, 9.9210727E-001, 9.7877490E-001, 1.0258651E+000, 2.0954574E-001, 3.9011087E-004, 7.7993971E-001, 2.0686048E-001, 3.8511172E-004, 1.2814698E-002, 2.0833208E-001, 2.1001620E-006, 1.1788489E-003, 9.7955569E-006, 1.3860265E-002, 3.6122469E+001, 5.5962348E-001, 6.3306438E-001, 1.2790564E-006, 2.0899740E-001, 7.6229182E-004, 1.1434377E-003, 1.2942026E-002, 1.0140855E+000, 2.0609447E-001, 8.4674124E-004, 8.4674124E-004
