nodenumber,x-coordinate,y-coordinate,z-coordinate,heat-release-rate,velocity-magnitude,x-velocity,y-velocity,z-velocity,cell-reynolds-number,cell-convective-courant-number,temperature,absorption-coefficient,volumetric-absorbed-radiation,volumetric-emitted-radiation,rmse-flamelet-surrounding-temperature-ratio,rmse-flamelet-temperature-excess,rmse-flamelet-volume-fraction,rmse-heat-release-rate,rmse-reactivity,rmse-soot-volume-fraction-2,rmse-subgrid-combustion-factor,mean-flamelet-surrounding-temperature-ratio,mean-flamelet-temperature-excess,mean-flamelet-volume-fraction,mean-heat-release-rate,mean-reactivity,mean-soot-volume-fraction-2,mean-subgrid-combustion-factor,mean-pressure,mean-velocity-magnitude,mean-x-velocity,mean-y-velocity,mean-z-velocity,mean-temperature,mean-o2-mass-fraction,mean-co2-mass-fraction,mean-h2o-mass-fraction,rmse-pressure,rmse-velocity-magnitude,rmse-x-velocity,rmse-y-velocity,rmse-z-velocity,rmse-temperature,rmse-o2-mass-fraction,rmse-co2-mass-fraction,rmse-h2o-mass-fraction,sgs-viscosity-ratio,c2h4,o2,co2,h2o,soot-volume-fraction,soot-rate,soot-oxidation-rate,udm-0,udm-1,udm-2,udm-3,udm-4,udm-5,udm-6,udm-7,udm-8,udm-9,udm-10,udm-11,udm-12,udm-13,udm-14,udm-15,viscosity-lam,heat-flux,surf-incident-radiation,strain-rate-mag
25,8.81872835,1.2680031029999999e-17,0.3000000048,0.0,0.3192617461,-0.1309870838,-0.01361711359,0.2905329868,72.83206634,0.2701447724,298.2006743,0.000143489401,1.608031076,0.2574409886,0.02018487121,9.572102622,0.2311244546,1810872.417,0.2173408017,0.1569090072,0.3930933271,1.001618002,0.7874377763,0.1673050015,233625.615,0.287811581,0.05332895813,0.2969922802,-1.120924433,0.3626619912,-0.09119695406,-0.005291657251,0.3507283785,462.6277941,0.1495079239,0.01781281253,0.006924243946,0.9104233877,0.5580122678,0.3181541885,0.2396374065,0.3907703622,328.5963214,0.0437059465,0.03824928825,0.01419872289,0.1461737484,6.657029148e-09,0.1699449253,3.123174661e-06,2.173341246e-06,2.202789415e-12,-8.52050602e-25,8.52050602e-25,0.0,1.0,298.2006743,298.2006743,1.0,0.0,0.0,0.5,0.0,0.0,9.336159288e-09,0.0,0.0,0.1461737484,0.006445799469,0.0,1.942373988e-05,0.0,0.0,12.9187698
26,9.184346943000001,1.2913111779999999e-17,0.3000000048,0.0,0.3036856855,-0.1294490823,-0.006987020644,0.2743548325,70.72263318,0.2508745275,298.1883882,0.0001080462443,1.177979372,0.1938025449,0.01828729403,8.551252699,0.2208349964,1648298.66,0.2095513372,0.15289733509999998,0.3797944166,1.001326817,0.6389808244,0.1425903707,195628.0574,0.278029762,0.048748506979999995,0.2696119733,-1.117643079,0.309398268,-0.0980428164,-0.004898828135,0.2932076502,439.5140398,0.1521660566,0.01550231872,0.006000707031,0.9029386124,0.5190030056,0.3019918372,0.2217458131,0.3591170895,310.7153731,0.04171855101,0.03649954353,0.01352962398,0.1433472873,5.04012527e-09,0.1699460663,2.403071083e-06,1.615411677e-06,1.65959273e-12,-5.4773275930000005e-25,5.4773275930000005e-25,0.0,1.0,298.1883882,298.1883882,1.0,0.0,0.0,0.5,0.0,0.0,6.997890691e-09,0.0,0.0,0.1433472873,0.004970967929,0.0,1.942328998e-05,0.0,0.0,12.18302635
27,9.549965537,1.314619252e-17,0.3000000048,0.0,0.2842967677,-0.1291700959,-0.01122173951,0.2526186158,66.07484396,0.2375545225,298.1745633,6.873569465e-05,0.7308634111,0.1232603968,0.01601604443,7.28840082,0.2114801422,1476219.81,0.1962954009,0.146214049,0.375412604,1.001084348,0.509861878,0.1213352104,170522.2608,0.2568754452,0.04358011713,0.2520233567,-1.11393078,0.2663163929,-0.1051684073,-0.004986641721,0.2442180018,419.1629503,0.154587187,0.01340239792,0.005167763543,0.894963183,0.4802366305,0.2848595727,0.2034267007,0.3287586952,292.9790904,0.03958015817,0.03464663719,0.01282142674,0.1452688625,3.23321541e-09,0.1699473379,1.54596652e-06,1.020536862e-06,1.060623525e-12,-2.8198911550000003e-25,2.8198911550000003e-25,0.0,1.0,298.1745633,298.1745633,1.0,0.0,0.0,0.5,0.0,0.0,4.489455811e-09,0.0,0.0,0.1452688625,0.003399243442,0.0,1.942278354e-05,0.0,0.0,12.34509403
28,9.915584130000001,1.3379273269999999e-17,0.3000000048,0.0,0.2645581579,-0.1276912884,-0.02242182671,0.2303017397,62.45236466,0.2270128681,298.1614349,3.19576509e-05,0.3312240443,0.05729315035,0.01337865495,5.820175349,0.200543376,1292951.808,0.183951582,0.1373436899,0.3775811664,1.000851616,0.3841982631,0.1030090379,145302.5549,0.2361428533,0.037784621399999996,0.2430677713,-1.109818874,0.2306161023,-0.1103278387,-0.005535107333,0.2021730781,399.8699427,0.1569608193,0.01133701404,0.004370320995,0.8867767943,0.4428357245,0.2677429044,0.185298799,0.3001018003,272.7132318,0.03696625934,0.03237784518,0.0119924545,0.1274050832,1.474181741e-09,0.1699485347,7.079143294e-07,4.788465976e-07,4.988185933e-13,-9.349163803000001e-26,9.349163803000001e-26,0.0,1.0,298.1614349,298.1614349,1.0,0.0,0.0,0.5,0.0,0.0,2.047130896e-09,0.0,0.0,0.1274050832,0.001791522722,0.0,1.942230292e-05,0.0,0.0,10.827382
29,10.28120272,1.3612354019999999e-17,0.3000000048,0.0,0.2518707564,-0.1268791541,-0.03029722288,0.2152120478,62.14327077,0.2148609192,298.1541069,1.153571222e-05,0.1162374722,0.02067751139,0.01098286875,4.639080532,0.1852690942,1140765.572,0.1773008827,0.1266855837,0.380533488,1.000642765,0.282672078,0.08562636249,121905.6614,0.2275869261,0.031718723180000005,0.2363810115,-1.105486273,0.2032739241,-0.1147957226,-0.007366872094,0.1670301712,381.5935645,0.1592411485,0.009349674667,0.003609758733,0.8787099685,0.4067142014,0.2504934953,0.1685060523,0.2725014092,250.0546816,0.03400668974,0.02981076787,0.01105661937,0.1116433498,5.024058237e-10,0.1699492003,2.451445582e-07,1.770615335e-07,1.83316138e-13,-2.116425262e-26,2.116425262e-26,0.0,1.0,298.1541069,298.1541069,1.0,0.0,0.0,0.5,0.0,0.0,6.934230481e-10,0.0,0.0,0.1116433498,0.0007330213434,0.0,1.942203479e-05,0.0,0.0,8.969942841
30,10.719945039999999,1.389205092e-17,0.3000000048,0.0,0.2408609525,-0.1264581063,-0.0304171962,0.2025976132,62.27221281,0.2006857995,298.1510771,3.058938226e-06,0.02974137508,0.005482702398,0.008762353274,3.792974051,0.1642904505,970764.2539,0.1678083959,0.1127451324,0.3866971573,1.000447824,0.2033044626,0.06607470835,95889.40061,0.2161417914,0.02488437025,0.2319479684,-1.100398006,0.1786725715,-0.1182372609,-0.01019136688,0.1332034362,362.5242221,0.161650204,0.007254146621,0.002799469485,0.8695262731,0.3644362954,0.2299247141,0.1512086053,0.2388493654,221.8354669,0.03028864503,0.02659606177,0.009855355957,0.09980652766,1.212436044e-10,0.1699494759,6.154231136e-08,4.836173089e-08,4.9244152390000005e-14,-3.1857880149999997e-27,3.1857880149999997e-27,0.0,1.0,298.1510771,298.1510771,1.0,0.0,0.0,0.5,0.0,0.0,1.631149899e-10,0.0,0.0,0.09980652766,0.000200193335,0.0,1.942192367e-05,0.0,0.0,7.434466259
31,11.158687350000001,1.417174781e-17,0.3000000048,0.0,0.2277419619,-0.1265733059,-0.02518232645,0.1874300266,59.93631858,0.1891368397,298.1502503,7.111659448e-07,0.006668436308,0.001274632916,0.007362547672,3.309619364,0.142493732,837763.2319,0.1528997968,0.09634795078000001,0.3988060863,1.00032638,0.1580929624,0.04913410482,73336.32499,0.1956161528,0.018750219920000002,0.2370177578,-1.095374429,0.161557473,-0.1204469609,-0.01205175445,0.1064359932,346.5818834,0.1637085143,0.005460547404,0.002106172987,0.8609734947,0.3236534419,0.2101988125,0.1350121718,0.2056908943,192.3040033,0.02628230863,0.02311429942,0.008547039539,0.08898935694,2.469370346e-11,0.1699495515,1.366561368e-08,1.175090133e-08,1.1009827050000001e-14,-3.7576234920000003e-28,3.7576234920000003e-28,0.0,1.0,298.1502503,298.1502503,1.0,0.0,0.0,0.5,0.01785098862,0.0,3.309366136e-11,0.0,0.0,0.08899838023,4.641840393e-05,0.0,1.942189291e-05,0.0,0.0,6.526201647
32,11.59742966,1.445144471e-17,0.3000000048,0.0,0.2152930135,-0.1253949489,-0.02212160184,0.1735223705,58.01900508,0.1790776625,298.1500587,1.634371828e-07,0.001478818323,0.0002929291737,0.006597703644,3.039886465,0.120996503,727741.7815,0.1423604321,0.0774987307,0.4084582138,1.000278958,0.1422007737,0.03577004811,55924.28301,0.1788504013,0.01332834307,0.2419584864,-1.090243874,0.1483647466,-0.1210406871,-0.01296327611,0.0844853939,332.3389262,0.1655807776,0.003816562458,0.001485725274,0.8529817263,0.286410449,0.1916387703,0.1185402767,0.1767184494,157.5750032,0.02146797286,0.01886611034,0.007003609019,0.07144263303,4.30755356e-12,0.169949569,3.117094938e-09,2.932683132e-09,2.131026293e-15,-3.998355833e-29,3.998355833e-29,0.0,1.0,298.1500587,298.1500587,1.0,0.0,0.0,0.5,0.2843763828,0.0,5.752944494e-12,0.0,0.0,0.07792955706,1.002325108e-05,0.0,1.94218861e-05,0.0,0.0,5.166738695
33,12.03617162,1.4731141159999998e-17,0.299999996,0.0,0.2088313868,-0.1242033226,-0.02462832839,0.1659279998,58.69456832,0.1694220611,298.1500042,3.873284171e-08,0.0003380436825,6.942093809e-05,0.006304360339,2.765656374,0.1006768714,592763.5653,0.1377953163,0.0584000672,0.4118542477,1.000230514,0.1151927291,0.02568397378,35802.9718,0.1729132549,0.008696018043,0.2392881549,-1.085164148,0.13984274,-0.1214561536,-0.01365856288,0.06748495861,319.5477228,0.1672561096,0.002340272067,0.0009302310476,0.8453904784,0.255720609,0.1743143647,0.1038110416,0.1556380188,118.6154922,0.01604936802,0.01402910484,0.005263833973,0.06712715436,3.615620829e-13,0.1699495681,7.427483273e-10,7.884934174e-10,1.173625465e-15,-4.272412311e-30,4.272412311e-30,0.0,0.9999999702,298.1500042,298.1500042,0.9999999702,0.0,0.0,0.4999999851,0.746397905,0.0,4.812556469e-13,0.0,0.0,0.07516907416,2.204309319e-06,0.0,1.942188405e-05,0.0,0.0,4.469886964
34,12.56266289,1.017095216e-17,0.3000000048,0.0,0.1995049065,-0.1217822034,-0.02826818591,0.1553702846,58.12790148,0.1579739448,298.1500031,1.496940075e-08,0.000123218974,2.68296735e-05,0.005683748919,2.119510408,0.07944301628,428825.8939,0.128408473,0.041407176090000004,0.4206612553,1.000126454,0.05430358225,0.01623231729,14594.03022,0.1635866829,0.004587678378999999,0.2450551399,-1.079518018,0.1336354542,-0.1206267871,-0.01482325885,0.05549691137,308.6547466,0.1686406752,0.00112675282,0.0004558601569,0.8367617907,0.2273253906,0.1552141049,0.09136898795,0.1386858357,79.03649124,0.01077902964,0.009289657769,0.003509935104,0.0721282029,3.2175996690000002e-15,0.169949574,3.310595838e-10,3.672653668e-10,3.335461429e-15,-3.46774252e-30,3.46774252e-30,0.0,1.0,298.1500031,298.1500031,1.0,0.0,0.0,0.5,0.8647755368,0.0,4.115645744e-15,0.0,0.0,0.07719219227,4.0692356e-07,0.0,1.942188415e-05,0.0,0.0,4.453190436
