time(s)_15O2_coarse,Heat release rate(kW)_15O2_coarse,time(s)_15O2_medium,Heat release rate(kW)_15O2_medium,time(s)_15O2_fine,Heat release rate(kW)_15O2_fine,time(s)_17O2_coarse,Heat release rate(kW)_17O2_coarse,time(s)_17O2_medium,Heat release rate(kW)_17O2_medium,time(s)_17O2_fine,Heat release rate(kW)_17O2_fine,time(s)_21O2_coarse,Heat release rate(kW)_21O2_coarse,time(s)_21O2_medium,Heat release rate(kW)_21O2_medium,time(s)_21O2_fine,Heat release rate(kW)_21O2_fine
10.0106,12.7,10.0047,13.2,10.0013,13.2,10.006,16.8,10.0055,12.7,10.0039,10.5,10.0032,13.6,10.0034,11.8,10.0054,8.64
10.0225,12.8,10.0114,13,10.0085,11.8,10.0192,16.4,10.0122,12.8,10.0098,10.8,10.0157,13.2,10.0105,12.4,10.0106,8.68
10.0343,13.5,10.0181,13.1,10.0159,10.4,10.0334,15.2,10.019,12.7,10.0159,11.1,10.0287,12.8,10.0176,12.9,10.0164,8.77
10.0471,14.4,10.0242,13,10.0228,9.7,10.0455,13.3,10.0258,12.5,10.0225,11.5,10.0416,12.4,10.0243,13.2,10.0216,9
10.0611,15.2,10.0299,12.9,10.0301,9.51,10.0563,12.2,10.0331,12.4,10.029,12.1,10.0543,12,10.0311,13.4,10.0272,9.27
10.076,15.5,10.0359,12.7,10.0371,9.58,10.0672,11.7,10.0401,12.2,10.0356,12.8,10.0667,11.4,10.0378,13.6,10.0336,9.66
10.0912,15,10.042,12.5,10.0432,9.99,10.0783,11.2,10.047,12.2,10.0433,13.4,10.0793,11.1,10.045,13.8,10.0397,10.1
10.1068,13.8,10.048,12.4,10.0494,10.6,10.0925,11.3,10.0537,12.4,10.051,13.9,10.0928,10.7,10.0523,13.7,10.0454,10.5
10.1219,12.6,10.0547,12.3,10.0556,11.3,10.1073,11.7,10.0607,12.9,10.0589,14.4,10.1065,10.7,10.0599,13.6,10.0514,11
10.1359,11,10.0619,12.4,10.0617,12,10.1225,12.1,10.0676,13.2,10.0663,14.9,10.1205,11.1,10.0678,13.6,10.0572,11.3
10.1501,10.7,10.069,12.4,10.0678,13.1,10.1375,12.4,10.0749,13.5,10.0735,15.4,10.1346,11.6,10.076,13.4,10.0626,11.5
10.1654,10.9,10.076,12.6,10.0744,14.1,10.1532,12.6,10.0822,13.8,10.0809,15.7,10.148,12.3,10.0846,13.4,10.068,11.7
10.1809,11.3,10.0834,13.1,10.0811,14.8,10.1686,13.3,10.0898,14.2,10.0878,15.9,10.1617,13.5,10.0929,13.3,10.0736,11.9
10.1989,11.8,10.0907,13.5,10.0877,15.7,10.1841,15,10.097,14.2,10.0941,15.8,10.1752,14.1,10.1017,13.7,10.0792,12.1
10.2159,12.2,10.0992,14.2,10.0941,16.1,10.1991,16.2,10.1038,13.8,10.1001,15.7,10.1885,14.3,10.1106,14.2,10.0846,12.3
10.2312,13,10.108,14.8,10.1004,16.5,10.2126,16.4,10.11,13.3,10.1067,15.6,10.201,13.9,10.119,14.3,10.0894,12.8
10.2445,13.5,10.1168,15.1,10.1064,17,10.2273,15.8,10.1164,12.6,10.114,15.9,10.2137,13.3,10.1275,14.1,10.0943,13.2
10.2562,14,10.1262,14.9,10.1122,17.6,10.2425,14.2,10.1232,11.8,10.1215,16.2,10.2274,12.5,10.1355,13.6,10.0996,13.8
10.2679,14.5,10.1369,14,10.1185,17.8,10.2562,13.3,10.1307,11.1,10.1286,16.4,10.2412,12,10.1435,13.1,10.1049,14.3
10.2802,14.6,10.1474,13.1,10.1246,17.8,10.2682,12.4,10.1387,10.9,10.1359,16.3,10.2549,11.6,10.1515,12.3,10.1102,14.7
10.2928,14.5,10.1558,12.4,10.1306,17.5,10.28,11.4,10.1469,10.8,10.1433,15.7,10.2682,11.3,10.1592,11.5,10.1156,15
10.3068,14,10.1651,12.2,10.137,16.9,10.2922,11.1,10.155,10.9,10.1502,15,10.2808,11,10.1659,11,10.1209,15.2
10.3213,13,10.1759,12.2,10.1446,15.9,10.303,11.3,10.1629,11.2,10.1569,14.3,10.2931,10.6,10.1722,10.2,10.126,15.2
10.3351,12.1,10.1857,12.3,10.1515,14.7,10.3134,11.6,10.1705,11.7,10.1637,13.4,10.3046,10.4,10.1781,9.45,10.1311,15
10.3477,11.5,10.1957,12.3,10.1582,13.9,10.3225,11.9,10.1785,12,10.1701,12.6,10.3166,10.9,10.1845,8.83,10.1362,14.9
10.3609,11.3,10.2059,12.2,10.1648,13.7,10.3322,12.2,10.1858,12.5,10.1763,12,10.3293,11.4,10.1911,8.55,10.142,15
10.3733,11.1,10.2155,12.4,10.1708,14,10.343,12.5,10.1924,13.1,10.1823,11.4,10.3426,12,10.1981,8.52,10.148,14.7
10.3849,11.4,10.2238,12.7,10.1769,14.4,10.3545,12.5,10.1989,13.9,10.1884,11,10.3559,12.7,10.2053,8.49,10.1535,14.6
10.398,11.2,10.2325,12.8,10.1832,14.7,10.3664,12.6,10.2054,14.7,10.1945,10.8,10.3689,13.6,10.2126,8.28,10.1584,14.4
10.4121,11.6,10.24,12.6,10.1889,15,10.3789,12.9,10.2122,15.4,10.2006,10.6,10.3812,13.9,10.2198,8.3,10.1637,14.1
10.4254,12.1,10.2465,12.3,10.1944,15.2,10.391,12.9,10.2193,15.9,10.2067,10.4,10.3939,14,10.2267,8.64,10.1696,14
10.4388,13.2,10.2533,11.8,10.2005,15.1,10.4024,12.8,10.2265,15.6,10.2133,10.2,10.4066,13.7,10.2339,9.08,10.1752,13.8
10.4521,14.2,10.2607,11.6,10.207,14.3,10.4144,12.8,10.234,14.6,10.2198,10,10.4194,13.3,10.241,9.49,10.1805,13.4
10.4657,15.1,10.2682,11.4,10.2134,13.7,10.4266,12.8,10.2419,13.1,10.2262,9.94,10.4341,12.4,10.248,9.76,10.1857,12.8
10.479,15.3,10.2754,11.2,10.2201,12.9,10.4398,12.5,10.2494,11.8,10.2322,9.91,10.4477,11.7,10.2557,10.2,10.1911,11.9
10.4919,15,10.2825,11.2,10.2263,12.3,10.4533,12.1,10.2576,10.9,10.2382,9.91,10.4598,11.5,10.2633,10.9,10.196,10.9
10.5045,14.6,10.2901,11.5,10.2322,12.1,10.4662,12.1,10.2659,10.4,10.2441,9.81,10.4719,11.2,10.2711,11.9,10.2012,10.2
10.5181,13.7,10.2973,11.8,10.238,11.8,10.4779,12.4,10.274,10.5,10.25,9.7,10.4843,11.1,10.2798,13.3,10.2065,9.52
10.5325,12.9,10.3044,12.3,10.2434,11.5,10.4899,12.8,10.2827,11.1,10.2559,9.77,10.4968,10.9,10.2888,14.3,10.2115,8.95
10.5479,12.2,10.3115,12.9,10.2484,11.3,10.5016,13.3,10.2916,12.1,10.2614,10,10.5086,11,10.2978,15.4,10.2168,8.5
10.5636,11.3,10.3185,13.5,10.2536,11.3,10.5134,13,10.3013,13.9,10.2666,10.3,10.52,11.4,10.3064,16.2,10.2222,8.18
10.5797,10.6,10.3257,14.3,10.2599,11.3,10.5262,12.4,10.3112,16.1,10.2716,10.5,10.5332,11.9,10.3154,16.9,10.2277,7.93
10.5949,10.7,10.333,14.9,10.2666,11.4,10.5381,11.7,10.3206,17.4,10.2769,10.8,10.5456,12.1,10.3253,17,10.2339,7.82
10.6099,10.7,10.34,15.4,10.2731,11.8,10.5513,11.5,10.3291,16.5,10.2824,11.4,10.5563,12.3,10.3352,16.4,10.2396,7.98
10.624,11.3,10.3464,15.5,10.2798,12.3,10.565,11.7,10.3377,15,10.2881,12,10.5671,13,10.3451,15.2,10.2452,8.25
10.6374,12,10.3527,15,10.287,12.8,10.5786,12.4,10.3471,13.6,10.2932,12.5,10.5782,13.5,10.3553,13.9,10.2511,8.53
10.6514,12.6,10.3596,14,10.294,13.3,10.592,12.5,10.3568,12.6,10.2983,12.9,10.5895,13.7,10.3652,13,10.2573,8.93
10.6654,13.4,10.3664,12.9,10.3005,13.7,10.6058,12.6,10.3669,11.7,10.3038,13.3,10.6008,13.8,10.3753,11.9,10.2638,9.42
10.6789,14,10.3738,12,10.3075,13.8,10.6204,13,10.3773,10.5,10.3096,13.8,10.6141,13.3,10.3848,11.2,10.2708,10.1
10.6919,14.5,10.3812,11.5,10.3142,14,10.6353,13.7,10.3881,9.5,10.3152,14.3,10.6282,12.9,10.3934,10.5,10.2776,10.9
10.7049,14.4,10.3884,11.1,10.3208,14.3,10.6507,13.9,10.399,9.12,10.3207,14.7,10.6432,12.5,10.4019,9.88,10.2844,11.6
10.7181,13.8,10.3952,11.1,10.3272,14.4,10.6648,14.4,10.4092,9.19,10.3266,15,10.6575,12,10.4102,9.55,10.2913,12
10.7319,13.1,10.402,11.1,10.3333,14.4,10.6791,14.4,10.4204,9.22,10.3322,15,10.6705,11.6,10.4185,9.43,10.2975,12
10.7458,12.4,10.4084,11.2,10.3394,14.5,10.6918,14,10.4318,9.24,10.3384,15,10.6838,11.3,10.4268,9.37,10.3039,11.8
10.7596,11.9,10.4153,11.5,10.3455,14.7,10.7069,13.3,10.4429,9.05,10.3447,15.3,10.6966,11,10.4351,9.33,10.3108,11.6
10.7736,11.8,10.4236,12,10.3512,14.7,10.7205,12.9,10.4531,8.7,10.3509,15.9,10.71,10.7,10.4436,9.62,10.3171,11.5
10.787,11.5,10.4326,12.2,10.3573,15,10.7338,12.7,10.4628,8.39,10.3565,16.6,10.7231,11.1,10.4523,9.94,10.3233,11.5
10.8002,11.1,10.4413,12.7,10.3635,15.3,10.7472,12.4,10.4721,8.21,10.3617,17,10.7374,11.6,10.4605,10.7,10.3294,11.7
10.8129,10.9,10.4498,12.8,10.369,15.4,10.7605,11.9,10.4821,7.86,10.367,16.8,10.7514,12.1,10.4682,11.6,10.3351,11.8
10.8274,10.9,10.4583,12.8,10.3738,15.4,10.7733,11.6,10.4928,7.77,10.3722,16.1,10.7642,13,10.4756,12.4,10.3401,12.1
10.8414,11.7,10.467,13,10.3782,15.4,10.7859,11.6,10.5032,7.8,10.3779,15.1,10.777,13.7,10.4836,12.7,10.345,12.4
10.8551,12.7,10.4752,13.2,10.3827,15.4,10.8001,11.9,10.5132,8.06,10.3843,13.4,10.7885,14.1,10.4916,12.8,10.351,12.7
10.8684,13.4,10.4832,13.2,10.3879,15.3,10.8141,12.9,10.5233,8.64,10.3909,11.7,10.7994,14.1,10.4987,12.9,10.3579,13.1
10.8816,14.2,10.4912,13.4,10.3931,15,10.828,13.8,10.533,9.23,10.3973,10.5,10.8116,13.7,10.5055,13.2,10.3645,13.6
10.8944,14.5,10.4981,13.8,10.3985,14.7,10.8424,13.8,10.5427,9.99,10.4033,9.66,10.8251,13.1,10.5125,13.5,10.3707,14.1
10.9072,14.6,10.5055,13.8,10.4036,14.3,10.8575,13.5,10.5518,11.2,10.409,9.18,10.8405,12.7,10.5195,14,10.3765,14.2
10.9191,14.1,10.513,13.4,10.4082,13.6,10.8717,13.5,10.5606,12.7,10.4147,8.87,10.8554,12.1,10.5267,14.8,10.3817,14.1
10.932,13.2,10.5204,12.7,10.4125,12.9,10.8846,12.7,10.5698,14.1,10.4204,8.79,10.8692,12,10.5338,15.7,10.3868,14.1
10.9442,12.3,10.5278,12,10.4166,12.4,10.8966,12.2,10.5787,15.2,10.4258,8.78,10.8827,11.6,10.541,16.1,10.392,14
10.9554,11.9,10.5353,11.5,10.4208,12,10.9083,12,10.5874,16.1,10.4313,8.8,10.8962,11.1,10.5487,15.9,10.3968,14
10.9661,11.6,10.5432,11.3,10.4256,11.8,10.9202,12,10.5957,16.6,10.4377,8.77,10.9098,10.6,10.556,15.4,10.4016,14.1
10.9786,11.4,10.5514,11.4,10.431,11.6,10.9316,12,10.6037,16.6,10.4437,8.65,10.9235,10.8,10.5632,14.7,10.4067,14.2
10.9916,11,10.5595,11.6,10.4369,11.4,10.944,12.8,10.6114,16.4,10.449,8.56,10.9369,11.3,10.5711,13.4,10.412,14.3
11.0043,10.9,10.5676,11.8,10.4425,11.7,10.9567,14.5,10.6191,15.9,10.4542,8.39,10.9504,11.9,10.5797,12.4,10.4177,14
11.0166,10.8,10.5754,11.7,10.4477,11.9,10.9688,15.7,10.6272,15.7,10.4599,8.19,10.9646,12.9,10.5886,11.6,10.4233,13.7
11.0302,11.3,10.5833,11.5,10.4537,12.1,10.9809,15.9,10.6347,15.3,10.4664,7.93,10.9775,13.8,10.5979,11,10.429,13.3
11.0447,12.2,10.5905,11.4,10.4601,12.2,10.9941,16,10.642,15.2,10.4727,7.77,10.991,14.2,10.607,10.9,10.4346,12.8
11.059,13.1,10.5975,11.5,10.4666,12.5,11.0069,15.3,10.649,15.1,10.4789,7.72,11.0035,13.9,10.6158,11.1,10.44,12.4
11.0724,13.9,10.6054,11.6,10.473,12.5,11.0198,13.1,10.6561,15,10.4856,7.66,11.0141,13.4,10.6244,11.2,10.4451,12.1
11.0844,14.4,10.6138,11.5,10.4789,12.4,11.0324,11.8,10.6636,14.8,10.4927,7.64,11.0258,13,10.6325,11.4,10.4505,11.7
11.0961,14.9,10.6222,11.3,10.484,12.5,11.044,11.1,10.6711,13.9,10.4998,7.74,11.0377,12.7,10.6402,11.8,10.4559,11.5
11.1093,15.3,10.6308,10.8,10.4889,12.7,11.0555,10.9,10.6781,13.2,10.507,7.96,11.0492,12.4,10.6475,12.3,10.4608,11.7
11.1229,14.7,10.64,10.3,10.4939,12.8,11.0682,10.6,10.6849,12.8,10.5146,8.43,11.061,12.1,10.6549,12.8,10.4654,12
11.1375,13.7,10.6495,9.97,10.4986,12.9,11.0814,10.6,10.6918,12.5,10.5217,9.05,11.0719,12,10.6618,13.2,10.4702,12.3
11.152,12.5,10.6594,9.79,10.5033,13.2,11.0956,10.8,10.699,12.3,10.5286,9.94,11.0825,11.7,10.6685,13.4,10.4761,12.7
11.1661,11.6,10.6692,10,10.5089,13.4,11.1091,11.1,10.7065,12.2,10.5351,10.9,11.0932,11.2,10.6754,13.6,10.4819,13
11.1807,11.2,10.6789,10.4,10.5151,13.4,11.1232,11.5,10.7141,12,10.5419,11.9,11.1049,10.8,10.6831,13.5,10.4877,13.3
11.1953,10.6,10.6882,11,10.5214,13.3,11.1399,11.3,10.7214,11.8,10.5483,13,11.1173,10.7,10.6915,13.1,10.4931,13.5
11.2101,10.5,10.698,11.8,10.5283,13.3,11.1566,10.9,10.7289,11.5,10.5546,13.9,11.1292,11.1,10.6992,12.5,10.4988,13.9
11.2256,10.7,10.7067,12.7,10.536,13.3,11.1724,11.4,10.738,11.6,10.5613,14.8,11.1408,11.5,10.7065,11.7,10.5041,14.5
11.2409,11.2,10.7154,13.7,10.5436,13.2,11.188,12.2,10.7479,12,10.5683,15.7,11.1537,12,10.7134,11,10.5097,15.2
