r(cm),TMean(K)_1.0D_15O2_fine,TRMS(K)_1.0D_15O2_fine,fvSootMean(ppm)_1.0D_15O2_fine,fvSootRMS(ppm)_1.0D_15O2_fine,TMean(K)_1.5D_15O2_fine,TRMS(K)_1.5D_15O2_fine,fvSootMean(ppm)_1.5D_15O2_fine,fvSootRMS(ppm)_1.5D_15O2_fine,TMean(K)_2.0D_15O2_fine,TRMS(K)_2.0D_15O2_fine,fvSootMean(ppm)_2.0D_15O2_fine,fvSootRMS(ppm)_2.0D_15O2_fine,TMean(K)_2.5D_15O2_fine,TRMS(K)_2.5D_15O2_fine,fvSootMean(ppm)_2.5D_15O2_fine,fvSootRMS(ppm)_2.5D_15O2_fine,TMean(K)_3.0D_15O2_fine,TRMS(K)_3.0D_15O2_fine,fvSootMean(ppm)_3.0D_15O2_fine,fvSootRMS(ppm)_3.0D_15O2_fine,TMean(K)_3.5D_15O2_fine,TRMS(K)_3.5D_15O2_fine,fvSootMean(ppm)_3.5D_15O2_fine,fvSootRMS(ppm)_3.5D_15O2_fine,TMean(K)_1.0D_15O2_medium,TRMS(K)_1.0D_15O2_medium,fvSootMean(ppm)_1.0D_15O2_medium,fvSootRMS(ppm)_1.0D_15O2_medium,TMean(K)_1.5D_15O2_medium,TRMS(K)_1.5D_15O2_medium,fvSootMean(ppm)_1.5D_15O2_medium,fvSootRMS(ppm)_1.5D_15O2_medium,TMean(K)_2.0D_15O2_medium,TRMS(K)_2.0D_15O2_medium,fvSootMean(ppm)_2.0D_15O2_medium,fvSootRMS(ppm)_2.0D_15O2_medium,TMean(K)_2.5D_15O2_medium,TRMS(K)_2.5D_15O2_medium,fvSootMean(ppm)_2.5D_15O2_medium,fvSootRMS(ppm)_2.5D_15O2_medium,TMean(K)_3.0D_15O2_medium,TRMS(K)_3.0D_15O2_medium,fvSootMean(ppm)_3.0D_15O2_medium,fvSootRMS(ppm)_3.0D_15O2_medium,TMean(K)_3.5D_15O2_medium,TRMS(K)_3.5D_15O2_medium,fvSootMean(ppm)_3.5D_15O2_medium,fvSootRMS(ppm)_3.5D_15O2_medium,TMean(K)_1.0D_15O2_coarse,TRMS(K)_1.0D_15O2_coarse,fvSootMean(ppm)_1.0D_15O2_coarse,fvSootRMS(ppm)_1.0D_15O2_coarse,TMean(K)_1.5D_15O2_coarse,TRMS(K)_1.5D_15O2_coarse,fvSootMean(ppm)_1.5D_15O2_coarse,fvSootRMS(ppm)_1.5D_15O2_coarse,TMean(K)_2.0D_15O2_coarse,TRMS(K)_2.0D_15O2_coarse,fvSootMean(ppm)_2.0D_15O2_coarse,fvSootRMS(ppm)_2.0D_15O2_coarse,TMean(K)_2.5D_15O2_coarse,TRMS(K)_2.5D_15O2_coarse,fvSootMean(ppm)_2.5D_15O2_coarse,fvSootRMS(ppm)_2.5D_15O2_coarse,TMean(K)_3.0D_15O2_coarse,TRMS(K)_3.0D_15O2_coarse,fvSootMean(ppm)_3.0D_15O2_coarse,fvSootRMS(ppm)_3.0D_15O2_coarse,TMean(K)_3.5D_15O2_coarse,TRMS(K)_3.5D_15O2_coarse,fvSootMean(ppm)_3.5D_15O2_coarse,fvSootRMS(ppm)_3.5D_15O2_coarse
-6.87,592.08,391.8167987,0.053265073,0.254940514,570.55,345.9211725,0.063412462,0.261487759,549.35,315.2330496,0.054070565,0.249767058,521.36,270.9916447,0.051336105,0.184798412,502.79,241.9950496,0.043622,0.122369584,484.25,209.8961209,0.044908199,0.12232285,634.51,416.1798601,0.047427368,0.230386672,640.19,386.896151,0.045780825,0.208218806,597.41,345.863047,0.063032706,0.258852556,547.62,294.8404663,0.049746133,0.187296876,506.94,248.8057075,0.03978774,0.13928579,476.65,198.7589478,0.034079044,0.103537542,595.19,390.6866811,0.019286512,0.128145069,601.04,367.914821,0.022490713,0.118189524,567.04,320.8358586,0.013899788,0.081036529,538.49,262.2134652,0.010835865,0.049797464,521.13,222.7775311,0.011011528,0.035708657,501.9,193.7232072,0.011611373,0.042719766
-6.84,594.92,393.0541742,0.053836509,0.257091271,572.23,346.2956104,0.063637829,0.262126782,550.52,315.8543174,0.053999244,0.250420357,522.65,271.8602852,0.051319535,0.185202366,503.97,242.910974,0.043688757,0.12301669,485.33,210.780359,0.045003208,0.122991856,637.49,417.1829503,0.047798768,0.230879496,642.04,387.591905,0.046006992,0.208832802,598.57,346.3954419,0.063506312,0.260280044,548.77,295.4269055,0.049970865,0.188142587,508.06,249.4827518,0.039947476,0.139777674,477.64,199.4772146,0.034217624,0.104143758,597.53,391.5425961,0.019748596,0.129537862,602.21,368.1673987,0.022548166,0.118136557,568.22,321.4179501,0.013933564,0.081065927,539.85,263.0140975,0.010923153,0.05038438,522.63,223.8038403,0.011079692,0.036177577,503.3,194.7720279,0.01169427,0.043296346
-6.81,597.91,394.2685855,0.054399945,0.259206206,574.01,346.6658178,0.063881396,0.262858397,551.82,316.4993824,0.053944018,0.251099395,524.08,272.7416663,0.051322027,0.185682044,505.29,243.8361944,0.043760486,0.123677408,486.53,211.685917,0.045097163,0.123618341,640.4,418.1383396,0.048149997,0.231268144,643.89,388.2880874,0.046233577,0.209448064,599.7,346.9276195,0.063975832,0.26168607,549.99,296.0277781,0.05020344,0.189060603,509.24,250.1711705,0.040107064,0.140281716,478.66,200.1998735,0.034359147,0.104781109,599.98,392.3746501,0.020215129,0.130914792,603.47,368.4246401,0.022603421,0.118079231,569.45,321.9949244,0.013971092,0.08112119,541.35,263.8364179,0.011014564,0.051011718,524.25,224.8578432,0.01115105,0.036685961,504.82,195.8476673,0.011780304,0.043904646
-6.78,600.89,395.4589474,0.054955122,0.261283156,575.79,347.0314868,0.064142503,0.263678652,553.11,317.1660487,0.05390515,0.251800349,525.5,273.6336996,0.051342605,0.186231589,506.6,244.769451,0.04383667,0.124349056,487.73,212.6104186,0.045190189,0.124204439,643.3,419.0491373,0.048482407,0.231561507,645.73,388.9845267,0.046460784,0.210065242,600.84,347.4594307,0.064441497,0.263071463,551.21,296.6418898,0.050443288,0.190044543,510.43,250.8697341,0.040266441,0.140797043,479.67,200.9261455,0.034503382,0.105446714,602.44,393.184853,0.020685723,0.132276445,604.74,368.6860817,0.022656666,0.118017922,570.69,322.5671446,0.014012056,0.081200059,542.84,264.6782306,0.011109742,0.051674536,525.87,225.9365219,0.011225336,0.037228933,506.34,196.9470704,0.011869202,0.044540535
-6.75,603.87,396.6235606,0.055501727,0.263319074,577.57,347.3920561,0.064419678,0.26457994,554.41,317.8503539,0.053882734,0.252517128,526.92,274.532835,0.051379236,0.186840001,507.92,245.7084991,0.04391639,0.125027532,488.93,213.5496427,0.045282503,0.124754062,646.2,419.9207072,0.04879848,0.231775928,647.58,389.6808714,0.046689027,0.210685746,601.97,347.9906388,0.064903721,0.264437413,552.44,297.2670528,0.050689339,0.191083104,511.62,251.5761389,0.040425479,0.14132216,480.69,201.6545377,0.034649898,0.106135543,604.9,393.976971,0.02115964,0.133623454,606.01,368.9509022,0.022708262,0.117953347,571.92,323.1352965,0.014055837,0.081298236,544.34,265.5354592,0.011208005,0.052364297,527.49,227.0343407,0.011302029,0.037798157,507.86,198.0646662,0.011960446,0.045196905
-6.72,606.85,397.7595093,0.056039112,0.265309269,579.34,347.7465741,0.064711383,0.265554703,555.71,318.5476434,0.053877311,0.25324244,528.35,275.43474,0.051429631,0.187494455,509.23,246.6506644,0.043998533,0.125707948,490.12,214.4986193,0.045374363,0.125271287,649.1,420.7578844,0.049100648,0.23193029,649.43,390.3766565,0.046919112,0.211312536,603.11,348.5209112,0.065362837,0.265784414,553.66,297.9009455,0.050940446,0.192164141,512.81,252.2875823,0.040583918,0.141855857,481.71,202.3830585,0.03479822,0.106842336,607.35,394.7555228,0.021635999,0.134956449,607.28,369.2181405,0.022758648,0.11788637,573.16,323.7002052,0.014101692,0.081410551,545.83,266.4032395,0.011308536,0.053071082,529.12,228.1447253,0.011380496,0.038383985,509.38,199.1938551,0.012053418,0.045865526
-6.69,609.83,398.8626629,0.056566212,0.26724753,581.12,348.093756,0.065016576,0.266598115,557.01,319.2535973,0.053890127,0.253969105,529.77,276.3351051,0.051491895,0.188183217,510.55,247.593438,0.04408202,0.126385474,491.32,215.4527135,0.045466036,0.125759133,652.01,421.5622449,0.04939012,0.232041178,651.28,391.0713658,0.047152413,0.211950898,604.24,349.0497993,0.065818836,0.267111239,554.88,298.5419556,0.051195806,0.193278663,514,253.0013306,0.040741314,0.142398098,482.72,203.1094273,0.034947979,0.107563479,609.81,395.5247708,0.02211397,0.136276032,608.55,369.4869043,0.022808238,0.117817829,574.39,324.2626534,0.014148918,0.08153214,547.33,267.2770021,0.011410563,0.053785731,530.74,229.2615187,0.011460139,0.038977537,510.9,200.3284692,0.012147533,0.04653882
-6.66,612.81,399.9285764,0.05708179,0.269127354,582.9,348.432297,0.065334788,0.267708284,558.31,319.9648216,0.053922808,0.254691184,531.19,277.2303306,0.051564713,0.188896959,511.87,248.5349195,0.044165965,0.127056105,492.52,216.4083166,0.045557754,0.12621933,654.91,422.3305596,0.049666206,0.232119858,653.13,391.7644792,0.047390953,0.212608765,605.38,349.5767154,0.066271219,0.268414389,556.11,299.189681,0.051455214,0.194423207,515.19,253.7150892,0.040897007,0.142950517,483.74,203.831234,0.035099001,0.108298111,612.27,396.2880587,0.0225929,0.137582756,609.82,369.7564997,0.022857369,0.117748417,575.63,324.8232646,0.014196966,0.08165919,548.82,268.1531638,0.011513479,0.054501174,532.36,230.3799076,0.011540483,0.03957199,512.42,201.4636975,0.012242336,0.04721097
-6.63,615.76,400.9539846,0.057584908,0.270943737,584.66,348.7613456,0.065665776,0.268884228,559.61,320.6788989,0.053976578,0.255404649,532.61,278.117946,0.051647058,0.189628159,513.19,249.4740629,0.044249762,0.127717165,493.72,217.3630409,0.045649714,0.126652999,657.81,423.0551647,0.049926414,0.232171734,654.98,392.4555101,0.047637256,0.213296124,606.51,350.1009517,0.066719038,0.269688407,557.33,299.8449151,0.05171906,0.195599841,516.38,254.4271377,0.041050175,0.14351626,484.76,204.5460957,0.035251317,0.109048073,614.72,397.0475527,0.023072353,0.138877152,611.08,370.0264785,0.02290629,0.117678708,576.86,325.3824787,0.014245486,0.081789239,550.32,269.0293688,0.01161688,0.055212811,533.98,231.4967273,0.011621218,0.040162951,513.94,202.596384,0.01233752,0.047878226
-6.6,618.55,401.938098,0.058075361,0.272694466,586.36,349.0809166,0.06600904,0.270123276,560.92,321.3940698,0.054051481,0.256107555,534.02,278.9967201,0.051737674,0.190369205,514.57,250.4107904,0.044333067,0.128367484,494.93,218.3155625,0.04574209,0.127061648,660.72,423.7262742,0.050167314,0.232197856,656.82,393.1440498,0.047893939,0.214023306,607.64,350.6217675,0.067161146,0.270927148,558.55,300.5091501,0.051988093,0.196813993,517.57,255.1363073,0.041199967,0.144099155,485.77,205.2518928,0.03540509,0.109816746,617.18,397.80427,0.023552092,0.140159824,612.35,370.2966367,0.022955206,0.117609331,578.1,325.9405982,0.014294331,0.081921169,551.81,269.9044295,0.011720548,0.055918219,535.6,232.610341,0.011702189,0.040748228,515.46,203.7248937,0.01243292,0.048538667
-6.57,621.35,402.8829414,0.058553812,0.274379987,588.05,349.3920384,0.066363547,0.271419727,562.23,322.1088101,0.054146075,0.256799769,535.43,279.8664868,0.051834624,0.191110178,515.94,251.3460575,0.044415751,0.129007248,496.13,219.2653334,0.045835075,0.127447785,663.62,424.335455,0.050385874,0.23219744,658.67,393.829817,0.048163104,0.2147985,608.78,351.1385422,0.067596576,0.272125646,559.77,301.1838109,0.052263044,0.198071102,518.76,255.8419058,0.041345712,0.144702472,486.79,205.9470911,0.035560501,0.110607291,619.64,398.5581792,0.02403204,0.141431615,613.62,370.5670153,0.023004362,0.117541325,579.33,326.4978811,0.014343572,0.082055211,553.31,270.7782176,0.011824426,0.056616663,537.23,233.7204202,0.011783388,0.041327424,516.98,204.8488752,0.012528487,0.049191797
-6.54,624.14,403.7925249,0.059021542,0.276001748,589.74,349.6965761,0.066727828,0.272765518,563.55,322.8215157,0.054257764,0.25748239,536.84,280.7277729,0.051935127,0.191837261,517.32,252.2818813,0.044497816,0.129637613,497.34,220.2123233,0.04592893,0.127814831,665.92,424.8788487,0.050580722,0.232170307,660.31,394.5126976,0.048445792,0.21562552,609.84,351.6509642,0.068024917,0.273281917,561,301.8695399,0.052544273,0.199373546,519.91,256.5436537,0.04148712,0.145327848,487.78,206.6310504,0.035717641,0.111420988,622.09,399.3081904,0.024512277,0.14269388,614.89,370.8379471,0.023054166,0.117476697,580.57,327.0546578,0.014393553,0.082193195,554.8,271.6517017,0.0119286,0.057308739,538.85,234.8278818,0.011864963,0.041901751,518.49,205.9691696,0.012624278,0.049838264
-6.51,626.93,404.6713376,0.059479972,0.277560044,591.44,349.9968277,0.067100317,0.274152259,564.86,323.5303999,0.054383566,0.258157079,538.25,281.581369,0.052035727,0.192532561,518.69,253.2212326,0.044579323,0.1302602,498.55,221.1568315,0.04602401,0.128166478,668.08,425.3587141,0.050752832,0.232118488,661.9,395.1927485,0.048741782,0.216502944,610.88,352.1591877,0.068446536,0.274397914,562.23,302.5658259,0.052831593,0.200719142,521.05,257.2416338,0.041624404,0.145974933,488.77,207.304163,0.03587646,0.11225637,624.55,400.051975,0.024993041,0.143948832,616.16,371.1101568,0.023105328,0.117419119,581.8,327.6114527,0.014444991,0.082339066,556.3,272.5271737,0.012033319,0.057996287,540.47,235.9350486,0.01194726,0.042474117,520.01,207.0879363,0.012720469,0.050479808
-6.48,629.73,405.523023,0.059930226,0.279052756,593.13,350.2950908,0.067479696,0.275573142,566.18,324.2336084,0.054520846,0.258825479,539.65,282.4280066,0.052132735,0.193175715,520.06,254.167676,0.044660348,0.13087667,499.76,222.0993437,0.046120758,0.128505994,670.24,425.7825723,0.050905371,0.232046765,663.49,395.8701444,0.049049888,0.21742529,611.92,352.6639229,0.068862586,0.275479291,563.45,303.2711149,0.053124349,0.202101826,522.19,257.9362408,0.041758273,0.146642108,489.76,207.9677326,0.036036784,0.113109441,627.01,400.7857171,0.025474759,0.145199867,617.42,371.3848706,0.02315899,0.117374549,583.04,328.169083,0.014499087,0.082499433,557.79,273.4085264,0.012139016,0.058682444,542.09,237.0458921,0.012030866,0.043049356,521.53,208.208864,0.012817374,0.05111932
-6.45,632.52,406.3499013,0.060372951,0.280475915,594.82,350.5933513,0.06786501,0.277023477,567.49,324.9294917,0.05466767,0.259488861,541.06,283.2682478,0.052222801,0.193747145,521.44,255.1247184,0.044740988,0.131488529,500.96,223.0403913,0.046219647,0.12883585,672.41,426.1603486,0.051042883,0.231962425,665.08,396.5450717,0.049368711,0.218385965,612.97,353.1664664,0.069274845,0.276534198,564.68,303.9833145,0.053421709,0.203514147,523.33,258.6281249,0.04188983,0.14732814,490.75,208.6236376,0.036198396,0.11397476,629.46,401.5040707,0.025958043,0.146451618,618.69,371.6638477,0.023216759,0.117351385,584.27,328.7286866,0.01455754,0.082683663,559.29,274.3012832,0.012246309,0.059371578,543.71,238.1660437,0.012116615,0.043634181,523.05,209.3371734,0.012915447,0.051760797
