r(cm),TMean(K)_1.0D_17O2_fine,TRMS(K)_1.0D_17O2_fine,fvSootMean(ppm)_1.0D_17O2_fine,fvSootRMS(ppm)_1.0D_17O2_fine,TMean(K)_1.5D_17O2_fine,TRMS(K)_1.5D_17O2_fine,fvSootMean(ppm)_1.5D_17O2_fine,fvSootRMS(ppm)_1.5D_17O2_fine,TMean(K)_2.0D_17O2_fine,TRMS(K)_2.0D_17O2_fine,fvSootMean(ppm)_2.0D_17O2_fine,fvSootRMS(ppm)_2.0D_17O2_fine,TMean(K)_2.5D_17O2_fine,TRMS(K)_2.5D_17O2_fine,fvSootMean(ppm)_2.5D_17O2_fine,fvSootRMS(ppm)_2.5D_17O2_fine,TMean(K)_3.0D_17O2_fine,TRMS(K)_3.0D_17O2_fine,fvSootMean(ppm)_3.0D_17O2_fine,fvSootRMS(ppm)_3.0D_17O2_fine,TMean(K)_3.5D_17O2_fine,TRMS(K)_3.5D_17O2_fine,fvSootMean(ppm)_3.5D_17O2_fine,fvSootRMS(ppm)_3.5D_17O2_fine,TMean(K)_1.0D_17O2_medium,TRMS(K)_1.0D_17O2_medium,fvSootMean(ppm)_1.0D_17O2_medium,fvSootRMS(ppm)_1.0D_17O2_medium,TMean(K)_1.5D_17O2_medium,TRMS(K)_1.5D_17O2_medium,fvSootMean(ppm)_1.5D_17O2_medium,fvSootRMS(ppm)_1.5D_17O2_medium,TMean(K)_2.0D_17O2_medium,TRMS(K)_2.0D_17O2_medium,fvSootMean(ppm)_2.0D_17O2_medium,fvSootRMS(ppm)_2.0D_17O2_medium,TMean(K)_2.5D_17O2_medium,TRMS(K)_2.5D_17O2_medium,fvSootMean(ppm)_2.5D_17O2_medium,fvSootRMS(ppm)_2.5D_17O2_medium,TMean(K)_3.0D_17O2_medium,TRMS(K)_3.0D_17O2_medium,fvSootMean(ppm)_3.0D_17O2_medium,fvSootRMS(ppm)_3.0D_17O2_medium,TMean(K)_3.5D_17O2_medium,TRMS(K)_3.5D_17O2_medium,fvSootMean(ppm)_3.5D_17O2_medium,fvSootRMS(ppm)_3.5D_17O2_medium,TMean(K)_1.0D_17O2_coarse,TRMS(K)_1.0D_17O2_coarse,fvSootMean(ppm)_1.0D_17O2_coarse,fvSootRMS(ppm)_1.0D_17O2_coarse,TMean(K)_1.5D_17O2_coarse,TRMS(K)_1.5D_17O2_coarse,fvSootMean(ppm)_1.5D_17O2_coarse,fvSootRMS(ppm)_1.5D_17O2_coarse,TMean(K)_2.0D_17O2_coarse,TRMS(K)_2.0D_17O2_coarse,fvSootMean(ppm)_2.0D_17O2_coarse,fvSootRMS(ppm)_2.0D_17O2_coarse,TMean(K)_2.5D_17O2_coarse,TRMS(K)_2.5D_17O2_coarse,fvSootMean(ppm)_2.5D_17O2_coarse,fvSootRMS(ppm)_2.5D_17O2_coarse,TMean(K)_3.0D_17O2_coarse,TRMS(K)_3.0D_17O2_coarse,fvSootMean(ppm)_3.0D_17O2_coarse,fvSootRMS(ppm)_3.0D_17O2_coarse,TMean(K)_3.5D_17O2_coarse,TRMS(K)_3.5D_17O2_coarse,fvSootMean(ppm)_3.5D_17O2_coarse,fvSootRMS(ppm)_3.5D_17O2_coarse
-14.94187356,300.54,0.21224995,1.71E-06,5.13E-05,304.03,38.65636607,0.000711694,0.00689448,318.19,90.64042527,0.001578294,0.009348518,322.15,83.99825247,0.004574913,0.022864021,325.3,71.62141168,0.008848789,0.035402819,330.41,72.47226688,0.010612764,0.034279179,300.69,0.105849177,4.36E-06,1.25E-05,301.48,10.62784923,8.27E-05,0.002079935,307.32,54.80245166,0.000519845,0.00718748,316.1,80.59386764,0.005121262,0.050956627,320.14,70.12475796,0.007592296,0.06773165,322.54,55.90500387,0.005812242,0.037305253,300.91,0.624988862,1.64E-05,0.000272584,303.7,28.20429401,0.000757945,0.007444077,309.48,54.01272656,0.000919048,0.008392268,310.06,44.32843118,0.000662783,0.005640944,312.64,42.99481257,0.000622549,0.004215152,317.57,40.86758683,0.000960147,0.004816127
-14.93411008,300.54,0.229362882,1.81E-06,5.50E-05,304.1,38.92736933,0.000724868,0.007066231,318.49,90.97077017,0.001593645,0.009446516,322.4,84.17670844,0.004601576,0.022987552,325.58,71.79405666,0.008869217,0.035456013,330.67,72.56659575,0.010631708,0.034301072,300.69,0.105894361,4.36E-06,1.25E-05,301.5,10.78770413,8.46E-05,0.002119502,307.43,54.97457282,0.000525242,0.007264024,316.32,80.79210187,0.005135967,0.05101549,320.42,70.30836587,0.007618745,0.067838926,322.78,56.00267792,0.005829246,0.037358705,300.91,0.635191657,1.66E-05,0.00027745,303.83,28.45237158,0.000763419,0.007487268,309.68,54.21752344,0.000923391,0.008426568,310.25,44.48171856,0.000665663,0.005655656,312.87,43.12914639,0.000625631,0.004233369,317.81,40.95947217,0.000963329,0.004826453
-14.9193781,300.55,0.261615816,1.99E-06,6.19E-05,304.22,39.4465807,0.000750296,0.007394616,318.84,91.60079553,0.001623183,0.009634681,322.69,84.51773627,0.004652629,0.023224441,325.89,72.12377869,0.008908014,0.035557909,330.95,72.74547104,0.010667652,0.034342282,300.69,0.105980187,4.36E-06,1.25E-05,301.55,11.09207084,8.82E-05,0.002194745,307.6,55.30234609,0.000535574,0.007410201,316.62,81.16888212,0.005163837,0.051126304,320.76,70.65778067,0.007668881,0.068040662,323.05,56.18840998,0.005861568,0.037459392,300.91,0.654349414,1.70E-05,0.00028658,303.96,28.92021263,0.000773807,0.007568879,309.87,54.60503357,0.000931633,0.008491456,310.45,44.77183454,0.000671127,0.005683516,313.11,43.38344607,0.000631479,0.004267827,318.04,41.13353073,0.000969366,0.004846015
-14.89903176,300.55,0.305514248,2.26E-06,7.14E-05,304.42,40.17321581,0.000786306,0.007852055,319.28,92.4770347,0.001664825,0.00989874,323.06,84.99353843,0.004724085,0.023556478,326.25,72.58337488,0.008961666,0.035700586,331.26,72.99221511,0.010717285,0.034398502,300.69,0.106098892,4.36E-06,1.25E-05,301.61,11.5137874,9.34E-05,0.002298778,307.8,55.75721047,0.000550032,0.00761371,316.96,81.69032808,0.005202254,0.051277498,321.13,71.14223572,0.007738013,0.068315443,323.34,56.44565453,0.005906318,0.037596887,300.92,0.680349604,1.75E-05,0.000298953,304.09,29.55970299,0.000788154,0.007680792,310.07,55.13766014,0.000943016,0.008580613,310.64,45.17075453,0.000678674,0.005721865,313.34,43.73324841,0.000639556,0.00431516,318.28,41.37322204,0.000977705,0.004872958
-14.87462551,300.55,0.356815726,2.59E-06,8.26E-05,304.61,41.0566156,0.000830771,0.008403389,319.72,93.53568105,0.001715983,0.010220489,323.42,85.57074125,0.004811149,0.023961031,326.61,73.14026572,0.009026126,0.035874419,331.56,73.28765682,0.010776809,0.034464936,300.69,0.106241509,4.36E-06,1.25E-05,301.67,12.01971943,9.96E-05,0.002423196,308.01,56.3053905,0.00056764,0.007859404,317.29,82.31687913,0.005248234,0.051456194,321.51,71.7255467,0.00782078,0.068639503,323.63,56.75509571,0.005960156,0.037759549,300.92,0.710795605,1.82E-05,0.000313417,304.22,30.3158708,0.000805363,0.007813711,310.27,55.77229393,0.00095667,0.008686794,310.84,45.6463368,0.000687728,0.00576765,313.57,44.15049768,0.000649245,0.004371511,318.52,41.65956745,0.000987708,0.004905152
-14.8475843,300.56,0.411392949,2.97E-06,9.45E-05,304.8,42.04521806,0.00088146,0.009011956,320.15,94.71497443,0.001774017,0.010580833,323.79,86.21677308,0.004909126,0.024415028,326.97,73.76275955,0.009097656,0.036069865,331.87,73.61418595,0.010842745,0.034537398,300.7,0.106399746,4.36E-06,1.25E-05,301.72,12.5770209,0.000106713,0.002559685,308.21,56.91461317,0.000587443,0.008132078,317.62,83.01138392,0.005299061,0.051651124,321.88,72.37339433,0.007912308,0.068992141,323.92,57.09859725,0.00601998,0.037937141,300.92,0.743534435,1.89E-05,0.000328937,304.35,31.13873337,0.00082443,0.00795915,310.47,56.46949442,0.000971798,0.008803372,311.03,46.16916313,0.000697758,0.005818076,313.8,44.60951457,0.00065998,0.004433351,318.76,41.97518197,0.000998791,0.004940648
-14.81900838,300.56,0.465924634,3.38E-06,0.00010647,305,43.09390764,0.00093635,0.009645255,320.59,95.96380221,0.001836604,0.010962566,324.15,86.9043938,0.005014071,0.024898228,327.33,74.42445893,0.009173351,0.036278796,332.17,73.95816982,0.010912414,0.034612874,300.7,0.106567112,4.36E-06,1.25E-05,301.78,13.15798766,0.000114328,0.002701258,308.42,57.55861276,0.000608641,0.008418684,317.96,83.74424815,0.005352668,0.051854149,322.25,73.05809785,0.00800887,0.069358517,324.21,57.46171231,0.00608336,0.038122209,300.93,0.776960815,1.96E-05,0.000344744,304.49,31.99024926,0.000844579,0.008110604,310.67,57.19891943,0.000987785,0.008925251,311.23,46.716588,0.000708358,0.005870987,314.03,45.09052575,0.000671324,0.004497968,319,42.30666126,0.001010502,0.004977939
-14.7896303,300.57,0.51823465,3.82E-06,0.000117996,305.19,44.1681666,0.00099383,0.010278654,321.03,97.24517111,0.001901945,0.011352207,324.52,87.61363242,0.005123077,0.025395073,327.7,75.10610174,0.009251253,0.036495127,332.48,74.31050247,0.010984035,0.034689554,300.7,0.106739207,4.36E-06,1.24E-05,301.84,13.74248395,0.000122257,0.002842886,308.62,58.21876357,0.000630645,0.008709513,318.29,84.49500095,0.005407696,0.052060331,322.62,73.76022612,0.008108016,0.069729739,324.5,57.83444312,0.006148643,0.038310182,300.93,0.810071424,2.03E-05,0.000360363,304.62,32.84574571,0.000865294,0.008263801,310.87,57.94050269,0.00100422,0.009049065,311.42,47.27362112,0.000719255,0.005924954,314.27,45.58043054,0.000682987,0.00456357,319.23,42.6451037,0.00102254,0.005016025
-14.75987603,300.57,0.567259438,4.27E-06,0.000128844,305.38,45.24482284,0.001052763,0.010896464,321.47,98.53543076,0.001968804,0.011740577,324.88,88.33151239,0.005234241,0.025895028,328.06,75.79524043,0.009330208,0.036714822,332.78,74.66587148,0.011056577,0.034766533,300.7,0.106913405,4.36E-06,1.24E-05,301.9,14.31798774,0.000130354,0.002981507,308.83,58.88343629,0.000653074,0.008998305,318.62,85.25120315,0.005463374,0.052267154,323,74.46777385,0.008208347,0.070101375,324.79,58.21070376,0.006214847,0.038498692,300.94,0.842352279,2.11E-05,0.000375554,304.75,33.69160325,0.000886274,0.008416324,311.07,58.6827343,0.001020866,0.009172883,311.62,47.83165024,0.000730292,0.005979152,314.5,46.07168631,0.000694799,0.004629133,319.47,42.98536119,0.001034731,0.005054327
-14.72996348,300.57,0.612767807,4.72E-06,0.000138948,305.58,46.31033724,0.001112435,0.01149077,321.91,99.82120465,0.002036423,0.012122336,325.25,89.05052753,0.005346449,0.026391836,328.42,76.4847233,0.009409618,0.036935489,333.09,75.02155274,0.01112951,0.034843445,300.7,0.107088316,4.36E-06,1.24E-05,301.96,14.87808141,0.000138533,0.003115623,309.03,59.54622112,0.000675706,0.009281633,318.95,86.0061854,0.005519316,0.052473562,323.37,75.17418681,0.008309162,0.070471636,325.08,58.58721458,0.006281452,0.03868672,300.94,0.873609899,2.19E-05,0.00039023,304.88,34.52161818,0.000907366,0.008567008,311.27,59.41989889,0.001037599,0.009295754,311.81,48.386384,0.000741388,0.006033165,314.73,46.56051755,0.000706675,0.004694153,319.71,43.32483142,0.001046984,0.005092552
