height(cm)_15O2_coarse,Radiative emission (kW/m)_15O2_coarse,height(cm)_15O2_medium,Radiative emission (kW/m)_15O2_medium,height(cm)_15O2_fine,Radiative emission (kW/m)_15O2_fine,height(cm)_17O2_coarse,Radiative emission (kW/m)_17O2_coarse,height(cm)_17O2_medium,Radiative emission (kW/m)_17O2_medium,height(cm)_17O2_fine,Radiative emission (kW/m)_17O2_fine,height(cm)_21O2_coarse,Radiative emission (kW/m)_21O2_coarse,height(cm)_21O2_medium,Radiative emission (kW/m)_21O2_medium,height(cm)_21O2_fine,Radiative emission (kW/m)_21O2_fine
25.4167,6.456125625,15.25,7.890129498,10.1667,6.154691141,25.4167,7.075471373,15.25,8.650942411,10.1667,7.344569329,25.4167,8.531323489,15.25,10.65086718,10.1667,9.784584747
26.25,6.355152453,15.75,7.957901408,10.5,6.255997416,26.25,6.998258786,15.75,8.700396368,10.5,7.460398414,26.25,8.384421791,15.75,10.70032423,10.5,9.8541276
27.0833,6.243107411,16.25,8.019830162,10.8333,6.350780783,27.0833,6.911292661,16.25,8.743579522,10.8333,7.565850642,27.0833,8.230136728,16.25,10.74344594,10.8333,9.91364551
27.9167,6.122739603,16.75,8.075746695,11.1667,6.439191566,27.9167,6.815089012,16.75,8.780799593,11.1667,7.660869955,27.9167,8.068081884,16.75,10.77978247,11.1667,9.964637865
28.75,5.996813463,17.25,8.125432856,11.5,6.521506866,28.75,6.710244749,17.25,8.812300884,11.5,7.745682869,28.75,7.89795776,17.25,10.80894581,11.5,10.00850001
29.5833,5.8679327,17.75,8.168636631,11.8333,6.598069127,29.5833,6.597409787,17.75,8.838222397,11.8333,7.820745171,29.5833,7.719603048,17.75,10.8307276,11.8333,10.04645904
30.4167,5.73838284,18.25,8.205098277,12.1667,6.669233985,30.4167,6.477264315,18.25,8.858596076,12.1667,7.886675932,30.4167,7.533025849,18.25,10.84521144,12.1667,10.07955591
31.25,5.610023748,18.75,8.234581685,12.5,6.735332217,31.25,6.350499713,18.75,8.873386591,12.5,7.944185521,31.25,7.338422326,18.75,10.85283362,12.5,10.10866118
32.0833,5.484250825,19.25,8.256904168,12.8333,6.796648546,32.0833,6.217800841,19.25,8.882557264,12.8333,7.994006564,32.0833,7.136188429,19.25,10.85435825,12.8333,10.13450417
32.9167,5.36202027,19.75,8.271960037,13.1667,6.853417975,32.9167,6.079829592,19.75,8.886137377,13.1667,8.036837477,32.9167,6.926925838,19.75,10.85075828,13.1667,10.15769572
33.75,5.243912524,20.25,8.279737307,13.5,6.905836612,33.75,5.937210339,20.25,8.884266482,13.5,8.073306587,33.75,6.71143514,20.25,10.84301766,13.5,10.17873465
34.5833,5.130200255,20.75,8.280330155,13.8333,6.954080028,34.5833,5.790515732,20.75,8.877200446,13.8333,8.103960814,34.5833,6.490684963,20.75,10.83189029,13.8333,10.19800369
35.4167,5.020901245,21.25,8.273950161,14.1667,6.998319545,35.4167,5.640254268,21.25,8.865279961,14.1667,8.129277952,35.4167,6.265751509,21.25,10.81767282,14.1667,10.21576845
