height(cm)_15O2_coarse,Radiative emission (kW/m)_15O2_coarse,height(cm)_15O2_medium,Radiative emission (kW/m)_15O2_medium,height(cm)_15O2_fine,Radiative emission (kW/m)_15O2_fine,height(cm)_17O2_coarse,Radiative emission (kW/m)_17O2_coarse,height(cm)_17O2_medium,Radiative emission (kW/m)_17O2_medium,height(cm)_17O2_fine,Radiative emission (kW/m)_17O2_fine,height(cm)_21O2_coarse,Radiative emission (kW/m)_21O2_coarse,height(cm)_21O2_medium,Radiative emission (kW/m)_21O2_medium,height(cm)_21O2_fine,Radiative emission (kW/m)_21O2_fine
123.75,0.167621593,64.75,1.193692113,43.1667,4.213608293,123.75,0.095123934,64.75,1.022519823,43.1667,4.267108929,123.75,0.089455062,64.75,1.223191504,43.1667,4.131673304
126.25,0.152203406,65.25,1.154198842,43.5,4.151229824,126.25,0.088923323,65.25,0.988536945,43.5,4.198596801,126.25,0.084004063,65.25,1.187122013,43.5,4.042549981
128.75,0.138513909,65.75,1.115897644,43.8333,4.089463808,128.75,0.08314421,65.75,0.95573439,43.8333,4.13047199,128.75,0.078833025,65.75,1.152152712,43.8333,3.955540068
131.25,0.126193688,66.25,1.07874579,44.1667,4.02841935,131.25,0.077657889,66.25,0.924029837,44.1667,4.062780851,131.25,0.073841538,66.25,1.118276325,44.1667,3.870650891
133.75,0.114905597,66.75,1.042704109,44.5,3.968193047,133.75,0.072336452,66.75,0.893359978,44.5,3.995579954,133.75,0.068928021,66.75,1.085495216,44.5,3.78792332
136.25,0.104415191,67.25,1.007736929,44.8333,3.908872653,136.25,0.06709977,67.25,0.86368084,44.8333,3.928929914,136.25,0.064034672,67.25,1.053813561,44.8333,3.70744065
138.75,0.094654645,67.75,0.973811178,45.1667,3.850531493,138.75,0.061963732,67.75,0.834962445,45.1667,3.862890115,138.75,0.05919401,67.75,1.023228209,45.1667,3.629307833
141.25,0.085801486,68.25,0.940895056,45.5,3.793213689,141.25,0.057095098,68.25,0.80718124,45.5,3.797516747,141.25,0.054580163,68.25,0.993721247,45.5,3.553610838
143.75,0.078294828,68.75,0.908957029,45.8333,3.736918053,143.75,0.052826378,68.75,0.78031435,45.8333,3.732862887,143.75,0.050522129,68.75,0.965257246,45.8333,3.480377105
146.25,0.072753524,69.25,0.877966216,46.1667,3.681659739,146.25,0.049602507,69.25,0.754338484,46.1667,3.669042234,146.25,0.047452413,69.25,0.937786822,46.1667,3.409616859
148.75,0.069790946,69.75,0.847894448,46.5,3.627449454,148.75,0.047856212,69.75,0.729233723,46.5,3.606192719,148.75,0.045788407,69.75,0.911255583,46.5,3.341306974
,,70.25,0.818718981,46.8333,3.574519067,,,70.25,0.704989029,46.8333,3.544660486,,,70.25,0.885613928,46.8333,3.275602507
,,70.75,0.79042402,47.1667,3.523614479,,,70.75,0.681604041,47.1667,3.485245543,,,70.75,0.860822109,47.1667,3.213107766
,,71.25,0.76299993,47.5,3.4765055,,,71.25,0.659083078,47.5,3.429670525,,,71.25,0.836848038,47.5,3.155330488
,,71.75,0.736440758,47.8333,3.436632122,,,71.75,0.637422834,47.8333,3.381202101,,,71.75,0.813660527,47.8333,3.105244658
,,72.25,0.710741851,48.1667,3.409572034,,,72.25,0.616601036,48.1667,3.345116089,,,72.25,0.7912238,48.1667,3.067689597
,,72.75,0.685898699,48.5,3.402711606,,,72.75,0.596574025,48.5,3.328397806,,,72.75,0.76949732,48.5,3.04907323
,,73.25,0.661906287,48.8333,3.423468438,,,73.25,0.577285908,48.8333,3.338042101,,,73.25,0.748440575,48.8333,3.055817739
,,73.75,0.638757256,49.1667,3.47601477,,,73.75,0.55868381,49.1667,3.377909847,,,73.75,0.728018424,49.1667,3.09150699
,,74.25,0.616438416,49.5,3.557643908,,,74.25,0.540729751,49.5,3.445255149,,,74.25,0.708202675,49.5,3.153734861
,,74.75,0.594927756,49.8333,3.656920484,,,74.75,0.523402626,49.8333,3.528991973,,,74.75,0.688968982,49.8333,3.232520363
,,75.25,0.574195075,50.3125,3.755450684,,,75.25,0.506690989,50.3125,3.611453067,,,75.25,0.670291866,50.3125,3.311882541
,,75.75,0.554207106,50.9375,3.833193557,,,75.75,0.490583409,50.9375,3.673532595,,,75.75,0.6521414,50.9375,3.374486642
,,76.25,0.534934422,51.5625,3.874902373,,,76.25,0.475063265,51.5625,3.700863592,,,76.25,0.634483468,51.5625,3.407238481
,,76.75,0.51635595,52.1875,3.874415964,,,76.75,0.460110137,52.1875,3.687873105,,,76.75,0.617282863,52.1875,3.404959878
,,77.25,0.498458838,52.8125,3.834899001,,,77.25,0.445704748,52.8125,3.63791858,,,77.25,0.600507334,52.8125,3.370507025
,,77.75,0.481234827,53.4375,3.765633806,,,77.75,0.431832758,53.4375,3.560128859,,,77.75,0.584130683,53.4375,3.311895034
,,78.25,0.4646763,54.0625,3.677653846,,,78.25,0.418484988,54.0625,3.465179917,,,78.25,0.568133839,54.0625,3.238458315
,,78.75,0.44877417,54.6875,3.580409474,,,78.75,0.40565473,54.6875,3.362110163,,,78.75,0.552504022,54.6875,3.157969135
,,79.25,0.433517414,55.3125,3.480359602,,,79.25,0.393334308,55.3125,3.257012145,,,79.25,0.537232963,55.3125,3.075483672
,,79.75,0.41889252,55.9375,3.381123912,,,79.75,0.381512466,55.9375,3.153226064,,,79.75,0.522315551,55.9375,2.993572944
,,80.25,0.404881831,56.5625,3.284333453,,,80.25,0.370173004,56.5625,3.052194759,,,80.25,0.507749748,56.5625,2.913160667
,,80.75,0.391461521,57.1875,3.190495133,,,80.75,0.359294484,57.1875,2.954321449,,,80.75,0.493536949,57.1875,2.834346993
,,81.25,0.378601039,57.8125,3.099584491,,,81.25,0.348851091,57.8125,2.859557896,,,81.25,0.479681319,57.8125,2.756954115
,,81.75,0.366265342,58.4375,3.011348274,,,81.75,0.338814781,58.4375,2.767704673,,,81.75,0.466187481,58.4375,2.680776601
,,82.25,0.354419322,59.0625,2.925515432,,,82.25,0.329157992,59.0625,2.678610142,,,82.25,0.453057456,59.0625,2.605723398
,,82.75,0.343032306,59.6875,2.841775513,,,82.75,0.319855497,59.6875,2.59212958,,,82.75,0.440288639,59.6875,2.53174589
,,83.25,0.332080383,60.3125,2.759862874,,,83.25,0.310884586,60.3125,2.508174631,,,83.25,0.42787375,60.3125,2.458866588
,,83.75,0.321545866,60.9375,2.679570443,,,83.75,0.302224233,60.9375,2.426690628,,,83.75,0.415801565,60.9375,2.387158973
,,84.25,0.3114149,61.5625,2.600759498,,,84.25,0.293854643,61.5625,2.347636071,,,84.25,0.404056787,61.5625,2.316734989
,,84.75,0.301674809,62.1875,2.523361872,,,84.75,0.285757862,62.1875,2.270965979,,,84.75,0.392618959,62.1875,2.247731005
,,85.25,0.292312331,62.8125,2.447373942,,,85.25,0.277918878,62.8125,2.196620406,,,85.25,0.381462483,62.8125,2.180287952
,,85.75,0.283313091,63.4375,2.372842723,,,85.75,0.270325948,63.4375,2.124517854,,,85.75,0.370559949,63.4375,2.114526197
,,86.25,0.274662075,64.0625,2.299844607,,,86.25,0.262969653,64.0625,2.054554384,,,86.25,0.359888748,64.0625,2.050520684
,,86.75,0.266344621,64.6875,2.228459894,,,86.75,0.255841357,64.6875,1.986609449,,,86.75,0.349437875,64.6875,1.988282841
,,87.25,0.258347345,65.3125,2.158748276,,,87.25,0.248932258,65.3125,1.920558421,,,87.25,0.339210909,65.3125,1.927755864
,,87.75,0.250658477,65.9375,2.090731216,,,87.75,0.242233588,65.9375,1.856288982,,,87.75,0.329223443,65.9375,1.868824754
,,88.25,0.243267426,66.5625,2.024386083,,,88.25,0.235737496,66.5625,1.793715541,,,88.25,0.319497006,66.5625,1.811338367
,,88.75,0.236163888,67.1875,1.959653219,,,88.75,0.229437569,67.1875,1.732786613,,,88.75,0.310053102,67.1875,1.755136091
,,89.25,0.229337108,67.8125,1.896451897,,,89.25,0.223328485,67.8125,1.673482451,,,89.25,0.3009095,67.8125,1.700072231
,,89.75,0.222775712,68.4375,1.834699503,,,89.75,0.217405073,68.4375,1.615804845,,,89.75,0.292078145,68.4375,1.646034699
,,90.25,0.216467935,69.0625,1.774327847,,,90.25,0.211661549,69.0625,1.559764686,,,90.25,0.283563291,69.0625,1.592957094
,,90.75,0.210401844,69.6875,1.715292899,,,90.75,0.206091481,69.6875,1.505371641,,,90.75,0.275359691,69.6875,1.540825135
,,91.25,0.204565354,70.3125,1.657577959,,,91.25,0.200688356,70.3125,1.452628022,,,91.25,0.267452486,70.3125,1.489676816
,,91.75,0.1989462,70.9375,1.6011927,,,91.75,0.195446168,70.9375,1.401526092,,,91.75,0.25982025,70.9375,1.439594186
,,92.25,0.193532249,71.5625,1.546169826,,,92.25,0.190359555,71.5625,1.352046051,,,92.25,0.252440584,71.5625,1.390686318
,,92.75,0.188312212,72.1875,1.492559818,,,92.75,0.185423581,72.1875,1.304152078,,,92.75,0.245295402,72.1875,1.343064228
,,93.25,0.183276514,72.8125,1.440422918,,,93.25,0.180633575,72.8125,1.257787804,,,93.25,0.238373084,72.8125,1.29681437
,,93.75,0.178417739,73.4375,1.389818353,,,93.75,0.175985231,73.4375,1.212874426,,,93.75,0.231666855,73.4375,1.251977504
,,94.25,0.173736434,74.0625,1.340792882,,,94.25,0.171481003,74.0625,1.169314744,,,94.25,0.225179269,74.0625,1.208538564
,,94.75,0.169236519,74.6875,1.29337211,,,94.75,0.167126785,74.6875,1.12700454,,,94.75,0.218915708,74.6875,1.166429244
,,95.25,0.164942681,75.3125,1.247557636,,,95.25,0.162950484,75.3125,1.0858484,,,95.25,0.21290811,75.3125,1.125541146
,,95.75,0.160923374,75.9375,1.203331067,,,95.75,0.15902573,75.9375,1.045775499,,,95.75,0.207246431,75.9375,1.085745437
,,96.25,0.157334994,76.5625,1.160663014,,,96.25,0.155515991,76.5625,1.006750431,,,96.25,0.20213508,76.5625,1.046914111
,,96.75,0.154478816,77.1875,1.119523045,,,96.75,0.152731147,77.1875,0.968776,,,96.75,0.197963221,77.1875,1.008939901
,,97.25,0.152840036,77.8125,1.079886515,,,97.25,0.151166542,77.8125,0.931887583,,,97.25,0.195351921,77.8125,0.971752558
,,97.75,0.153050685,78.4375,1.041735534,,,97.75,0.151466641,78.4375,0.896141222,,,97.75,0.195106896,78.4375,0.935328975
,,98.25,0.155718507,79.0625,1.005054337,,,98.25,0.154254952,79.0625,0.861598543,,,98.25,0.198004732,79.0625,0.899695053
,,98.75,0.161123497,79.6875,0.969821828,,,98.75,0.159830516,79.6875,0.828312431,,,98.75,0.204413397,79.6875,0.864917903
,,99.25,0.168895992,80.3125,0.936004848,,,99.25,0.16784348,80.3125,0.796316501,,,99.25,0.21388812,80.3125,0.831090039
,,99.75,0.177877273,80.9375,0.903554961,,,99.75,0.177150553,80.9375,0.765619397,,,99.75,0.22499349,80.9375,0.79830924
,,100.833,0.186324464,81.5625,0.872409564,,,100.833,0.186013758,81.5625,0.736203919,,,100.833,0.235554831,81.5625,0.76665945
,,102.5,0.192433471,82.1875,0.842495805,,,102.5,0.192619099,82.1875,0.708029778,,,102.5,0.243307448,82.1875,0.736197158
,,104.167,0.194938088,82.8125,0.813735305,,,104.167,0.195675768,82.8125,0.681038721,,,104.167,0.246643096,82.8125,0.70694619
,,105.833,0.193475895,83.4375,0.786048072,,,105.833,0.194786916,83.4375,0.655160973,,,105.833,0.245068415,83.4375,0.678900725
,,107.5,0.18855803,84.0625,0.759355243,,,107.5,0.190427131,84.0625,0.630321709,,,107.5,0.239172441,84.0625,0.65203339
,,109.167,0.181221898,84.6875,0.733581612,,,109.167,0.183602552,84.6875,0.606446717,,,109.167,0.230200906,84.6875,0.626304763
,,110.833,0.172598027,85.3125,0.708658904,,,110.833,0.175422391,85.3125,0.58346655,,,110.833,0.219523848,85.3125,0.60167088
,,112.5,0.163599042,85.9375,0.684529403,,,112.5,0.166789036,85.9375,0.561319148,,,112.5,0.208253432,85.9375,0.578087093
,,114.167,0.154806087,86.5625,0.661148379,,,114.167,0.158282827,86.5625,0.539951135,,,114.167,0.197104506,86.5625,0.55550902
,,115.833,0.146506479,87.1875,0.638483588,,,115.833,0.150196708,87.1875,0.519318369,,,115.833,0.186440268,87.1875,0.533891988
,,117.5,0.138793181,87.8125,0.616511388,,,117.5,0.142632606,87.8125,0.499386492,,,117.5,0.176392826,87.8125,0.513191196
,,119.167,0.131658329,88.4375,0.595211247,,,119.167,0.135592473,88.4375,0.480131206,,,119.167,0.166975567,88.4375,0.493362961
,,120.833,0.125054353,89.0625,0.574561354,,,120.833,0.129037828,89.0625,0.461538143,,,120.833,0.158155451,89.0625,0.474366908
,,122.5,0.118922811,89.6875,0.554537299,,,122.5,0.122917816,89.6875,0.443601697,,,122.5,0.149885803,89.6875,0.456167646
,,124.167,0.113211705,90.3125,0.535113669,,,124.167,0.117186334,90.3125,0.426322514,,,124.167,0.14212573,90.3125,0.438734757
,,125.833,0.107869106,90.9375,0.516266581,,,125.833,0.111795933,90.9375,0.409703904,,,125.833,0.134830745,90.9375,0.422040865
,,127.5,0.102847018,91.5625,0.497975009,,,127.5,0.106701979,91.5625,0.393747669,,,127.5,0.127957127,91.5625,0.406058779
,,129.167,0.098098061,92.1875,0.48021978,,,129.167,0.101859739,92.1875,0.378450336,,,129.167,0.121458,92.1875,0.390759155
,,130.833,0.093573009,92.8125,0.462991202,,,130.833,0.097222348,92.8125,0.36380861,,,130.833,0.11528116,92.8125,0.37611808
,,132.5,0.089217135,93.4375,0.44628177,,,132.5,0.092737478,93.4375,0.349814422,,,132.5,0.109365878,93.4375,0.362113046
,,134.167,0.084966142,94.0625,0.430115085,,,134.167,0.088343463,94.0625,0.336480066,,,134.167,0.103639372,94.0625,0.348749882
,,135.833,0.080744733,94.6875,0.4145815,,,135.833,0.083967932,94.6875,0.323869886,,,135.833,0.098016172,94.6875,0.336095907
,,137.5,0.076470954,95.3125,0.399902408,,,137.5,0.07953204,95.3125,0.312156176,,,137.5,0.092403639,95.3125,0.324338705
,,139.167,0.072073305,95.9375,0.386508338,,,139.167,0.074967547,95.9375,0.301687414,,,139.167,0.086721736,95.9375,0.313858949
,,140.833,0.067525756,96.5625,0.375085403,,,140.833,0.070252111,96.5625,0.293030557,,,140.833,0.080943153,96.5625,0.305277271
,,142.5,0.062897615,97.1875,0.366506322,,,142.5,0.065459977,97.1875,0.286916885,,,142.5,0.075150665,97.1875,0.299399416
,,144.167,0.05839988,97.8125,0.361566393,,,144.167,0.060809437,97.8125,0.284023409,,,144.167,0.069590835,97.8125,0.296985362
,,145.833,0.054395769,98.4375,0.360536482,,,145.833,0.056673962,98.4375,0.284597528,,,145.833,0.064686601,98.4375,0.298347382
,,147.5,0.051345856,99.0625,0.362711336,,,147.5,0.053526412,99.0625,0.288071673,,,147.5,0.06097404,99.0625,0.302930525
,,149.167,0.049686901,99.6875,0.366252205,,,149.167,0.051815091,99.6875,0.292917902,,,149.167,0.058961681,99.6875,0.309141929
,,,,100.833,0.36854843,,,,,100.833,0.296935132,,,,,100.833,0.31463922
,,,,102.5,0.367030895,,,,,102.5,0.297921393,,,,,102.5,0.31703542
,,,,104.167,0.360053926,,,,,104.167,0.29441693,,,,,104.167,0.314693093
,,,,105.833,0.347384733,,,,,105.833,0.286131519,,,,,105.833,0.307197319
,,,,107.5,0.330083234,,,,,107.5,0.273865364,,,,,107.5,0.295298098
,,,,109.167,0.309924252,,,,,109.167,0.259040297,,,,,109.167,0.280435805
,,,,110.833,0.288727223,,,,,110.833,0.243142002,,,,,110.833,0.264160737
,,,,112.5,0.267900797,,,,,112.5,0.227333683,,,,,112.5,0.24772078
,,,,114.167,0.248297904,,,,,114.167,0.212327341,,,,,114.167,0.231912332
,,,,115.833,0.230296134,,,,,115.833,0.198445642,,,,,115.833,0.217130058
,,,,117.5,0.21396313,,,,,117.5,0.185757335,,,,,117.5,0.203497593
,,,,119.167,0.19920652,,,,,119.167,0.174200529,,,,,119.167,0.190991399
,,,,120.833,0.185871971,,,,,120.833,0.163662512,,,,,120.833,0.179524144
,,,,122.5,0.173790974,,,,,122.5,0.154018029,,,,,122.5,0.16898696
,,,,124.167,0.162810452,,,,,124.167,0.145153209,,,,,124.167,0.159276847
,,,,125.833,0.152784247,,,,,125.833,0.136959284,,,,,125.833,0.15029116
,,,,127.5,0.143580624,,,,,127.5,0.129339347,,,,,127.5,0.14193489
,,,,129.167,0.13507817,,,,,129.167,0.122205384,,,,,129.167,0.134117515
,,,,130.833,0.127163175,,,,,130.833,0.11547588,,,,,130.833,0.126750923
,,,,132.5,0.119725369,,,,,132.5,0.109071624,,,,,132.5,0.119745925
,,,,134.167,0.112652494,,,,,134.167,0.102910439,,,,,134.167,0.113008143
,,,,135.833,0.105827304,,,,,135.833,0.096904291,,,,,135.833,0.106436686
,,,,137.5,0.099131224,,,,,137.5,0.090962399,,,,,137.5,0.099929089
,,,,139.167,0.092463926,,,,,139.167,0.085008658,,,,,139.167,0.09340116
,,,,140.833,0.085785569,,,,,140.833,0.079019404,,,,,140.833,0.086828192
,,,,142.5,0.079177954,,,,,142.5,0.073078213,,,,,142.5,0.08030418
,,,,144.167,0.072901555,,,,,144.167,0.0674271,,,,,144.167,0.074096987
,,,,145.833,0.067408013,,,,,145.833,0.062477788,,,,,145.833,0.068660165
,,,,147.5,0.063271191,,,,,147.5,0.058749942,,,,,147.5,0.064565078
,,,,149.167,0.061035663,,,,,149.167,0.0567353,,,,,149.167,0.062351989
