cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 4.1000000E+001, 1.0270663E+003, 1.0255611E+003, 3.8220049E+000, 1.8494447E+002, 2.6675133E+002, 1.0797444E+000, 9.0647623E-002, 5.9866899E-002, 2.3730838E-002, 5.4694394E-003, 8.7902440E-002, 1.3959317E-002, 7.1377034E-001, 1.8507372E-003
 4.3000000E+001, 1.0270663E+003, 1.0255611E+003, 3.8358315E+000, 1.8494447E+002, 2.6675133E+002, 1.1432525E+000, 9.0647623E-002, 5.9866899E-002, 2.3730838E-002, 5.4694394E-003, 8.7902440E-002, 1.3959317E-002, 7.1377034E-001, 1.8507372E-003
 4.5000000E+001, 1.0078068E+003, 1.0038888E+003, 3.8454134E+000, 1.9415747E+002, 2.7738744E+002, 1.2013226E+000, 9.6684467E-002, 5.8567978E-002, 2.0557233E-002, 4.4157262E-003, 8.3402535E-002, 1.2092490E-002, 7.2024874E-001, 1.6013986E-003
 4.7000000E+001, 9.8633128E+002, 9.7999164E+002, 3.8452361E+000, 2.0231028E+002, 2.8670169E+002, 1.2487604E+000, 1.0265766E-001, 5.7022151E-002, 1.7697702E-002, 3.5579782E-003, 7.8973178E-002, 1.0410413E-002, 7.2621078E-001, 1.3770158E-003
 4.9000000E+001, 9.6344060E+002, 9.5472567E+002, 3.8418347E+000, 2.0902751E+002, 2.9422246E+002, 1.2922450E+000, 1.0848443E-001, 5.5289322E-002, 1.5154083E-002, 2.8593040E-003, 7.4676118E-002, 8.9141665E-003, 7.3165119E-001, 1.1776821E-003
 5.1000000E+001, 9.1462410E+002, 9.0225655E+002, 3.8251586E+000, 2.1724091E+002, 3.0085959E+002, 1.3346962E+000, 1.1962365E-001, 5.1416132E-002, 1.0911404E-002, 1.8240300E-003, 6.6528093E-002, 6.4184731E-003, 7.4113873E-001, 8.4573827E-004
 5.3000000E+001, 8.8926243E+002, 8.7558031E+002, 3.8093415E+000, 2.1926120E+002, 3.0102517E+002, 1.3685768E+000, 1.2492319E-001, 4.9335800E-002, 9.1588960E-003, 1.4407451E-003, 6.2683139E-002, 5.3875859E-003, 7.4527478E-001, 7.0881427E-004
 5.5000000E+001, 8.6386265E+002, 8.4910799E+002, 3.7805008E+000, 2.2050223E+002, 3.0027497E+002, 1.4039353E+000, 1.2999316E-001, 4.7210544E-002, 7.6340322E-003, 1.1327706E-003, 5.9023259E-002, 4.4906072E-003, 7.4901876E-001, 5.8980030E-004
 5.7000000E+001, 8.6386265E+002, 8.4910799E+002, 3.7536962E+000, 2.2050223E+002, 3.0027497E+002, 1.4298675E+000, 1.2999316E-001, 4.7210544E-002, 7.6340322E-003, 1.1327706E-003, 5.9023259E-002, 4.4906072E-003, 7.4901876E-001, 5.8980030E-004
 5.9000000E+001, 8.3820000E+002, 8.2259582E+002, 3.7206635E+000, 2.2034069E+002, 2.9788081E+002, 1.4416976E+000, 1.3487143E-001, 4.5032948E-002, 6.3171220E-003, 8.8695844E-004, 5.5521203E-002, 3.7159541E-003, 7.5241574E-001, 4.8723508E-004
