cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori,r_rad3,TC_03,TC_30,TC_41,TC_51,TC_61,TC_03_RMS,TC_30_RMS,TC_41_RMS,TC_51_RMS,TC_61_RMS
 2.5000000E-001, 4.7023788E+002, 4.6363411E+002, 1.5755184E-002, 9.8940323E+001, 1.0347815E+002, 5.0709563E-002, 1.9918045E-004, 1.3147803E-002, 1.7776683E-002, 7.5684663E-001, 5.8991514E-002, 1.8326477E-002, 1.3410083E-001, 2.2319021E-004,-4.0000000E+000, 2.3348027E+001, 1.7429989E+001, 0.0000000E+000, 7.8970836E-001, 1.6155494E+001, 3.6835905E+000,-4.0000000E+000, 1.1961079E+003, 9.3544395E+002, 7.6633203E+002, 6.3103587E+002, 5.3140038E+002, 1.6613423E+002, 2.3423577E+002, 1.9959181E+002, 1.4860663E+002, 1.0043074E+002
 7.5000000E-001, 6.6541875E+002, 6.6388730E+002, 5.5160860E-002, 1.6891277E+002, 1.7872519E+002, 8.7581880E-002, 9.8176709E-004, 2.4474473E-002, 2.8752830E-002, 5.7575061E-001, 1.0193334E-001, 2.9642093E-002, 2.3747682E-001, 3.7542873E-004,-3.0000000E+000, 2.2505881E+001, 1.7255971E+001, 6.6964286E-001, 7.4438885E-001, 1.6747753E+001, 3.3751551E+000,-3.5000000E+000, 1.1598147E+003, 9.8093560E+002, 7.8638767E+002, 6.3861002E+002, 5.3494678E+002, 1.8213389E+002, 2.3380696E+002, 2.0090832E+002, 1.5030246E+002, 1.0111907E+002
 1.2500000E+000, 8.0231692E+002, 8.0512597E+002, 1.3198691E-001, 2.1520773E+002, 2.2997828E+002, 1.1816067E-001, 2.3429342E-003, 3.2459153E-002, 3.4770413E-002, 4.5662839E-001, 1.2909172E-001, 3.5845786E-002, 3.0766674E-001, 4.6581721E-004,-2.0000000E+000, 2.1981642E+001, 1.7145691E+001, 1.3392857E+000, 7.0163875E-001, 1.7340086E+001, 2.9896300E+000,-3.0000000E+000, 1.1075221E+003, 1.0220760E+003, 8.0476752E+002, 6.4411292E+002, 5.3751687E+002, 1.9052947E+002, 2.3247982E+002, 2.0158472E+002, 1.5104908E+002, 1.0077349E+002
 1.7500000E+000, 9.0361917E+002, 9.1031977E+002, 2.3097362E-001, 2.4491766E+002, 2.6394323E+002, 1.4101832E-001, 3.7914381E-003, 3.8180355E-002, 3.7933280E-002, 3.7730179E-001, 1.4647059E-001, 3.9106475E-002, 3.5591252E-001, 5.1675347E-004,-1.0000000E+000, 2.1326064E+001, 1.7032085E+001, 2.0089286E+000, 6.4552552E-001, 1.7932488E+001, 2.7905227E+000,-2.5000000E+000, 1.1075221E+003, 1.0220760E+003, 8.0476752E+002, 6.4411292E+002, 5.3751687E+002, 1.9052947E+002, 2.3247982E+002, 2.0158472E+002, 1.5104908E+002, 1.0077349E+002
 2.2500000E+000, 9.7898692E+002, 9.8903471E+002, 2.3097362E-001, 2.5932013E+002, 2.8150601E+002, 1.4101832E-001, 5.4212904E-003, 4.2603552E-002, 3.9247313E-002, 3.2169684E-001, 1.5785859E-001, 4.0461147E-002, 3.9136257E-001, 5.4017240E-004,-5.0000000E-003, 2.1442676E+001, 1.7211322E+001, 2.6785714E+000, 6.4556912E-001, 1.8524952E+001, 2.5218427E+000,-2.0000000E+000, 1.0581712E+003, 1.0509758E+003, 8.1807209E+002, 6.4796092E+002, 5.3969117E+002, 2.0064956E+002, 2.2665789E+002, 2.0104342E+002, 1.5093640E+002, 1.0180069E+002
 2.7500000E+000, 1.0345858E+003, 1.0470071E+003, 4.6049209E-001, 2.6230160E+002, 2.8659818E+002, 1.7820831E-001, 7.2252086E-003, 4.6002598E-002, 3.9617212E-002, 2.8094803E-001, 1.6545619E-001, 4.0842487E-002, 4.1854686E-001, 5.4911632E-004, 1.0000000E+000, 2.2325194E+001, 1.7592537E+001, 3.3482143E+000, 6.7359926E-001, 1.9117472E+001, 2.3743346E+000,-1.5000000E+000, 1.0184950E+003, 1.0698052E+003, 8.2300028E+002, 6.4987162E+002, 5.4080445E+002, 1.9655030E+002, 2.1941184E+002, 1.9810999E+002, 1.4939048E+002, 1.0306182E+002
 3.2500000E+000, 1.0786000E+003, 1.0929964E+003, 5.7986665E-001, 2.6387223E+002, 2.9024217E+002, 1.9696840E-001, 8.9681756E-003, 4.8779743E-002, 3.9467164E-002, 2.4963171E-001, 1.7084612E-001, 4.0687798E-002, 4.4026303E-001, 5.4972735E-004, 2.0000000E+000, 2.4678828E+001, 1.8027966E+001, 4.0178571E+000, 8.0874008E-001, 1.9710042E+001, 2.1692194E+000,-1.0000000E+000, 1.0030259E+003, 1.0742530E+003, 8.2149603E+002, 6.5019677E+002, 5.4036948E+002, 1.9444215E+002, 2.0940536E+002, 1.9401178E+002, 1.4882954E+002, 1.0373221E+002
 3.7500000E+000, 1.1121890E+003, 1.1282555E+003, 6.9866153E-001, 2.6138602E+002, 2.8885745E+002, 2.1794418E-001, 1.0779268E-002, 5.1007172E-002, 3.9027576E-002, 2.2484327E-001, 1.7459615E-001, 4.0234615E-002, 4.5817080E-001, 5.4558627E-004, 3.0000000E+000, 2.6448271E+001, 1.8048375E+001, 4.6875000E+000, 8.9501824E-001, 2.0302659E+001, 1.9897526E+000,-5.0000000E-001, 1.0433832E+003, 1.0495162E+003, 8.0806282E+002, 6.4044985E+002, 5.3647295E+002, 1.9210154E+002, 1.9943200E+002, 1.8797915E+002, 1.4523733E+002, 1.0336069E+002
 4.2500000E+000, 1.1386917E+003, 1.1557816E+003, 8.1682370E-001, 2.5723778E+002, 2.8601671E+002, 2.4060092E-001, 1.2495123E-002, 5.2834763E-002, 3.8498765E-002, 2.0461910E-001, 1.7737146E-001, 3.9689448E-002, 4.7316836E-001, 5.3976732E-004, 4.0000000E+000, 2.7572956E+001, 1.7868670E+001, 5.3571429E+000, 9.7406001E-001, 2.0895318E+001, 1.8891850E+000,-5.0000000E-003, 1.0433832E+003, 1.0495162E+003, 8.0806282E+002, 6.4044985E+002, 5.3647295E+002, 1.9210154E+002, 1.9943200E+002, 1.8797915E+002, 1.4523733E+002, 1.0336069E+002
 4.7500000E+000, 1.1616606E+003, 1.1796980E+003, 9.3382633E-001, 2.5299285E+002, 2.8286884E+002, 2.6438841E-001, 1.3912979E-002, 5.4447857E-002, 3.7983310E-002, 1.8758161E-001, 1.7973069E-001, 3.9158051E-002, 4.8588023E-001, 5.3386447E-004, 5.0000000E+000, 2.8765042E+001, 1.7543125E+001, 6.0267857E+000, 1.0674142E+000, 2.1488016E+001, 1.7434547E+000, 5.0000000E-001, 1.0857539E+003, 1.0207404E+003, 7.9261849E+002, 6.3468741E+002, 5.3245297E+002, 1.8494643E+002, 1.9712492E+002, 1.8484030E+002, 1.4294144E+002, 1.0199288E+002
 5.2500000E+000, 1.1826470E+003, 1.2015436E+003, 1.0498397E+000, 2.4908587E+002, 2.8015827E+002, 2.8719854E-001, 1.5056206E-002, 5.5917717E-002, 3.7509654E-002, 1.7279627E-001, 1.8187048E-001, 3.8669747E-002, 4.9689093E-001, 5.2840705E-004, 6.0000000E+000, 2.9586890E+001, 1.7338138E+001, 6.6964286E+000, 1.0748351E+000, 2.2080750E+001, 1.6613794E+000, 1.0000000E+000, 1.1616346E+003, 9.3307425E+002, 7.4201847E+002, 6.1554432E+002, 5.2202969E+002, 1.6859918E+002, 1.9617717E+002, 1.7008189E+002, 1.3482740E+002, 9.8578815E+001
 5.7500000E+000, 1.2029680E+003, 1.2228520E+003, 1.1645967E+000, 2.4620007E+002, 2.7846221E+002, 3.0881913E-001, 1.5983399E-002, 5.7351820E-002, 3.6989778E-002, 1.5968656E-001, 1.8384975E-001, 3.8133792E-002, 5.0673378E-001, 5.2208010E-004, 7.0000000E+000, 3.1793588E+001, 1.6778382E+001, 7.3660714E+000, 1.0600813E+000, 2.2673517E+001, 1.5413932E+000, 1.5000000E+000, 1.1843072E+003, 8.8198693E+002, 7.1299842E+002, 6.0105435E+002, 5.1575224E+002, 1.6256241E+002, 1.9611784E+002, 1.6284064E+002, 1.2860040E+002, 9.7629850E+001
 6.2500000E+000, 1.2214279E+003, 1.2423208E+003, 1.2774315E+000, 2.4291946E+002, 2.7603511E+002, 3.3039651E-001, 1.6920673E-002, 5.8682706E-002, 3.6386499E-002, 1.4802498E-001, 1.8546823E-001, 3.7511855E-002, 5.1575466E-001, 5.1436032E-004, 8.0000000E+000, 3.2929873E+001, 1.5486605E+001, 8.0357143E+000, 9.9102098E-001, 2.3266315E+001, 1.4338674E+000, 2.0000000E+000, 1.2035143E+003, 8.3120799E+002, 6.8459321E+002, 5.8530509E+002, 5.0894112E+002, 1.6519722E+002, 1.9980455E+002, 1.5700796E+002, 1.2379268E+002, 9.6230088E+001
 6.7500000E+000, 1.2375157E+003, 1.2592695E+003, 1.3875260E+000, 2.3863978E+002, 2.7247568E+002, 3.5302534E-001, 1.7980543E-002, 5.9870608E-002, 3.5703214E-002, 1.3759407E-001, 1.8665356E-001, 3.6807437E-002, 5.2416365E-001, 5.0534537E-004, 9.0000000E+000, 3.2562079E+001, 1.4468769E+001, 8.7053571E+000, 9.5024163E-001, 2.3859140E+001, 1.3728554E+000, 2.5000000E+000, 1.2098680E+003, 7.7659755E+002, 6.5365486E+002, 5.6903138E+002, 5.0085627E+002, 1.6025158E+002, 1.9640551E+002, 1.5065390E+002, 1.1970738E+002, 9.2704188E+001
 7.2500000E+000, 1.2510488E+003, 1.2734545E+003, 1.4937864E+000, 2.3404052E+002, 2.6874321E+002, 3.7727049E-001, 1.9195346E-002, 6.0879373E-002, 3.4996504E-002, 1.2814451E-001, 1.8743592E-001, 3.6078870E-002, 5.3206684E-001, 4.9589662E-004, 1.0000000E+001, 3.1636649E+001, 1.3424224E+001, 9.3750000E+000, 9.1235129E-001, 2.4451992E+001, 1.2823486E+000, 3.0000000E+000, 1.2085821E+003, 7.1973609E+002, 6.2222925E+002, 5.5217577E+002, 4.9206156E+002, 1.6064205E+002, 1.8793274E+002, 1.4376604E+002, 1.1433934E+002, 8.8369278E+001
 7.7500000E+000, 1.2625483E+003, 1.2854543E+003, 1.5964769E+000, 2.3024964E+002, 2.6603032E+002, 4.0290105E-001, 2.0536221E-002, 6.1730196E-002, 3.4281205E-002, 1.1952344E-001, 1.8788474E-001, 3.5341448E-002, 5.3952470E-001, 4.8620046E-004, 1.1000000E+001, 3.0996087E+001, 1.2901226E+001, 1.0044643E+001, 8.5701682E-001, 2.5044868E+001, 1.2304607E+000, 3.5000000E+000, 1.2085821E+003, 7.1973609E+002, 6.2222925E+002, 5.5217577E+002, 4.9206156E+002, 1.6064205E+002, 1.8793274E+002, 1.4376604E+002, 1.1433934E+002, 8.8369278E+001
 8.2500000E+000, 1.2729894E+003, 1.2963015E+003, 1.6953209E+000, 2.2812807E+002, 2.6532114E+002, 4.2919360E-001, 2.1941242E-002, 6.2527980E-002, 3.3486253E-002, 1.1163021E-001, 1.8808234E-001, 3.4521910E-002, 5.4665933E-001, 4.7522245E-004, 1.2000000E+001, 2.7798352E+001, 1.1290948E+001, 1.0714286E+001, 8.4203097E-001, 2.5637767E+001, 1.1533940E+000, 4.0000000E+000, 1.2107267E+003, 6.2459201E+002, 5.6857069E+002, 5.1856311E+002, 4.7439739E+002, 1.6971170E+002, 1.7249780E+002, 1.3168954E+002, 1.0360781E+002, 8.0252968E+001
 8.7500000E+000, 1.2822171E+003, 1.3057993E+003, 1.7903734E+000, 2.2741602E+002, 2.6623965E+002, 4.5600024E-001, 2.3410319E-002, 6.3265820E-002, 3.2630543E-002, 1.0438878E-001, 1.8804907E-001, 3.3639735E-002, 5.5349440E-001, 4.6329350E-004, 1.3000000E+001, 2.3812623E+001, 1.0020806E+001, 1.1383929E+001, 8.3542051E-001, 2.6230687E+001, 1.0832028E+000, 4.5000000E+000, 1.2152464E+003, 5.8784782E+002, 5.4643611E+002, 5.0423400E+002, 4.6571257E+002, 1.8219702E+002, 1.6302459E+002, 1.2731476E+002, 9.9937788E+001, 7.6816167E+001
 9.2500000E+000, 1.2904711E+003, 1.3142027E+003, 1.7903734E+000, 2.2767088E+002, 2.6823572E+002, 4.5600024E-001, 2.4887985E-002, 6.3904042E-002, 3.1822900E-002, 9.7622975E-002, 1.8790140E-001, 3.2807113E-002, 5.5996001E-001, 4.5205934E-004, 1.4000000E+001, 2.1026399E+001, 9.2696726E+000, 1.2053571E+001, 8.4322127E-001, 2.6823627E+001, 1.0426052E+000, 5.0000000E+000, 1.2055846E+003, 5.5731629E+002, 5.2600931E+002, 4.9072155E+002, 4.5690773E+002, 1.9333105E+002, 1.5466110E+002, 1.2271462E+002, 9.6045530E+001, 7.4006094E+001
 9.7500000E+000, 1.2978741E+003, 1.3217102E+003, 1.9696624E+000, 2.2762005E+002, 2.6987968E+002, 5.0837436E-001, 2.6403771E-002, 6.4486915E-002, 3.0997148E-002, 9.1285390E-002, 1.8760928E-001, 3.1955822E-002, 5.6619648E-001, 4.4052059E-004, 1.5000000E+001, 1.1683452E+001, 3.9776120E+000, 1.2723214E+001, 8.5474871E-001, 2.7416584E+001, 9.8200903E-001, 5.5000000E+000, 1.1829144E+003, 5.3142471E+002, 5.0640248E+002, 4.7794760E+002, 4.4781027E+002, 2.0244639E+002, 1.4671159E+002, 1.1751241E+002, 9.1710693E+001, 7.1026250E+001
 1.0250000E+001, 1.3032988E+003, 1.3270727E+003, 2.0526721E+000, 2.2669552E+002, 2.7054894E+002, 5.3608479E-001, 2.8095701E-002, 6.4923682E-002, 3.0164400E-002, 8.5422975E-002, 1.8701142E-001, 3.1097319E-002, 5.7224792E-001, 4.2885035E-004,NaN,NaN,NaN, 1.3392857E+001, 8.6922220E-001, 2.8009560E+001, 9.4666162E-001, 6.0000000E+000, 1.1521198E+003, 5.1258626E+002, 4.8965227E+002, 4.6506377E+002, 4.3823865E+002, 2.0802317E+002, 1.3963911E+002, 1.1342027E+002, 8.6479154E+001, 6.7745774E+001
 1.0750000E+001, 1.3068052E+003, 1.3303233E+003, 2.1306466E+000, 2.2639488E+002, 2.7198276E+002, 5.6666324E-001, 2.9948322E-002, 6.5248006E-002, 2.9290370E-002, 8.0065134E-002, 1.8611346E-001, 3.0196258E-002, 5.7813191E-001, 4.1654279E-004,NaN,NaN,NaN, 1.4062500E+001, 9.0088344E-001, 2.8602551E+001, 8.9392532E-001, 6.5000000E+000, 1.1153723E+003, 4.9952775E+002, 4.7351058E+002, 4.5223896E+002, 4.2817725E+002, 2.1113676E+002, 1.3496306E+002, 1.0787718E+002, 8.2010336E+001, 6.4267207E+001
 1.1250000E+001, 1.3083038E+003, 1.3312748E+003, 2.2037088E+000, 2.2746375E+002, 2.7523758E+002, 5.9983814E-001, 3.1943517E-002, 6.5466739E-002, 2.8377208E-002, 7.5223544E-002, 1.8493286E-001, 2.9254854E-002, 5.8382612E-001, 4.0362952E-004,NaN,NaN,NaN, 1.4732143E+001, 9.1545527E-001, 2.9195557E+001, 8.4522566E-001, 7.0000000E+000, 1.0773593E+003, 4.9030858E+002, 4.5870611E+002, 4.3907675E+002, 4.1839992E+002, 2.1733330E+002, 1.2998373E+002, 1.0143915E+002, 7.6906653E+001, 6.0731829E+001
 1.1750000E+001, 1.3080037E+003, 1.3302437E+003, 2.2735650E+000, 2.2930252E+002, 2.7927952E+002, 6.3124529E-001, 3.4032082E-002, 6.5549493E-002, 2.7507705E-002, 7.0799424E-002, 1.8355766E-001, 2.8358459E-002, 5.8924989E-001, 3.9136001E-004,NaN,NaN,NaN, 1.5401786E+001, 9.3040646E-001, 2.9788578E+001, 8.1668951E-001, 7.5000000E+000, 1.0344971E+003, 4.8107794E+002, 4.4650059E+002, 4.2756689E+002, 4.0915000E+002, 2.2613410E+002, 1.2591744E+002, 9.5741482E+001, 7.2522566E+001, 5.8048925E+001
 1.2250000E+001, 1.3068538E+003, 1.3282655E+003, 2.3405360E+000, 2.3192115E+002, 2.8411288E+002, 6.5900850E-001, 3.6097259E-002, 6.5547505E-002, 2.6713627E-002, 6.6677419E-002, 1.8214740E-001, 2.7539821E-002, 5.9435898E-001, 3.8015370E-004,NaN,NaN,NaN, 1.6071429E+001, 9.4613996E-001, 3.0381612E+001, 7.7377614E-001, 8.0000000E+000, 9.9883296E+002, 4.7242525E+002, 4.3566648E+002, 4.1713118E+002, 4.0090646E+002, 2.2998120E+002, 1.2063685E+002, 9.0227933E+001, 7.0234771E+001, 5.6594851E+001
 1.2750000E+001, 1.3050141E+003, 1.3255543E+003, 2.4038182E+000, 2.3575114E+002, 2.9009963E+002, 6.8652389E-001, 3.8180717E-002, 6.5481144E-002, 2.5950677E-002, 6.2801436E-002, 1.8066356E-001, 2.6753276E-002, 5.9927742E-001, 3.6936996E-004,NaN,NaN,NaN, 1.6741071E+001, 9.4921188E-001, 3.0974659E+001, 7.4852595E-001, 8.5000000E+000, 9.6337618E+002, 4.6379349E+002, 4.2494607E+002, 4.0716898E+002, 3.9383416E+002, 2.2915471E+002, 1.1533891E+002, 8.4501949E+001, 6.8522587E+001, 5.5953478E+001
 1.3250000E+001, 1.3026286E+003, 1.3223395E+003, 2.4633073E+000, 2.4054851E+002, 2.9676157E+002, 7.1309962E-001, 4.0315918E-002, 6.5385388E-002, 2.5151382E-002, 5.9195185E-002, 1.7905497E-001, 2.5929260E-002, 6.0410359E-001, 3.5802514E-004,NaN,NaN,NaN, 1.7410714E+001, 9.4921061E-001, 3.1567718E+001, 7.1051309E-001, 9.0000000E+000, 9.3465042E+002, 4.5490623E+002, 4.1546968E+002, 3.9822996E+002, 3.8696508E+002, 2.3277794E+002, 1.0935660E+002, 7.9196597E+001, 6.6923866E+001, 5.4950878E+001
 1.3750000E+001, 1.2988560E+003, 1.3176437E+003, 2.5184358E+000, 2.4504572E+002, 3.0289555E+002, 7.3999956E-001, 4.2597007E-002, 6.5207127E-002, 2.4316071E-002, 5.5866784E-002, 1.7721628E-001, 2.5068115E-002, 6.0889302E-001, 3.4614498E-004,NaN,NaN,NaN, 1.8080357E+001, 9.4139667E-001, 3.2160788E+001, 6.7512573E-001, 9.5000000E+000, 9.1966345E+002, 4.4680628E+002, 4.0706765E+002, 3.9086159E+002, 3.8037901E+002, 2.3834548E+002, 1.0466627E+002, 7.5081020E+001, 6.5780198E+001, 5.3354339E+001
 1.4250000E+001, 1.2935767E+003, 1.3113227E+003, 2.5693268E+000, 2.4890770E+002, 3.0822962E+002, 7.6621380E-001, 4.5000527E-002, 6.4918396E-002, 2.3492347E-002, 5.2827272E-002, 1.7517692E-001, 2.4218914E-002, 6.1355833E-001, 3.3443022E-004,NaN,NaN,NaN, 1.8750000E+001, 9.3452347E-001, 3.2753869E+001, 6.5426725E-001, 1.0000000E+001, 9.0794286E+002, 4.4014891E+002, 3.9988910E+002, 3.8435177E+002, 3.7408508E+002, 2.3769354E+002, 1.0111370E+002, 7.2122936E+001, 6.3926274E+001, 5.0968947E+001
 1.4750000E+001, 1.2872810E+003, 1.3039338E+003, 2.6168429E+000, 2.5342375E+002, 3.1408494E+002, 7.9011154E-001, 4.7560361E-002, 6.4549357E-002, 2.2643341E-002, 4.9919291E-002, 1.7293163E-001, 2.3343651E-002, 6.1827425E-001, 3.2233037E-004,NaN,NaN,NaN, 1.9419643E+001, 9.2636216E-001, 3.3346960E+001, 6.2275906E-001, 1.0500000E+001, 8.9276583E+002, 4.3447753E+002, 3.9398307E+002, 3.7752186E+002, 3.6865665E+002, 2.3684117E+002, 9.8784281E+001, 7.0462633E+001, 6.2641289E+001, 4.9071404E+001
 1.5250000E+001, 1.2793226E+003, 1.2947814E+003, 2.6168429E+000, 2.5838322E+002, 3.1999878E+002, 7.9011154E-001, 5.0097848E-002, 6.4101709E-002, 2.1866376E-002, 4.7279715E-002, 1.7065756E-001, 2.2542655E-002, 6.2270272E-001, 3.1128557E-004,NaN,NaN,NaN, 2.0089286E+001, 9.0819524E-001, 3.3940060E+001, 6.0407626E-001, 1.1000000E+001, 8.9276583E+002, 4.3447753E+002, 3.9398307E+002, 3.7752186E+002, 3.6865665E+002, 2.3684117E+002, 9.8784281E+001, 7.0462633E+001, 6.2641289E+001, 4.9071404E+001
 1.5750000E+001, 1.2716455E+003, 1.2859430E+003, 2.6601979E+000, 2.6413148E+002, 3.2673743E+002, 8.1351850E-001, 5.2582435E-002, 6.3638333E-002, 2.1134711E-002, 4.4702405E-002, 1.6843302E-001, 2.1788362E-002, 6.2699446E-001, 3.0089049E-004,NaN,NaN,NaN, 2.0758929E+001, 8.9910002E-001, 3.4533170E+001, 5.7591750E-001, 1.1500000E+001, 8.3711880E+002, 4.2114112E+002, 3.8265712E+002, 3.6557481E+002, 3.5756305E+002, 2.5286059E+002, 9.3373092E+001, 6.9400812E+001, 5.9205308E+001, 4.5682079E+001
 1.6250000E+001, 1.2640984E+003, 1.2772436E+003, 2.6998778E+000, 2.6996852E+002, 3.3357151E+002, 8.3835195E-001, 5.5012725E-002, 6.3168205E-002, 2.0433232E-002, 4.2225309E-002, 1.6624868E-001, 2.1065188E-002, 6.3114448E-001, 2.9091019E-004,NaN,NaN,NaN, 2.1428571E+001, 8.9050368E-001, 3.5126288E+001, 5.4930340E-001, 1.2000000E+001, 8.0515563E+002, 4.1225721E+002, 3.7693270E+002, 3.5999240E+002, 3.5296833E+002, 2.6337456E+002, 9.0323433E+001, 7.1256368E+001, 5.5736701E+001, 4.4005660E+001
