s,kg/m2/s,C,C
Time,MLRPUA,T_SURF_MEAN,T_SURF_MAX
 0.0000000E+000, 0.0000000E+000, 2.5000000E+001, 2.5000000E+001
 2.0005170E+000, 1.1444866E-002, 2.2912839E+001, 2.9917921E+001
 4.0001434E+000, 1.4275467E-002, 2.1211998E+001, 4.1708408E+001
 6.0015250E+000, 1.3649706E-002, 2.1039357E+001, 4.4268070E+001
 8.0004007E+000, 1.4242553E-002, 2.1537734E+001, 4.4707083E+001
 1.0002040E+001, 1.4318510E-002, 2.1346260E+001, 4.5509902E+001
 1.2000403E+001, 1.4179128E-002, 2.1590593E+001, 4.6505015E+001
 1.4002734E+001, 1.4851275E-002, 2.1900579E+001, 4.6444379E+001
 1.6001729E+001, 1.4695649E-002, 2.1779760E+001, 4.7170964E+001
 1.8000134E+001, 1.4769862E-002, 2.1879057E+001, 4.7463699E+001
 2.0000356E+001, 1.4910917E-002, 2.2153832E+001, 4.7381195E+001
 2.2000543E+001, 1.4707907E-002, 2.1916690E+001, 4.7799882E+001
 2.4001647E+001, 1.4671638E-002, 2.1657895E+001, 4.8709051E+001
 2.6000778E+001, 1.5056817E-002, 2.1978172E+001, 4.8479348E+001
 2.8001681E+001, 1.4985268E-002, 2.1970112E+001, 4.7660492E+001
 3.0001799E+001, 1.4957959E-002, 2.2260934E+001, 4.7674747E+001
 3.2001210E+001, 1.5408443E-002, 2.2336843E+001, 4.9002220E+001
 3.4001675E+001, 1.5381028E-002, 2.2601257E+001, 4.7444820E+001
 3.6000856E+001, 1.5558451E-002, 2.2604664E+001, 4.8405173E+001
 3.8001429E+001, 1.5691537E-002, 2.2635312E+001, 4.8758196E+001
 4.0002024E+001, 1.5368510E-002, 2.2452378E+001, 4.8503743E+001
 4.2000656E+001, 1.5434081E-002, 2.2722256E+001, 4.9175101E+001
 4.4001012E+001, 1.5696910E-002, 2.3011445E+001, 4.9262685E+001
 4.6000582E+001, 1.6017701E-002, 2.3046032E+001, 4.9111922E+001
 4.8001867E+001, 1.5949107E-002, 2.2937088E+001, 4.8614470E+001
 5.0000017E+001, 1.5947129E-002, 2.3264913E+001, 4.9540232E+001
 5.2001881E+001, 1.6328409E-002, 2.3203416E+001, 4.8156859E+001
 5.4000436E+001, 1.5861491E-002, 2.3179483E+001, 4.9463251E+001
 5.6002122E+001, 1.5842590E-002, 2.3435496E+001, 5.0319216E+001
 5.8000412E+001, 1.6003415E-002, 2.3262450E+001, 4.9262957E+001
 6.0000000E+001, 1.6059844E-002, 2.3169932E+001, 4.9695666E+001
