s,kg/m2/s,C,C
Time,MLRPUA,T_SURF_MEAN,T_SURF_MAX
 0.0000000E+000, 0.0000000E+000, 2.5000000E+001, 2.5000000E+001
 2.0002724E+000, 1.2315866E-002, 2.6906398E+001, 3.4232382E+001
 4.0010264E+000, 1.7145828E-002, 2.8565459E+001, 4.6609980E+001
 6.0011315E+000, 1.8037973E-002, 2.8693330E+001, 5.0567873E+001
 8.0008807E+000, 1.7795590E-002, 2.9892369E+001, 5.1561060E+001
 1.0000393E+001, 1.8907000E-002, 2.9846628E+001, 5.3264061E+001
 1.2000210E+001, 1.8849838E-002, 3.0013472E+001, 5.4293591E+001
 1.4000125E+001, 1.9172586E-002, 3.0387294E+001, 5.4773195E+001
 1.6000122E+001, 1.9160736E-002, 3.0646404E+001, 5.5609483E+001
 1.8000414E+001, 1.9311201E-002, 3.0823235E+001, 5.5527954E+001
 2.0000564E+001, 1.9552933E-002, 3.0977982E+001, 5.4514865E+001
 2.2000385E+001, 2.0216187E-002, 3.1113633E+001, 5.4723242E+001
 2.4000310E+001, 1.9521209E-002, 3.1271694E+001, 5.5193585E+001
 2.6000672E+001, 1.9841450E-002, 3.1485747E+001, 5.5958388E+001
 2.8000489E+001, 1.9952709E-002, 3.1510957E+001, 5.7045604E+001
 3.0000920E+001, 1.9591162E-002, 3.1686292E+001, 5.7699400E+001
 3.2000887E+001, 2.0165490E-002, 3.1636600E+001, 5.7248392E+001
 3.4001030E+001, 2.0239348E-002, 3.1524463E+001, 5.6782219E+001
 3.6000370E+001, 2.0207388E-002, 3.2065103E+001, 5.6116602E+001
 3.8001057E+001, 2.0249116E-002, 3.2437886E+001, 5.5897283E+001
 4.0000798E+001, 2.0738466E-002, 3.1965619E+001, 5.6122497E+001
 4.2000807E+001, 2.0884613E-002, 3.1955383E+001, 5.6525024E+001
 4.4000124E+001, 2.1052107E-002, 3.2239767E+001, 5.6256448E+001
 4.6000194E+001, 2.0698509E-002, 3.2832555E+001, 5.6346903E+001
 4.8000039E+001, 2.1044685E-002, 3.2704287E+001, 5.6001487E+001
 5.0000168E+001, 2.0913631E-002, 3.2381712E+001, 5.7415235E+001
 5.2000209E+001, 2.0668159E-002, 3.3033084E+001, 5.7754407E+001
 5.4000723E+001, 2.1122061E-002, 3.2545416E+001, 5.6737956E+001
 5.6000855E+001, 2.0786269E-002, 3.2385740E+001, 5.6322084E+001
 5.8000342E+001, 2.0901000E-002, 3.2398506E+001, 5.6990755E+001
 6.0000000E+001, 2.1036758E-002, 3.2433244E+001, 5.7654163E+001
