cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS
 4.4500000E+001, 1.1877491E+003, 2.2631467E+002, 3.5258621E+001, 4.4926187E+002, 2.1462845E+002, 4.0266419E+002, 1.7024078E+002, 3.9131947E+002, 1.4973041E+002, 3.9489478E+002, 1.3405900E+002, 3.9538299E+002, 1.1646781E+002
 4.6500000E+001, 1.1894234E+003, 2.2993000E+002, 3.7293103E+001, 4.2065247E+002, 1.9261161E+002, 3.8362826E+002, 1.5033100E+002, 3.7484912E+002, 1.3115235E+002, 3.8221408E+002, 1.2469128E+002, 3.8424890E+002, 1.0924352E+002
 4.8500000E+001, 1.1898087E+003, 2.3432363E+002, 3.9327586E+001, 3.9236941E+002, 1.6789718E+002, 3.6569323E+002, 1.3127768E+002, 3.6161509E+002, 1.1880443E+002, 3.7166073E+002, 1.1690678E+002, 3.7465082E+002, 1.0208192E+002
 5.0500000E+001, 1.1890149E+003, 2.3920851E+002, 4.1362069E+001, 3.7143061E+002, 1.4651891E+002, 3.5183198E+002, 1.1378327E+002, 3.5133245E+002, 1.0954315E+002, 3.6263618E+002, 1.0872052E+002, 3.6442837E+002, 9.1716301E+001
 5.2500000E+001, 1.1872776E+003, 2.4487953E+002, 4.3396552E+001, 3.4911010E+002, 1.1920220E+002, 3.3841140E+002, 9.1585429E+001, 3.4163775E+002, 9.4816100E+001, 3.5307118E+002, 9.9868644E+001, 3.5454279E+002, 8.1820644E+001
 5.4500000E+001, 1.1844643E+003, 2.5127574E+002, 4.5431034E+001, 3.2758060E+002, 8.0230048E+001, 3.2616605E+002, 6.8807362E+001, 3.3141471E+002, 7.8232839E+001, 3.4282068E+002, 9.0931158E+001, 3.4659286E+002, 7.5604389E+001
 5.6500000E+001, 1.1814169E+003, 2.5751796E+002, 4.7465517E+001, 3.1360315E+002, 4.3482587E+001, 3.1583288E+002, 4.9880592E+001, 3.2287591E+002, 6.4862779E+001, 3.3369385E+002, 8.1298471E+001, 3.3954484E+002, 7.0153216E+001
 5.8500000E+001, 1.1778306E+003, 2.6356898E+002, 4.9500000E+001, 3.0594085E+002, 2.0802087E+001, 3.1000630E+002, 3.8438183E+001, 3.1618311E+002, 5.3329431E+001, 3.2503296E+002, 6.8308784E+001, 3.3269674E+002, 6.3288815E+001
 6.0500000E+001, 1.1739126E+003, 2.6907725E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.2500000E+001, 1.1698633E+003, 2.7453825E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.4500000E+001, 1.1646578E+003, 2.8003005E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.6500000E+001, 1.1577401E+003, 2.8584504E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.8500000E+001, 1.1491504E+003, 2.9222640E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.0500000E+001, 1.1397800E+003, 2.9907560E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.2500000E+001, 1.1304608E+003, 3.0595280E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
