cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 7.7825893E+002, 4.9391226E-003, 5.2183852E-002, 3.9412119E-002, 2.1834698E-001, 1.2600114E-001, 3.0911466E-002, 5.2047745E-001, 2.8043879E-003
 7.5000000E-001, 9.0143622E+002, 1.2540522E-002, 5.8989657E-002, 3.7912023E-002, 1.3499849E-001, 1.3336787E-001, 2.9734920E-002, 5.8502279E-001, 2.7973086E-003
 1.2500000E+000, 9.6180345E+002, 1.6062519E-002, 6.1918967E-002, 3.6563044E-002, 1.0341901E-001, 1.3556878E-001, 2.8676897E-002, 6.1062156E-001, 2.7417582E-003
 1.7500000E+000, 9.9803283E+002, 1.8571080E-002, 6.3492394E-002, 3.5531992E-002, 8.5902003E-002, 1.3633831E-001, 2.7868229E-002, 6.2532893E-001, 2.6899557E-003
 2.2500000E+000, 1.0236978E+003, 2.0609497E-002, 6.4694478E-002, 3.4438435E-002, 7.4324332E-002, 1.3650475E-001, 2.7010537E-002, 6.3566533E-001, 2.6230506E-003
 2.7500000E+000, 1.0419797E+003, 2.2679392E-002, 6.5519368E-002, 3.3340360E-002, 6.5886890E-002, 1.3615030E-001, 2.6149302E-002, 6.4373706E-001, 2.5501265E-003
 3.2500000E+000, 1.0563433E+003, 2.4540932E-002, 6.6110168E-002, 3.2390882E-002, 5.9305298E-002, 1.3567794E-001, 2.5404614E-002, 6.5021902E-001, 2.4857684E-003
 3.7500000E+000, 1.0686089E+003, 2.6467614E-002, 6.6570182E-002, 3.1402749E-002, 5.3842947E-002, 1.3497462E-001, 2.4629607E-002, 6.5595487E-001, 2.4160167E-003
 4.2500000E+000, 1.0773686E+003, 2.8978784E-002, 6.6671618E-002, 3.0365968E-002, 4.9062246E-002, 1.3372553E-001, 2.3816445E-002, 6.6142530E-001, 2.3411428E-003
 4.7500000E+000, 1.0823398E+003, 3.2192837E-002, 6.6410978E-002, 2.9221312E-002, 4.4889985E-002, 1.3184611E-001, 2.2918676E-002, 6.6679043E-001, 2.2563902E-003
 5.2500000E+000, 1.0858531E+003, 3.5413263E-002, 6.6020333E-002, 2.8139962E-002, 4.1315071E-002, 1.2987697E-001, 2.2070559E-002, 6.7164621E-001, 2.1759722E-003
 5.7500000E+000, 1.0892712E+003, 3.8247305E-002, 6.5790979E-002, 2.7057719E-002, 3.8201381E-002, 1.2811933E-001, 2.1221740E-002, 6.7605611E-001, 2.0945551E-003
 6.2500000E+000, 1.0916221E+003, 4.0973444E-002, 6.5463001E-002, 2.6109893E-002, 3.5405079E-002, 1.2641116E-001, 2.0478348E-002, 6.8003949E-001, 2.0234974E-003
 6.7500000E+000, 1.0932713E+003, 4.3673106E-002, 6.5032927E-002, 2.5263676E-002, 3.2823214E-002, 1.2470382E-001, 1.9814647E-002, 6.8373495E-001, 1.9601428E-003
 7.2500000E+000, 1.0949281E+003, 4.6279003E-002, 6.4612281E-002, 2.4438171E-002, 3.0446324E-002, 1.2303622E-001, 1.9167193E-002, 6.8722901E-001, 1.8979432E-003
 7.7500000E+000, 1.0967496E+003, 4.8831290E-002, 6.4231628E-002, 2.3580420E-002, 2.8232179E-002, 1.2137752E-001, 1.8494447E-002, 6.9062891E-001, 1.8328732E-003
 8.2500000E+000, 1.0986070E+003, 5.1293518E-002, 6.3920568E-002, 2.2674613E-002, 2.6222886E-002, 1.1974551E-001, 1.7784010E-002, 6.9391289E-001, 1.7636164E-003
 8.7500000E+000, 1.0993157E+003, 5.3846829E-002, 6.3485048E-002, 2.1828611E-002, 2.4385659E-002, 1.1802816E-001, 1.7120479E-002, 6.9702510E-001, 1.6989192E-003
 9.2500000E+000, 1.0990174E+003, 5.6518261E-002, 6.2975645E-002, 2.0970825E-002, 2.2713643E-002, 1.1619587E-001, 1.6447706E-002, 7.0006612E-001, 1.6329506E-003
 9.7500000E+000, 1.0973372E+003, 5.9409270E-002, 6.2315123E-002, 2.0129152E-002, 2.1170870E-002, 1.1418378E-001, 1.5787570E-002, 7.0305734E-001, 1.5680947E-003
 1.0250000E+001, 1.0950780E+003, 6.2403503E-002, 6.1595019E-002, 1.9276123E-002, 1.9737741E-002, 1.1207660E-001, 1.5118528E-002, 7.0601286E-001, 1.5020888E-003
 1.0750000E+001, 1.0925569E+003, 6.5384756E-002, 6.0876666E-002, 1.8416828E-002, 1.8400440E-002, 1.0996286E-001, 1.4444571E-002, 7.0890274E-001, 1.4354890E-003
 1.1250000E+001, 1.0891842E+003, 6.8476868E-002, 6.0125841E-002, 1.7513392E-002, 1.7158256E-002, 1.0774577E-001, 1.3735994E-002, 7.1180988E-001, 1.3652211E-003
 1.1750000E+001, 1.0845857E+003, 7.1689528E-002, 5.9282440E-002, 1.6626152E-002, 1.6012606E-002, 1.0542702E-001, 1.3040119E-002, 7.1466210E-001, 1.2962098E-003
 1.2250000E+001, 1.0788740E+003, 7.4966579E-002, 5.8339447E-002, 1.5796454E-002, 1.4969593E-002, 1.0305325E-001, 1.2389375E-002, 7.1738796E-001, 1.2317811E-003
 1.2750000E+001, 1.0723737E+003, 7.8204853E-002, 5.7322118E-002, 1.5062237E-002, 1.4008023E-002, 1.0070949E-001, 1.1813519E-002, 7.1992637E-001, 1.1748476E-003
 1.3250000E+001, 1.0654379E+003, 8.1400590E-002, 5.6299350E-002, 1.4350975E-002, 1.3117455E-002, 9.8389291E-002, 1.1255667E-002, 7.2237276E-001, 1.1194694E-003
 1.3750000E+001, 1.0579080E+003, 8.4618655E-002, 5.5261105E-002, 1.3634943E-002, 1.2291004E-002, 9.6041773E-002, 1.0694073E-002, 7.2478493E-001, 1.0635461E-003
 1.4250000E+001, 1.0496815E+003, 8.7874698E-002, 5.4178670E-002, 1.2936522E-002, 1.1526982E-002, 9.3659044E-002, 1.0146292E-002, 7.2714122E-001, 1.0089764E-003
 1.4750000E+001, 1.0411644E+003, 9.1189716E-002, 5.3064309E-002, 1.2233015E-002, 1.0796406E-002, 9.1226810E-002, 9.5945217E-003, 7.2949659E-001, 9.5394683E-004
 1.5250000E+001, 1.0320479E+003, 9.4342895E-002, 5.1971772E-002, 1.1594136E-002, 1.0146250E-002, 8.8910785E-002, 9.0934402E-003, 7.3166736E-001, 9.0408251E-004
 1.5750000E+001, 1.0225960E+003, 9.7505870E-002, 5.0851335E-002, 1.0976142E-002, 9.5270461E-003, 8.6585783E-002, 8.6087391E-003, 7.3379290E-001, 8.5587789E-004
 1.6250000E+001, 1.0128930E+003, 1.0062443E-001, 4.9725730E-002, 1.0385542E-002, 8.9508231E-003, 8.4290817E-002, 8.1455230E-003, 7.3584076E-001, 8.0978401E-004
 1.6750000E+001, 1.0029642E+003, 1.0369596E-001, 4.8606024E-002, 9.8124582E-003, 8.4116487E-003, 8.2027265E-002, 7.6960456E-003, 7.3782659E-001, 7.6503410E-004
 1.7250000E+001, 9.9265618E+002, 1.0673717E-001, 4.7468445E-002, 9.2724710E-003, 7.9132460E-003, 7.9784570E-002, 7.2725263E-003, 7.3973344E-001, 7.2293270E-004
 1.7750000E+001, 9.8202436E+002, 1.0972839E-001, 4.6313844E-002, 8.7772183E-003, 7.4513656E-003, 7.7579643E-002, 6.8840927E-003, 7.4154442E-001, 6.8438314E-004
 1.8250000E+001, 9.7129488E+002, 1.1264022E-001, 4.5158046E-002, 8.3280407E-003, 7.0194810E-003, 7.5435379E-002, 6.5317967E-003, 7.4325409E-001, 6.4947598E-004
 1.8750000E+001, 9.6064152E+002, 1.1543362E-001, 4.4033223E-002, 7.9140538E-003, 6.6114356E-003, 7.3379876E-002, 6.2071010E-003, 7.4486891E-001, 6.1729457E-004
 1.9250000E+001, 9.5034026E+002, 1.1806897E-001, 4.2977049E-002, 7.5181556E-003, 6.2249084E-003, 7.1440120E-002, 5.8965926E-003, 7.4640005E-001, 5.8645342E-004
 1.9750000E+001, 9.4030646E+002, 1.2058248E-001, 4.1970441E-002, 7.1396690E-003, 5.8568703E-003, 6.9589814E-002, 5.5997404E-003, 7.4786105E-001, 5.5695542E-004
 2.0250000E+001, 9.3041379E+002, 1.2301163E-001, 4.0985814E-002, 6.7863917E-003, 5.5054340E-003, 6.7802818E-002, 5.3226601E-003, 7.4925459E-001, 5.2944604E-004
 2.0750000E+001, 9.2064153E+002, 1.2537464E-001, 4.0016846E-002, 6.4539461E-003, 5.1722452E-003, 6.6064786E-002, 5.0619185E-003, 7.5059014E-001, 5.0356281E-004
 2.1250000E+001, 9.1105079E+002, 1.2766525E-001, 3.9081479E-002, 6.1264066E-003, 4.8567077E-003, 6.4378034E-002, 4.8050248E-003, 7.5188584E-001, 4.7802787E-004
 2.1750000E+001, 9.0155443E+002, 1.2989243E-001, 3.8169298E-002, 5.8102891E-003, 4.5550138E-003, 6.2737540E-002, 4.5570895E-003, 7.5313907E-001, 4.5338375E-004
 2.2250000E+001, 8.9217274E+002, 1.3203830E-001, 3.7284784E-002, 5.5116689E-003, 4.2664588E-003, 6.1157494E-002, 4.3228776E-003, 7.5433770E-001, 4.3010533E-004
 2.2750000E+001, 8.8293333E+002, 1.3409209E-001, 3.6435642E-002, 5.2287112E-003, 3.9903042E-003, 5.9645670E-002, 4.1009499E-003, 7.5548140E-001, 4.0804426E-004
 2.3250000E+001, 8.7387337E+002, 1.3606894E-001, 3.5618763E-002, 4.9555513E-003, 3.7268586E-003, 5.8189986E-002, 3.8867069E-003, 7.5658151E-001, 3.8673721E-004
 2.3750000E+001, 8.6493581E+002, 1.3798033E-001, 3.4828807E-002, 4.6907560E-003, 3.4785777E-003, 5.6781390E-002, 3.6790243E-003, 7.5764136E-001, 3.6607768E-004
 2.4250000E+001, 8.5594077E+002, 1.3984636E-001, 3.4060112E-002, 4.4278066E-003, 3.2491192E-003, 5.5403506E-002, 3.4727895E-003, 7.5867211E-001, 3.4553881E-004
 2.4750000E+001, 8.4679666E+002, 1.4167515E-001, 3.3295494E-002, 4.1812157E-003, 3.0346957E-003, 5.4053131E-002, 3.2793849E-003, 7.5966108E-001, 3.2629971E-004
 2.5250000E+001, 8.3755968E+002, 1.4345198E-001, 3.2540640E-002, 3.9540590E-003, 2.8326083E-003, 5.2742009E-002, 3.1012227E-003, 7.6060218E-001, 3.0858041E-004
 2.5750000E+001, 8.2829167E+002, 1.4517641E-001, 3.1807485E-002, 3.7334394E-003, 2.6425576E-003, 5.1468562E-002, 2.9281878E-003, 7.6151131E-001, 2.9134392E-004
 2.6250000E+001, 8.1889576E+002, 1.4685620E-001, 3.1091233E-002, 3.5197371E-003, 2.4659544E-003, 5.0226916E-002, 2.7605781E-003, 7.6238924E-001, 2.7464259E-004
 2.6750000E+001, 8.0952640E+002, 1.4849105E-001, 3.0393548E-002, 3.3114867E-003, 2.3012447E-003, 4.9017307E-002, 2.5972445E-003, 7.6323880E-001, 2.5835620E-004
 2.7250000E+001, 8.0034153E+002, 1.5006576E-001, 2.9722707E-002, 3.1087926E-003, 2.1488927E-003, 4.7850888E-002, 2.4382687E-003, 7.6405512E-001, 2.4249521E-004
 2.7750000E+001, 7.9133960E+002, 1.5157358E-001, 2.9076669E-002, 2.9181087E-003, 2.0083160E-003, 4.6733685E-002, 2.2887127E-003, 7.6482875E-001, 2.2759042E-004
 2.8250000E+001, 7.8248869E+002, 1.5301680E-001, 2.8451080E-002, 2.7427882E-003, 1.8800179E-003, 4.5664441E-002, 2.1512064E-003, 7.6555587E-001, 2.1389502E-004
 2.8750000E+001, 7.7380461E+002, 1.5440295E-001, 2.7843115E-002, 2.5814121E-003, 1.7634367E-003, 4.4637477E-002, 2.0246369E-003, 7.6624081E-001, 2.0129786E-004
 2.9250000E+001, 7.6524637E+002, 1.5573522E-001, 2.7248391E-002, 2.4369801E-003, 1.6577264E-003, 4.3651028E-002, 1.9113570E-003, 7.6688145E-001, 1.9003291E-004
 2.9750000E+001, 7.5687248E+002, 1.5700650E-001, 2.6672721E-002, 2.3075542E-003, 1.5618889E-003, 4.2710209E-002, 1.8098464E-003, 7.6747882E-001, 1.7994056E-004
 3.0250000E+001, 7.4869205E+002, 1.5822172E-001, 2.6119436E-002, 2.1866461E-003, 1.4742519E-003, 4.1810674E-002, 1.7150166E-003, 7.6804350E-001, 1.7050820E-004
 3.0750000E+001, 7.4059256E+002, 1.5939419E-001, 2.5581184E-002, 2.0744179E-003, 1.3933513E-003, 4.0942865E-002, 1.6269944E-003, 7.6858025E-001, 1.6176275E-004
 3.1250000E+001, 7.3251102E+002, 1.6053816E-001, 2.5049302E-002, 1.9720025E-003, 1.3170256E-003, 4.0096798E-002, 1.5466687E-003, 7.6909337E-001, 1.5379051E-004
 3.1750000E+001, 7.2436682E+002, 1.6166625E-001, 2.4518910E-002, 1.8772437E-003, 1.2439827E-003, 3.9263067E-002, 1.4723480E-003, 7.6959011E-001, 1.4641178E-004
 3.2250000E+001, 7.1630703E+002, 1.6277096E-001, 2.3998889E-002, 1.7850473E-003, 1.1731301E-003, 3.8446596E-002, 1.4000371E-003, 7.7007533E-001, 1.3922289E-004
