cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 6.7473399E+002, 5.4679652E+001,-9.5000000E+000, 1.0318061E+003, 2.1014030E+002, 8.6150318E+002, 2.7163003E+002, 7.1776558E+002, 2.6003407E+002, 5.9697592E+002, 2.0694979E+002, 4.9627200E+002, 1.3264425E+002, 5.2000000E+001, 1.0000000E-001, 4.1608995E+000, 9.8373697E+000, 8.3079501E+000, 6.7946724E+000, 0.0000000E+000, 7.3825220E-001
 4.4622642E+000, 8.1328314E+002, 9.9757696E+001,-5.2857143E+000, 1.0995450E+003, 1.4184088E+002, 9.8988896E+002, 2.3733066E+002, 8.0441711E+002, 2.5805169E+002, 6.3649477E+002, 2.1391699E+002, 5.1589700E+002, 1.3812404E+002, 5.6480000E+001, 2.9900000E-001, 3.5720373E+000, 8.9368230E+000, 7.6246817E+000, 6.2840713E+000, 4.5000000E+000, 7.0857504E-001
 8.4245283E+000, 9.0931957E+002, 1.2016283E+002,-1.0714286E+000, 1.0805653E+003, 1.2985118E+002, 1.0861902E+003, 1.9317463E+002, 8.7740825E+002, 2.4622479E+002, 6.7295260E+002, 2.2048408E+002, 5.3271755E+002, 1.4418777E+002, 6.0960000E+001, 4.9800000E-001, 3.0686473E+000, 7.9966835E+000, 6.8402416E+000, 5.7045653E+000, 9.0000000E+000, 7.3126875E-001
 1.2386792E+001, 9.8211738E+002, 1.3074914E+002, 3.1428571E+000, 1.0767816E+003, 1.3381902E+002, 1.1061373E+003, 1.8444205E+002, 9.0912587E+002, 2.4210174E+002, 6.9585738E+002, 2.1879491E+002, 5.4397960E+002, 1.4626718E+002, 6.5440000E+001, 6.9700000E-001, 2.6837278E+000, 7.3114301E+000, 6.3207401E+000, 5.3122490E+000, 1.3500000E+001, 7.9205044E-001
 1.6349057E+001, 1.0356594E+003, 1.3430034E+002, 7.3571429E+000, 1.1240912E+003, 1.2611122E+002, 1.0618211E+003, 2.1324367E+002, 8.8382840E+002, 2.4382689E+002, 6.8846780E+002, 2.0940045E+002, 5.4808069E+002, 1.4690772E+002, 6.9920000E+001, 8.9600000E-001, 2.3651320E+000, 6.7003053E+000, 5.8519710E+000, 4.9561776E+000, 1.8000000E+001, 8.5831613E-001
 2.0311321E+001, 1.0767816E+003, 1.3381902E+002, 1.1571429E+001, 1.1168953E+003, 1.4772918E+002, 9.5155935E+002, 2.4485904E+002, 8.0288633E+002, 2.3011832E+002, 6.5685181E+002, 1.9608729E+002, 5.4191912E+002, 1.4333447E+002, 7.4400000E+001, 1.0950000E+000, 2.0979664E+000, 6.1540176E+000, 5.4276470E+000, 4.6317024E+000, 2.2500000E+001, 9.0335671E-001
 2.4273585E+001, 1.1066415E+003, 1.3099989E+002, 1.5785714E+001, 9.9226191E+002, 2.3017820E+002, 8.0883326E+002, 2.3487991E+002, 7.1253878E+002, 2.0798936E+002, 6.1271174E+002, 1.7548194E+002, 5.2963310E+002, 1.3607200E+002, 7.8880000E+001, 1.2940000E+000, 1.8714973E+000, 5.6645710E+000, 5.0425144E+000, 4.3350162E+000, 2.7000000E+001, 9.1796569E-001
 2.8235849E+001, 1.1282512E+003, 1.2936174E+002, 2.0000000E+001, 6.6926760E+002, 2.2822248E+002, 5.5399181E+002, 1.6559741E+002, 5.4337467E+002, 1.4884003E+002, 5.2592164E+002, 1.4284893E+002, 4.8426189E+002, 1.1358523E+002, 8.3360000E+001, 1.4930000E+000, 1.6777594E+000, 5.2250549E+000, 4.6921199E+000, 4.0629502E+000, 3.1500000E+001, 9.0830353E-001
 3.2198113E+001, 1.1422579E+003, 1.3045476E+002, 2.4214286E+001, 5.4675378E+002, 1.8418668E+002, 4.7870551E+002, 1.4038968E+002, 4.8017092E+002, 1.2424645E+002, 4.8196703E+002, 1.2337741E+002, 4.6117266E+002, 1.0377694E+002, 8.7840000E+001, 1.6920000E+000, 1.5107027E+000, 4.8294793E+000, 4.3726476E+000, 3.8128302E+000, 3.6000000E+001, 8.6601190E-001
 3.6160377E+001, 1.1501643E+003, 1.3330362E+002, 2.8428571E+001, 4.7459436E+002, 1.4943848E+002, 4.2798669E+002, 1.1727809E+002, 4.3159717E+002, 1.0769250E+002, 4.3871207E+002, 1.0031594E+002, 4.3481538E+002, 9.1714205E+001, 9.2320000E+001, 1.8910000E+000, 1.2389200E+000, 4.1500141E+000, 3.8137031E+000, 3.3696102E+000, 4.0500000E+001, 8.5171582E-001
 4.0122642E+001, 1.1530532E+003, 1.3698589E+002, 3.2642857E+001, 4.1745340E+002, 1.1339928E+002, 3.8498098E+002, 9.0490344E+001, 3.9587027E+002, 9.5016634E+001, 4.0409556E+002, 8.3037741E+001, 4.0773884E+002, 7.9571087E+001, 9.6800000E+001, 2.0900000E+000, 1.1275877E+000, 3.8576537E+000, 3.5688440E+000, 3.1728318E+000, 4.5000000E+001, 8.4598802E-001
 4.4084906E+001, 1.1511152E+003, 1.4269528E+002, 3.6857143E+001, 3.6772134E+002, 8.3560006E+001, 3.4957187E+002, 6.2789508E+001, 3.6786133E+002, 8.0318419E+001, 3.7558143E+002, 6.8806986E+001, 3.8286774E+002, 6.7926390E+001, 1.0128000E+002, 2.2890000E+000, 1.0292908E+000, 3.5921209E+000, 3.3440083E+000, 2.9905400E+000, 4.9500000E+001, 8.4717064E-001
 4.8047170E+001, 1.1449392E+003, 1.5053431E+002, 4.1071429E+001, 3.3059197E+002, 4.4936538E+001, 3.2588090E+002, 3.9100183E+001, 3.4424459E+002, 6.4547496E+001, 3.5359653E+002, 6.0596439E+001, 3.6097523E+002, 5.5045120E+001, 1.0576000E+002, 2.4880000E+000, 9.4210686E-001, 3.3504130E+000, 3.1372403E+000, 2.8214145E+000, 5.4000000E+001, 8.5209904E-001
 5.2009434E+001, 1.1351068E+003, 1.6087218E+002, 4.5285714E+001, 3.1391824E+002, 1.5589088E+001, 3.1352833E+002, 2.0226841E+001, 3.2603679E+002, 4.7475860E+001, 3.3748438E+002, 5.3017682E+001, 3.4347248E+002, 4.3058812E+001, 1.1024000E+002, 2.6870000E+000, 8.6445531E-001, 3.1299059E+000, 2.9468054E+000, 2.6642847E+000, 5.8500000E+001, 8.5758565E-001
 5.5971698E+001, 1.1351068E+003, 1.6087218E+002, 4.9500000E+001, 3.0764487E+002, 2.6508661E+000, 3.0749980E+002, 4.8519229E+000, 3.1485753E+002, 2.9396452E+001, 3.2522271E+002, 4.1608524E+001, 3.3155350E+002, 3.6173487E+001, 1.1472000E+002, 2.8860000E+000, 7.9502661E-001, 2.9283044E+000, 2.7711611E+000, 2.5181076E+000, 6.3000000E+001, 8.6125487E-001
 5.9933962E+001, 1.1219825E+003, 1.7276758E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.1920000E+002, 3.0850000E+000, 7.3272881E-001, 2.7435981E+000, 2.6089313E+000, 2.3819497E+000, 6.7500000E+001, 8.6184952E-001
 6.3896226E+001, 1.1061373E+003, 1.8444205E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2368000E+002, 3.2840000E+000, 6.7664453E-001, 2.5740244E+000, 2.4588862E+000, 2.2549733E+000, 7.2000000E+001, 8.5411091E-001
 6.7858491E+001, 1.0887621E+003, 1.9496516E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2816000E+002, 3.4830000E+000, 5.8013566E-001, 2.2742721E+000, 2.1910509E+000, 2.0256224E+000, 7.6500000E+001, 8.4760519E-001
 7.1820755E+001, 1.0694967E+003, 2.0419030E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3264000E+002, 3.6820000E+000, 5.3849213E-001, 2.1415356E+000, 2.0713794E+000, 1.9219532E+000, 8.1000000E+001, 8.4062033E-001
 7.5783019E+001, 1.0490499E+003, 2.1262093E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3712000E+002, 3.8810000E+000, 5.0058675E-001, 2.0187704E+000, 1.9601047E+000, 1.8248603E+000, 8.5500000E+001, 8.3349578E-001
 7.9745283E+001, 1.0273885E+003, 2.2054654E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4160000E+002, 4.0800000E+000, 4.6614193E-001, 1.8922039E+000, 1.8442747E+000, 1.7220233E+000, 9.0000000E+001, 8.2598318E-001
 8.3707547E+001, 1.0047877E+003, 2.2759270E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4608000E+002, 4.2790000E+000, 4.3491998E-001, 1.7882296E+000, 1.7493123E+000, 1.6381386E+000, 9.4500000E+001, 8.1757779E-001
