cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 6.7468295E+002, 1.9737297E-003, 2.1448750E-002, 2.1425541E-002, 5.7275345E-001, 8.1756242E-002, 2.1425541E-002, 2.7921675E-001, 0.0000000E+000
 7.5000000E-001, 8.2377995E+002, 6.8955979E-003, 3.0029274E-002, 2.4689736E-002, 4.2955021E-001, 1.0511724E-001, 2.4689736E-002, 3.7902821E-001, 0.0000000E+000
 1.2500000E+000, 8.9135408E+002, 9.9960748E-003, 3.4122268E-002, 2.6026649E-002, 3.5961504E-001, 1.1588367E-001, 2.6026649E-002, 4.2832964E-001, 0.0000000E+000
 1.7500000E+000, 9.4041492E+002, 1.1686531E-002, 3.6991674E-002, 2.6739808E-002, 3.1489706E-001, 1.2302484E-001, 2.6739808E-002, 4.5992027E-001, 0.0000000E+000
 2.2500000E+000, 9.7873279E+002, 1.2897411E-002, 3.9313247E-002, 2.7042275E-002, 2.8191996E-001, 1.2831237E-001, 2.7042275E-002, 4.8347247E-001, 0.0000000E+000
 2.7500000E+000, 1.0092292E+003, 1.4068663E-002, 4.1158035E-002, 2.7227720E-002, 2.5520811E-001, 1.3242035E-001, 2.7227720E-002, 5.0268940E-001, 0.0000000E+000
 3.2500000E+000, 1.0336954E+003, 1.5477758E-002, 4.2673928E-002, 2.7189643E-002, 2.3282863E-001, 1.3546603E-001, 2.7189643E-002, 5.1917437E-001, 0.0000000E+000
 3.7500000E+000, 1.0525359E+003, 1.7438635E-002, 4.3824687E-002, 2.6908713E-002, 2.1383766E-001, 1.3734705E-001, 2.6908713E-002, 5.3373454E-001, 0.0000000E+000
 4.2500000E+000, 1.0665879E+003, 1.9830825E-002, 4.4573774E-002, 2.6583525E-002, 1.9742039E-001, 1.3833934E-001, 2.6583525E-002, 5.4666862E-001, 0.0000000E+000
 4.7500000E+000, 1.0779619E+003, 2.2375469E-002, 4.5106655E-002, 2.6202787E-002, 1.8305270E-001, 1.3879545E-001, 2.6202787E-002, 5.5826415E-001, 0.0000000E+000
 5.2500000E+000, 1.0885921E+003, 2.4791287E-002, 4.5645485E-002, 2.5708002E-002, 1.7025696E-001, 1.3905886E-001, 2.5708002E-002, 5.6883140E-001, 0.0000000E+000
 5.7500000E+000, 1.0982184E+003, 2.7242568E-002, 4.6216154E-002, 2.5012801E-002, 1.5874777E-001, 1.3903199E-001, 2.5012801E-002, 5.7873592E-001, 0.0000000E+000
 6.2500000E+000, 1.1042199E+003, 3.0163528E-002, 4.6511534E-002, 2.4241009E-002, 1.4858490E-001, 1.3831708E-001, 2.4241009E-002, 5.8794094E-001, 0.0000000E+000
 6.7500000E+000, 1.1086583E+003, 3.3194668E-002, 4.6570582E-002, 2.3565854E-002, 1.3952516E-001, 1.3729441E-001, 2.3565854E-002, 5.9628348E-001, 0.0000000E+000
 7.2500000E+000, 1.1135557E+003, 3.5932769E-002, 4.6683800E-002, 2.2898198E-002, 1.3122609E-001, 1.3639000E-001, 2.2898198E-002, 6.0397095E-001, 0.0000000E+000
 7.7500000E+000, 1.1177805E+003, 3.8559848E-002, 4.6824249E-002, 2.2176987E-002, 1.2364863E-001, 1.3544395E-001, 2.2176987E-002, 6.1116935E-001, 0.0000000E+000
 8.2500000E+000, 1.1209471E+003, 4.1100090E-002, 4.6895097E-002, 2.1507245E-002, 1.1675992E-001, 1.3444591E-001, 2.1507245E-002, 6.1778449E-001, 0.0000000E+000
 8.7500000E+000, 1.1230905E+003, 4.3657027E-002, 4.6867203E-002, 2.0892479E-002, 1.1034167E-001, 1.3334467E-001, 2.0892479E-002, 6.2400447E-001, 0.0000000E+000
 9.2500000E+000, 1.1245765E+003, 4.6247369E-002, 4.6775301E-002, 2.0288322E-002, 1.0434431E-001, 1.3213251E-001, 2.0288322E-002, 6.2992386E-001, 0.0000000E+000
 9.7500000E+000, 1.1252187E+003, 4.8967014E-002, 4.6608397E-002, 1.9653996E-002, 9.8790521E-002, 1.3071641E-001, 1.9653996E-002, 6.3560967E-001, 0.0000000E+000
