cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 6.6633791E+002, 1.6415680E+002,-9.5000000E+000, 1.2193491E+003, 1.9222370E+002, 1.0506401E+003, 2.1627762E+002, 7.6008291E+002, 2.1239838E+002, 5.7438337E+002, 1.5494303E+002, 4.9562738E+002, 9.8320079E+001, 5.2000000E+001, 1.0000000E-001, 2.7655732E+000, 1.1201944E+001, 8.2415300E+000, 5.9898519E+000, 0.0000000E+000, 8.0511484E-001
 1.5000000E+000, 8.6325528E+002, 1.8598544E+002,-8.5000000E+000, 1.2408280E+003, 1.7960431E+002, 1.0744689E+003, 2.1213568E+002, 7.7020608E+002, 2.0874074E+002, 5.7717878E+002, 1.5241469E+002, 4.9595165E+002, 9.6979886E+001, 5.6480000E+001, 2.9900000E-001, 3.2793893E+000, 1.0228510E+001, 7.6716852E+000, 5.6452397E+000, 4.5000000E+000, 7.6361545E-001
 2.5000000E+000, 9.6573461E+002, 1.8632939E+002,-7.5000000E+000, 1.2615324E+003, 1.6870664E+002, 1.0952901E+003, 2.0606444E+002, 7.8024974E+002, 2.0826573E+002, 5.8109955E+002, 1.5034444E+002, 4.9674265E+002, 9.5603714E+001, 6.0960000E+001, 4.9800000E-001, 2.6008420E+000, 8.5933128E+000, 6.6006504E+000, 4.9598830E+000, 9.0000000E+000, 8.2293437E-001
 3.5000000E+000, 1.0342019E+003, 1.7980210E+002,-6.5000000E+000, 1.2770426E+003, 1.5938201E+002, 1.1157918E+003, 2.0171581E+002, 7.8950833E+002, 2.0792849E+002, 5.8499542E+002, 1.4822593E+002, 4.9757293E+002, 9.5145454E+001, 6.5440000E+001, 6.9700000E-001, 2.2693908E+000, 7.9121272E+000, 6.1817788E+000, 4.7034383E+000, 1.3500000E+001, 9.4783033E-001
 4.5000000E+000, 1.0805466E+003, 1.7097286E+002,-5.5000000E+000, 1.2886214E+003, 1.4939306E+002, 1.1300543E+003, 1.9840887E+002, 7.9558229E+002, 2.0820221E+002, 5.8776814E+002, 1.4574096E+002, 4.9857254E+002, 9.5382460E+001, 6.9920000E+001, 8.9600000E-001, 1.9941413E+000, 7.2936877E+000, 5.7913336E+000, 4.4599902E+000, 1.8000000E+001, 1.0668108E+000
 5.5000000E+000, 1.1190000E+003, 1.6638573E+002,-4.5000000E+000, 1.2944970E+003, 1.3599902E+002, 1.1382228E+003, 1.9768038E+002, 7.9845403E+002, 2.0715172E+002, 5.9034214E+002, 1.4362713E+002, 4.9952463E+002, 9.5238454E+001, 7.4400000E+001, 1.0950000E+000, 1.7630913E+000, 6.7328783E+000, 5.4276622E+000, 4.2290229E+000, 2.2500000E+001, 1.1276472E+000
 6.5000000E+000, 1.1461343E+003, 1.6195200E+002,-3.5000000E+000, 1.2996862E+003, 1.2815441E+002, 1.1407027E+003, 1.9702197E+002, 7.9769648E+002, 2.0500471E+002, 5.9202421E+002, 1.4154525E+002, 5.0060972E+002, 9.4925533E+001, 7.8880000E+001, 1.2940000E+000, 1.5673017E+000, 6.2245447E+000, 5.0890590E+000, 4.0100137E+000, 2.7000000E+001, 1.1227778E+000
 7.5000000E+000, 1.1651874E+003, 1.5662428E+002,-2.5000000E+000, 1.2966239E+003, 1.2418181E+002, 1.1375076E+003, 1.9920339E+002, 7.9487357E+002, 2.0308605E+002, 5.9264963E+002, 1.4031873E+002, 5.0153118E+002, 9.4588858E+001, 8.3360000E+001, 1.4930000E+000, 1.3999969E+000, 5.7636564E+000, 4.7738301E+000, 3.8024811E+000, 3.1500000E+001, 1.0768626E+000
 8.5000000E+000, 1.1803105E+003, 1.5054043E+002,-1.5000000E+000, 1.2923584E+003, 1.2364017E+002, 1.1293166E+003, 2.0870962E+002, 7.9035252E+002, 2.0045505E+002, 5.9220487E+002, 1.3792642E+002, 5.0194241E+002, 9.4247688E+001, 8.7840000E+001, 1.6920000E+000, 1.2559603E+000, 5.3454329E+000, 4.4803488E+000, 3.6059950E+000, 3.6000000E+001, 9.7819519E-001
