cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 1.0000000E+000, 7.9528726E+002, 7.9486329E+002, 1.2686956E-002, 3.3702293E+001, 5.4492240E+001, 4.4635503E-004, 5.0222508E-003, 3.1000049E-002, 7.4459464E-002, 2.2189591E-001, 1.5147887E-001, 5.8783787E-002, 4.5300531E-001, 1.6163096E-003
 3.0000000E+000, 8.9331146E+002, 8.9946015E+002, 3.6351059E-001, 4.4233156E+001, 7.7356338E+001, 7.7098349E-002, 6.3386717E-003, 3.5333740E-002, 7.7292619E-002, 1.6114577E-001, 1.6208682E-001, 6.1020489E-002, 4.9226185E-001, 1.7477406E-003
 5.0000000E+000, 9.6207411E+002, 9.7473755E+002, 7.4292594E-001, 5.2395147E+001, 9.8716353E+001, 1.2986038E-001, 8.5696377E-003, 3.8879296E-002, 7.6713269E-002, 1.2541804E-001, 1.6674175E-001, 6.0563107E-002, 5.1862875E-001, 1.7725533E-003
 7.0000000E+000, 1.0131200E+003, 1.0321715E+003, 1.1237020E+000, 5.6665200E+001, 1.1179620E+002, 1.8616961E-001, 1.1578114E-002, 4.1948359E-002, 7.4484107E-002, 1.0096468E-001, 1.6837915E-001, 5.8803242E-002, 5.3948656E-001, 1.7429348E-003
 9.0000000E+000, 1.0521392E+003, 1.0770350E+003, 1.4937874E+000, 5.7992234E+001, 1.1894886E+002, 2.3955033E-001, 1.5150495E-002, 4.4674910E-002, 7.1292792E-002, 8.3086378E-002, 1.6816007E-001, 5.6283783E-002, 5.5718241E-001, 1.6808740E-003
 1.1000000E+001, 1.0825040E+003, 1.1124955E+003, 1.8377023E+000, 5.6711852E+001, 1.2157220E+002, 2.9310342E-001, 1.9243575E-002, 4.7042271E-002, 6.7590945E-002, 6.9087924E-002, 1.6668889E-001, 5.3361272E-002, 5.7303244E-001, 1.6012104E-003
 1.3000000E+001, 1.1063219E+003, 1.1405134E+003, 2.1544484E+000, 5.5674149E+001, 1.2313458E+002, 3.4544699E-001, 2.3541243E-002, 4.9087698E-002, 6.3718939E-002, 5.7886133E-002, 1.6449180E-001, 5.0304426E-002, 5.8724351E-001, 1.5140941E-003
 1.5000000E+001, 1.1250511E+003, 1.1625065E+003, 2.4359214E+000, 5.6198712E+001, 1.2627966E+002, 3.9805666E-001, 2.8111176E-002, 5.0885948E-002, 5.9662359E-002, 4.8643844E-002, 1.6166428E-001, 4.7101863E-002, 6.0044150E-001, 1.4203708E-003
 1.7000000E+001, 1.1393759E+003, 1.1791248E+003, 2.6886668E+000, 5.7396742E+001, 1.3094791E+002, 4.4942653E-001, 3.2923396E-002, 5.2470983E-002, 5.5473854E-002, 4.0872765E-002, 1.5833121E-001, 4.3795148E-002, 6.1288856E-001, 1.3221618E-003
 1.9000000E+001, 1.1492190E+003, 1.1901386E+003, 2.9111283E+000, 5.9596295E+001, 1.3742385E+002, 5.0088305E-001, 3.8041878E-002, 5.3794288E-002, 5.1209261E-002, 3.4287829E-002, 1.5449762E-001, 4.0428364E-002, 6.2474606E-001, 1.2212729E-003
 2.1000000E+001, 1.1542541E+003, 1.1948826E+003, 3.1078278E+000, 6.3359108E+001, 1.4731335E+002, 5.5213054E-001, 4.3519392E-002, 5.4775349E-002, 4.6957689E-002, 2.8695144E-002, 1.5016587E-001, 3.7071860E-002, 6.3606863E-001, 1.1201735E-003
 2.3000000E+001, 1.1554531E+003, 1.1944119E+003, 3.2765297E+000, 6.9396543E+001, 1.6163139E+002, 6.0443262E-001, 4.9220587E-002, 5.5466706E-002, 4.2774456E-002, 2.3940262E-002, 1.4549093E-001, 3.3769307E-002, 6.4683632E-001, 1.0203073E-003
 2.5000000E+001, 1.1554531E+003, 1.1944119E+003, 3.4209523E+000, 6.9396543E+001, 1.6163139E+002, 6.6090580E-001, 4.9220587E-002, 5.5466706E-002, 4.2774456E-002, 2.3940262E-002, 1.4549093E-001, 3.3769307E-002, 6.4683632E-001, 1.0203073E-003
 2.7000000E+001, 1.1466070E+003, 1.1787184E+003, 3.5400517E+000, 8.6618525E+001, 1.9860297E+002, 7.2754819E-001, 6.1448946E-002, 5.5947583E-002, 3.4617776E-002, 1.6438768E-002, 1.3507111E-001, 2.7329823E-002, 6.6712156E-001, 8.2468629E-004
 2.9000000E+001, 1.1368846E+003, 1.1643978E+003, 3.6409730E+000, 9.6655374E+001, 2.1783702E+002, 7.9588876E-001, 6.7969914E-002, 5.5718580E-002, 3.0702704E-002, 1.3480395E-002, 1.2937930E-001, 2.4238976E-002, 6.7671465E-001, 7.3061264E-004
