cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 5.0000000E-001, 5.6138689E+002, 5.5053661E+002,-2.5103447E-002, 3.1803046E+001, 3.8628729E+001, 6.4882631E-002, 9.9335781E-005, 2.2510490E-002, 6.0179380E-002, 4.8710866E-001, 8.5469759E-002, 3.5399635E-002, 2.9743286E-001, 3.1505368E-003
 1.5000000E+000, 6.9059847E+002, 6.8537992E+002, 3.2897657E-002, 5.4353425E+001, 6.5602775E+001, 1.0866368E-001, 3.9004936E-004, 3.0009714E-002, 7.6338648E-002, 3.3788163E-001, 1.0991928E-001, 4.4905087E-002, 3.8558722E-001, 4.5394411E-003
 2.5000000E+000, 7.5834961E+002, 7.5533011E+002, 3.2897657E-002, 7.5283037E+001, 9.1026825E+001, 1.0866368E-001, 9.9284411E-004, 3.4084645E-002, 8.1937935E-002, 2.7337669E-001, 1.1991758E-001, 4.8198786E-002, 4.2542525E-001, 5.1684358E-003
 3.5000000E+000, 8.1001839E+002, 8.0874842E+002, 3.3716700E-001, 9.5639621E+001, 1.1548640E+002, 1.6329197E-001, 1.6917594E-003, 3.7383673E-002, 8.4381894E-002, 2.3243178E-001, 1.2585185E-001, 4.9636409E-002, 4.5207716E-001, 5.5285985E-003
 4.5000000E+000, 8.5172894E+002, 8.5211109E+002, 5.2393402E-001, 1.0547549E+002, 1.2854431E+002, 1.9294705E-001, 2.6163117E-003, 4.0265454E-002, 8.5295505E-002, 2.0234589E-001, 1.2977664E-001, 5.0173827E-002, 4.7280177E-001, 5.7441036E-003
 5.5000000E+000, 8.8745353E+002, 8.8949987E+002, 7.1561070E-001, 1.1460999E+002, 1.4116485E+002, 2.2594072E-001, 3.6721603E-003, 4.2868530E-002, 8.5287142E-002, 1.7901676E-001, 1.3246262E-001, 5.0168907E-002, 4.8980091E-001, 5.8640817E-003
 6.5000000E+000, 9.1938781E+002, 9.2314545E+002, 9.0629173E-001, 1.2238330E+002, 1.5234485E+002, 2.6296063E-001, 4.9145840E-003, 4.5330153E-002, 8.4567800E-002, 1.5997276E-001, 1.3427049E-001, 4.9745764E-002, 5.0461652E-001, 5.9093395E-003
 7.5000000E+000, 9.4753234E+002, 9.5271900E+002, 1.0928945E+000, 1.2781978E+002, 1.6147055E+002, 3.0057444E-001, 6.2765837E-003, 4.7567789E-002, 8.3483363E-002, 1.4408135E-001, 1.3547249E-001, 4.9107861E-002, 5.1764127E-001, 5.9105170E-003
 8.5000000E+000, 9.7275338E+002, 9.7939276E+002, 1.2729948E+000, 1.3182247E+002, 1.6873280E+002, 3.3925985E-001, 7.7359843E-003, 4.9649336E-002, 8.2094504E-002, 1.3061364E-001, 1.3620075E-001, 4.8290884E-002, 5.2931794E-001, 5.8746588E-003
