cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS
 5.0000000E-001, 8.7843463E+002, 2.1974636E+002,-9.5000000E+000, 1.2216760E+003, 2.4772626E+002, 9.1175835E+002, 3.6355052E+002, 7.0716762E+002, 3.0756837E+002, 5.7666521E+002, 2.1181313E+002, 5.0752372E+002, 1.4448397E+002
 2.5000000E+000, 1.0214352E+003, 2.3260088E+002,-7.4655172E+000, 1.2513030E+003, 2.1222885E+002, 9.8956355E+002, 3.5355870E+002, 7.4549137E+002, 3.1081345E+002, 5.9510921E+002, 2.1444019E+002, 5.1701640E+002, 1.4759198E+002
 4.5000000E+000, 1.0916040E+003, 2.2455561E+002,-5.4310345E+000, 1.2670105E+003, 1.9274469E+002, 1.0588047E+003, 3.4131375E+002, 7.8237372E+002, 3.1112411E+002, 6.1313960E+002, 2.2102476E+002, 5.2506775E+002, 1.4821251E+002
 6.5000000E+000, 1.1356197E+003, 2.1598128E+002,-3.3965517E+000, 1.2592033E+003, 1.8250097E+002, 1.1130474E+003, 3.2119807E+002, 8.0959278E+002, 3.1282918E+002, 6.2643730E+002, 2.2999459E+002, 5.3111604E+002, 1.4857114E+002
 8.5000000E+000, 1.1649159E+003, 2.0786852E+002,-1.3620690E+000, 1.2492499E+003, 1.8131763E+002, 1.1512735E+003, 3.0310641E+002, 8.2610535E+002, 3.1508100E+002, 6.3173285E+002, 2.3341414E+002, 5.3261174E+002, 1.5085308E+002
 1.0500000E+001, 1.1882441E+003, 1.9895435E+002, 6.7241379E-001, 1.2511054E+003, 1.8143573E+002, 1.1433779E+003, 2.9882548E+002, 8.2568162E+002, 3.1578988E+002, 6.2871089E+002, 2.3225928E+002, 5.3061303E+002, 1.5217894E+002
 1.2500000E+001, 1.2054748E+003, 1.9157999E+002, 2.7068966E+000, 1.2516214E+003, 1.8569305E+002, 1.1165935E+003, 3.0853698E+002, 8.0550459E+002, 3.1438602E+002, 6.1992891E+002, 2.2749076E+002, 5.2631167E+002, 1.5215230E+002
 1.4500000E+001, 1.2211662E+003, 1.8546214E+002, 4.7413793E+000, 1.2476048E+003, 1.9985883E+002, 1.0704190E+003, 3.2955082E+002, 7.7392217E+002, 3.1095494E+002, 6.0821107E+002, 2.2165216E+002, 5.2085983E+002, 1.5279415E+002
 1.6500000E+001, 1.2330550E+003, 1.8105102E+002, 6.7758621E+000, 1.2453967E+003, 2.2273735E+002, 9.9885411E+002, 3.4580395E+002, 7.3563997E+002, 3.0582630E+002, 5.9400630E+002, 2.1882133E+002, 5.1424325E+002, 1.5140122E+002
 1.8500000E+001, 1.2433509E+003, 1.8070307E+002, 8.8103448E+000, 1.2111722E+003, 2.6048793E+002, 9.0818775E+002, 3.5373720E+002, 6.9281580E+002, 2.9851386E+002, 5.7840949E+002, 2.1563677E+002, 5.0580152E+002, 1.4795110E+002
 2.0500000E+001, 1.2511054E+003, 1.8143573E+002, 1.0844828E+001, 1.1451438E+003, 2.9734745E+002, 8.2529859E+002, 3.5551431E+002, 6.5286069E+002, 2.9217273E+002, 5.6181136E+002, 2.1232503E+002, 4.9775066E+002, 1.4462090E+002
 2.2500000E+001, 1.2565070E+003, 1.8424176E+002, 1.2879310E+001, 1.0802471E+003, 3.2985924E+002, 7.5461617E+002, 3.5691411E+002, 6.1498396E+002, 2.8254484E+002, 5.4354896E+002, 2.0808887E+002, 4.8860810E+002, 1.4020681E+002
 2.4500000E+001, 1.2600590E+003, 1.8867118E+002, 1.4913793E+001, 1.0011603E+003, 3.5217188E+002, 6.9435772E+002, 3.5173366E+002, 5.8322588E+002, 2.7257038E+002, 5.2325216E+002, 1.9998883E+002, 4.7858179E+002, 1.3467228E+002
 2.6500000E+001, 1.2606185E+003, 1.9424300E+002, 1.6948276E+001, 9.1834708E+002, 3.6901643E+002, 6.4791295E+002, 3.3965594E+002, 5.5674082E+002, 2.6336360E+002, 5.0454047E+002, 1.8828414E+002, 4.6919527E+002, 1.2880758E+002
