cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 9.4906950E+002, 9.6708935E+002, 3.3893745E-003, 6.6094443E+001, 8.3091073E+001, 2.1742595E-004, 6.9470267E-003, 4.8104281E-002, 6.0437652E-002, 7.9820907E-002, 1.4960708E-001, 4.7402080E-002, 5.9583046E-001, 4.7603565E-003
 2.2806122E+000, 1.0639053E+003, 1.0923269E+003, 3.6548900E-001, 7.5568217E+001, 1.0089505E+002, 7.9033645E-002, 1.0772679E-002, 5.1763973E-002, 5.7299612E-002, 5.4453594E-002, 1.5033219E-001, 4.4940872E-002, 6.1920186E-001, 4.5609871E-003
 4.3112245E+000, 1.1352398E+003, 1.1714604E+003, 7.7795650E-001, 7.7173470E+001, 1.0863627E+002, 1.3890601E-001, 1.5889687E-002, 5.4464150E-002, 5.3039593E-002, 3.9955872E-002, 1.4821696E-001, 4.1599681E-002, 6.3643414E-001, 4.2343167E-003
 6.3418367E+000, 1.1825187E+003, 1.2245825E+003, 1.2009229E+000, 7.5471162E+001, 1.1081266E+002, 1.9220388E-001, 2.1151426E-002, 5.6553481E-002, 4.8682984E-002, 3.0792528E-002, 1.4513629E-001, 3.8182733E-002, 6.4995487E-001, 3.8860855E-003
 8.3724490E+000, 1.2146864E+003, 1.2610219E+003, 1.6021951E+000, 7.3968029E+001, 1.1218958E+002, 2.4578087E-001, 2.6447357E-002, 5.8170304E-002, 4.4470542E-002, 2.4418322E-002, 1.4161065E-001, 3.4878857E-002, 6.6128426E-001, 3.5459980E-003
 1.0403061E+001, 1.2361954E+003, 1.2853232E+003, 1.9714713E+000, 7.4157556E+001, 1.1560328E+002, 2.9983623E-001, 3.1642477E-002, 5.9391624E-002, 4.0542301E-002, 1.9720546E-002, 1.3793664E-001, 3.1797883E-002, 6.7101906E-001, 3.2284705E-003
 1.2433673E+001, 1.2499318E+003, 1.3006186E+003, 2.3020516E+000, 7.6422450E+001, 1.2156499E+002, 3.5412429E-001, 3.6740844E-002, 6.0316711E-002, 3.6862835E-002, 1.6099589E-002, 1.3420087E-001, 2.8912028E-002, 6.7963912E-001, 2.9313685E-003
 1.4464286E+001, 1.2580033E+003, 1.3092481E+003, 2.5953174E+000, 8.1063482E+001, 1.3073965E+002, 4.0876048E-001, 4.1848805E-002, 6.1005036E-002, 3.3343420E-002, 1.3226711E-002, 1.3036368E-001, 2.6151702E-002, 6.8752273E-001, 2.6473350E-003
 1.6494898E+001, 1.2607032E+003, 1.3115544E+003, 2.8527685E+000, 8.8152047E+001, 1.4245292E+002, 4.6078502E-001, 4.6969049E-002, 6.1448793E-002, 3.0015536E-002, 1.0910638E-002, 1.2645809E-001, 2.3541597E-002, 6.9477090E-001, 2.3792437E-003
 1.8525510E+001, 1.2598689E+003, 1.3096337E+003, 3.0782325E+000, 9.7590985E+001, 1.5716859E+002, 5.1442153E-001, 5.2168447E-002, 6.1709058E-002, 2.6793151E-002, 8.9763941E-003, 1.2244962E-001, 2.1014236E-002, 7.0163554E-001, 2.1203455E-003
