cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori
 1.7500000E+001, 1.1025158E+003, 8.0302342E-002, 5.1084137E-002, 2.0969910E-002, 2.5569672E-002, 1.4208510E-001, 2.0969910E-002, 6.5901893E-001, 0.0000000E+000, 1.3000000E+001, 1.7397626E+001, 5.0937631E+000, 2.3394495E+001, 5.8181589E-001, 3.5278371E+001, 3.9873808E-001
 1.8500000E+001, 1.0915219E+003, 8.5312733E-002, 5.0026941E-002, 1.9273994E-002, 2.2758252E-002, 1.3703850E-001, 1.9273994E-002, 6.6631559E-001, 0.0000000E+000, 1.4000000E+001, 1.7397626E+001, 5.0937631E+000, 2.4770642E+001, 5.7816259E-001, 3.6403800E+001, 3.6735324E-001
 1.9500000E+001, 1.0788815E+003, 9.0374883E-002, 4.8821052E-002, 1.7676669E-002, 2.0292626E-002, 1.3186549E-001, 1.7676669E-002, 6.7329261E-001, 0.0000000E+000, 1.5000000E+001, 3.2550363E+000, 2.2380289E+000, 2.6146789E+001, 5.7122745E-001, 3.7529257E+001, 3.5004421E-001
 2.0500000E+001, 1.0647265E+003, 9.5426721E-002, 4.7516013E-002, 1.6165116E-002, 1.8130451E-002, 1.2664273E-001, 1.6165116E-002, 6.7995385E-001, 0.0000000E+000,NaN,NaN,NaN, 2.7522936E+001, 5.6778925E-001, 3.8654737E+001, 3.2381954E-001
 2.1500000E+001, 1.0491982E+003, 1.0049845E-001, 4.6098437E-002, 1.4742096E-002, 1.6223927E-002, 1.2134852E-001, 1.4742096E-002, 6.8634647E-001, 0.0000000E+000,NaN,NaN,NaN, 2.8899083E+001, 5.6424555E-001, 3.9780240E+001, 3.0919717E-001
 2.2500000E+001, 1.0328673E+003, 1.0549611E-001, 4.4611494E-002, 1.3423152E-002, 1.4538196E-002, 1.1609612E-001, 1.3423152E-002, 6.9241178E-001, 0.0000000E+000,NaN,NaN,NaN, 3.0275229E+001, 5.5642087E-001, 4.0905762E+001, 2.8705995E-001
 2.3500000E+001, 1.0161555E+003, 1.1032939E-001, 4.3117455E-002, 1.2197195E-002, 1.3043332E-002, 1.1099052E-001, 1.2197195E-002, 6.9812491E-001, 0.0000000E+000,NaN,NaN,NaN, 3.1651376E+001, 5.5194145E-001, 4.2031304E+001, 2.7460083E-001
 2.4500000E+001, 9.9834471E+002, 1.1508929E-001, 4.1560540E-002, 1.1072801E-002, 1.1727437E-002, 1.0593546E-001, 1.1072801E-002, 7.0354167E-001, 0.0000000E+000,NaN,NaN,NaN, 3.3027523E+001, 5.4164734E-001, 4.3156863E+001, 2.5574664E-001
 2.5500000E+001, 9.8019800E+002, 1.1964553E-001, 4.0002490E-002, 1.0065284E-002, 1.0569800E-002, 1.0108078E-001, 1.0065284E-002, 7.0857083E-001, 0.0000000E+000,NaN,NaN,NaN, 3.4403670E+001, 5.3593860E-001, 4.4282437E+001, 2.3857731E-001
 2.6500000E+001, 9.6203048E+002, 1.2396538E-001, 3.8471085E-002, 9.1643400E-003, 9.5588020E-003, 9.6463991E-002, 9.1643400E-003, 7.1321207E-001, 0.0000000E+000,NaN,NaN,NaN, 3.5779817E+001, 5.2082290E-001, 4.5408027E+001, 2.2886941E-001
 2.7500000E+001, 9.4412568E+002, 1.2801536E-001, 3.6977678E-002, 8.3820005E-003, 8.6710575E-003, 9.2128754E-002, 8.3820005E-003, 7.1744315E-001, 0.0000000E+000,NaN,NaN,NaN, 3.7155963E+001, 5.0912146E-001, 4.6533630E+001, 2.1407470E-001
 2.8500000E+001, 9.2649381E+002, 1.3179795E-001, 3.5544539E-002, 7.6950914E-003, 7.8652574E-003, 8.8079337E-002, 7.6950914E-003, 7.2132273E-001, 0.0000000E+000,NaN,NaN,NaN, 3.8532110E+001, 5.0287218E-001, 4.7659246E+001, 2.0564829E-001
 2.9500000E+001, 9.0941013E+002, 1.3530716E-001, 3.4202132E-002, 7.0733038E-003, 7.1198670E-003, 8.4323873E-002, 7.0733038E-003, 7.2490036E-001, 0.0000000E+000,NaN,NaN,NaN, 3.9908257E+001, 4.9641756E-001, 4.8784873E+001, 1.9282468E-001
 3.0500000E+001, 8.9303347E+002, 1.3854358E-001, 3.2973907E-002, 6.4909159E-003, 6.4102425E-003, 8.0864490E-002, 6.4909159E-003, 7.2822595E-001, 0.0000000E+000,NaN,NaN,NaN, 4.1284404E+001, 4.8334145E-001, 4.9910512E+001, 1.8546972E-001
 3.1500000E+001, 8.7715394E+002, 1.4156409E-001, 3.1835207E-002, 5.9379883E-003, 5.7484739E-003, 7.7634688E-002, 5.9379883E-003, 7.3134156E-001, 0.0000000E+000,NaN,NaN,NaN, 4.2660550E+001, 4.7687278E-001, 5.1036160E+001, 1.7429561E-001
 3.2500000E+001, 8.6152648E+002, 1.4444318E-001, 3.0746517E-002, 5.4136534E-003, 5.1272683E-003, 7.4554181E-002, 5.4136534E-003, 7.3430155E-001, 0.0000000E+000,NaN,NaN,NaN, 4.4036697E+001, 4.6401165E-001, 5.2161819E+001, 1.6399203E-001
 3.3500000E+001, 8.4606656E+002, 1.4721339E-001, 2.9693980E-002, 4.9123415E-003, 4.5505037E-003, 7.1585638E-002, 4.9123415E-003, 7.3713181E-001, 0.0000000E+000,NaN,NaN,NaN, 4.5412844E+001, 4.5750544E-001, 5.3287486E+001, 1.5805885E-001
 3.4500000E+001, 8.3084855E+002, 1.4987237E-001, 2.8665797E-002, 4.4490795E-003, 4.0256488E-003, 6.8731630E-002, 4.4490795E-003, 7.3980639E-001, 0.0000000E+000,NaN,NaN,NaN, 4.6788991E+001, 4.5089684E-001, 5.4413162E+001, 1.4900995E-001
