cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori
 8.4500000E+001, 4.3023955E+002, 1.9531042E-001, 7.7022551E-003, 3.9411993E-007, 1.2077323E-007, 1.9204865E-002, 3.9411993E-007, 7.7778155E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1559633E+002, 1.1186028E-001,NaN,NaN
 8.5500000E+001, 4.2747539E+002, 1.9555780E-001, 7.5659199E-003, 3.3988146E-007, 9.9929842E-008, 1.8932887E-002, 3.3988146E-007, 7.7794261E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1697248E+002, 1.0909242E-001,NaN,NaN
 8.6500000E+001, 4.2475594E+002, 1.9580905E-001, 7.4274454E-003, 3.0230648E-007, 8.4091398E-008, 1.8656671E-002, 3.0230648E-007, 7.7810615E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1834862E+002, 1.0366384E-001,NaN,NaN
 8.7500000E+001, 4.2206230E+002, 1.9605482E-001, 7.2919795E-003, 2.7253755E-007, 7.1874957E-008, 1.8386468E-002, 2.7253755E-007, 7.7826612E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1972477E+002, 1.0109324E-001,NaN,NaN
 8.8500000E+001, 4.1952167E+002, 1.9629199E-001, 7.1612455E-003, 2.5236703E-007, 6.2812304E-008, 1.8125719E-002, 2.5236703E-007, 7.7842048E-001, 0.0000000E+000,NaN,NaN,NaN, 1.2110092E+002, 9.6143369E-002,NaN,NaN
 8.9500000E+001, 4.1710451E+002, 1.9651965E-001, 7.0357465E-003, 2.4100141E-007, 5.6469954E-008, 1.7875425E-002, 2.4100141E-007, 7.7856864E-001, 0.0000000E+000,NaN,NaN,NaN, 1.2247706E+002, 9.3744307E-002,NaN,NaN
 9.0500000E+001, 4.1476659E+002, 1.9673160E-001, 6.9189194E-003, 2.2275953E-007, 4.9700740E-008, 1.7642413E-002, 2.2275953E-007, 7.7870658E-001, 0.0000000E+000,NaN,NaN,NaN, 1.2385321E+002, 9.1398764E-002,NaN,NaN
 9.1500000E+001, 4.1251887E+002, 1.9693722E-001, 6.8055874E-003, 1.8969629E-007, 4.1370738E-008, 1.7416345E-002, 1.8969629E-007, 7.7884042E-001, 0.0000000E+000,NaN,NaN,NaN, 1.2522936E+002, 8.6881740E-002,NaN,NaN
 9.2500000E+001, 4.1031321E+002, 1.9713539E-001, 6.6963711E-003, 1.5139398E-007, 3.2757864E-008, 1.7198476E-002, 1.5139398E-007, 7.7896943E-001, 0.0000000E+000,NaN,NaN,NaN, 1.2660550E+002, 8.4712360E-002,NaN,NaN
 9.3500000E+001, 4.0815530E+002, 1.9733641E-001, 6.5855799E-003, 1.1486157E-007, 2.4831943E-008, 1.6977468E-002, 1.1486157E-007, 7.7910028E-001, 0.0000000E+000,NaN,NaN,NaN, 1.2798165E+002, 8.2601944E-002,NaN,NaN
 9.4500000E+001, 4.0604714E+002, 1.9753189E-001, 6.4778389E-003, 8.5892980E-008, 1.8806009E-008, 1.6762557E-002, 8.5892980E-008, 7.7922752E-001, 0.0000000E+000,NaN,NaN,NaN, 1.2935780E+002, 7.8554975E-002,NaN,NaN
 9.5500000E+001, 4.0395718E+002, 1.9772758E-001, 6.3699740E-003, 6.3524696E-008, 1.4152392E-008, 1.6547411E-002, 6.3524696E-008, 7.7935489E-001, 0.0000000E+000,NaN,NaN,NaN, 1.3073394E+002, 7.6616773E-002,NaN,NaN
 9.6500000E+001, 4.0186642E+002, 1.9792117E-001, 6.2632654E-003, 4.9149333E-008, 1.1238722E-008, 1.6334584E-002, 4.9149333E-008, 7.7948087E-001, 0.0000000E+000,NaN,NaN,NaN, 1.3211009E+002, 7.2905755E-002,NaN,NaN
 9.7500000E+001, 3.9983198E+002, 1.9810999E-001, 6.1591793E-003, 3.9381175E-008, 9.2709362E-009, 1.6126995E-002, 3.9381175E-008, 7.7960375E-001, 0.0000000E+000,NaN,NaN,NaN, 1.3348624E+002, 7.1130254E-002,NaN,NaN
 9.8500000E+001, 3.9788663E+002, 1.9829045E-001, 6.0597007E-003, 3.1631003E-008, 7.6950035E-009, 1.5928598E-002, 3.1631003E-008, 7.7972119E-001, 0.0000000E+000,NaN,NaN,NaN, 1.3486239E+002, 6.9405959E-002,NaN,NaN
 9.9500000E+001, 3.9606204E+002, 1.9845938E-001, 5.9665741E-003, 2.5204726E-008, 6.2610114E-009, 1.5742870E-002, 2.5204726E-008, 7.7983112E-001, 0.0000000E+000,NaN,NaN,NaN, 1.3623853E+002, 6.6103553E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3761468E+002, 6.4521375E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.3899083E+002, 6.2982309E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4036697E+002, 6.0024226E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4174312E+002, 5.8600374E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4311927E+002, 5.5850583E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4449541E+002, 5.4519584E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4587156E+002, 5.3214485E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4724771E+002, 5.0672097E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4862385E+002, 4.9430003E-002,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+002, 4.8204235E-002,NaN,NaN
