cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 5.3551231E+002, 4.9837738E+002, 5.0363248E-003, 9.3265309E+001, 1.3304324E+002, 5.3424117E-002, 3.8321466E-004, 1.9580600E-002, 2.6709154E-002, 6.5855375E-001, 6.7245083E-002, 2.1086174E-002, 2.0488009E-001, 4.4955665E-004
 7.5000000E-001, 7.2435050E+002, 7.0214468E+002, 7.9174597E-003, 1.2347597E+002, 1.9728915E+002, 9.2754972E-002, 1.3927285E-003, 3.1905897E-002, 3.8418933E-002, 4.7427813E-001, 1.0246227E-001, 3.0330736E-002, 3.1896459E-001, 7.0449935E-004
 1.2500000E+000, 8.2770366E+002, 8.1520494E+002, 2.4930788E-002, 1.4017177E+002, 2.3540989E+002, 1.2330262E-001, 2.6296859E-003, 3.8719711E-002, 4.3740007E-002, 3.7691265E-001, 1.2033510E-001, 3.4531585E-002, 3.8057337E-001, 8.4417422E-004
 1.7500000E+000, 8.8968119E+002, 8.8423851E+002, 6.2222134E-002, 1.4414297E+002, 2.5210773E+002, 1.4524247E-001, 4.0342383E-003, 4.2762664E-002, 4.5985829E-002, 3.2206713E-001, 1.2968001E-001, 3.6304602E-002, 4.1647631E-001, 9.1296298E-004
 2.2500000E+000, 9.3334083E+002, 9.3335203E+002, 6.2222134E-002, 1.4391790E+002, 2.5798145E+002, 1.4524247E-001, 5.0994546E-003, 4.5490456E-002, 4.7352630E-002, 2.8549952E-001, 1.3577997E-001, 3.7383655E-002, 4.4062515E-001, 9.5937970E-004
 2.7500000E+000, 9.6791244E+002, 9.7276826E+002, 1.7896068E-001, 1.4739046E+002, 2.6474010E+002, 1.7780484E-001, 5.7227376E-003, 4.7643303E-002, 4.8245099E-002, 2.5893127E-001, 1.4032994E-001, 3.8088236E-002, 4.5821806E-001, 9.9230703E-004
 3.2500000E+000, 9.9363962E+002, 1.0028000E+003, 2.5424357E-001, 1.4601920E+002, 2.6383319E+002, 1.9552152E-001, 6.3102238E-003, 4.9401071E-002, 4.8665153E-002, 2.3893922E-001, 1.4361542E-001, 3.8419857E-002, 4.7180313E-001, 1.0120321E-003
 3.7500000E+000, 1.0144791E+003, 1.0272731E+003, 3.3712541E-001, 1.4185401E+002, 2.5918755E+002, 2.1405606E-001, 7.0349816E-003, 5.0832331E-002, 4.8896448E-002, 2.2222802E-001, 1.4614074E-001, 3.8602459E-002, 4.8340558E-001, 1.0264470E-003
 4.2500000E+000, 1.0332081E+003, 1.0494776E+003, 4.2547330E-001, 1.3926635E+002, 2.5650595E+002, 2.3358504E-001, 7.7267338E-003, 5.2090053E-002, 4.9028806E-002, 2.0775769E-001, 1.4826191E-001, 3.8706952E-002, 4.9356068E-001, 1.0378983E-003
