cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori,r_rad3,TC_03,TC_30,TC_41,TC_51,TC_61,TC_03_RMS,TC_30_RMS,TC_41_RMS,TC_51_RMS,TC_61_RMS
 1.0000000E+000, 8.6327359E+002, 8.6683540E+002, 1.2731080E-002, 5.9930855E+001, 6.2737553E+001, 2.5410293E-004, 5.9815799E-003, 3.4411767E-002, 6.0512617E-002, 2.3660801E-001, 1.7993428E-001, 6.2384141E-002, 4.1808814E-001, 8.7000037E-004,-4.0000000E+000, 3.7890845E+001, 2.4666647E+001, 0.0000000E+000, 7.1760230E-001, 1.6155494E+001, 2.5081987E+000,-4.0000000E+000, 1.1730179E+003, 9.6608178E+002, 8.2016209E+002, 6.7653657E+002, 5.8752376E+002, 7.4055716E+001, 1.8235441E+002, 1.7201604E+002, 1.4071215E+002, 1.0556899E+002
 3.0000000E+000, 9.8648462E+002, 9.9412330E+002, 4.2777437E-001, 8.6256387E+001, 9.1636114E+001, 7.1859541E-002, 8.0272811E-003, 4.0148542E-002, 6.1673100E-002, 1.6873853E-001, 1.9371400E-001, 6.3580515E-002, 4.6199867E-001, 8.9851072E-004,-3.0000000E+000, 3.7890845E+001, 2.4666647E+001, 2.5423729E+000, 7.5903627E-001, 1.8462585E+001, 2.0775317E+000,-2.0000000E+000, 1.1730179E+003, 9.6608178E+002, 8.2016209E+002, 6.7653657E+002, 5.8752376E+002, 7.4055716E+001, 1.8235441E+002, 1.7201604E+002, 1.4071215E+002, 1.0556899E+002
 5.0000000E+000, 1.0710498E+003, 1.0825724E+003, 8.6306446E-001, 1.0190221E+002, 1.0946361E+002, 1.2201633E-001, 1.1357663E-002, 4.4661535E-002, 5.9854269E-002, 1.2683095E-001, 1.9961764E-001, 6.1705432E-002, 4.9391566E-001, 8.7574721E-004,-2.0000000E+000, 3.7890845E+001, 2.4666647E+001, 5.0847458E+000, 8.2542605E-001, 2.0770544E+001, 1.5522365E+000,-2.0000000E-002, 9.8487574E+002, 1.1215041E+003, 9.4084045E+002, 7.4019329E+002, 6.2069672E+002, 6.7450162E+001, 1.5004431E+002, 1.7569759E+002, 1.4460015E+002, 1.0890935E+002
 7.0000000E+000, 1.1308110E+003, 1.1456224E+003, 1.2958296E+000, 1.0590627E+002, 1.1482284E+002, 1.7484991E-001, 1.5671847E-002, 4.8388859E-002, 5.6434866E-002, 9.8579092E-002, 2.0103544E-001, 5.8180274E-002, 5.1977028E-001, 8.2581391E-004,-1.0000000E+000, 3.4286227E+001, 2.4017380E+001, 7.6271186E+000, 8.5213293E-001, 2.3079112E+001, 1.3358923E+000, 2.0000000E+000, 1.1522797E+003, 9.8063929E+002, 8.3586024E+002, 6.7403761E+002, 5.7896407E+002, 7.8131494E+001, 1.8677760E+002, 1.7577900E+002, 1.3657382E+002, 9.9013289E+001
 9.0000000E+000, 1.1712827E+003, 1.1885371E+003, 1.6991101E+000, 1.0417887E+002, 1.1393855E+002, 2.2454798E-001, 2.0678698E-002, 5.1249666E-002, 5.2525054E-002, 7.8065824E-002, 1.9981717E-001, 5.4149541E-002, 5.4170906E-001, 7.6753110E-004,-2.0000000E-002, 3.4286227E+001, 2.4017380E+001, 1.0169492E+001, 8.4881254E-001, 2.5388123E+001, 1.0569768E+000, 4.0000000E+000, 1.2746429E+003, 7.5961973E+002, 6.7907199E+002, 5.9078138E+002, 5.2702657E+002, 7.2775460E+001, 1.7255128E+002, 1.5375870E+002, 1.2141609E+002, 9.1099193E+001
 1.1000000E+001, 1.1976664E+003, 1.2165974E+003, 2.0634033E+000, 1.0516167E+002, 1.1586144E+002, 2.7470652E-001, 2.6247628E-002, 5.3431587E-002, 4.8383418E-002, 6.2423402E-002, 1.9681113E-001, 4.9879812E-002, 5.6116037E-001, 7.0549259E-004, 1.0000000E+000, 3.4000410E+001, 2.3935849E+001, 1.2711864E+001, 8.3294191E-001, 2.7697465E+001, 9.2940270E-001, 6.0000000E+000, 1.1792541E+003, 5.6849604E+002, 5.4314527E+002, 5.0778798E+002, 4.7541314E+002, 1.3669884E+002, 1.2281777E+002, 1.1848407E+002, 1.0013180E+002, 8.1354455E+001
 1.3000000E+001, 1.2137184E+003, 1.2336985E+003, 2.3832286E+000, 1.1104341E+002, 1.2294513E+002, 3.2762176E-001, 3.2193829E-002, 5.5067473E-002, 4.4186049E-002, 5.0113030E-002, 1.9260354E-001, 4.5552628E-002, 5.7876503E-001, 6.4269783E-004, 2.0000000E+000, 3.7409212E+001, 2.4593284E+001, 1.5254237E+001, 8.1217341E-001, 3.0007063E+001, 7.6140320E-001, 8.0000000E+000, 9.6190769E+002, 4.4169245E+002, 4.4423325E+002, 4.4031721E+002, 4.2862273E+002, 1.6257817E+002, 7.8636252E+001, 8.4398714E+001, 7.9593990E+001, 6.9882955E+001
 1.5000000E+001, 1.2211726E+003, 1.2416591E+003, 2.6606920E+000, 1.2196834E+002, 1.3521623E+002, 3.8308658E-001, 3.8460768E-002, 5.6202569E-002, 4.0050284E-002, 4.0166199E-002, 1.8749851E-001, 4.1288953E-002, 5.9495642E-001, 5.8103909E-004, 3.0000000E+000, 3.7409212E+001, 2.4593284E+001, 1.7796610E+001, 8.0819415E-001, 3.2316861E+001, 6.3279031E-001, 1.0000000E+001, 7.5182504E+002, 3.6859001E+002, 3.7941199E+002, 3.8805153E+002, 3.8877201E+002, 1.5544745E+002, 5.1827528E+001, 5.8418820E+001, 6.0707458E+001, 5.7240755E+001
 1.7000000E+001, 1.2223163E+003, 1.2428968E+003, 2.8974740E+000, 1.3797177E+002, 1.5284044E+002, 4.4511216E-001, 4.4896606E-002, 5.6975897E-002, 3.5984095E-002, 3.2045955E-002, 1.8178961E-001, 3.7097006E-002, 6.0997427E-001, 5.2056338E-004, 4.0000000E+000, 3.8227780E+001, 2.2659856E+001, 2.0338983E+001, 8.0373047E-001, 3.4644148E+001, 5.6948286E-001, 1.2000000E+001, 5.6067078E+002, 3.2854747E+002, 3.3614681E+002, 3.4795842E+002, 3.5467342E+002, 1.2084178E+002, 3.6918663E+001, 3.7609929E+001, 4.4182582E+001, 4.3043800E+001
