cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 5.4149156E+002, 5.4081079E+002, 8.3366244E-003, 1.2789993E+002, 1.3237119E+002, 4.2223438E-004, 4.7701910E-004, 1.3722639E-002, 2.5560213E-002, 6.1890462E-001, 7.4684784E-002, 2.6350735E-002, 2.3942163E-001, 4.9238708E-004
 1.2550505E+000, 7.0770135E+002, 7.0977653E+002, 2.0766112E-002, 1.4515663E+002, 1.5171936E+002, 8.1692965E-002, 9.9067405E-004, 1.9331926E-002, 3.4270870E-002, 4.7751484E-001, 1.0204277E-001, 3.5330794E-002, 3.2934043E-001, 6.2188855E-004
 2.2601010E+000, 8.0723444E+002, 8.1165430E+002, 1.3390611E-001, 1.6524257E+002, 1.7409695E+002, 1.2028745E-001, 1.5681304E-003, 2.2751673E-002, 3.8188631E-002, 4.0280676E-001, 1.1618050E-001, 3.9369723E-002, 3.7782225E-001, 6.7114354E-004
 3.2651515E+000, 8.8148940E+002, 8.8809573E+002, 2.9879625E-001, 1.8048350E+002, 1.9123121E+002, 1.5749181E-001, 2.4864233E-003, 2.5458637E-002, 4.0173618E-002, 3.5168889E-001, 1.2533943E-001, 4.1416101E-002, 4.1205636E-001, 6.9082347E-004
 4.2702020E+000, 9.4129803E+002, 9.4996381E+002, 4.9402546E-001, 1.9151995E+002, 2.0394468E+002, 2.0222420E-001, 3.4282316E-003, 2.7717305E-002, 4.1284930E-002, 3.1318817E-001, 1.3198855E-001, 4.2561783E-002, 4.3841231E-001, 6.9810224E-004
 5.2752525E+000, 9.9169861E+002, 1.0023861E+003, 7.0081015E-001, 1.9992551E+002, 2.1381970E+002, 2.5129281E-001, 4.5284475E-003, 2.9686757E-002, 4.1809311E-002, 2.8235658E-001, 1.3697856E-001, 4.3102383E-002, 4.6010121E-001, 6.9749242E-004
 6.2803030E+000, 1.0349332E+003, 1.0475311E+003, 9.1358493E-001, 2.0556717E+002, 2.2097573E+002, 3.0040667E-001, 5.8766333E-003, 3.1460887E-002, 4.1892915E-002, 2.5643770E-001, 1.4076951E-001, 4.3188572E-002, 4.7893416E-001, 6.9103799E-004
 7.2853535E+000, 1.0714324E+003, 1.0857361E+003, 1.1266864E+000, 2.0808816E+002, 2.2485530E+002, 3.4974376E-001, 7.5949069E-003, 3.3049518E-002, 4.1580052E-002, 2.3433905E-001, 1.4346466E-001, 4.2866033E-002, 4.9567691E-001, 6.7948813E-004
 8.2904040E+000, 1.1015203E+003, 1.1171555E+003, 1.3351989E+000, 2.0727340E+002, 2.2528221E+002, 3.9971107E-001, 9.7119245E-003, 3.4389341E-002, 4.1054287E-002, 2.1491081E-001, 1.4527117E-001, 4.2324007E-002, 5.1092766E-001, 6.6552013E-004
