cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS
 5.0000000E-001, 4.8700260E+002, 6.0066709E+001,-9.5000000E+000, 1.2577727E+003, 2.9058465E+002, 1.0299722E+003, 3.5419766E+002, 7.4636507E+002, 3.0120558E+002, 5.8928300E+002, 2.1114311E+002, 5.0502615E+002, 1.3588461E+002
 1.5000000E+000, 6.6321812E+002, 1.7383146E+002,-8.5000000E+000, 1.2681574E+003, 2.7978147E+002, 1.0491564E+003, 3.4819932E+002, 7.5722107E+002, 3.0287742E+002, 5.9330062E+002, 2.1014872E+002, 5.0739467E+002, 1.3620079E+002
 2.5000000E+000, 7.7854609E+002, 2.2140934E+002,-7.5000000E+000, 1.2717083E+003, 2.7464697E+002, 1.0661452E+003, 3.4270892E+002, 7.6712079E+002, 3.0513191E+002, 5.9665189E+002, 2.0894809E+002, 5.0996350E+002, 1.3599201E+002
 3.5000000E+000, 8.6529574E+002, 2.4298812E+002,-6.5000000E+000, 1.2812271E+003, 2.7294995E+002, 1.0817187E+003, 3.3973038E+002, 7.7674763E+002, 3.0763367E+002, 5.9924332E+002, 2.0827347E+002, 5.1242084E+002, 1.3544497E+002
 4.5000000E+000, 9.4119678E+002, 2.5876570E+002,-5.5000000E+000, 1.2947737E+003, 2.6356253E+002, 1.1001394E+003, 3.3861818E+002, 7.8210557E+002, 3.0775163E+002, 6.0072968E+002, 2.0776700E+002, 5.1423503E+002, 1.3450883E+002
 5.5000000E+000, 9.9846642E+002, 2.6288770E+002,-4.5000000E+000, 1.3011291E+003, 2.5642596E+002, 1.1148187E+003, 3.3788998E+002, 7.8467048E+002, 3.0733906E+002, 6.0191995E+002, 2.0702028E+002, 5.1514084E+002, 1.3244432E+002
 6.5000000E+000, 1.0465792E+003, 2.6613975E+002,-3.5000000E+000, 1.3020895E+003, 2.5038252E+002, 1.1232778E+003, 3.3852386E+002, 7.8580287E+002, 3.0824964E+002, 6.0380050E+002, 2.0710927E+002, 5.1602636E+002, 1.3072683E+002
 7.5000000E+000, 1.0853249E+003, 2.6585882E+002,-2.5000000E+000, 1.2984008E+003, 2.4660359E+002, 1.1285050E+003, 3.3910423E+002, 7.8690550E+002, 3.1048269E+002, 6.0477081E+002, 2.0677772E+002, 5.1707859E+002, 1.3001182E+002
 8.5000000E+000, 1.1181135E+003, 2.6514527E+002,-1.5000000E+000, 1.2864936E+003, 2.4614547E+002, 1.1275513E+003, 3.4046004E+002, 7.8739578E+002, 3.1381646E+002, 6.0428345E+002, 2.0561668E+002, 5.1725771E+002, 1.2895532E+002
 9.5000000E+000, 1.1494994E+003, 2.6695382E+002,-5.0000000E-001, 1.2723305E+003, 2.4544047E+002, 1.1228469E+003, 3.4437819E+002, 7.8455672E+002, 3.1523909E+002, 6.0171976E+002, 2.0289764E+002, 5.1640825E+002, 1.2750620E+002
 1.0500000E+001, 1.1762751E+003, 2.6698739E+002, 5.0000000E-001, 1.2668790E+003, 2.5013629E+002, 1.1137208E+003, 3.4739290E+002, 7.8132520E+002, 3.1643711E+002, 5.9883076E+002, 1.9960428E+002, 5.1492891E+002, 1.2633662E+002
 1.1500000E+001, 1.1933508E+003, 2.6605344E+002, 1.5000000E+000, 1.2617493E+003, 2.5717942E+002, 1.0966367E+003, 3.5182866E+002, 7.7680726E+002, 3.1649099E+002, 5.9544116E+002, 1.9672098E+002, 5.1339965E+002, 1.2525501E+002
 1.2500000E+001, 1.2084259E+003, 2.6474688E+002, 2.5000000E+000, 1.2545308E+003, 2.5775390E+002, 1.0763304E+003, 3.6003323E+002, 7.6948263E+002, 3.1601359E+002, 5.9158489E+002, 1.9649547E+002, 5.1149582E+002, 1.2348830E+002
 1.3500000E+001, 1.2215888E+003, 2.6086699E+002, 3.5000000E+000, 1.2503903E+003, 2.6200134E+002, 1.0526348E+003, 3.6925851E+002, 7.5984456E+002, 3.1311414E+002, 5.8665060E+002, 1.9532139E+002, 5.0965585E+002, 1.2293840E+002
 1.4500000E+001, 1.2327743E+003, 2.5789693E+002, 4.5000000E+000, 1.2482613E+003, 2.7796108E+002, 1.0253398E+003, 3.7602681E+002, 7.4832116E+002, 3.1003326E+002, 5.8213542E+002, 1.9304448E+002, 5.0726438E+002, 1.2269745E+002
 1.5500000E+001, 1.2428816E+003, 2.5505171E+002, 5.5000000E+000, 1.2443807E+003, 2.8538425E+002, 9.9139999E+002, 3.8070719E+002, 7.3297514E+002, 3.0468547E+002, 5.7662727E+002, 1.9056938E+002, 5.0409267E+002, 1.2122895E+002
 1.6500000E+001, 1.2505414E+003, 2.5239860E+002, 6.5000000E+000, 1.2336596E+003, 2.8902099E+002, 9.5713498E+002, 3.8413929E+002, 7.1614829E+002, 2.9901327E+002, 5.7013263E+002, 1.8832387E+002, 5.0059958E+002, 1.1948911E+002
 1.7500000E+001, 1.2556553E+003, 2.5134017E+002, 7.5000000E+000, 1.2216901E+003, 3.0274976E+002, 9.2233445E+002, 3.8238889E+002, 6.9637466E+002, 2.9299952E+002, 5.6219237E+002, 1.8484189E+002, 4.9645132E+002, 1.1823830E+002
 1.8500000E+001, 1.2610482E+003, 2.5130635E+002, 8.5000000E+000, 1.2020556E+003, 3.1433043E+002, 8.8690234E+002, 3.8169093E+002, 6.7545531E+002, 2.8623657E+002, 5.5405188E+002, 1.8121500E+002, 4.9209269E+002, 1.1744434E+002
 1.9500000E+001, 1.2668790E+003, 2.5013629E+002, 9.5000000E+000, 1.1801763E+003, 3.2668777E+002, 8.5370019E+002, 3.8183577E+002, 6.5622637E+002, 2.7983753E+002, 5.4553638E+002, 1.7762876E+002, 4.8792644E+002, 1.1663144E+002
 2.0500000E+001, 1.2724490E+003, 2.4828745E+002, 1.0500000E+001, 1.1570929E+003, 3.3920927E+002, 8.2020690E+002, 3.7722585E+002, 6.3740186E+002, 2.7275649E+002, 5.3764391E+002, 1.7547017E+002, 4.8383032E+002, 1.1644939E+002
 2.1500000E+001, 1.2784562E+003, 2.4793192E+002, 1.1500000E+001, 1.1386929E+003, 3.5145705E+002, 7.8611423E+002, 3.6898226E+002, 6.1801898E+002, 2.6347522E+002, 5.2983789E+002, 1.7251915E+002, 4.7952308E+002, 1.1632326E+002
 2.2500000E+001, 1.2833476E+003, 2.4858340E+002, 1.2500000E+001, 1.1182527E+003, 3.6346564E+002, 7.5026333E+002, 3.5771598E+002, 5.9938526E+002, 2.5459893E+002, 5.2228184E+002, 1.6989695E+002, 4.7443969E+002, 1.1546404E+002
 2.3500000E+001, 1.2870823E+003, 2.4941184E+002, 1.3500000E+001, 1.0907070E+003, 3.7382872E+002, 7.1736431E+002, 3.4754946E+002, 5.8155265E+002, 2.4714145E+002, 5.1346880E+002, 1.6515489E+002, 4.6899594E+002, 1.1443136E+002
 2.4500000E+001, 1.2900368E+003, 2.5108087E+002, 1.4500000E+001, 1.0600293E+003, 3.8365276E+002, 6.8665390E+002, 3.4013680E+002, 5.6467792E+002, 2.4232951E+002, 5.0482660E+002, 1.6020821E+002, 4.6301550E+002, 1.1241129E+002
 2.5500000E+001, 1.2934587E+003, 2.5272825E+002, 1.5500000E+001, 1.0294471E+003, 3.8838729E+002, 6.5775199E+002, 3.3194553E+002, 5.4878188E+002, 2.3615645E+002, 4.9660958E+002, 1.5529173E+002, 4.5676910E+002, 1.0976634E+002
