cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 7.7320080E+002, 2.7666113E-003, 1.9870512E-002, 4.7827763E-002, 3.4957462E-001, 1.2542648E-001, 4.7827763E-002, 4.0670625E-001, 0.0000000E+000
 2.2806122E+000, 8.8568872E+002, 4.2137355E-003, 2.3619668E-002, 5.1378580E-002, 2.7136822E-001, 1.3939247E-001, 5.1378580E-002, 4.5864875E-001, 0.0000000E+000
 4.3112245E+000, 9.6181703E+002, 7.3388757E-003, 2.6646495E-002, 5.1968266E-002, 2.1924318E-001, 1.4666139E-001, 5.1968266E-002, 4.9617353E-001, 0.0000000E+000
 6.3418367E+000, 1.0151240E+003, 1.1474031E-002, 2.9087026E-002, 5.1064764E-002, 1.8183018E-001, 1.5010398E-001, 5.1064764E-002, 5.2537525E-001, 0.0000000E+000
 8.3724490E+000, 1.0544475E+003, 1.5885606E-002, 3.1152326E-002, 4.9419634E-002, 1.5368618E-001, 1.5147085E-001, 4.9419634E-002, 5.4896577E-001, 0.0000000E+000
 1.0403061E+001, 1.0839013E+003, 2.0324672E-002, 3.2868922E-002, 4.7466744E-002, 1.3184101E-001, 1.5158167E-001, 4.7466744E-002, 5.6845024E-001, 0.0000000E+000
 1.2433673E+001, 1.1065829E+003, 2.4652060E-002, 3.4324060E-002, 4.5408449E-002, 1.1422965E-001, 1.5097081E-001, 4.5408449E-002, 5.8500651E-001, 0.0000000E+000
 1.4464286E+001, 1.1244804E+003, 2.8787436E-002, 3.5669500E-002, 4.3225574E-002, 9.9806137E-002, 1.4991185E-001, 4.3225574E-002, 5.9937393E-001, 0.0000000E+000
 1.6494898E+001, 1.1379124E+003, 3.2856019E-002, 3.6843327E-002, 4.1008844E-002, 8.7814640E-002, 1.4844204E-001, 4.1008844E-002, 6.1202629E-001, 0.0000000E+000
