cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 7.9118256E+002, 7.9378207E+002, 5.4793017E-003, 4.4026888E+001, 5.3933369E+001, 2.4781774E-004, 3.0882258E-003, 3.2810705E-002, 6.9140786E-002, 1.6230777E-001, 1.4070210E-001, 5.4228067E-002, 5.2416532E-001, 5.2635116E-003
 2.2806122E+000, 8.9201330E+002, 8.9961299E+002, 2.9775685E-001, 5.9528702E+001, 7.7307042E+001, 8.6472205E-002, 4.4639567E-003, 3.6130917E-002, 7.0186839E-002, 1.1891276E-001, 1.4671420E-001, 5.5048501E-002, 5.5478070E-001, 5.4830841E-003
 4.3112245E+000, 9.6498687E+002, 9.7758091E+002, 6.3750816E-001, 7.4627924E+001, 1.0086292E+002, 1.4789475E-001, 7.6389967E-003, 3.8884174E-002, 6.8568203E-002, 9.2615710E-002, 1.4829411E-001, 5.3778982E-002, 5.7677508E-001, 5.4245468E-003
 6.3418367E+000, 1.0191601E+003, 1.0363552E+003, 1.0068866E+000, 8.3366337E+001, 1.1652578E+002, 2.0810152E-001, 1.1635598E-002, 4.1228507E-002, 6.5790548E-002, 7.4970333E-002, 1.4772525E-001, 5.1600430E-002, 5.9414923E-001, 5.2378486E-003
 8.3724490E+000, 1.0601190E+003, 1.0812841E+003, 1.3742833E+000, 8.7362338E+001, 1.2534878E+002, 2.6189694E-001, 1.5701440E-002, 4.3271551E-002, 6.2647223E-002, 6.2449061E-002, 1.4623940E-001, 4.9135077E-002, 6.0827248E-001, 5.0039457E-003
 1.0403061E+001, 1.0918420E+003, 1.1162248E+003, 1.7252221E+000, 8.8514855E+001, 1.3032095E+002, 3.1714384E-001, 1.9613035E-002, 4.5031947E-002, 5.9516747E-002, 5.3003920E-002, 1.4438224E-001, 4.6679802E-002, 6.2010236E-001, 4.7623042E-003
 1.2433673E+001, 1.1170710E+003, 1.1441430E+003, 2.0497257E+000, 8.8057206E+001, 1.3298876E+002, 3.7182945E-001, 2.3330069E-002, 4.6603369E-002, 5.6458174E-002, 4.5558074E-002, 1.4236278E-001, 4.4280921E-002, 6.3033639E-001, 4.5216253E-003
 1.4464286E+001, 1.1370345E+003, 1.1662533E+003, 2.3459661E+000, 8.6880243E+001, 1.3477911E+002, 4.2622958E-001, 2.7043391E-002, 4.7976257E-002, 5.3446948E-002, 3.9473776E-002, 1.4013766E-001, 4.1919175E-002, 6.3952300E-001, 4.2819408E-003
 1.6494898E+001, 1.1526022E+003, 1.1833778E+003, 2.6124527E+000, 8.6784047E+001, 1.3759343E+002, 4.8037179E-001, 3.0668692E-002, 4.9174403E-002, 5.0549256E-002, 3.4431852E-002, 1.3782948E-001, 3.9646475E-002, 6.4778823E-001, 4.0499704E-003
 1.8525510E+001, 1.1661890E+003, 1.1982713E+003, 2.8528712E+000, 8.8654426E+001, 1.4273645E+002, 5.3447156E-001, 3.4227524E-002, 5.0345030E-002, 4.7634812E-002, 3.0075832E-002, 1.3545917E-001, 3.7360637E-002, 6.5555683E-001, 3.8158625E-003
 2.0556122E+001, 1.1769350E+003, 1.2099611E+003, 3.0701647E+000, 9.1342578E+001, 1.4843001E+002, 5.8879889E-001, 3.7884382E-002, 5.1425364E-002, 4.4684742E-002, 2.6308799E-002, 1.3291808E-001, 3.5046856E-002, 6.6297006E-001, 3.5783498E-003
 2.2586735E+001, 1.1842584E+003, 1.2176736E+003, 3.2662097E+000, 9.4544249E+001, 1.5480435E+002, 6.4275606E-001, 4.1682115E-002, 5.2319769E-002, 4.1789805E-002, 2.3042877E-002, 1.3020218E-001, 3.2776317E-002, 6.6999286E-001, 3.3451650E-003
 2.4617347E+001, 1.1882919E+003, 1.2215517E+003, 3.4409500E+000, 9.8513072E+001, 1.6235833E+002, 6.9982222E-001, 4.5648287E-002, 5.3016538E-002, 3.8957721E-002, 2.0187130E-002, 1.2730672E-001, 3.0555075E-002, 6.7668976E-001, 3.1169904E-003
 2.6647959E+001, 1.1888960E+003, 1.2213903E+003, 3.5986761E+000, 1.0377698E+002, 1.7179326E+002, 7.5352791E-001, 4.9868957E-002, 5.3504630E-002, 3.6155651E-002, 1.7681977E-002, 1.2417279E-001, 2.8357373E-002, 6.8316928E-001, 2.8912136E-003
 2.8678571E+001, 1.1859753E+003, 1.2170335E+003, 3.7387146E+000, 1.1113749E+002, 1.8378847E+002, 8.0924506E-001, 5.4381248E-002, 5.3737569E-002, 3.3418711E-002, 1.5477028E-002, 1.2078630E-001, 2.6210754E-002, 6.8943570E-001, 2.6705874E-003
 3.0709184E+001, 1.1802340E+003, 1.2093136E+003, 3.8638490E+000, 1.2059553E+002, 1.9792107E+002, 8.6527798E-001, 5.9127103E-002, 5.3746150E-002, 3.0756368E-002, 1.3510012E-002, 1.1720130E-001, 2.4122642E-002, 6.9550577E-001, 2.4560092E-003
 3.2739796E+001, 1.1719026E+003, 1.1986984E+003, 3.9722780E+000, 1.3113096E+002, 2.1240132E+002, 9.2413529E-001, 6.4112850E-002, 5.3532931E-002, 2.8166876E-002, 1.1742231E-002, 1.1341898E-001, 2.2091667E-002, 7.0141155E-001, 2.2474404E-003
 3.4770408E+001, 1.1610459E+003, 1.1852044E+003, 4.0662745E+000, 1.4228985E+002, 2.2744757E+002, 9.8474371E-001, 6.9318984E-002, 5.3092376E-002, 2.5669685E-002, 1.0162829E-002, 1.0945837E-001, 2.0133087E-002, 7.0713140E-001, 2.0463864E-003
 3.6801020E+001, 1.1475389E+003, 1.1688266E+003, 4.1426742E+000, 1.5447311E+002, 2.4263614E+002, 1.0509294E+000, 7.4664683E-002, 5.2459145E-002, 2.3277319E-002, 8.7610890E-003, 1.0538257E-001, 1.8256721E-002, 7.1263429E-001, 1.8539005E-003
 3.8831633E+001, 1.1325058E+003, 1.1507620E+003, 4.2045877E+000, 1.6697025E+002, 2.5795725E+002, 1.1197656E+000, 8.0050038E-002, 5.1706548E-002, 2.0973094E-002, 7.5119703E-003, 1.0126665E-001, 1.6449486E-002, 7.1792985E-001, 1.6689125E-003
 4.0862245E+001, 1.1149730E+003, 1.1298374E+003, 4.2530031E+000, 1.7895931E+002, 2.7258923E+002, 1.1859633E+000, 8.5503573E-002, 5.0742747E-002, 1.8840963E-002, 6.4163676E-003, 9.7102064E-002, 1.4777226E-002, 7.2292275E-001, 1.4982078E-003
 4.2892857E+001, 1.0958065E+003, 1.1069833E+003, 4.2885042E+000, 1.8999891E+002, 2.8643233E+002, 1.2548616E+000, 9.0884637E-002, 4.9635772E-002, 1.6892761E-002, 5.4668313E-003, 9.2995392E-002, 1.3249224E-002, 7.2756308E-001, 1.3424054E-003
