cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS
 5.0000000E-001,            NaN,            NaN,-9.5000000E+000, 1.2181374E+003, 2.3627002E+002, 9.6259972E+002, 3.3990146E+002, 7.9264197E+002, 3.1538808E+002, 6.5279976E+002, 2.5804462E+002, 5.3208903E+002, 1.7945669E+002
 4.4622642E+000,            NaN,            NaN,-5.2857143E+000, 1.2558083E+003, 1.6321628E+002, 1.1036952E+003, 2.9301502E+002, 9.0002506E+002, 3.1606233E+002, 7.0875900E+002, 2.7255699E+002, 5.5432879E+002, 1.8798932E+002
 8.4245283E+000, 1.1117545E+003, 1.2736182E+002,-1.0714286E+000, 1.2161298E+003, 1.2805635E+002, 1.1714269E+003, 2.5008334E+002, 9.5984980E+002, 3.1474120E+002, 7.3602254E+002, 2.8398730E+002, 5.6940810E+002, 1.9512706E+002
 1.2386792E+001, 1.1598222E+003, 1.2563292E+002, 3.1428571E+000, 1.2138972E+003, 1.3646986E+002, 1.1705934E+003, 2.5101153E+002, 9.5713052E+002, 3.2015253E+002, 7.3302271E+002, 2.9068058E+002, 5.7288635E+002, 1.9647069E+002
 1.6349057E+001, 1.1908571E+003, 1.2927978E+002, 7.3571429E+000, 1.2403828E+003, 1.8097402E+002, 1.1023900E+003, 2.9458853E+002, 8.8541471E+002, 3.2532914E+002, 7.0025667E+002, 2.8428975E+002, 5.5983480E+002, 1.8925100E+002
 2.0311321E+001, 1.2138972E+003, 1.3646986E+002, 1.1571429E+001, 1.1858863E+003, 2.6199551E+002, 9.5066763E+002, 3.4027722E+002, 7.8114486E+002, 3.2787228E+002, 6.4931214E+002, 2.6949141E+002, 5.3804136E+002, 1.8028757E+002
 2.4273585E+001, 1.2301439E+003, 1.4216284E+002, 1.5785714E+001, 1.0099638E+003, 3.2966441E+002, 7.8732153E+002, 3.4997480E+002, 6.7926566E+002, 3.0890339E+002, 5.9274524E+002, 2.4677997E+002, 5.1274647E+002, 1.7005158E+002
 2.8235849E+001, 1.2407485E+003, 1.4792911E+002, 2.0000000E+001, 6.3818157E+002, 2.9902653E+002, 5.5605123E+002, 2.7363961E+002, 5.1737873E+002, 2.3527864E+002, 4.8858569E+002, 1.9520616E+002, 4.5798002E+002, 1.4579554E+002
 3.2198113E+001, 1.2459792E+003, 1.5581255E+002, 2.4214286E+001, 5.2653508E+002, 2.3559287E+002, 4.7824724E+002, 2.1652531E+002, 4.6530646E+002, 2.0050857E+002, 4.4860617E+002, 1.7287802E+002, 4.3174023E+002, 1.3312362E+002
