cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 6.1859263E+002, 6.1309766E+002, 4.8303887E-003, 8.1126889E+001, 9.6388723E+001, 2.6088653E-004, 4.9368038E-004, 3.0378376E-002, 5.2787304E-002, 3.2336459E-001, 1.1466441E-001, 4.1401807E-002, 4.2655938E-001, 3.6131723E-003
 1.2550505E+000, 7.6924444E+002, 7.7093832E+002,-8.4418680E-003, 9.6146406E+001, 1.2058921E+002, 7.6799532E-002, 1.3693627E-003, 3.5829484E-002, 5.9391346E-002, 2.2057859E-001, 1.3128032E-001, 4.6581448E-002, 4.9332409E-001, 4.3227201E-003
 2.2601010E+000, 8.4928188E+002, 8.5560941E+002, 6.9835867E-002, 1.1144054E+002, 1.4247492E+002, 1.1421044E-001, 2.4593035E-003, 3.8802378E-002, 6.1204485E-002, 1.7555828E-001, 1.3787548E-001, 4.8003517E-002, 5.2409568E-001, 4.5754313E-003
 3.2651515E+000, 9.0737014E+002, 9.1777534E+002, 2.1592872E-001, 1.2569946E+002, 1.6284941E+002, 1.3908725E-001, 3.4581409E-003, 4.1346599E-002, 6.1241594E-002, 1.4853791E-001, 1.4142189E-001, 4.8032623E-002, 5.4395308E-001, 4.6464472E-003
 4.2702020E+000, 9.4996387E+002, 9.6363052E+002, 3.9267059E-001, 1.2822473E+002, 1.6916156E+002, 1.7218476E-001, 4.6490351E-003, 4.3410435E-002, 6.0646407E-002, 1.2968198E-001, 1.4343956E-001, 4.7565809E-002, 5.5871532E-001, 4.6461550E-003
 5.2752525E+000, 9.8748361E+002, 1.0039540E+003, 5.8441547E-001, 1.3450220E+002, 1.8079366E+002, 2.1217502E-001, 5.7326770E-003, 4.5256466E-002, 5.9833894E-002, 1.1491489E-001, 1.4485642E-001, 4.6928544E-002, 5.7074498E-001, 4.6167804E-003
 6.2803030E+000, 1.0210850E+003, 1.0404248E+003, 7.8381877E-001, 1.3836291E+002, 1.8896930E+002, 2.5300354E-001, 7.0490056E-003, 4.7010717E-002, 5.8631324E-002, 1.0287312E-001, 1.4561188E-001, 4.5985352E-002, 5.8134226E-001, 4.5471860E-003
 7.2853535E+000, 1.0496532E+003, 1.0713932E+003, 9.8600034E-001, 1.3791778E+002, 1.9208381E+002, 2.9246887E-001, 8.7747489E-003, 4.8473560E-002, 5.7254113E-002, 9.2753428E-002, 1.4573527E-001, 4.4905187E-002, 5.9087740E-001, 4.4579797E-003
 8.2904040E+000, 1.0740644E+003, 1.0977817E+003, 1.1856526E+000, 1.3657653E+002, 1.9427866E+002, 3.3171067E-001, 1.0865357E-002, 4.9711153E-002, 5.5724908E-002, 8.4020895E-002, 1.4534747E-001, 4.3705810E-002, 5.9969795E-001, 4.3524989E-003
