cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 3.0401515E+001, 9.5543838E+002, 1.1718555E-001, 4.2721113E-002, 8.7338766E-003, 3.1642464E-003, 7.2758065E-002, 6.8500993E-003, 7.4687453E-001, 6.8888761E-004
 3.1406566E+001, 9.4215183E+002, 1.2081059E-001, 4.1401417E-002, 8.0192582E-003, 2.8111794E-003, 7.0036021E-002, 6.2896143E-003, 7.4905952E-001, 6.3226180E-004
 3.2411616E+001, 9.2862419E+002, 1.2431097E-001, 4.0108349E-002, 7.3465941E-003, 2.4964411E-003, 6.7406052E-002, 5.7620346E-003, 7.5112906E-001, 5.7899491E-004
 3.3416667E+001, 9.1479455E+002, 1.2770374E-001, 3.8839621E-002, 6.7080543E-003, 2.2194043E-003, 6.4854515E-002, 5.2612191E-003, 7.5309814E-001, 5.2846762E-004
 3.4421717E+001, 9.0065236E+002, 1.3100759E-001, 3.7575350E-002, 6.1151637E-003, 1.9724162E-003, 6.2370590E-002, 4.7962068E-003, 7.5496363E-001, 4.8162744E-004
 3.5426768E+001, 8.8588152E+002, 1.3420984E-001, 3.6312531E-002, 5.5794897E-003, 1.7517141E-003, 5.9965952E-002, 4.3760703E-003, 7.5671038E-001, 4.3938426E-004
 3.6431818E+001, 8.7124606E+002, 1.3729758E-001, 3.5069862E-002, 5.0892942E-003, 1.5492370E-003, 5.7649624E-002, 3.9916033E-003, 7.5835489E-001, 4.0075175E-004
 3.7436869E+001, 8.5676307E+002, 1.4026440E-001, 3.3858043E-002, 4.6366943E-003, 1.3648116E-003, 5.5425170E-002, 3.6366230E-003, 7.5990510E-001, 3.6505400E-004
 3.8441919E+001, 8.4260116E+002, 1.4308299E-001, 3.2700534E-002, 4.2128942E-003, 1.1951037E-003, 5.3311913E-002, 3.3042308E-003, 7.6136627E-001, 3.3158448E-004
 3.9446970E+001, 8.2893917E+002, 1.4571648E-001, 3.1624579E-002, 3.8105815E-003, 1.0383058E-003, 5.1336208E-002, 2.9886913E-003, 7.6273798E-001, 2.9977089E-004
 4.0452020E+001, 8.1542127E+002, 1.4821547E-001, 3.0594503E-002, 3.4379966E-003, 8.9607952E-004, 4.9461740E-002, 2.6964679E-003, 7.6402362E-001, 2.7032462E-004
 4.1457071E+001, 8.0200043E+002, 1.5060190E-001, 2.9600750E-002, 3.0922113E-003, 7.6906976E-004, 4.7671823E-002, 2.4252637E-003, 7.6523267E-001, 2.4300008E-004
 4.2462121E+001, 7.8859687E+002, 1.5289311E-001, 2.8643262E-002, 2.7625298E-003, 6.5831234E-004, 4.5951896E-002, 2.1666900E-003, 7.6638253E-001, 2.1693959E-004
 4.3467172E+001, 7.7520103E+002, 1.5509356E-001, 2.7716667E-002, 2.4524563E-003, 5.6150469E-004, 4.4299566E-002, 1.9234951E-003, 7.6747187E-001, 1.9244404E-004
 4.4472222E+001, 7.6170545E+002, 1.5721540E-001, 2.6809821E-002, 2.1671615E-003, 4.7649856E-004, 4.2707012E-002, 1.6997345E-003, 7.6849944E-001, 1.6993123E-004
 4.5477273E+001, 7.4816648E+002, 1.5925802E-001, 2.5920554E-002, 1.9096824E-003, 4.0113132E-004, 4.1175469E-002, 1.4977901E-003, 7.6946291E-001, 1.4964292E-004
 4.6482323E+001, 7.3461274E+002, 1.6121988E-001, 2.5053138E-002, 1.6762233E-003, 3.3553493E-004, 3.9705479E-002, 1.3146849E-003, 7.7036639E-001, 1.3123717E-004
