cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 5.0000000E-001, 6.1645265E+002, 6.8321046E-004, 2.1735558E-002, 5.0769589E-002, 4.7766810E-001, 1.0414672E-001, 4.0081254E-002, 3.0194659E-001, 9.3478764E-004
 1.5000000E+000, 7.5831048E+002, 2.0781139E-003, 2.9558457E-002, 6.2872145E-002, 3.2568746E-001, 1.3303595E-001, 4.9635904E-002, 3.9345523E-001, 1.2696241E-003
 2.5000000E+000, 8.3848195E+002, 4.3546719E-003, 3.3959182E-002, 6.6358571E-002, 2.5540670E-001, 1.4467723E-001, 5.2388345E-002, 4.3897469E-001, 1.3997337E-003
 3.5000000E+000, 8.9640704E+002, 6.1575004E-003, 3.7177143E-002, 6.7403410E-002, 2.1347561E-001, 1.5109124E-001, 5.3213218E-002, 4.6754015E-001, 1.4589713E-003
 4.5000000E+000, 9.3908834E+002, 7.9479809E-003, 3.9858860E-002, 6.7130261E-002, 1.8484976E-001, 1.5484453E-001, 5.2997574E-002, 4.8844529E-001, 1.4769355E-003
 5.5000000E+000, 9.7303694E+002, 9.9686180E-003, 4.2246655E-002, 6.6115832E-002, 1.6251133E-001, 1.5711765E-001, 5.2196710E-002, 5.0597678E-001, 1.4721027E-003
 6.5000000E+000, 1.0021690E+003, 1.2194498E-002, 4.4375708E-002, 6.4693175E-002, 1.4405166E-001, 1.5842903E-001, 5.1073560E-002, 5.2139914E-001, 1.4539555E-003
 7.5000000E+000, 1.0275638E+003, 1.4552189E-002, 4.6259364E-002, 6.3040998E-002, 1.2851056E-001, 1.5904722E-001, 4.9769209E-002, 5.3513385E-001, 1.4274957E-003
 8.5000000E+000, 1.0488655E+003, 1.7122539E-002, 4.7925224E-002, 6.1143828E-002, 1.1538026E-001, 1.5899437E-001, 4.8271443E-002, 5.4758667E-001, 1.3927207E-003
 9.5000000E+000, 1.0663022E+003, 1.9871843E-002, 4.9278928E-002, 5.9238412E-002, 1.0400009E-001, 1.5845620E-001, 4.6767167E-002, 5.5892313E-001, 1.3562363E-003
 1.0500000E+001, 1.0813058E+003, 2.2721852E-002, 5.0460984E-002, 5.7263821E-002, 9.4006097E-002, 1.5756092E-001, 4.5208280E-002, 5.6942928E-001, 1.3165891E-003
 1.1500000E+001, 1.0943973E+003, 2.5613435E-002, 5.1530640E-002, 5.5222490E-002, 8.5180547E-002, 1.5640139E-001, 4.3596702E-002, 5.7922541E-001, 1.2741471E-003
 1.2500000E+001, 1.1056062E+003, 2.8607159E-002, 5.2510141E-002, 5.3073065E-002, 7.7330411E-002, 1.5495503E-001, 4.1899789E-002, 5.8852072E-001, 1.2280650E-003
 1.3500000E+001, 1.1143756E+003, 3.1824664E-002, 5.3258497E-002, 5.0923209E-002, 7.0301860E-002, 1.5315898E-001, 4.0202533E-002, 5.9735229E-001, 1.1812810E-003
 1.4500000E+001, 1.1212917E+003, 3.5191314E-002, 5.3835423E-002, 4.8774994E-002, 6.3949837E-002, 1.5110599E-001, 3.8506574E-002, 6.0578353E-001, 1.1339666E-003
 1.5500000E+001, 1.1265504E+003, 3.8641682E-002, 5.4283708E-002, 4.6628241E-002, 5.8238721E-002, 1.4885998E-001, 3.6811769E-002, 6.1380911E-001, 1.0861468E-003
 1.6500000E+001, 1.1302741E+003, 4.2220869E-002, 5.4625530E-002, 4.4437838E-002, 5.3075248E-002, 1.4639271E-001, 3.5082504E-002, 6.2156660E-001, 1.0367897E-003
 1.7500000E+001, 1.1321557E+003, 4.5922456E-002, 5.4800070E-002, 4.2288177E-002, 4.8419230E-002, 1.4372894E-001, 3.3385403E-002, 6.2898273E-001, 9.8805235E-004
 1.8500000E+001, 1.1324983E+003, 4.9749251E-002, 5.4809121E-002, 4.0188655E-002, 4.4179381E-002, 1.4088459E-001, 3.1727885E-002, 6.3611091E-001, 9.4020476E-004
 1.9500000E+001, 1.1318967E+003, 5.3587350E-002, 5.4740748E-002, 3.8121198E-002, 4.0302281E-002, 1.3796685E-001, 3.0095682E-002, 6.4295658E-001, 8.9285115E-004
 2.0500000E+001, 1.1303450E+003, 5.7457789E-002, 5.4591872E-002, 3.6079664E-002, 3.6753850E-002, 1.3496285E-001, 2.8483945E-002, 6.4956010E-001, 8.4587265E-004
 2.1500000E+001, 1.1275762E+003, 6.1412482E-002, 5.4323833E-002, 3.4079167E-002, 3.3500127E-002, 1.3183560E-001, 2.6904605E-002, 6.5595125E-001, 7.9967774E-004
 2.2500000E+001, 1.1233141E+003, 6.5530714E-002, 5.3922146E-002, 3.2085764E-002, 3.0508830E-002, 1.2851707E-001, 2.5330867E-002, 6.6222825E-001, 7.5344323E-004
 2.3500000E+001, 1.1171406E+003, 6.9887695E-002, 5.3314531E-002, 3.0132799E-002, 2.7786679E-002, 1.2494476E-001, 2.3789052E-002, 6.6838233E-001, 7.0803859E-004
 2.4500000E+001, 1.1096252E+003, 7.4386694E-002, 5.2512897E-002, 2.8278495E-002, 2.5307020E-002, 1.2121634E-001, 2.2325127E-002, 6.7431971E-001, 6.6490948E-004
 2.5500000E+001, 1.1014603E+003, 7.8877754E-002, 5.1613681E-002, 2.6516263E-002, 2.3043077E-002, 1.1746715E-001, 2.0933892E-002, 6.7999753E-001, 6.2384354E-004
 2.6500000E+001, 1.0926141E+003, 8.3343578E-002, 5.0635560E-002, 2.4839590E-002, 2.0968766E-002, 1.1371631E-001, 1.9610203E-002, 6.8543339E-001, 5.8472482E-004
 2.7500000E+001, 1.0833038E+003, 8.7701766E-002, 4.9642871E-002, 2.3232330E-002, 1.9060945E-002, 1.1003806E-001, 1.8341313E-002, 6.9062410E-001, 5.4716015E-004
 2.8500000E+001, 1.0735049E+003, 9.1914212E-002, 4.8646450E-002, 2.1711523E-002, 1.7298573E-002, 1.0647202E-001, 1.7140676E-002, 6.9554686E-001, 5.1158221E-004
 2.9500000E+001, 1.0632337E+003, 9.6013694E-002, 4.7644422E-002, 2.0253876E-002, 1.5697037E-002, 1.0298344E-001, 1.5989902E-002, 7.0023320E-001, 4.7739321E-004
 3.0500000E+001, 1.0527724E+003, 9.9932678E-002, 4.6636283E-002, 1.8903532E-002, 1.4286229E-002, 9.9631881E-002, 1.4923841E-002, 7.0458009E-001, 4.4569103E-004
 3.1500000E+001, 1.0420894E+003, 1.0368233E-001, 4.5647521E-002, 1.7626923E-002, 1.3030416E-002, 9.6409655E-002, 1.3915992E-002, 7.0865635E-001, 4.1566614E-004
 3.2500000E+001, 1.0309237E+003, 1.0729285E-001, 4.4663449E-002, 1.6423131E-002, 1.1911401E-002, 9.3293605E-002, 1.2965630E-002, 7.1248952E-001, 3.8735832E-004
 3.3500000E+001, 1.0193433E+003, 1.1077275E-001, 4.3663076E-002, 1.5314432E-002, 1.0910129E-002, 9.0282911E-002, 1.2090341E-002, 7.1607078E-001, 3.6129970E-004
 3.4500000E+001, 1.0074090E+003, 1.1418124E-001, 4.2615900E-002, 1.4301192E-002, 9.9903200E-003, 8.7332592E-002, 1.1290415E-002, 7.1945201E-001, 3.3748109E-004
 3.5500000E+001, 9.9519480E+002, 1.1746677E-001, 4.1551442E-002, 1.3384266E-002, 9.1514726E-003, 8.4487982E-002, 1.0566526E-002, 7.2260884E-001, 3.1593825E-004
 3.6500000E+001, 9.8287615E+002, 1.2066159E-001, 4.0496569E-002, 1.2512321E-002, 8.3652646E-003, 8.1719093E-002, 9.8781481E-003, 7.2563530E-001, 2.9546507E-004
 3.7500000E+001, 9.7022689E+002, 1.2377578E-001, 3.9446413E-002, 1.1683320E-002, 7.6369814E-003, 7.9015834E-002, 9.2236739E-003, 7.2853477E-001, 2.7600366E-004
 3.8500000E+001, 9.5757500E+002, 1.2677555E-001, 3.8415547E-002, 1.0905196E-002, 6.9557084E-003, 7.6410911E-002, 8.6093654E-003, 7.3128999E-001, 2.5773136E-004
 3.9500000E+001, 9.4509933E+002, 1.2965161E-001, 3.7425099E-002, 1.0159363E-002, 6.3183025E-003, 7.3910491E-002, 8.0205495E-003, 7.3392047E-001, 2.4019176E-004
 4.0500000E+001, 9.3270775E+002, 1.3241881E-001, 3.6471456E-002, 9.4381947E-003, 5.7345789E-003, 7.1498691E-002, 7.4512063E-003, 7.3643512E-001, 2.2319767E-004
 4.1500000E+001, 9.1988927E+002, 1.3513462E-001, 3.5517348E-002, 8.7472605E-003, 5.1969013E-003, 6.9127409E-002, 6.9057320E-003, 7.3885919E-001, 2.0690931E-004
 4.2500000E+001, 9.0663614E+002, 1.3781994E-001, 3.4550938E-002, 8.0872566E-003, 4.6973569E-003, 6.6779926E-002, 6.3846763E-003, 7.4120697E-001, 1.9133601E-004
 4.3500000E+001, 8.9276534E+002, 1.4051832E-001, 3.3565278E-002, 7.4367100E-003, 4.2290092E-003, 6.4416469E-002, 5.8710868E-003, 7.4352823E-001, 1.7595252E-004
 4.4500000E+001, 8.7843881E+002, 1.4320026E-001, 3.2560367E-002, 6.8168349E-003, 3.7901982E-003, 6.2066096E-002, 5.3817117E-003, 7.4578589E-001, 1.6129967E-004
 4.5500000E+001, 8.6413922E+002, 1.4576240E-001, 3.1576338E-002, 6.2515422E-003, 3.3861683E-003, 5.9821564E-002, 4.9354281E-003, 7.4790097E-001, 1.4795058E-004
 4.6500000E+001, 8.5002850E+002, 1.4815286E-001, 3.0641077E-002, 5.7430162E-003, 3.0224419E-003, 5.7727558E-002, 4.5339601E-003, 7.4984324E-001, 1.3594500E-004
 4.7500000E+001, 8.3622879E+002, 1.5040209E-001, 2.9748430E-002, 5.2773732E-003, 2.6970466E-003, 5.5755869E-002, 4.1663472E-003, 7.5164422E-001, 1.2494656E-004
 4.8500000E+001, 8.2290524E+002, 1.5250716E-001, 2.8900797E-002, 4.8554817E-003, 2.3986605E-003, 5.3911322E-002, 3.8332750E-003, 7.5330936E-001, 1.1498233E-004
 4.9500000E+001, 8.1009982E+002, 1.5448933E-001, 2.8100287E-002, 4.4604207E-003, 2.1221759E-003, 5.2173924E-002, 3.5213847E-003, 7.5487164E-001, 1.0563618E-004
 5.0500000E+001, 7.9775127E+002, 1.5635744E-001, 2.7349569E-002, 4.0819981E-003, 1.8721418E-003, 5.0533688E-002, 3.2226301E-003, 7.5634382E-001, 9.6665751E-005
 5.1500000E+001, 7.8566790E+002, 1.5813363E-001, 2.6634077E-002, 3.7215617E-003, 1.6526975E-003, 4.8970655E-002, 2.9380751E-003, 7.5773167E-001, 8.8107404E-005
 5.2500000E+001, 7.7393344E+002, 1.5981538E-001, 2.5948926E-002, 3.3872565E-003, 1.4609385E-003, 4.7488682E-002, 2.6741499E-003, 7.5902658E-001, 8.0168278E-005
