cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 5.1055505E+002, 5.7929687E-006, 1.1969320E-002, 2.0584523E-002, 7.9463409E-001, 3.3619309E-002, 1.2108543E-002, 1.2304224E-001, 8.6695814E-004
 7.5000000E-001, 6.1574543E+002, 4.7205948E-005, 2.4122472E-002, 3.6175440E-002, 6.1716993E-001, 6.2254404E-002, 2.1279671E-002, 2.3185765E-001, 1.7246478E-003
 1.2500000E+000, 7.0988338E+002, 1.6738194E-004, 3.4024765E-002, 4.7238132E-002, 4.8180874E-001, 8.3887960E-002, 2.7787137E-002, 3.1582351E-001, 2.4860927E-003
 1.7500000E+000, 7.6916926E+002, 4.1219499E-004, 4.0164385E-002, 5.3054331E-002, 4.0320090E-001, 9.6224134E-002, 3.1208430E-002, 3.6533282E-001, 2.9616953E-003
 2.2500000E+000, 8.1658898E+002, 7.1478898E-004, 4.4539757E-002, 5.6091008E-002, 3.5308596E-001, 1.0386986E-001, 3.2994711E-002, 3.9770567E-001, 3.2559171E-003
 2.7500000E+000, 8.5538293E+002, 1.2238065E-003, 4.7945074E-002, 5.7749813E-002, 3.1691791E-001, 1.0909597E-001, 3.3970478E-002, 4.2177345E-001, 3.4473689E-003
 3.2500000E+000, 8.8702576E+002, 1.6154862E-003, 5.0701139E-002, 5.8910970E-002, 2.8880930E-001, 1.1313734E-001, 3.4653512E-002, 4.4062109E-001, 3.5980715E-003
 3.7500000E+000, 9.1414863E+002, 1.8889151E-003, 5.3071163E-002, 5.9741089E-002, 2.6593122E-001, 1.1643689E-001, 3.5141817E-002, 4.5607497E-001, 3.7188218E-003
 4.2500000E+000, 9.3754046E+002, 2.1067256E-003, 5.5203319E-002, 6.0213286E-002, 2.4709893E-001, 1.1912019E-001, 3.5419580E-002, 4.6903144E-001, 3.8066117E-003
 4.7500000E+000, 9.5767867E+002, 2.3122412E-003, 5.7091048E-002, 6.0508137E-002, 2.3108956E-001, 1.2136849E-001, 3.5593022E-002, 4.8017317E-001, 3.8760811E-003
 5.2500000E+000, 9.7533637E+002, 2.5631036E-003, 5.8729068E-002, 6.0706325E-002, 2.1719020E-001, 1.2326110E-001, 3.5709603E-002, 4.8993740E-001, 3.9340008E-003
 5.7500000E+000, 9.9096779E+002, 2.8134059E-003, 6.0256078E-002, 6.0738650E-002, 2.0505061E-001, 1.2486786E-001, 3.5728618E-002, 4.9863524E-001, 3.9748379E-003
 6.2500000E+000, 1.0048827E+003, 3.0698408E-003, 6.1638077E-002, 6.0709345E-002, 1.9426527E-001, 1.2626196E-001, 3.5711379E-002, 5.0644033E-001, 4.0079040E-003
 6.7500000E+000, 1.0176419E+003, 3.3633986E-003, 6.2872322E-002, 6.0655059E-002, 1.8448978E-001, 1.2747919E-001, 3.5679446E-002, 5.1356765E-001, 4.0371254E-003
 7.2500000E+000, 1.0294781E+003, 3.7283319E-003, 6.3991679E-002, 6.0526549E-002, 1.7561854E-001, 1.2850298E-001, 3.5603852E-002, 5.2016012E-001, 4.0584183E-003
 7.7500000E+000, 1.0410586E+003, 4.1513876E-003, 6.5081748E-002, 6.0256835E-002, 1.6750602E-001, 1.2935157E-001, 3.5445197E-002, 5.2639218E-001, 4.0662854E-003
 8.2500000E+000, 1.0514188E+003, 4.7641474E-003, 6.6085660E-002, 5.9821231E-002, 1.6006875E-001, 1.2994364E-001, 3.5188959E-002, 5.3239796E-001, 4.0589711E-003
