x (m),Y He,Y He rms,W (m/s),W rms (m/s),U (m/s),U rms (m/s)
-0.5,2.2605E-08,0.05425,-0.02659,0.10988,0.22018,0.19558
-0.4899,0.000112845,0.05228,-0.0013,0.13424,0.22793,0.18157
-0.4798,0.000225668,0.0511,0.00708,0.15259,0.23383,0.17634
-0.4697,0.000338491,0.05083,0.0036,0.1667,0.23833,0.17882
-0.4596,0.000451313,0.05161,-0.00671,0.17837,0.24188,0.18794
-0.44949,0.000623386,0.05358,-0.01882,0.18939,0.24493,0.20266
-0.43939,0.00241,0.05688,-0.02766,0.20155,0.24793,0.2219
-0.42929,0.00529,0.06164,-0.02822,0.21663,0.25133,0.24462
-0.41919,0.0095,0.068,-0.01544,0.23642,0.25558,0.26976
-0.40909,0.01526,0.07611,0.01572,0.2627,0.26113,0.29624
-0.39899,0.0228,0.08609,0.07028,0.29728,0.26843,0.32302
-0.38889,0.03215,0.09787,0.15042,0.34084,0.278,0.34902
-0.37879,0.04266,0.1107,0.24975,0.39086,0.29059,0.37308
-0.36869,0.05359,0.12374,0.3603,0.44423,0.30699,0.39405
-0.35859,0.06419,0.13612,0.47411,0.49782,0.32799,0.41078
-0.34848,0.07372,0.14699,0.58321,0.54852,0.35438,0.4221
-0.33838,0.08168,0.15581,0.68174,0.59414,0.3862,0.42756
-0.32828,0.08825,0.16283,0.76928,0.63491,0.42158,0.42846
-0.31818,0.09372,0.16845,0.84623,0.6714,0.45835,0.4264
-0.30808,0.09836,0.17306,0.91303,0.70423,0.49435,0.42298
-0.29798,0.10248,0.17705,0.97008,0.73399,0.52739,0.41979
-0.28788,0.1063,0.18063,1.01755,0.76066,0.55594,0.41782
-0.27778,0.11001,0.18362,1.05504,0.78291,0.57989,0.41679
-0.26768,0.11375,0.18581,1.08207,0.7992,0.59928,0.41622
-0.25758,0.11769,0.18696,1.09817,0.80801,0.61419,0.41563
-0.24747,0.12199,0.18685,1.10286,0.80782,0.62469,0.41454
-0.23737,0.12664,0.18544,1.09677,0.79867,0.63111,0.41263
-0.22727,0.13135,0.18306,1.0826,0.78359,0.63434,0.40984
-0.21717,0.13579,0.18008,1.06334,0.76597,0.63532,0.40617
-0.20707,0.13964,0.17687,1.04193,0.74919,0.63499,0.40159
-0.19697,0.14256,0.1738,1.02134,0.73662,0.6343,0.39609
-0.18687,0.14472,0.17131,1.00379,0.72982,0.63359,0.38995
-0.17677,0.14711,0.16994,0.99031,0.72734,0.63222,0.38393
-0.16667,0.15077,0.17025,0.98177,0.7274,0.62945,0.37885
-0.15657,0.15678,0.17282,0.97907,0.72824,0.62455,0.37551
-0.14646,0.16616,0.17818,0.98309,0.72812,0.61677,0.37471
-0.13636,0.17911,0.18609,0.99428,0.72586,0.60505,0.37655
-0.12626,0.19447,0.19509,1.01242,0.72119,0.58781,0.38008
-0.11616,0.21102,0.20365,1.03725,0.71387,0.56345,0.38427
-0.10606,0.22752,0.21022,1.06851,0.7037,0.53037,0.3881
-0.09596,0.24276,0.2133,1.10592,0.69046,0.48703,0.39053
-0.08586,0.25631,0.21268,1.14847,0.67485,0.43441,0.39096
-0.07576,0.26874,0.20987,1.19423,0.65867,0.37677,0.38933
-0.06566,0.28069,0.20647,1.24119,0.64381,0.3186,0.38561
-0.05556,0.29283,0.20409,1.28736,0.63218,0.26438,0.37974
-0.04545,0.30576,0.20429,1.33076,0.6256,0.21846,0.37175
-0.03535,0.31933,0.20728,1.36986,0.62419,0.18156,0.36255
-0.02525,0.33248,0.21166,1.40368,0.62615,0.15025,0.35414
-0.01515,0.34411,0.21599,1.43127,0.62956,0.12086,0.34858
-0.00505,0.35311,0.21881,1.45165,0.63249,0.08975,0.34792
0.00505,0.35842,0.21872,1.46393,0.6331,0.05338,0.35411
0.01515,0.35989,0.21574,1.46832,0.63141,0.01109,0.36679
0.02525,0.35827,0.2113,1.46612,0.62926,-0.03493,0.38329
0.03535,0.35437,0.20691,1.45871,0.62861,-0.08235,0.40084
0.04545,0.34898,0.20405,1.44745,0.63138,-0.12884,0.41666
0.05556,0.34285,0.20413,1.43364,0.63941,-0.17218,0.42807
0.06566,0.33593,0.20693,1.41724,0.65241,-0.21231,0.43428
0.07576,0.32743,0.2108,1.39707,0.66825,-0.25098,0.43614
0.08586,0.31658,0.21404,1.37187,0.68474,-0.29003,0.43454
0.09596,0.30257,0.21493,1.34042,0.69969,-0.33131,0.43037
0.10606,0.2847,0.21189,1.30169,0.71101,-0.37644,0.42456
0.11616,0.26374,0.20515,1.25781,0.71808,-0.42397,0.41799
0.12626,0.2416,0.19632,1.21336,0.72145,-0.47007,0.41159
0.13636,0.22019,0.18704,1.17296,0.72167,-0.51084,0.40626
0.14646,0.20145,0.17895,1.14125,0.7193,-0.5424,0.40293
0.15657,0.18715,0.17359,1.12246,0.71492,-0.5612,0.40243
0.16667,0.1771,0.17104,1.11581,0.70939,-0.56804,0.40463
0.17677,0.16979,0.17042,1.11717,0.70371,-0.56668,0.40879
0.18687,0.1637,0.17083,1.12233,0.69893,-0.56091,0.41413
0.19697,0.15729,0.17137,1.12709,0.69606,-0.55452,0.41987
0.20707,0.14918,0.17121,1.12747,0.69599,-0.55099,0.42526
0.21717,0.13934,0.17018,1.12196,0.6982,-0.55041,0.42976
0.22727,0.12859,0.1685,1.11049,0.70133,-0.5509,0.43294
0.23737,0.11775,0.16643,1.09298,0.70401,-0.55055,0.4344
0.24747,0.10764,0.16418,1.06939,0.70488,-0.54744,0.4337
0.25758,0.09899,0.16197,1.03961,0.70268,-0.53984,0.43052
0.26768,0.09183,0.15981,1.00315,0.69713,-0.52748,0.42528
0.27778,0.08579,0.1576,0.95933,0.68844,-0.51088,0.4188
0.28788,0.08053,0.15525,0.90746,0.67685,-0.49054,0.41188
0.29798,0.07568,0.15267,0.84685,0.66257,-0.46698,0.40534
0.30808,0.0709,0.14972,0.77702,0.64567,-0.44077,0.39982
0.31818,0.06602,0.14606,0.69901,0.62509,-0.41301,0.3947
0.32828,0.06091,0.14123,0.61453,0.59924,-0.38498,0.38874
0.33838,0.05545,0.13478,0.52533,0.56656,-0.35799,0.38076
0.34848,0.04952,0.12626,0.43312,0.52547,-0.33334,0.36953
0.35859,0.04305,0.11537,0.33989,0.47504,-0.31216,0.35411
0.36869,0.03625,0.1029,0.24927,0.41857,-0.29456,0.33522
0.37879,0.02942,0.09001,0.16553,0.36096,-0.28021,0.3142
0.38889,0.02289,0.07788,0.09292,0.30714,-0.26881,0.29244
0.39899,0.01698,0.06769,0.03571,0.26203,-0.26005,0.27128
0.40909,0.01194,0.0604,-0.00278,0.22958,-0.25359,0.25195
0.41919,0.00782,0.05586,-0.02442,0.20862,-0.24894,0.23486
0.42929,0.00453,0.05353,-0.03285,0.19621,-0.24559,0.22015
0.43939,0.00203,0.05289,-0.03167,0.18941,-0.24301,0.20796
0.44949,0.00024848,0.05338,-0.02451,0.18531,-0.24067,0.19845
0.4596,0.000143232,0.05448,-0.01499,0.18098,-0.23805,0.19176
0.4697,0.000107448,0.05566,-0.00672,0.17348,-0.23461,0.18803
0.4798,7.16637E-05,0.05636,-0.00332,0.15988,-0.22985,0.1874
0.4899,3.58795E-05,0.05607,-0.00842,0.13726,-0.22323,0.19002
0.5,9.5325E-08,0.05424,-0.02562,0.10269,-0.21422,0.19603
