x (m),Y He,Y He rms,W (m/s),W rms (m/s),U (m/s),U rms (m/s)
-0.5,1.67E-07,0.04001,-0.00935,0.15655,0.17325,0.20788
-0.4899,9.26E-05,0.03825,-0.02233,0.16872,0.18587,0.21447
-0.4798,1.85E-04,0.03762,-0.02335,0.18489,0.19252,0.22425
-0.4697,2.78E-04,0.03796,-0.0138,0.2046,0.19429,0.23666
-0.4596,3.70E-04,0.03911,0.00497,0.2274,0.19228,0.25111
-0.44949,5.67E-04,0.04092,0.03157,0.25281,0.18756,0.26703
-0.43939,0.00307,0.04322,0.06464,0.28038,0.18125,0.28384
-0.42929,0.00612,0.04585,0.10279,0.30965,0.17443,0.30097
-0.41919,0.00959,0.04866,0.14466,0.34015,0.16819,0.31783
-0.40909,0.01338,0.05149,0.18887,0.37142,0.16363,0.33385
-0.39899,0.01738,0.05418,0.23406,0.403,0.16184,0.34845
-0.38889,0.0215,0.05666,0.27985,0.43433,0.16343,0.36134
-0.37879,0.02582,0.05917,0.32891,0.46461,0.16758,0.373
-0.36869,0.0304,0.06199,0.38446,0.49296,0.17323,0.38408
-0.35859,0.03533,0.06542,0.44969,0.51851,0.17928,0.39524
-0.34848,0.04067,0.06974,0.52783,0.5404,0.18466,0.40712
-0.33838,0.04646,0.07503,0.61987,0.55851,0.18872,0.42005
-0.32828,0.0526,0.08081,0.7211,0.57469,0.19188,0.43352
-0.31818,0.05897,0.08653,0.82593,0.59105,0.19476,0.44689
-0.30808,0.06545,0.09163,0.92875,0.60974,0.19796,0.45953
-0.29798,0.07192,0.09557,1.02398,0.63288,0.20207,0.47081
-0.28788,0.0783,0.09807,1.10819,0.66127,0.20748,0.48031
-0.27778,0.08457,0.09955,1.18285,0.69266,0.21399,0.48813
-0.26768,0.09074,0.10053,1.25008,0.72443,0.22138,0.49443
-0.25758,0.0968,0.10148,1.31198,0.75394,0.22939,0.49938
-0.24747,0.10275,0.10292,1.37066,0.77857,0.23778,0.50313
-0.23737,0.1086,0.10511,1.42731,0.79708,0.24628,0.50579
-0.22727,0.11432,0.10786,1.48137,0.8109,0.2546,0.50734
-0.21717,0.11994,0.11091,1.53205,0.8218,0.26244,0.50773
-0.20707,0.12543,0.11402,1.57857,0.83153,0.26949,0.50693
-0.19697,0.1308,0.11695,1.62016,0.84183,0.27544,0.5049
-0.18687,0.13608,0.11959,1.65691,0.85366,0.28002,0.50175
-0.17677,0.1414,0.12207,1.69035,0.86667,0.28297,0.49785
-0.16667,0.14688,0.12453,1.72214,0.88038,0.28405,0.49359
-0.15657,0.15264,0.12712,1.75394,0.89429,0.28302,0.48936
-0.14646,0.15881,0.12998,1.78741,0.90794,0.27962,0.48555
-0.13636,0.16542,0.1331,1.82346,0.92071,0.2738,0.48227
-0.12626,0.17244,0.1362,1.86189,0.93184,0.26577,0.47925
-0.11616,0.1798,0.13899,1.90244,0.94056,0.25579,0.4762
-0.10606,0.18744,0.14118,1.94483,0.94607,0.24407,0.4728
-0.09596,0.1953,0.14248,1.98878,0.94764,0.23086,0.46875
-0.08586,0.20339,0.14311,2.03441,0.94617,0.21629,0.46374
-0.07576,0.21181,0.14386,2.08227,0.94468,0.20031,0.4574
-0.06566,0.22065,0.14562,2.133,0.94634,0.1829,0.44938
-0.05556,0.23002,0.14923,2.18718,0.95431,0.16401,0.43934
-0.04545,0.24,0.15551,2.24535,0.97163,0.14362,0.42697
-0.03535,0.25029,0.16411,2.30543,0.99747,0.12204,0.41321
-0.02525,0.2601,0.1733,2.36238,1.02665,0.10002,0.40046
-0.01515,0.26864,0.18131,2.41102,1.05372,0.07829,0.39117
-0.00505,0.27511,0.18633,2.44615,1.07324,0.05759,0.38781
0.00505,0.27874,0.18666,2.46277,1.07996,0.03864,0.39274
0.01515,0.27944,0.1823,2.46048,1.07336,0.02133,0.40566
0.02525,0.27784,0.17496,2.44344,1.0576,0.0047,0.42362
0.03535,0.27457,0.16643,2.41604,1.03704,-0.01221,0.44359
0.04545,0.27027,0.1585,2.38264,1.01604,-0.03037,0.46251
0.05556,0.26556,0.15289,2.34748,0.99884,-0.05072,0.47743
0.06566,0.26052,0.14996,2.31201,0.98681,-0.07307,0.48729
0.07576,0.25476,0.14889,2.27528,0.97887,-0.09632,0.4927
0.08586,0.24789,0.14882,2.23625,0.97388,-0.11931,0.49429
0.09596,0.23951,0.14889,2.19387,0.97065,-0.1409,0.49274
0.10606,0.22924,0.14827,2.14722,0.96802,-0.15997,0.48872
0.11616,0.21726,0.14674,2.09691,0.96464,-0.17614,0.48332
0.12626,0.20411,0.14449,2.04475,0.95903,-0.18957,0.47795
0.13636,0.19036,0.14176,1.99259,0.94971,-0.20042,0.474
0.14646,0.17659,0.13877,1.94227,0.9352,-0.20886,0.4729
0.15657,0.16334,0.13571,1.8954,0.91419,-0.21505,0.47591
0.16667,0.15084,0.13263,1.85082,0.88745,-0.21895,0.48267
0.17677,0.13914,0.12945,1.80547,0.85718,-0.22042,0.49169
0.18687,0.12828,0.12606,1.75627,0.82561,-0.21929,0.50145
0.19697,0.11829,0.12238,1.70013,0.79494,-0.2154,0.51047
0.20707,0.10919,0.11836,1.63428,0.76727,-0.20867,0.51731
0.21717,0.10089,0.11417,1.55922,0.74334,-0.19984,0.52147
0.22727,0.09323,0.11015,1.47737,0.72308,-0.19013,0.52301
0.23737,0.08602,0.10663,1.3912,0.70644,-0.18074,0.52195
0.24747,0.07911,0.10394,1.30314,0.69335,-0.17291,0.51834
0.25758,0.07235,0.10234,1.21545,0.68358,-0.16772,0.51226
0.26768,0.06569,0.10148,1.1287,0.67564,-0.16524,0.50393
0.27778,0.05917,0.10067,1.04255,0.66736,-0.16498,0.49367
0.28788,0.05284,0.09924,0.95667,0.65654,-0.16644,0.4818
0.29798,0.04671,0.0965,0.87073,0.64102,-0.16913,0.46864
0.30808,0.04082,0.09189,0.78455,0.61898,-0.17255,0.45452
0.31818,0.03523,0.08571,0.69902,0.59127,-0.17614,0.43983
0.32828,0.02997,0.07865,0.61553,0.55994,-0.17931,0.425
0.33838,0.0251,0.07142,0.53547,0.52704,-0.18146,0.41046
0.34848,0.02067,0.06469,0.46023,0.49463,-0.18199,0.39663
0.35859,0.01673,0.05908,0.39102,0.46449,-0.18048,0.38383
0.36869,0.01327,0.05462,0.32809,0.43666,-0.17749,0.37173
0.37879,0.01029,0.05114,0.27129,0.41051,-0.17396,0.35974
0.38889,0.00777,0.04844,0.22045,0.38541,-0.17084,0.34726
