x (m),Y He,Y He rms,W (m/s),W rms (m/s),U (m/s),U rms (m/s)
-0.5,6.22E-05,0.0335,0.05073,0.24681,0.14106,0.26627
-0.4899,3.68E-04,0.03506,0.05537,0.26601,0.13822,0.27382
-0.4798,6.74E-04,0.0366,0.06559,0.28541,0.13727,0.28471
-0.4697,9.79E-04,0.03814,0.08114,0.30504,0.13777,0.29842
-0.4596,0.00128,0.0397,0.10172,0.32493,0.1393,0.31443
-0.44949,0.00167,0.0413,0.12709,0.34511,0.14143,0.33222
-0.43939,0.0027,0.04298,0.15696,0.36562,0.14372,0.35128
-0.42929,0.00412,0.04475,0.19107,0.38649,0.14576,0.37107
-0.41919,0.00592,0.04664,0.22915,0.40775,0.14711,0.39107
-0.40909,0.00814,0.04867,0.27093,0.42945,0.14734,0.41077
-0.39899,0.0108,0.05086,0.31613,0.45161,0.14603,0.42965
-0.38889,0.01395,0.05322,0.36456,0.47412,0.143,0.4472
-0.37879,0.01756,0.0557,0.41615,0.49645,0.13884,0.46296
-0.36869,0.02165,0.05821,0.47089,0.518,0.13431,0.4765
-0.35859,0.0262,0.06069,0.52877,0.53816,0.13013,0.48737
-0.34848,0.03119,0.06308,0.58976,0.55632,0.12704,0.49514
-0.33838,0.03659,0.06532,0.65408,0.57234,0.12541,0.49977
-0.32828,0.04226,0.06745,0.72248,0.58723,0.12465,0.50235
-0.31818,0.04804,0.06951,0.7958,0.60222,0.12402,0.50413
-0.30808,0.05377,0.07154,0.87489,0.61852,0.12278,0.50636
-0.29798,0.0593,0.07359,0.96059,0.63734,0.12021,0.51027
-0.28788,0.06453,0.07569,1.05288,0.65958,0.1161,0.51634
-0.27778,0.06946,0.07792,1.14977,0.68537,0.11151,0.52333
-0.26768,0.0741,0.08032,1.24901,0.71477,0.10764,0.52976
-0.25758,0.07849,0.08296,1.34836,0.74782,0.1057,0.53415
-0.24747,0.08265,0.08588,1.44558,0.78458,0.10689,0.53504
